param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
uniform,COBYLA,vanilla,False,False,3,5,DFw,2.6464176177978516,48,"[array(-0.02254499), array(-0.00701857), array(-0.02636876), array(0.15566211), array(-0.28032905), array(-0.44188965), array(-0.34542938), array(-0.20647672), array(-0.17936335), array(0.11492843), array(-0.7519156), array(-0.24559521), array(-0.62216179), array(-0.37240573), array(-0.79437436), array(-0.19500598), array(-0.04096411), array(-0.84820231), array(-0.80185759), array(-0.64348068), array(-0.59882777), array(-0.8622372), array(-0.82780482), array(-0.85485621), array(-0.85675787), array(-0.9250029), array(-0.87124822), array(-0.9271092), array(-0.82286994), array(-0.953725), array(-0.87830157), array(-0.91897443), array(-0.8824408), array(-0.96677185), array(-0.88341702), array(-0.89738451), array(-0.95461366), array(-0.94797762), array(-0.95755223), array(-0.99893855), array(-0.90175914), array(-0.93066616), array(-0.92933696), array(-0.93548496), array(-0.94839433), array(-0.92410231), array(-0.94641746), array(-0.93543815)]","[1, 1, 1, 0, 0]",3.3806223225650873,"[1.0, 1.0, 1.0, 0, 0]",3.3806223225650873
uniform,COBYLA,vanilla,False,False,3,5,DUw,3.4607508182525635,50,"[array(-0.02462058), array(0.22649279), array(0.31826696), array(0.29241912), array(0.23453881), array(-0.65800045), array(-0.08813892), array(0.63561526), array(-0.64879258), array(-0.15756869), array(-0.74797925), array(-0.70004771), array(0.51299426), array(-0.77309747), array(-0.34017841), array(0.53573692), array(-0.43580096), array(-0.95245295), array(-0.87255674), array(-0.78513114), array(-0.54851284), array(-0.99520702), array(-0.99551588), array(-0.99623735), array(-0.92973679), array(-0.97719885), array(-0.97831338), array(-1.00962174), array(-0.94239911), array(-0.97710107), array(-0.94813201), array(-0.88114401), array(-1.04044555), array(-1.0259634), array(-1.02442057), array(-0.97437105), array(-1.01814858), array(-1.03923787), array(-1.04391855), array(-1.03407109), array(-1.04726382), array(-1.02462549), array(-1.03132024), array(-1.05960147), array(-1.01244327), array(-1.02534656), array(-1.02814785), array(-1.02794133), array(-1.0482549), array(-1.01354236)]","[0, 0, 1, 1, 1]",2.854180201430194,"[1.0, 1.0, 0, 0, 0]",2.8541802014301934
uniform,COBYLA,vanilla,False,False,3,5,DV{,3.967780351638794,47,"[array(0.04667505), array(-0.00469855), array(-0.03144864), array(0.0279294), array(-0.24329948), array(0.04383595), array(-0.25697572), array(-0.28097059), array(-0.11494064), array(-0.17376227), array(-0.46710279), array(0.06765047), array(-0.41410953), array(0.01276009), array(-0.48010565), array(-0.42792996), array(-0.29275841), array(-0.44791055), array(-0.50612604), array(-0.46409336), array(-0.52965246), array(-0.51325935), array(-0.48286064), array(-0.51535103), array(-0.37695223), array(-0.57016374), array(-0.57895241), array(-0.54738595), array(-0.55224681), array(-0.6038717), array(-0.55172283), array(-0.59794622), array(-0.59211269), array(-0.58997461), array(-0.60525422), array(-0.58410618), array(-0.59431446), array(-0.5817447), array(-0.60790858), array(-0.58960349), array(-0.58804443), array(-0.58717641), array(-0.59552233), array(-0.57507576), array(-0.60546069), array(-0.59366473), array(-0.58532773)]","[0, 0, 1, 1, 0]",2.1489646981986743,"[1.0, 1.0, 0, 0, 0]",2.1698107728157328
uniform,COBYLA,vanilla,False,False,3,5,DUW,2.0483763217926025,40,"[array(0.0713564), array(0.40863525), array(0.16891513), array(-0.52056458), array(-0.22978316), array(-0.44405157), array(-0.46636094), array(0.24555637), array(-0.17026227), array(-0.25060329), array(-0.22930038), array(-0.45290967), array(-0.47395962), array(-0.47298887), array(-0.30473553), array(-0.56296937), array(-0.49750878), array(-0.50107023), array(-0.59259425), array(-0.57324508), array(-0.6171414), array(-0.55717652), array(-0.57384503), array(-0.56243785), array(-0.58083865), array(-0.57083057), array(-0.59737), array(-0.58497196), array(-0.60765539), array(-0.58986723), array(-0.5885306), array(-0.61987933), array(-0.61092636), array(-0.60865628), array(-0.59723944), array(-0.59257816), array(-0.56729922), array(-0.60562231), array(-0.5957036), array(-0.59698584)]","[0, 0, 1, 1, 0]",2.3896421367549214,"[1.0, 1.0, 0, 0, 1.0]",2.3896421367549214
uniform,COBYLA,vanilla,False,False,3,5,DC{,2.63395357131958,36,"[array(-0.37168794), array(-0.10354492), array(-0.54183371), array(-0.02442231), array(-0.87013805), array(-0.3334777), array(-0.45773287), array(-0.09876452), array(-0.09083775), array(-0.86874827), array(0.05405937), array(-0.76502584), array(-0.84959965), array(-0.79136375), array(-0.80929956), array(-0.73997466), array(-0.75809083), array(-0.86965034), array(-0.81865641), array(-0.8339326), array(-0.91206031), array(-0.91055516), array(-0.95015269), array(-0.88132876), array(-0.85892105), array(-0.90723512), array(-0.91464983), array(-0.9114986), array(-0.92924169), array(-0.93906456), array(-0.91411786), array(-0.88931997), array(-0.90675767), array(-0.93344309), array(-0.91006597), array(-0.90223903)]","[1, 1, 1, 1, 0]",3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
uniform,COBYLA,vanilla,False,False,3,5,DCw,3.6940348148345947,51,"[array(-0.04508475), array(-0.01144089), array(0.11575955), array(0.13597185), array(-0.03457855), array(0.08073761), array(0.02503017), array(0.18658296), array(0.22942544), array(-0.00755136), array(-0.00198895), array(-0.10971086), array(-0.10841738), array(-0.06535166), array(-0.08317426), array(-0.27660773), array(-0.37088629), array(-0.57459897), array(-0.42369102), array(-0.49517886), array(-0.54772736), array(-0.53203232), array(-0.43871756), array(-0.52003867), array(-0.55315908), array(-0.5503072), array(-0.56186412), array(-0.6068925), array(-0.57215315), array(-0.57920863), array(-0.59037866), array(-0.60980731), array(-0.60224026), array(-0.59696366), array(-0.55334651), array(-0.61438731), array(-0.59850159), array(-0.60123006), array(-0.60214032), array(-0.59696965), array(-0.61451153), array(-0.5912229), array(-0.60216425), array(-0.59232139), array(-0.64506826), array(-0.58699456), array(-0.60254822), array(-0.57588679), array(-0.62708365), array(-0.61849773), array(-0.58240533)]","[0, 0, 0, 1, 1]",2.627609260511944,"[0, 0, 0, 1.0, 1.0]",2.6276092605119445
uniform,COBYLA,vanilla,False,False,3,5,D?{,3.750431537628174,49,"[array(-0.10993338), array(0.07396803), array(-0.35292457), array(0.17223766), array(-0.18303864), array(-0.14874993), array(-0.37784278), array(0.06265865), array(-0.31895774), array(-0.43155676), array(-0.06920564), array(-0.41162855), array(-0.25202276), array(-0.16310074), array(-0.3795948), array(-0.36188071), array(-0.44658205), array(-0.44805256), array(-0.4219219), array(-0.38945035), array(-0.54030112), array(-0.53245226), array(-0.52101867), array(-0.53274198), array(-0.49871017), array(-0.544344), array(-0.51220372), array(-0.51716033), array(-0.54453697), array(-0.50993001), array(-0.5339766), array(-0.54236335), array(-0.56641868), array(-0.50390379), array(-0.55118897), array(-0.55562015), array(-0.53686713), array(-0.51622659), array(-0.54205437), array(-0.54130185), array(-0.56174862), array(-0.52127148), array(-0.51659929), array(-0.50036409), array(-0.53087796), array(-0.55422062), array(-0.56320711), array(-0.53147922), array(-0.5585051)]","[1, 1, 1, 1, 0]",1.796525413204832,"[1.0, 1.0, 1.0, 1.0, 0]",1.796525413204832
uniform,COBYLA,vanilla,False,False,3,5,DU{,2.9661073684692383,38,"[array(0.22897356), array(0.24998446), array(0.03290284), array(-0.01168942), array(0.1868958), array(0.56347674), array(0.01638522), array(-0.43475906), array(-0.10511006), array(-0.4803219), array(0.20496183), array(-0.26856072), array(-0.27457986), array(-0.23108387), array(-0.45920322), array(-0.11438164), array(-0.54268811), array(-0.38783888), array(-0.38077326), array(-0.24442641), array(-0.41500785), array(-0.5253207), array(-0.49101061), array(-0.49490799), array(-0.47073884), array(-0.52169912), array(-0.52253054), array(-0.5292703), array(-0.52427996), array(-0.49574423), array(-0.5389392), array(-0.52614937), array(-0.50071739), array(-0.53770028), array(-0.50159344), array(-0.47501852), array(-0.55101704), array(-0.56091202)]","[0, 1, 1, 0, 1]",3.0905578201479007,"[0, 0, 1.0, 1.0, 0]",3.2770562504535663
uniform,COBYLA,vanilla,False,False,3,5,DF{,3.4314329624176025,37,"[array(0.59391733), array(0.03887165), array(-0.95561248), array(-0.5312208), array(-0.18547537), array(-0.9834992), array(-0.99743982), array(0.25026734), array(0.56680592), array(-0.99172858), array(-0.14200746), array(-0.91941502), array(-0.66713305), array(-0.82488662), array(-1.01079521), array(-0.63420461), array(-0.90255785), array(-0.97250428), array(-0.82426113), array(-0.99810494), array(-0.95260281), array(-1.05559272), array(-0.98589657), array(-0.98405459), array(-0.96470955), array(-1.03185325), array(-0.93116144), array(-1.034318), array(-0.97407106), array(-0.98872544), array(-0.99980899), array(-1.03082393), array(-1.02693947), array(-1.03133889), array(-0.98584221), array(-0.99399756), array(-0.99417563)]","[0, 0, 0, 1, 1]",3.6259733568120702,"[1.0, 1.0, 1.0, 0, 0]",3.6259733568120702
uniform,COBYLA,vanilla,False,False,3,5,DEw,3.149238348007202,44,"[array(0.35492614), array(-0.52005423), array(-0.0969819), array(0.21447059), array(-0.28544518), array(-0.37325355), array(-0.4288189), array(-0.22366683), array(0.09220238), array(-0.45488483), array(-0.79033327), array(-0.96383483), array(-0.93859574), array(-0.94444707), array(-0.95301357), array(-0.97797138), array(-1.10950964), array(-0.82632168), array(-1.11515085), array(-1.06740462), array(-1.07823322), array(-1.04915865), array(-1.07714046), array(-1.12222348), array(-0.96189989), array(-1.10622781), array(-1.15646597), array(-1.11787968), array(-1.18461371), array(-1.11192261), array(-1.11523796), array(-1.14199614), array(-1.12971336), array(-1.16327135), array(-1.11693258), array(-1.0834548), array(-1.11698416), array(-1.11107007), array(-1.16192294), array(-1.1505068), array(-1.11036795), array(-1.13521592), array(-1.14864798), array(-1.1130744)]","[0, 0, 1, 1, 1]",2.7845411227226546,"[1.0, 1.0, 1.0, 0, 0]",2.79081227951738
