param_str,final_params
"[3.25195182,1.5026902 ]","[3.25195182, 1.5026902]"
"[3.53066694,2.45901516]","[3.53066694, 2.45901516]"
"[3.14386695,1.67916588]","[3.14386695, 1.67916588]"
"[4.47438921,0.62194148,3.40813164,1.28879611,1.98555032,1.52159898,3.08174087,2.91871604,3.34901514,1.54508606,3.14919792,3.07833417,3.34240698,2.01445963]","[4.47438921, 0.62194148, 3.40813164, 1.28879611, 1.98555032, 1.52159898, 3.08174087, 2.91871604, 3.34901514, 1.54508606, 3.14919792, 3.07833417, 3.34240698, 2.01445963]"
"[3.53066695,2.45901515]","[3.53066695, 2.45901515]"
"[3.22080098,1.2282055,3.34441008,1.61232417,4.26945813,1.70434003,3.52358598,2.02751022]","[3.22080098, 1.2282055, 3.34441008, 1.61232417, 4.26945813, 1.70434003, 3.52358598, 2.02751022]"
"[3.90365869,3.37906457,3.39140983,1.53201374,3.02743873,1.71681323,3.33207372,1.61619438,3.25291077,1.63987446,3.08201103,1.07868619,2.42371257,1.08797665,2.61184071,1.50157316,2.61099595,2.36916601,3.19416943,1.21009316]","[3.90365869, 3.37906457, 3.39140983, 1.53201374, 3.02743873, 1.71681323, 3.33207372, 1.61619438, 3.25291077, 1.63987446, 3.08201103, 1.07868619, 2.42371257, 1.08797665, 2.61184071, 1.50157316, 2.61099595, 2.36916601, 3.19416943, 1.21009316]"
"[3.25195184,1.50269038]","[3.25195184, 1.50269038]"
"[4.26501331,1.38326999,3.06022473,1.26476711,3.0014083,1.63297868,2.80732726,1.76315684,3.68654508,1.87559913,3.22866361,1.5254409,2.82206747,0.43286159,3.69922598,1.95930555,3.09331602,1.13433658,2.90195861,2.8699843 ]","[4.26501331, 1.38326999, 3.06022473, 1.26476711, 3.0014083, 1.63297868, 2.80732726, 1.76315684, 3.68654508, 1.87559913, 3.22866361, 1.5254409, 2.82206747, 0.43286159, 3.69922598, 1.95930555, 3.09331602, 1.13433658, 2.90195861, 2.8699843]"
"[3.22821211,1.79330738,3.16509568,1.19054293,3.38361556,1.52764746,3.00455591,3.04164149,3.16855157,1.54754753,3.79995909,2.6710221,4.3532395,2.06503924,3.21211624,1.81509975,3.27718888,2.27152882,2.98067656,1.52468554]","[3.22821211, 1.79330738, 3.16509568, 1.19054293, 3.38361556, 1.52764746, 3.00455591, 3.04164149, 3.16855157, 1.54754753, 3.79995909, 2.6710221, 4.3532395, 2.06503924, 3.21211624, 1.81509975, 3.27718888, 2.27152882, 2.98067656, 1.52468554]"
"[3.53836789,1.55505592,3.36072472,1.60819967,3.40308552,1.01688974,3.23074106,2.4788904,3.03968732,2.67737534,3.83221821,1.50816586,2.87079633,1.69145338,3.12552557,1.61019088,3.29519109,1.4557174,2.60984583,1.79691626]","[3.53836789, 1.55505592, 3.36072472, 1.60819967, 3.40308552, 1.01688974, 3.23074106, 2.4788904, 3.03968732, 2.67737534, 3.83221821, 1.50816586, 2.87079633, 1.69145338, 3.12552557, 1.61019088, 3.29519109, 1.4557174, 2.60984583, 1.79691626]"
"[4.60998463e+00,1.39452170e+00,2.67863282e+00,1.28579699e+00,2.72222460e+00,1.57737364e+00,3.25582766e+00,3.05181382e-03,3.03274182e+00,3.01081271e+00,3.10555653e+00,2.96045175e+00,3.04971314e+00,2.60252186e+00]","[4.60998463, 1.3945217, 2.67863282, 1.28579699, 2.7222246, 1.57737364, 3.25582766, 0.00305181382, 3.03274182, 3.01081271, 3.10555653, 2.96045175, 3.04971314, 2.60252186]"
"[3.14266859,1.52991567]","[3.14266859, 1.52991567]"
"[2.67002012,2.69976359]","[2.67002012, 2.69976359]"
"[3.53066695,2.45901515]","[3.53066695, 2.45901515]"
"[4.29069851,1.3786615,3.10527115,1.47352513,3.23350727,1.57540399,3.2128774,1.05526044,3.20382852,1.77549396,4.39408911,1.60005167,3.52785378,1.6429396 ]","[4.29069851, 1.3786615, 3.10527115, 1.47352513, 3.23350727, 1.57540399, 3.2128774, 1.05526044, 3.20382852, 1.77549396, 4.39408911, 1.60005167, 3.52785378, 1.6429396]"
"[4.05063505,1.44728099,2.6496736,1.6159553,3.36514285,1.56131967,2.53587924,3.10605398,3.29078706,2.20283655,3.08801564,1.81606503,3.20908512,3.09237771]","[4.05063505, 1.44728099, 2.6496736, 1.6159553, 3.36514285, 1.56131967, 2.53587924, 3.10605398, 3.29078706, 2.20283655, 3.08801564, 1.81606503, 3.20908512, 3.09237771]"
"[3.53802533,1.41572679,3.71967575,1.31840834,3.39144377,1.63951485,4.58719205,1.43165037,3.20562051,1.49421006,3.24767676,3.07629514,3.16060117,1.75853665,3.5759786,1.08238721,2.85102698,1.08796903,4.04205354,1.7100888 ]","[3.53802533, 1.41572679, 3.71967575, 1.31840834, 3.39144377, 1.63951485, 4.58719205, 1.43165037, 3.20562051, 1.49421006, 3.24767676, 3.07629514, 3.16060117, 1.75853665, 3.5759786, 1.08238721, 2.85102698, 1.08796903, 4.04205354, 1.7100888]"
"[2.50802612,1.05155991,2.59824868,1.60901844,3.27277881,1.52153259,3.0297842,1.69732622]","[2.50802612, 1.05155991, 2.59824868, 1.60901844, 3.27277881, 1.52153259, 3.0297842, 1.69732622]"
"[3.12115571,1.65424544,3.51013574,1.73908116,2.66428953,1.70343352,2.66954741,1.64979229,2.72733974,1.61560717,4.50259667,1.83776484,3.28752365,1.86098923,3.17541711,1.31227956,3.15068551,0.96682007,3.12112909,1.70530701]","[3.12115571, 1.65424544, 3.51013574, 1.73908116, 2.66428953, 1.70343352, 2.66954741, 1.64979229, 2.72733974, 1.61560717, 4.50259667, 1.83776484, 3.28752365, 1.86098923, 3.17541711, 1.31227956, 3.15068551, 0.96682007, 3.12112909, 1.70530701]"
"[3.63071419,2.7475677 ]","[3.63071419, 2.7475677]"
"[3.53066694,2.45901513]","[3.53066694, 2.45901513]"
