,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,False,False,1,9,H?r@fR],5.337396860122681,19,"[array(-0.03133381), array(-0.3869192), array(-0.13683263), array(1.51263236), array(-0.79384222), array(1.67825387), array(-1.17900638), array(-1.1855921), array(-0.87719566), array(-0.69631444), array(-0.89717988), array(-1.13640179), array(-1.16443382), array(-1.11753759), array(-1.13017378), array(-1.2084911), array(-1.19389285), array(-1.18320945), array(-1.15853248)]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",7.253331946798217,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,gaussian,COBYLA,vanilla,False,False,1,9,HCQeLr~,6.704580545425415,23,"[array(-0.38668964), array(0.04159678), array(0.17096889), array(0.7654626), array(-0.85035836), array(0.30580078), array(0.12798372), array(-0.20666509), array(-0.33528064), array(-0.8066798), array(-1.17514456), array(-1.18812917), array(-1.04706086), array(-1.37255861), array(-1.38211086), array(-1.26524624), array(-1.36549236), array(-1.39490321), array(-1.27950196), array(-1.47863991), array(-1.40538297), array(-1.39054464), array(-1.42333244)]","[1, 0, 1, 1, 1, 0, 1, 0, 0]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,gaussian,COBYLA,vanilla,False,False,1,9,H?qlvNx,6.783762216567993,23,"[array(0.13607813), array(-0.3059498), array(-0.29665361), array(0.30537053), array(-0.02957007), array(0.12858301), array(-0.38386824), array(-0.45239498), array(-0.95926422), array(-1.42317987), array(-1.47648825), array(-1.31235846), array(-0.13729466), array(-0.99710221), array(-1.48306076), array(-1.53889679), array(-1.68003566), array(-1.47889877), array(-1.63726806), array(-1.59844705), array(-1.53787152), array(-1.62859135), array(-1.57524432)]","[0, 0, 1, 1, 1, 0, 0, 1, 0]",10.185457194060403,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,gaussian,COBYLA,vanilla,False,False,1,9,HCQbQuv,6.00597620010376,21,"[array(-0.22209814), array(-0.1150203), array(-0.15728194), array(1.72815121), array(-0.75238877), array(1.83630881), array(-1.19664646), array(-1.03471076), array(-0.18196853), array(-1.18626551), array(-1.17286175), array(-1.09284944), array(-1.11530652), array(-1.16019498), array(-1.22505758), array(-1.23416386), array(-1.22881363), array(-1.27106618), array(-1.21091243), array(-1.16385013), array(-1.25443766)]","[0, 0, 0, 1, 1, 0, 1, 0, 1]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,gaussian,COBYLA,vanilla,False,False,1,9,HCrfZzf,6.037331581115723,20,"[array(0.09780611), array(-0.32283273), array(-0.13279125), array(2.10546321), array(-0.54917919), array(2.11502032), array(-1.01883478), array(-0.65031565), array(0.36656535), array(-0.96127715), array(-1.01635761), array(-0.74932073), array(-1.14380762), array(-1.13654923), array(-1.17768829), array(-1.12568702), array(-1.0390714), array(-1.14696937), array(-1.11223781), array(-1.07170482)]","[1, 1, 1, 0, 0, 0, 0, 1, 0]",7.801603853304203,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,gaussian,COBYLA,vanilla,False,False,1,9,H?qbDo~,6.367230176925659,23,"[array(0.86220838), array(-0.82045114), array(-0.03623082), array(1.66306277), array(0.52980815), array(-0.55423219), array(-0.67881141), array(-0.8584689), array(-0.93437574), array(-0.92885888), array(-0.68496236), array(-0.96871717), array(-1.05307744), array(-1.08057062), array(-1.00282733), array(-1.06512353), array(-1.11586351), array(-1.06512551), array(-1.012248), array(-1.04795684), array(-1.09670546), array(-1.0583942), array(-1.08858424)]","[0, 0, 0, 0, 1, 1, 1, 1, 0]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,gaussian,COBYLA,vanilla,False,False,1,9,H?`cnd},5.763401985168457,20,"[array(0.43309587), array(-0.42411235), array(-0.37344154), array(1.04498751), array(0.14746275), array(0.04759354), array(-0.63646204), array(-0.8877844), array(-1.09227104), array(-0.65316486), array(-1.09197222), array(-1.17591125), array(-1.14910205), array(-1.02989605), array(-1.16486595), array(-1.09923776), array(-1.19039424), array(-1.13114283), array(-1.12362027), array(-1.16554824)]","[0, 1, 1, 1, 1, 0, 1, 0, 0]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,gaussian,COBYLA,vanilla,False,False,1,9,H?`cv`z,6.785951375961304,24,"[array(-0.44420398), array(-0.01970187), array(0.06118905), array(0.7316138), array(-0.90604311), array(0.12648636), array(0.01753453), array(0.09628976), array(-0.34442142), array(-0.95676402), array(-1.07874828), array(-1.12640048), array(-0.91205317), array(-1.1640844), array(-1.11345503), array(-1.08871959), array(-1.21933568), array(-1.22619246), array(-1.13868077), array(-1.22170266), array(-1.19294235), array(-1.20309192), array(-1.24895337), array(-1.16477549)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,gaussian,COBYLA,vanilla,False,False,1,9,H?bFUi~,5.945828199386597,20,"[array(-0.37469562), array(-0.362548), array(-0.02660909), array(-0.61169752), array(0.85502422), array(0.03507935), array(-1.27883229), array(0.69056887), array(-0.76546371), array(-1.34379124), array(-1.51257733), array(-1.55155651), array(-1.44028323), array(-1.21079116), array(-1.32817525), array(-1.47779048), array(-1.54020974), array(-1.50933847), array(-1.5451409), array(-1.53435404)]","[0, 1, 1, 1, 1, 1, 0, 0, 0]",7.764171831922256,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,gaussian,COBYLA,vanilla,False,False,1,9,HCQTefs,5.538935422897339,20,"[array(-0.65566239), array(0.05495794), array(-0.17638173), array(1.55345225), array(-0.67052545), array(-1.20034285), array(-1.26387652), array(-1.0254943), array(-0.48843316), array(-1.22581559), array(-1.14136128), array(-1.27854563), array(-1.30727594), array(-1.29123275), array(-1.30848667), array(-1.3132565), array(-1.24349494), array(-1.31811823), array(-1.22158687), array(-1.23315727)]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
