,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,False,False,3,9,H?r@fR],15.183806419372559,43,"[array(-0.64867594), array(0.86999011), array(0.14774389), array(-0.35426908), array(-0.28512231), array(-0.5660753), array(-0.55346176), array(1.1553316), array(0.4530493), array(-0.52919184), array(-0.49921929), array(-0.53197504), array(-0.67495527), array(-0.48873806), array(-0.72540749), array(-0.57199082), array(-0.75860242), array(-0.93171713), array(-1.01209778), array(-0.78229743), array(-1.14375102), array(-1.04430835), array(-1.15563266), array(-1.17354291), array(-0.99369688), array(-1.20825717), array(-1.31441816), array(-1.20494061), array(-1.24694521), array(-1.19127484), array(-1.23978676), array(-1.11890744), array(-1.24574515), array(-1.17473307), array(-1.17778336), array(-1.1626456), array(-1.21619841), array(-1.25499637), array(-1.26175284), array(-1.21733571), array(-1.17010601), array(-1.17316806), array(-1.21586186)]","[0, 0, 0, 1, 0, 1, 0, 1, 1]",6.971914601189573,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,gaussian,COBYLA,vanilla,False,False,3,9,HCQeLr~,15.22638988494873,41,"[array(-0.49342075), array(-0.22612461), array(-0.13964158), array(-0.15763224), array(0.11892758), array(-0.55323806), array(-0.5381358), array(-0.80109126), array(0.31405142), array(-0.08919644), array(-0.46943424), array(-0.04002097), array(-0.80098566), array(0.00739405), array(-0.81564617), array(0.09672453), array(-1.05539098), array(-0.77016543), array(-0.82393053), array(-0.71161587), array(-0.79421248), array(-1.33382784), array(-1.47943415), array(-1.53001909), array(-0.92935069), array(-1.39602112), array(-1.48973115), array(-1.24137393), array(-1.46575857), array(-1.34648279), array(-1.34207622), array(-1.45854015), array(-1.41200085), array(-1.42576753), array(-1.44185467), array(-1.47937611), array(-1.47742782), array(-1.45168879), array(-1.39103732), array(-1.38256602), array(-1.41724772)]","[0, 1, 0, 0, 0, 1, 0, 1, 1]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,gaussian,COBYLA,vanilla,False,False,3,9,H?qlvNx,12.902940034866333,34,"[array(-0.21129743), array(-0.10135045), array(0.09173778), array(-0.28088271), array(-0.09231739), array(-0.05183578), array(-0.05120919), array(-0.05126326), array(0.1011114), array(0.02248945), array(-0.45062047), array(-0.40967794), array(-0.31834944), array(-0.43881785), array(-0.18338745), array(-0.43408421), array(-0.24521256), array(-0.39197925), array(-0.32474722), array(-0.38676359), array(-0.39478645), array(-0.48709854), array(-0.35721193), array(-0.41562766), array(-0.42271311), array(-0.34515437), array(-0.42834819), array(-0.38469856), array(-0.40207385), array(-0.38646982), array(-0.30794594), array(-0.40605575), array(-0.28731313), array(-0.39990738)]","[1, 0, 0, 0, 0, 0, 1, 0, 1]",7.772924301698909,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,gaussian,COBYLA,vanilla,False,False,3,9,HCQbQuv,13.86324954032898,38,"[array(-0.02062022), array(-0.70686708), array(-0.55112414), array(-0.02890091), array(-0.22219637), array(-0.28159524), array(-0.24692386), array(0.08970081), array(-0.26877694), array(-0.28341084), array(-0.4654437), array(-0.77780758), array(-0.70156342), array(-0.79260787), array(-0.75013201), array(-0.74388795), array(-0.56446698), array(-0.65340509), array(-0.81330599), array(-0.64260683), array(-0.74872428), array(-0.76980024), array(-0.78838673), array(-0.75397239), array(-0.72322774), array(-0.73135097), array(-0.80478284), array(-0.74110437), array(-0.83553483), array(-0.79411154), array(-0.74715711), array(-0.79563359), array(-0.73388956), array(-0.80120879), array(-0.67822876), array(-0.77638442), array(-0.85138964), array(-0.81239698)]","[1, 1, 1, 0, 0, 1, 0, 1, 0]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,gaussian,COBYLA,vanilla,False,False,3,9,HCrfZzf,27.817036867141724,49,"[array(-0.30676449), array(1.10363199), array(0.07457703), array(-0.06953142), array(-0.0078329), array(-0.29084815), array(-0.30938069), array(0.3704337), array(-0.46951377), array(0.63659975), array(-0.20238861), array(-0.23049714), array(-0.46193157), array(-0.38817168), array(-0.42997472), array(-0.00444001), array(-0.02505718), array(-0.77554492), array(-0.81828265), array(-0.6009688), array(-0.77794638), array(-0.7292767), array(-0.80653802), array(-0.8467658), array(-0.86194151), array(-0.90312147), array(-0.72896124), array(-0.81431142), array(-0.7040308), array(-0.8940589), array(-0.95979774), array(-0.90622256), array(-0.89856437), array(-0.99082212), array(-0.97596575), array(-0.96789311), array(-0.9640152), array(-0.96889727), array(-0.91223174), array(-0.96907047), array(-0.94029837), array(-0.94984196), array(-0.94668903), array(-0.9286032), array(-0.97209853), array(-0.97953331), array(-0.89911202), array(-0.96296102), array(-0.95359523)]","[0, 0, 1, 1, 1, 1, 0, 0, 1]",7.923248304388885,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,gaussian,COBYLA,vanilla,False,False,3,9,H?qbDo~,13.885031938552856,38,"[array(0.13094099), array(-0.61488482), array(-0.10615357), array(-0.02852848), array(-0.05576727), array(-0.4282758), array(-0.59158225), array(0.08675464), array(-0.69514644), array(0.01596586), array(-0.91669783), array(0.25140869), array(-0.9988731), array(-0.26072693), array(-0.94240357), array(-0.59176527), array(-0.60433485), array(-0.37887808), array(-1.14779101), array(-1.04513045), array(-1.21101035), array(-0.96687811), array(-1.20065381), array(-1.04261646), array(-1.13406865), array(-1.10094685), array(-1.16539502), array(-1.17201946), array(-1.15091821), array(-1.15941984), array(-1.20014641), array(-1.18767809), array(-1.13562408), array(-1.18562815), array(-1.13032393), array(-1.18637989), array(-1.11830989), array(-1.16698057)]","[0, 0, 0, 0, 1, 1, 1, 1, 0]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,gaussian,COBYLA,vanilla,False,False,3,9,H?`cnd},13.384077310562134,37,"[array(-0.37229128), array(-0.25659618), array(0.4868447), array(-0.351009), array(-0.09630573), array(-0.23622655), array(-0.58379515), array(0.01699419), array(-0.3781593), array(-0.7640044), array(-0.40843205), array(-0.5788867), array(-0.42095696), array(-0.50419788), array(-0.7123624), array(-0.61043376), array(-0.60263884), array(-0.68547243), array(-0.67286497), array(-0.78331123), array(-0.79460444), array(-0.7375404), array(-0.7373356), array(-0.72450122), array(-0.77172669), array(-0.77466941), array(-0.75365944), array(-0.7120536), array(-0.7155252), array(-0.81954515), array(-0.79115177), array(-0.74741068), array(-0.77437833), array(-0.73588595), array(-0.76993069), array(-0.77380741), array(-0.76247387)]","[1, 0, 0, 0, 0, 1, 0, 1, 1]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,gaussian,COBYLA,vanilla,False,False,3,9,H?`cv`z,30.505479097366333,57,"[array(0.62751781), array(-0.53988856), array(-0.3379439), array(-0.09695112), array(0.00168996), array(-0.59450281), array(-0.53127819), array(0.49466918), array(0.06547431), array(-0.4331587), array(-0.39393722), array(-0.23304368), array(-0.28075386), array(-0.63588741), array(-0.67837618), array(-0.58063234), array(-0.71312285), array(-0.62772499), array(-0.81949885), array(-0.86749506), array(-0.92496016), array(-0.89627312), array(-0.77644691), array(-1.03797598), array(-1.16117162), array(-0.73018217), array(-0.93168585), array(-0.78980679), array(-1.05386995), array(-0.92027892), array(-1.15360842), array(-1.09877174), array(-1.17774321), array(-1.14343859), array(-1.16599324), array(-1.157632), array(-1.11361345), array(-1.18718361), array(-1.21205737), array(-1.14978755), array(-1.20655102), array(-1.16515819), array(-1.20602612), array(-1.15453806), array(-1.23566583), array(-1.25328085), array(-1.1867747), array(-1.23676767), array(-1.21238699), array(-1.12998506), array(-1.24088026), array(-1.19861453), array(-1.1902468), array(-1.26669964), array(-1.20807992), array(-1.21156661), array(-1.18264386)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,gaussian,COBYLA,vanilla,False,False,3,9,H?bFUi~,14.21694827079773,38,"[array(0.90843483), array(-0.65716867), array(-0.12240262), array(-0.85181488), array(-0.39751), array(-0.907441), array(-0.67816991), array(0.42279107), array(0.73552525), array(-1.12989084), array(-0.69744446), array(-0.69458476), array(-0.93008979), array(-1.10225053), array(-0.18057841), array(-1.09014914), array(-0.9080891), array(-1.27241334), array(-1.25552219), array(-1.25863715), array(-1.13144918), array(-1.18229883), array(-1.22341085), array(-1.19456458), array(-1.25028358), array(-1.23115696), array(-1.23307902), array(-1.2360532), array(-1.23456578), array(-1.24162493), array(-1.26524153), array(-1.29655604), array(-1.2978845), array(-1.32273911), array(-1.25383755), array(-1.27130461), array(-1.19827005), array(-1.31105334)]","[1, 1, 0, 1, 0, 0, 1, 0, 1]",6.860374242310318,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,gaussian,COBYLA,vanilla,False,False,3,9,HCQTefs,14.579502582550049,42,"[array(0.3336064), array(-0.66406537), array(-0.0504868), array(-0.01956818), array(-0.28624291), array(-0.35579717), array(-0.40525393), array(0.11337744), array(-0.1049215), array(-0.2205938), array(-0.61032589), array(-0.70288909), array(-0.61117724), array(-0.58334569), array(-0.6555842), array(-0.76198593), array(-0.83149137), array(-0.89685084), array(-0.84966081), array(-0.84763243), array(-0.94138761), array(-0.96689276), array(-1.05259552), array(-0.85964063), array(-1.17459296), array(-1.28511802), array(-1.27112324), array(-1.07076919), array(-1.16540156), array(-1.27601465), array(-1.23709329), array(-1.23995523), array(-1.17244887), array(-1.21893124), array(-1.21860206), array(-1.22287446), array(-1.21969045), array(-1.28248975), array(-1.18794931), array(-1.24490497), array(-1.26972817), array(-1.2414834)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
