,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,False,False,1,7,F?~vw,2.1944656372070312,21,"[array(0.02238113), array(-0.41413792), array(-0.16480723), array(1.2595957), array(-0.58415606), array(1.12493821), array(0.33562807), array(-0.83257205), array(-0.99902726), array(-0.81750073), array(-0.71311541), array(-0.72015313), array(-1.08976642), array(-1.0219139), array(-1.0781341), array(-1.09530654), array(-1.0244932), array(-1.09807661), array(-1.04143038), array(-1.05242025), array(-1.07753498)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,gaussian,COBYLA,vanilla,False,False,3,7,F?~vw,4.920433282852173,37,"[array(0.04993715), array(-0.21622021), array(-0.0943162), array(-0.10160335), array(-0.40179791), array(-0.04243237), array(-0.10172333), array(0.14422262), array(0.0112168), array(-0.36567313), array(-0.25346289), array(-0.12374028), array(-0.29363872), array(-0.33017418), array(-0.38433556), array(-0.36318403), array(-0.37481314), array(-0.32698164), array(-0.39884649), array(-0.39445601), array(-0.44009299), array(-0.4524416), array(-0.32821527), array(-0.37964764), array(-0.43135512), array(-0.44637394), array(-0.4683638), array(-0.45942011), array(-0.46012364), array(-0.30117635), array(-0.38136082), array(-0.34605224), array(-0.34513791), array(-0.40810485), array(-0.36532908), array(-0.39839834), array(-0.36864617)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,vanilla,False,False,5,7,F?~vw,12.300284624099731,76,"[array(0.25554782), array(-0.50344412), array(-0.11194588), array(0.02268141), array(0.13322857), array(-0.25204469), array(-0.25008018), array(-0.27179112), array(-0.58773285), array(-0.61664673), array(-0.59573145), array(-0.28191359), array(0.1452018), array(-0.35313525), array(-0.91562701), array(-0.29766953), array(-0.63867197), array(-0.41785203), array(-0.80890677), array(-0.86067528), array(-0.78365337), array(-0.07141517), array(-0.91997743), array(-0.06593903), array(-0.46690957), array(-0.58794691), array(-0.71575295), array(-0.9114931), array(-0.90136387), array(-0.7662285), array(-0.94699254), array(-0.9350053), array(-0.94551444), array(-0.92716401), array(-0.96414083), array(-0.78159371), array(-1.00998557), array(-0.91456625), array(-0.9789019), array(-0.95262312), array(-0.99081557), array(-0.81192214), array(-0.99352299), array(-0.84932654), array(-0.91766709), array(-0.904435), array(-0.96629293), array(-1.02717777), array(-0.9855805), array(-0.89921566), array(-1.01223473), array(-0.97134559), array(-0.94773431), array(-0.9770583), array(-1.01714131), array(-0.99208435), array(-0.97240791), array(-0.95795322), array(-1.0788651), array(-0.96226753), array(-0.96428578), array(-0.99986759), array(-1.08814986), array(-0.96828147), array(-0.91141014), array(-0.94236487), array(-1.02136854), array(-1.00625759), array(-1.00013436), array(-0.95259871), array(-0.97516285), array(-0.99558155), array(-0.96916373), array(-0.89737905), array(-0.94995709), array(-0.98824509)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,gaussian,COBYLA,vanilla,False,False,1,7,F?~vw,1.720003604888916,16,"[array(0.81324495), array(-0.8733621), array(-0.34069909), array(1.36190286), array(0.59508566), array(-0.30902933), array(-0.77118056), array(-0.77075099), array(-0.82983306), array(-0.82155258), array(-0.963242), array(-0.92279753), array(-0.95013076), array(-0.87374692), array(-0.89811906), array(-0.89943349)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,gaussian,COBYLA,vanilla,False,False,3,7,F?~vw,4.776921510696411,36,"[array(-0.61721887), array(0.21300061), array(0.0418976), array(0.29378541), array(0.05708381), array(-0.4072709), array(-0.3531547), array(-0.07537464), array(-0.02498599), array(0.11906212), array(-0.46588345), array(-0.80139659), array(-0.62856945), array(-0.87172575), array(-0.88393656), array(-0.7486681), array(-0.65977831), array(-0.79659466), array(-0.88062473), array(-0.88672942), array(-0.74502272), array(-0.76368883), array(-0.75948034), array(-0.80701173), array(-0.70326474), array(-0.80893386), array(-0.74606747), array(-0.83234867), array(-0.8167691), array(-0.79652835), array(-0.78299581), array(-0.76860642), array(-0.79849399), array(-0.74625059), array(-0.77105087), array(-0.77789893)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,gaussian,COBYLA,vanilla,False,False,5,7,F?~vw,10.881599426269531,69,"[array(-0.05154853), array(0.36495153), array(-0.13412468), array(0.07287511), array(-0.00530491), array(0.26288157), array(0.39071664), array(0.32633846), array(0.05731825), array(-0.09867382), array(-0.16073914), array(-0.29434682), array(-0.08527088), array(0.06811889), array(-0.09237277), array(-0.27190033), array(-0.24278283), array(-0.44591957), array(-0.42962882), array(-0.36897019), array(0.05018491), array(-0.36247025), array(-0.10439625), array(-0.16463395), array(-0.51297175), array(-0.29365148), array(-0.60909956), array(-0.20281237), array(-0.50079647), array(-0.44437782), array(-0.53904704), array(-0.44172486), array(-0.46353066), array(-0.4169294), array(-0.56070404), array(-0.69767717), array(-0.59585013), array(-0.53004419), array(-0.69942925), array(-0.58649361), array(-0.66074536), array(-0.63816206), array(-0.65686617), array(-0.60304493), array(-0.62437722), array(-0.69610383), array(-0.70153065), array(-0.7152981), array(-0.67483367), array(-0.68054072), array(-0.68945129), array(-0.67628821), array(-0.55585091), array(-0.61445678), array(-0.70906063), array(-0.56676687), array(-0.62982091), array(-0.66980292), array(-0.70067905), array(-0.58998744), array(-0.70680032), array(-0.64809242), array(-0.59274865), array(-0.62924012), array(-0.58144096), array(-0.61081774), array(-0.6648308), array(-0.60656608), array(-0.61439718)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,vanilla,False,False,1,7,F?~vw,1.6958725452423096,17,"[array(-0.73626041), array(0.4060698), array(-0.21412274), array(1.64469524), array(-0.03539025), array(0.10301443), array(-0.58779199), array(-0.84314499), array(-0.81847856), array(-0.71542686), array(-0.7902997), array(-0.82738366), array(-0.75369359), array(-0.85201203), array(-0.8714171), array(-0.81905748), array(-0.84621506)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,gaussian,COBYLA,vanilla,False,False,3,7,F?~vw,5.568089008331299,43,"[array(0.21874569), array(-0.11255154), array(-0.16335194), array(0.43547747), array(0.13697788), array(0.08209917), array(-0.07465862), array(0.10129492), array(-0.01261178), array(0.17973514), array(-0.01357571), array(-0.54909755), array(-0.40643139), array(-0.35730754), array(-0.45572233), array(-0.37281473), array(-0.53224784), array(-0.62558913), array(-0.56310526), array(-0.59872348), array(-0.52767359), array(-0.7560686), array(-0.66894663), array(-0.79357949), array(-0.68599853), array(-0.6775916), array(-0.7104598), array(-0.68489853), array(-0.8400658), array(-0.86078567), array(-0.7835142), array(-0.69076994), array(-0.71175208), array(-0.79102668), array(-0.81226644), array(-0.73424839), array(-0.7499526), array(-0.74621569), array(-0.78554416), array(-0.70212585), array(-0.73235725), array(-0.74027259), array(-0.73800555)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,gaussian,COBYLA,vanilla,False,False,5,7,F?~vw,9.766331434249878,61,"[array(-0.63107354), array(-0.18141707), array(-0.51178756), array(-0.0111225), array(-0.1346352), array(0.01143565), array(-0.01837079), array(-0.287709), array(-0.50347321), array(-0.45294843), array(-0.71825522), array(0.1415032), array(0.45142771), array(-0.39367199), array(-0.16538459), array(-0.44144098), array(-0.4648849), array(-0.68674374), array(-0.25647098), array(-0.6811088), array(-0.34932918), array(-0.60584543), array(0.03229859), array(-0.29988205), array(-0.7645441), array(-0.50619095), array(-0.84108056), array(-0.74551946), array(-0.61966852), array(-0.64495749), array(-0.73885649), array(-0.61479284), array(-0.78463179), array(-0.73113666), array(-0.75341683), array(-0.81588961), array(-0.76739356), array(-0.73211367), array(-0.79408348), array(-0.79185397), array(-0.91883227), array(-0.75731918), array(-0.76464392), array(-0.74570767), array(-0.79150122), array(-0.85475674), array(-0.76229179), array(-0.88548107), array(-0.7673251), array(-0.82019271), array(-0.86145279), array(-0.76576568), array(-0.81007634), array(-0.75645756), array(-0.84641077), array(-0.82138495), array(-0.77823768), array(-0.78163935), array(-0.76628421), array(-0.81001905), array(-0.71292727)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,gaussian,COBYLA,vanilla,False,False,1,7,F?~vw,2.1148135662078857,20,"[array(0.02688398), array(-0.38607428), array(-0.0966466), array(0.93429156), array(-0.37929279), array(-0.00809472), array(-0.28068753), array(-0.22288619), array(-0.23152515), array(-0.4030046), array(-0.52743125), array(-0.49526743), array(-0.52217151), array(-0.48058125), array(-0.57073653), array(-0.49756352), array(-0.43476359), array(-0.46295563), array(-0.56820542), array(-0.43555204)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
