param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
uniform,COBYLA,vanilla,False,True,1,9,H?r@fR],106.49397897720337,17,"[array(1.52936593), array(-1.07804303), array(-0.58520526), array(0.61800147), array(1.14374456), array(-0.9165168), array(-1.27980911), array(-0.97177084), array(-1.20319001), array(-1.16513646), array(-1.28332204), array(-1.18866805), array(-1.23776603), array(-1.14122072), array(-1.19508455), array(-1.15602804), array(-1.13257794)]","[0, 0, 1, 1, 0, 1, 0, 1, 1]",7.291572586098402,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
uniform,COBYLA,vanilla,False,True,1,9,HCQeLr~,143.16085052490234,20,"[array(-0.26869819), array(-0.00772901), array(-0.9368506), array(-0.14080259), array(1.38885467), array(-1.28735101), array(-0.75035872), array(-1.27995844), array(-1.3786429), array(-1.06673382), array(-1.32289423), array(-1.32425961), array(-1.39094448), array(-1.39161976), array(-1.37769113), array(-1.37332376), array(-1.44575091), array(-1.39783045), array(-1.32432606), array(-1.4263067)]","[1, 0, 1, 1, 1, 0, 1, 0, 0]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
uniform,COBYLA,vanilla,False,True,1,9,H?qlvNx,124.83523797988892,18,"[array(0.44894945), array(-0.02076577), array(-0.03604418), array(0.26769045), array(0.24111148), array(-0.17307897), array(-0.13545984), array(-0.14807509), array(-0.14586545), array(-0.07798374), array(-0.09757212), array(-0.23994), array(-0.18325737), array(-0.13556602), array(-0.20549976), array(-0.19536855), array(-0.18060276), array(-0.17707524)]","[0, 1, 1, 1, 1, 1, 0, 0, 1]",5.938937028086119,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
uniform,COBYLA,vanilla,False,True,1,9,HCQbQuv,99.71381855010986,16,"[array(0.9702372), array(-0.93037908), array(-0.53216782), array(1.6193121), array(0.59791695), array(-0.05349823), array(-0.7980762), array(-0.99676758), array(-0.86908022), array(-0.77517558), array(-0.92745921), array(-0.85033422), array(-0.949198), array(-0.94529635), array(-0.8851108), array(-0.9003044)]","[1, 1, 1, 0, 0, 1, 0, 1, 0]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
uniform,COBYLA,vanilla,False,True,1,9,HCrfZzf,96.71998929977417,15,"[array(0.04994344), array(0.03276172), array(3.51222527e-05), array(0.06294847), array(0.03532653), array(0.00041765), array(0.02491531), array(0.0391046), array(0.07382938), array(-0.01767561), array(0.06377083), array(0.0462815), array(0.00749172), array(0.01237617), array(0.00578333)]","[0, 1, 0, 0, 1, 0, 0, 1, 0]",4.217687489346539,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
uniform,COBYLA,vanilla,False,True,1,9,H?qbDo~,125.44148755073547,20,"[array(-0.69133202), array(-0.03507768), array(-0.44503717), array(0.7909215), array(-0.50452421), array(0.39195376), array(-1.01695061), array(-1.13320057), array(-0.82691394), array(-1.096092), array(-1.20641416), array(-1.26733796), array(-1.2474861), array(-1.2687832), array(-1.12791474), array(-1.23684331), array(-1.25562405), array(-1.24069853), array(-1.22690544), array(-1.25354405)]","[0, 0, 0, 0, 1, 1, 1, 1, 0]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
uniform,COBYLA,vanilla,False,True,1,9,H?`cnd},132.2692334651947,20,"[array(0.20517152), array(-0.34637197), array(-0.37921063), array(0.30341586), array(0.22483577), array(-0.29596066), array(-0.35380556), array(-0.12445719), array(-0.37779635), array(-0.33131553), array(-0.35878606), array(-0.33525697), array(-0.36119519), array(-0.40637282), array(-0.40771664), array(-0.40181333), array(-0.32595176), array(-0.36180126), array(-0.401195), array(-0.38537196)]","[1, 0, 1, 1, 0, 0, 0, 1, 0]",4.821881199427523,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
uniform,COBYLA,vanilla,False,True,1,9,H?`cv`z,134.2859127521515,22,"[array(-0.36822887), array(0.72866949), array(-0.42942864), array(-0.0532939), array(-0.42482516), array(-0.15037056), array(-0.69909518), array(-0.86368218), array(-0.69677804), array(-1.0198243), array(-0.36210057), array(-1.05145954), array(-0.82525589), array(-1.16939794), array(-1.08901832), array(-1.11123183), array(-1.16606064), array(-1.13670209), array(-1.11126722), array(-1.12809777), array(-1.08798857), array(-1.10084442)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
uniform,COBYLA,vanilla,False,True,1,9,H?bFUi~,103.64742803573608,17,"[array(-0.1495785), array(-0.3572661), array(-0.37044607), array(-0.22048098), array(-0.32080705), array(-0.12486173), array(-0.32504152), array(-0.34560371), array(-0.4139407), array(-0.45095234), array(-0.31212881), array(-0.37688706), array(-0.34508667), array(-0.41187465), array(-0.33533676), array(-0.36024784), array(-0.32513573)]","[1, 0, 0, 0, 1, 0, 1, 1, 1]",6.16787713808158,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
uniform,COBYLA,vanilla,False,True,1,9,HCQTefs,111.4767656326294,18,"[array(-0.17985825), array(0.37526919), array(-0.25013978), array(-0.09365996), array(-0.35290754), array(0.44528453), array(-0.41505757), array(-0.03879827), array(-0.16205671), array(-0.40633097), array(-0.39718203), array(-0.40357187), array(-0.41428878), array(-0.45267169), array(-0.42699582), array(-0.4140087), array(-0.34040529), array(-0.43856262)]","[1, 0, 0, 0, 1, 1, 0, 0, 1]",4.32413204973759,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
