,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,COBYLA,vanilla,True,False,1,9,H?r@fR],5.627686262130737,19,"[array(0.49344082), array(0.16262968), array(0.25241817), array(-0.53930129), array(0.69610821), array(-0.83599865), array(0.02720089), array(-1.2828008), array(-1.08415617), array(-0.9676376), array(-1.38692023), array(-1.33411838), array(-1.32564946), array(-1.29789341), array(-1.37199565), array(-1.30413225), array(-1.34161394), array(-1.35186177), array(-1.36849997)]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",7.253331946798217,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,uniform,COBYLA,vanilla,True,False,1,9,HCQeLr~,6.477613925933838,21,"[array(-0.07305329), array(-0.14587766), array(0.06067049), array(0.37665355), array(-0.13432589), array(-0.20749179), array(-0.34010257), array(-0.44376878), array(-0.22922061), array(-0.72039002), array(-1.13289012), array(-1.41816489), array(-1.57811109), array(-1.41264476), array(-1.50946428), array(-1.53435152), array(-1.43728205), array(-1.55630163), array(-1.5718913), array(-1.46705909), array(-1.56122021)]","[0, 1, 0, 0, 0, 1, 0, 1, 1]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,uniform,COBYLA,vanilla,True,False,1,9,H?qlvNx,5.770405292510986,18,"[array(0.11333514), array(-0.21769157), array(-0.18871846), array(-0.02938412), array(-0.21438119), array(-0.18244396), array(-0.21691177), array(-0.25636026), array(-0.11036364), array(-0.09683662), array(-0.24199101), array(-0.19093874), array(-0.19523608), array(-0.17669246), array(-0.18203509), array(-0.16428594), array(-0.29027851), array(-0.20406183)]","[0, 1, 1, 0, 1, 0, 1, 1, 1]",4.764328352500795,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,uniform,COBYLA,vanilla,True,False,1,9,HCQbQuv,5.746336221694946,19,"[array(0.18405781), array(0.03696512), array(-0.22073297), array(-0.56504715), array(0.06028633), array(-0.64088633), array(-0.65361608), array(-0.3749099), array(-0.66851779), array(-0.64329841), array(-0.63358904), array(-0.69573072), array(-0.6172012), array(-0.71698342), array(-0.65542857), array(-0.62988931), array(-0.67844287), array(-0.68078892), array(-0.68615477)]","[0, 1, 0, 1, 0, 0, 0, 1, 1]",6.408229360153427,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,uniform,COBYLA,vanilla,True,False,1,9,HCrfZzf,8.487793922424316,25,"[array(0.32787936), array(1.06894357), array(0.10246002), array(0.12849309), array(0.22488666), array(0.06304127), array(-0.0665596), array(-0.1147529), array(-0.12522072), array(-0.24682291), array(-0.38405565), array(-0.54592075), array(-0.65856811), array(-0.58100428), array(-0.95832008), array(-0.82388483), array(-1.01907854), array(-0.84384965), array(-1.01179647), array(-0.92014967), array(-0.99731632), array(-0.98252838), array(-0.93207848), array(-0.95508966), array(-0.94117217)]","[0, 0, 0, 0, 0, 0, 1, 1, 1]",7.6801757424559725,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,uniform,COBYLA,vanilla,True,False,1,9,H?qbDo~,6.681791543960571,22,"[array(-0.34893048), array(0.85723642), array(-0.40699809), array(-0.66067122), array(1.22249814), array(0.53438375), array(-0.60788169), array(-1.26799024), array(-0.59504895), array(-1.05343965), array(-1.28078486), array(-1.10082699), array(-1.34284798), array(-1.3078033), array(-1.29841417), array(-1.26453098), array(-1.23047487), array(-1.32016517), array(-1.38491263), array(-1.2692686), array(-1.30105698), array(-1.35484837)]","[0, 0, 0, 0, 1, 1, 1, 1, 0]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,uniform,COBYLA,vanilla,True,False,1,9,H?`cnd},5.763718366622925,19,"[array(-0.30096496), array(0.73469032), array(-0.35076428), array(-0.13924868), array(0.02926695), array(-0.44439734), array(-0.21766805), array(-0.49474729), array(-0.48172127), array(-0.47960566), array(-0.52937868), array(-0.4786433), array(-0.45716309), array(-0.53032438), array(-0.46476968), array(-0.46194474), array(-0.47327808), array(-0.44547379), array(-0.4354249)]","[1, 0, 1, 0, 0, 0, 1, 1, 0]",4.968439812011311,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,uniform,COBYLA,vanilla,True,False,1,9,H?`cv`z,5.636045932769775,19,"[array(0.44076568), array(-1.12188758), array(-0.27059785), array(0.87190154), array(-0.28425831), array(-1.1861347), array(-0.99852406), array(-1.20065857), array(-1.08552789), array(-1.20498706), array(-1.23253542), array(-1.23055619), array(-1.25369199), array(-1.18543138), array(-1.27594524), array(-1.205799), array(-1.21401181), array(-1.23819083), array(-1.18582448)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,uniform,COBYLA,vanilla,True,False,1,9,H?bFUi~,6.009074687957764,20,"[array(-0.1173139), array(-0.24962324), array(0.33020919), array(-0.70117028), array(-0.42062032), array(-0.79866901), array(0.95423021), array(-1.50607185), array(-0.77713935), array(-1.35895608), array(-1.48169515), array(-1.27769269), array(-1.3979934), array(-1.45249182), array(-1.50617746), array(-1.54510836), array(-1.44978327), array(-1.41106732), array(-1.51023616), array(-1.50170418)]","[0, 1, 1, 1, 1, 1, 0, 0, 0]",7.764171831922256,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,uniform,COBYLA,vanilla,True,False,1,9,HCQTefs,5.411888837814331,18,"[array(-0.91387726), array(0.78983947), array(-0.9806999), array(0.15100017), array(-0.08716067), array(-1.01403347), array(-0.85553878), array(-1.20616958), array(-1.31104941), array(-0.99164422), array(-1.25405122), array(-1.19283282), array(-1.27954839), array(-1.25059227), array(-1.2868816), array(-1.24454476), array(-1.25477984), array(-1.27506991)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
