param_initialization,qaoa_variant,optimizer,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,obj_func_evolution,
0,uniform,vanilla,COBYLA,3,9,DFw,366.0751750469208,35,"[array(-0.08505104), array(0.31686122), array(-0.1916523), array(0.0355807), array(-0.17039413), array(-0.1119366), array(-0.08770936), array(0.20028833), array(-0.00605951), array(-0.07298496), array(-0.24730096), array(-0.53978732), array(-0.34318494), array(-0.48606123), array(-0.33291862), array(-0.41477932), array(-0.43617009), array(-0.43531435), array(-0.43254558), array(-0.53318188), array(-0.51786326), array(-0.44675127), array(-0.43500466), array(-0.41291786), array(-0.44788047), array(-0.44454723), array(-0.46084617), array(-0.49978926), array(-0.46893241), array(-0.50281173), array(-0.47551001), array(-0.44443121), array(-0.46269279), array(-0.45381449), array(-0.48954318)]","[1, 1, 1, 0, 0]",3.3806223225650873,"[1.0, 1.0, 1.0, 0, 0]",3.3806223225650873
1,uniform,vanilla,COBYLA,3,9,DUw,488.57076382637024,46,"[array(0.09996914), array(-0.19987805), array(-0.05156639), array(-0.22936678), array(-0.17173387), array(-0.13225762), array(-0.05122847), array(0.10172982), array(-0.1825744), array(-0.35939224), array(-0.12791162), array(-0.39434939), array(-0.13748908), array(-0.24212965), array(-0.43560109), array(-0.27204828), array(-0.34240204), array(0.01168056), array(-0.59529495), array(-0.53146741), array(-0.54626333), array(-0.19172817), array(-0.52633102), array(-0.5579658), array(-0.62296223), array(-0.63663347), array(-0.61566044), array(-0.62742513), array(-0.57800432), array(-0.6401721), array(-0.6647522), array(-0.59545562), array(-0.64634407), array(-0.62382272), array(-0.62665438), array(-0.63432741), array(-0.64736519), array(-0.63732998), array(-0.6295294), array(-0.63652271), array(-0.66608695), array(-0.64393052), array(-0.66300412), array(-0.64335326), array(-0.62871904), array(-0.64794362)]","[0, 0, 1, 1, 1]",2.854180201430194,"[1.0, 1.0, 0, 0, 0]",2.8541802014301934
2,uniform,vanilla,COBYLA,3,9,DV{,404.77864718437195,38,"[array(-0.05486785), array(0.09201333), array(-0.03885457), array(-0.06567672), array(0.17395933), array(-0.02102278), array(0.0593566), array(-0.04637565), array(0.31088213), array(-0.09064987), array(0.04672215), array(-0.13382965), array(-0.11392198), array(-0.13415562), array(-0.11067311), array(-0.21673383), array(-0.30593413), array(-0.28103138), array(-0.23800631), array(-0.08735075), array(-0.27756838), array(-0.27679815), array(-0.26963007), array(-0.24335621), array(-0.24914114), array(-0.30252247), array(-0.2662337), array(-0.27121938), array(-0.26772568), array(-0.24833677), array(-0.26229657), array(-0.26015902), array(-0.26829575), array(-0.27928928), array(-0.27002587), array(-0.28501473), array(-0.2891282), array(-0.25407826)]","[1, 1, 0, 0, 0]",2.1698107728157328,"[1.0, 1.0, 0, 0, 0]",2.1698107728157328
3,uniform,vanilla,COBYLA,3,9,DUW,510.752156496048,49,"[array(0.25411182), array(-0.02753883), array(0.15887669), array(-0.07268775), array(-0.03262595), array(-0.0100658), array(-0.02906028), array(0.36878848), array(-0.17128132), array(-0.28035493), array(0.05603333), array(-0.32697483), array(0.06817693), array(-0.09653279), array(-0.35676177), array(-0.25834153), array(-0.47549753), array(-0.26901092), array(-0.52300676), array(0.00995756), array(-0.52675513), array(0.05379214), array(-0.28369717), array(-0.52499495), array(-0.52213257), array(-0.44656744), array(-0.46771366), array(-0.50134013), array(-0.51250454), array(-0.48250608), array(-0.50763625), array(-0.49056844), array(-0.49011699), array(-0.53298152), array(-0.49675925), array(-0.53998211), array(-0.52886966), array(-0.56936826), array(-0.5847839), array(-0.53505133), array(-0.55344718), array(-0.55609416), array(-0.58202954), array(-0.54718632), array(-0.55353547), array(-0.5455369), array(-0.53820514), array(-0.547864), array(-0.56622862)]","[1, 1, 0, 0, 1]",2.3896421367549214,"[1.0, 1.0, 0, 0, 1.0]",2.3896421367549214
4,uniform,vanilla,COBYLA,3,9,DC{,413.00472021102905,39,"[array(-0.45197184), array(0.06088919), array(-0.23924056), array(-0.23443019), array(-0.63197552), array(0.29777346), array(-0.11030844), array(0.55410084), array(-0.12166609), array(-0.64919581), array(0.12551373), array(0.12578369), array(-0.59454119), array(-0.60331704), array(-0.61717832), array(-0.51146708), array(-0.41313014), array(-0.57427337), array(-0.64843317), array(-0.60208915), array(-0.66507617), array(-0.66529633), array(-0.61883276), array(-0.70381309), array(-0.66619485), array(-0.61896361), array(-0.66044703), array(-0.67947496), array(-0.65709968), array(-0.62556463), array(-0.63486341), array(-0.66168013), array(-0.64938109), array(-0.68896882), array(-0.66655103), array(-0.70963428), array(-0.6584908), array(-0.63674154), array(-0.67654139)]","[1, 1, 1, 1, 0]",3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
5,uniform,vanilla,COBYLA,3,9,DCw,389.8681321144104,37,"[array(0.04174168), array(-0.11639617), array(0.08445814), array(-0.10438336), array(-0.03362751), array(-0.19146533), array(0.07208865), array(-0.100794), array(-0.03309431), array(-0.17191687), array(-0.1028495), array(-0.03650975), array(-0.25655588), array(-0.24835418), array(-0.30644364), array(-0.2915538), array(-0.22558917), array(-0.27569729), array(-0.28605647), array(-0.28577383), array(-0.32740154), array(-0.29564815), array(-0.29539138), array(-0.2384039), array(-0.2766326), array(-0.28770096), array(-0.24290993), array(-0.31074695), array(-0.28996435), array(-0.28739477), array(-0.29279537), array(-0.29864772), array(-0.30658375), array(-0.26320115), array(-0.25750512), array(-0.29659593), array(-0.25189211)]","[1, 1, 1, 0, 0]",2.627609260511944,"[0, 0, 0, 1.0, 1.0]",2.6276092605119445
6,uniform,vanilla,COBYLA,3,9,D?{,370.04018092155457,35,"[array(0.15858847), array(0.11369959), array(-0.34217509), array(0.34121351), array(-0.10741134), array(-0.08585039), array(-0.38012778), array(0.12440274), array(-0.40456171), array(-0.26773895), array(0.08695062), array(-0.39291777), array(-0.22304329), array(-0.45587457), array(-0.09632675), array(0.0533358), array(-0.39811429), array(-0.49920868), array(-0.2692626), array(-0.43505665), array(-0.48874687), array(-0.492971), array(-0.46486782), array(-0.48360979), array(-0.45208139), array(-0.44379089), array(-0.46683558), array(-0.47280123), array(-0.46032189), array(-0.47177144), array(-0.47322135), array(-0.47008786), array(-0.48992325), array(-0.45175392), array(-0.47683338)]","[0, 0, 0, 0, 1]",1.796525413204832,"[1.0, 1.0, 1.0, 1.0, 0]",1.796525413204832
7,uniform,vanilla,COBYLA,3,9,DU{,457.6095595359802,43,"[array(0.38526612), array(0.22609557), array(0.0421507), array(-0.19984874), array(-0.02500384), array(-0.10712594), array(-0.10344814), array(0.29412629), array(0.21925387), array(-0.10458181), array(-0.21458846), array(-0.2831185), array(-0.25164188), array(-0.21119651), array(-0.24109926), array(-0.21582256), array(-0.33183842), array(-0.30063371), array(-0.27089965), array(-0.31804973), array(-0.28446427), array(-0.30576569), array(-0.35528492), array(-0.29415428), array(-0.32131051), array(-0.32048496), array(-0.33274431), array(-0.31762192), array(-0.33839808), array(-0.34976343), array(-0.36943337), array(-0.34425765), array(-0.31931996), array(-0.33956587), array(-0.3056785), array(-0.3400407), array(-0.29765965), array(-0.32469541), array(-0.31338937), array(-0.29514073), array(-0.33876739), array(-0.35927693), array(-0.29485478)]","[0, 1, 0, 0, 1]",2.8266443094277283,"[0, 0, 1.0, 1.0, 0]",3.2770562504535663
8,uniform,vanilla,COBYLA,3,9,DF{,443.8138892650604,42,"[array(-0.18946998), array(0.29096427), array(0.05029658), array(-0.04091327), array(-0.21349058), array(-0.08774599), array(-0.26880056), array(0.01327484), array(-0.03309379), array(0.05732276), array(-0.0795775), array(-0.22466238), array(-0.2395332), array(-0.26950191), array(0.10672984), array(-0.23568873), array(-0.26109471), array(-0.19004557), array(-0.21138524), array(-0.21261529), array(-0.29068238), array(-0.29795302), array(-0.33596174), array(-0.33502648), array(-0.32012017), array(-0.31858845), array(-0.26278403), array(-0.30033386), array(-0.3215885), array(-0.28729701), array(-0.30645718), array(-0.24632908), array(-0.31528523), array(-0.34461994), array(-0.32288602), array(-0.33021094), array(-0.32634968), array(-0.32138184), array(-0.29103965), array(-0.29936741), array(-0.2615689), array(-0.27506268)]","[0, 0, 1, 0, 1]",2.811654027930666,"[1.0, 1.0, 1.0, 0, 0]",3.6259733568120702
9,uniform,vanilla,COBYLA,3,9,DEw,648.8814861774445,62,"[array(0.19194899), array(-0.26340989), array(-0.00758657), array(0.00681056), array(-0.18030341), array(-0.18064414), array(0.0096179), array(-0.36470888), array(-0.00024778), array(-0.03704783), array(-0.03007639), array(0.07501606), array(-0.42233253), array(-0.1499629), array(-0.10883122), array(-0.52215805), array(-0.58429137), array(-0.52965575), array(-0.47274672), array(-0.39799202), array(-0.59972705), array(-0.56847123), array(-0.61557197), array(-0.66515949), array(-0.41757093), array(-0.51714173), array(-0.660438), array(-0.58990089), array(-0.67142493), array(-0.74383564), array(-0.64289918), array(-0.73259466), array(-0.63881676), array(-0.70792373), array(-0.66954094), array(-0.75204765), array(-0.72205068), array(-0.75835216), array(-0.7532291), array(-0.76782224), array(-0.7555601), array(-0.77726134), array(-0.75707875), array(-0.77100856), array(-0.75428263), array(-0.75291644), array(-0.79472598), array(-0.78976067), array(-0.80067838), array(-0.78445134), array(-0.75086506), array(-0.72948215), array(-0.7484092), array(-0.74282738), array(-0.72567287), array(-0.78758251), array(-0.81092549), array(-0.78283687), array(-0.7912878), array(-0.70791088), array(-0.82164816), array(-0.72002116)]","[0, 0, 1, 1, 1]",2.7845411227226546,"[1.0, 1.0, 1.0, 0, 0]",2.79081227951738
