,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,recursiv_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,76.3845419883728,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
1,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,78.69404077529907,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,36.136096715927124,26,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
3,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,34.038047552108765,25,[],[1. 0. 0. 1. 1.],3.409218382269965,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,82.88293099403381,29,[],[0. 0. 0. 0. 1.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
5,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,89.47925806045532,36,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,39.76459217071533,27,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
7,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,39.13014888763428,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,71.10235142707825,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
9,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,82.14131903648376,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
