,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,False,False,1,9,H?r@fR],6.570838451385498,23,"[array(0.25406151), array(-0.59450387), array(-0.37423216), array(1.44023106), array(-0.05290071), array(0.17523471), array(-0.35526865), array(-0.69474263), array(-0.80969135), array(-0.83867983), array(-0.62121557), array(-1.05027932), array(-1.03635201), array(-1.10340631), array(-1.11853751), array(-1.065784), array(-1.18211831), array(-1.22285393), array(-1.150844), array(-1.12205837), array(-1.18034338), array(-1.1346593), array(-1.18894782)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.253331946798217,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,gaussian,COBYLA,vanilla,False,False,1,9,HCQeLr~,5.982439756393433,21,"[array(-0.06529865), array(-0.32970522), array(-0.00566069), array(0.1367673), array(-1.09490638), array(-1.28002517), array(1.68903719), array(-1.30548148), array(-1.32747372), array(-1.17476422), array(-1.46210189), array(-1.11949403), array(-1.33192285), array(-1.41532484), array(-1.52735379), array(-1.5873546), array(-1.50152955), array(-1.52324117), array(-1.54334847), array(-1.48613892), array(-1.57861892)]","[1, 0, 1, 1, 1, 0, 1, 0, 0]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,gaussian,COBYLA,vanilla,False,False,1,9,H?qlvNx,5.235448360443115,18,"[array(-0.21451052), array(-0.11567592), array(-0.03938882), array(-0.66690591), array(0.01101769), array(2.07507657), array(-1.62056715), array(-1.1372145), array(-1.32311605), array(-1.00116237), array(-1.55834113), array(-1.40675053), array(-1.61208599), array(-1.54760129), array(-1.65622449), array(-1.63508342), array(-1.60210375), array(-1.61963908)]","[0, 0, 1, 1, 1, 0, 0, 1, 0]",10.185457194060403,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,gaussian,COBYLA,vanilla,False,False,1,9,HCQbQuv,4.284283399581909,15,"[array(-0.84295031), array(0.98077529), array(-0.28687713), array(1.57349032), array(0.81718989), array(-0.3631173), array(-0.76830349), array(-0.71435717), array(-0.86375295), array(-0.7941115), array(-0.7883758), array(-0.8572979), array(-0.81790227), array(-0.85987403), array(-0.82896727)]","[0, 0, 0, 1, 1, 0, 1, 0, 1]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,gaussian,COBYLA,vanilla,False,False,1,9,HCrfZzf,4.819929599761963,16,"[array(0.08883187), array(-0.2038012), array(0.11747365), array(0.65651312), array(-0.64031977), array(-0.31253646), array(0.51488925), array(-0.47430261), array(-0.31572826), array(-0.57517674), array(-0.60517693), array(-0.52913227), array(-0.5813927), array(-0.60145809), array(-0.51067864), array(-0.63082273)]","[1, 1, 1, 0, 1, 1, 0, 0, 0]",7.776929729244643,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,gaussian,COBYLA,vanilla,False,False,1,9,H?qbDo~,9.801778793334961,27,"[array(0.22266162), array(-0.7892111), array(-0.01821508), array(1.69279765), array(-0.47467095), array(0.03658425), array(-0.63760573), array(-0.96208661), array(-1.0184767), array(-0.75154471), array(-1.10061222), array(-1.14528165), array(-0.76863733), array(-1.18408525), array(-1.22518521), array(-1.25942472), array(-1.17687513), array(-1.27899655), array(-1.31120504), array(-1.34510752), array(-1.32845267), array(-1.24332347), array(-1.32356948), array(-1.30895838), array(-1.33983999), array(-1.29656216), array(-1.30638476)]","[0, 0, 0, 0, 1, 1, 1, 1, 0]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,gaussian,COBYLA,vanilla,False,False,1,9,H?`cnd},5.397562742233276,19,"[array(0.3928171), array(-0.45502619), array(-0.37589709), array(0.74210249), array(0.18651523), array(-0.03635305), array(-0.57540357), array(-0.55861783), array(-0.55158897), array(-0.59108398), array(-0.60692858), array(-0.47813361), array(-0.5927349), array(-0.6296249), array(-0.60014641), array(-0.5313777), array(-0.48769997), array(-0.70830494), array(-0.66545466)]","[1, 0, 0, 0, 0, 1, 0, 1, 1]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,gaussian,COBYLA,vanilla,False,False,1,9,H?`cv`z,6.3409810066223145,22,"[array(0.34578674), array(-0.45625362), array(0.13983432), array(1.58985778), array(0.02518193), array(-0.22153221), array(-0.33994945), array(-0.46400122), array(-0.55292873), array(-0.56201889), array(-0.62666992), array(-0.64532665), array(-0.68814362), array(-0.73425293), array(-0.84726629), array(-0.84340564), array(-0.78800562), array(-0.74452393), array(-0.82264315), array(-0.71588988), array(-0.77969144), array(-0.7555238)]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,gaussian,COBYLA,vanilla,False,False,1,9,H?bFUi~,8.119744062423706,25,"[array(-0.11331073), array(-0.76180704), array(-0.44212108), array(1.69767893), array(-0.85410405), array(-0.31847497), array(0.82555751), array(-1.24447387), array(-1.03860902), array(-0.68941522), array(-1.22942953), array(-1.14619481), array(-1.33145853), array(-1.43089383), array(-1.45597798), array(-1.39085663), array(-1.54603427), array(-1.546594), array(-1.47424041), array(-1.47146445), array(-1.55355978), array(-1.48479883), array(-1.49245972), array(-1.51961852), array(-1.4840512)]","[0, 1, 1, 1, 1, 1, 0, 0, 0]",7.764171831922256,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,gaussian,COBYLA,vanilla,False,False,1,9,HCQTefs,5.55199408531189,20,"[array(0.48023773), array(-0.76883094), array(-0.23090532), array(1.42330208), array(0.17032556), array(-0.29186909), array(-0.42918548), array(-0.85789585), array(-0.93842368), array(-0.91159274), array(-0.9644367), array(-0.85012094), array(-1.0475324), array(-1.15089546), array(-1.10907423), array(-1.1222247), array(-1.0986267), array(-1.10015189), array(-1.07139357), array(-0.99370144)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
