,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,True,False,1,9,H?r@fR],5.586885690689087,19,"[array(-0.06822424), array(-0.38292362), array(-0.40655086), array(0.88025502), array(-0.61690626), array(-0.15627182), array(-0.60979941), array(-0.03386684), array(-0.43656339), array(-0.74262719), array(-0.54950042), array(-0.58911899), array(-0.66421461), array(-0.69598552), array(-0.62008225), array(-0.66542946), array(-0.62524122), array(-0.61782659), array(-0.63487873)]","[0, 1, 1, 1, 0, 1, 0, 1, 0]",4.997786960885928,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,gaussian,COBYLA,vanilla,True,False,1,9,HCQeLr~,8.123625040054321,25,"[array(0.19797608), array(-0.52505817), array(0.19291262), array(0.18450494), array(-0.70092069), array(-1.31012003), array(-1.30870518), array(-0.72421773), array(-1.42839312), array(-1.21829384), array(-1.32095395), array(-1.42634518), array(-1.31138089), array(-1.45986197), array(-1.47295495), array(-1.35686005), array(-1.53576886), array(-1.59159196), array(-1.54865159), array(-1.57041097), array(-1.53968484), array(-1.54102308), array(-1.56591538), array(-1.57375362), array(-1.53798739)]","[1, 0, 1, 1, 1, 0, 1, 0, 0]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,gaussian,COBYLA,vanilla,True,False,1,9,H?qlvNx,7.563820123672485,23,"[array(-0.06531182), array(-0.72450686), array(-0.17984742), array(1.20123445), array(-0.07618662), array(-0.93045164), array(-0.69105069), array(-1.28775309), array(-1.55406414), array(-1.29053512), array(-1.53015182), array(-1.44327352), array(-1.6005533), array(-1.66645794), array(-1.50316169), array(-1.6210453), array(-1.5719162), array(-1.6679817), array(-1.57387379), array(-1.59735385), array(-1.53470513), array(-1.60009844), array(-1.52005999)]","[1, 1, 0, 0, 0, 1, 1, 0, 1]",10.185457194060403,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,gaussian,COBYLA,vanilla,True,False,1,9,HCQbQuv,6.444857120513916,22,"[array(0.37354763), array(-0.72139281), array(-0.28807787), array(1.0418538), array(-0.1784007), array(-0.72200028), array(-0.62479386), array(-0.93633932), array(-1.11334147), array(-1.20459483), array(-1.18132991), array(-0.98962315), array(-1.172202), array(-1.20745848), array(-1.23638976), array(-1.2002062), array(-1.26378052), array(-1.22130274), array(-1.24859243), array(-1.22006478), array(-1.19888608), array(-1.20212607)]","[1, 1, 1, 0, 0, 1, 0, 1, 0]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,gaussian,COBYLA,vanilla,True,False,1,9,HCrfZzf,10.807281494140625,27,"[array(-0.10083404), array(-0.24867217), array(0.15025853), array(0.76284156), array(0.05868192), array(-0.25180008), array(-0.21974703), array(-0.3954504), array(-0.58944031), array(-0.49348208), array(-0.76854422), array(-0.80504059), array(-0.8454909), array(-0.82527608), array(-1.00967466), array(-1.01436012), array(-1.0084018), array(-1.01607738), array(-1.06162565), array(-0.97694428), array(-1.1076845), array(-1.05456142), array(-1.10492575), array(-1.06046047), array(-1.00940842), array(-0.98197218), array(-1.08277632)]","[0, 0, 0, 1, 0, 0, 1, 1, 1]",7.776929729244643,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,gaussian,COBYLA,vanilla,True,False,1,9,H?qbDo~,5.769249200820923,19,"[array(0.22169121), array(-0.79053478), array(0.0018168), array(1.03172754), array(-0.22933661), array(-0.94274781), array(-0.56257491), array(-1.19987604), array(-1.32498438), array(-1.24897991), array(-1.15350949), array(-1.26135144), array(-1.30733111), array(-1.28725302), array(-1.31368773), array(-1.32206168), array(-1.402647), array(-1.27318963), array(-1.27160599)]","[1, 1, 1, 1, 0, 0, 0, 0, 1]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,gaussian,COBYLA,vanilla,True,False,1,9,H?`cnd},8.07003378868103,25,"[array(0.28086294), array(-0.51314696), array(-0.36520407), array(0.85941119), array(-0.08452238), array(-0.50069379), array(-0.38154183), array(-0.62459749), array(-0.73056805), array(-0.73194124), array(-0.6689284), array(-0.79102438), array(-1.02868904), array(-0.96816197), array(-1.08510763), array(-1.17300323), array(-1.16097625), array(-1.24265448), array(-1.20213875), array(-1.1629683), array(-1.21703548), array(-1.22489692), array(-1.23958798), array(-1.14969332), array(-1.171429)]","[1, 0, 0, 0, 0, 1, 0, 1, 1]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,gaussian,COBYLA,vanilla,True,False,1,9,H?`cv`z,6.775913715362549,23,"[array(-0.21029196), array(-0.60968004), array(-0.29238696), array(0.86272731), array(0.24200445), array(-1.11921163), array(-1.11464082), array(-1.03967561), array(-1.22696864), array(-1.12973718), array(-1.12807726), array(-1.22824041), array(-1.24248478), array(-1.22104912), array(-1.26564607), array(-1.26286338), array(-1.23143664), array(-1.21071637), array(-1.17112296), array(-1.29628849), array(-1.27000604), array(-1.28313903), array(-1.28677899)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,gaussian,COBYLA,vanilla,True,False,1,9,H?bFUi~,5.7722578048706055,19,"[array(0.12427578), array(-0.85903172), array(-0.29601462), array(1.33066392), array(-0.06813033), array(-0.99380349), array(-0.69686155), array(-1.28723547), array(-1.48517157), array(-1.25643806), array(-1.42036394), array(-1.37932533), array(-1.47262227), array(-1.44736859), array(-1.39984959), array(-1.41304255), array(-1.50348133), array(-1.43819799), array(-1.38658037)]","[1, 0, 0, 0, 0, 0, 1, 1, 1]",7.764171831922256,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,gaussian,COBYLA,vanilla,True,False,1,9,HCQTefs,4.998259544372559,17,"[array(0.31931762), array(-1.13088219), array(-0.2314222), array(0.62164631), array(-0.49819901), array(-1.2026759), array(-0.89417005), array(-1.32585313), array(-1.15972901), array(-1.29972151), array(-1.33640791), array(-1.24381348), array(-1.32387802), array(-1.30267461), array(-1.32874191), array(-1.27027792), array(-1.29855658)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
10,gaussian,COBYLA,vanilla,True,False,1,9,H?`vFVt,15.4662766456604,17,"[array(-0.15581921), array(-1.00820704), array(0.33680071), array(0.26403836), array(-0.37959908), array(-1.32185053), array(-1.19480424), array(-1.53164889), array(-1.4740011), array(-1.54205044), array(-1.472546), array(-1.48124812), array(-1.55547581), array(-1.60566371), array(-1.5642655), array(-1.52622373), array(-1.51199247)]","[1, 1, 1, 1, 0, 0, 0, 1, 0]",8.044071421187637,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 1.0]",8.044071421187637
11,gaussian,COBYLA,vanilla,True,False,1,9,HCXmfqv,11.984861135482788,22,"[array(0.1798986), array(-0.39687857), array(0.09817527), array(1.14370706), array(0.26335938), array(-0.60529258), array(-0.44850858), array(-0.83621372), array(-1.08045368), array(-1.14123779), array(-0.88313213), array(-1.03277425), array(-1.1191734), array(-1.13955068), array(-1.11981463), array(-1.17658058), array(-1.16960771), array(-1.16711982), array(-1.15649524), array(-1.15146507), array(-1.17382925), array(-1.14580328)]","[1, 1, 1, 0, 1, 0, 0, 0, 1]",6.533122484141585,"[1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0]",6.533122484141586
12,gaussian,COBYLA,vanilla,True,False,1,9,HCQebj],7.388869285583496,18,"[array(0.2915215), array(-0.89753747), array(-0.14584659), array(0.57981051), array(-0.48146396), array(-0.97942138), array(-0.7107605), array(-1.18973398), array(-1.24967494), array(-0.98830363), array(-1.14175658), array(-1.11487183), array(-1.22155047), array(-1.16457123), array(-1.18112658), array(-1.18989007), array(-1.20001113), array(-1.21025151)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",6.125951699247245,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.125951699247246
13,gaussian,COBYLA,vanilla,True,False,1,9,HCQbQpJ,8.18871784210205,23,"[array(0.39155193), array(-0.44256107), array(-0.15717758), array(0.75270312), array(-0.10605862), array(-0.48246003), array(-0.3409012), array(-0.5680125), array(-0.59734914), array(-0.35493011), array(-0.6578643), array(-0.61259273), array(-0.64662938), array(-0.70109581), array(-0.65745591), array(-0.65715414), array(-0.68591122), array(-0.74384083), array(-0.71889716), array(-0.75034131), array(-0.7153173), array(-0.72617545), array(-0.68718553)]","[0, 1, 0, 1, 0, 1, 1, 0, 1]",4.1928277779034,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",4.211028141743718
14,gaussian,COBYLA,vanilla,True,False,1,9,HCdbFNf,7.80289888381958,21,"[array(-0.37348921), array(-0.08871376), array(-0.02810599), array(1.39167215), array(0.6401273), array(-0.83472958), array(-0.68838175), array(-1.11030945), array(-1.31156707), array(-1.37830056), array(-0.94486625), array(-1.30824901), array(-1.43265029), array(-1.40443854), array(-1.44523356), array(-1.40291442), array(-1.3968007), array(-1.45542161), array(-1.38586433), array(-1.36461933), array(-1.4376444)]","[0, 1, 1, 1, 1, 0, 0, 1, 1]",8.618099618340064,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0]",8.618099618340064
15,gaussian,COBYLA,vanilla,True,False,1,9,H?`fffj,6.755431175231934,19,"[array(-0.39125453), array(-0.64198299), array(-0.3167654), array(0.60852858), array(-0.06825482), array(-1.01896543), array(-0.94960837), array(-1.11210444), array(-1.07356961), array(-1.21667448), array(-1.15474674), array(-1.21614997), array(-1.17520842), array(-1.17534642), array(-1.1353603), array(-1.13855969), array(-1.14336072), array(-1.20191613), array(-1.13412316)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",6.405025338045776,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.532236701606372
16,gaussian,COBYLA,vanilla,True,False,1,9,H?ovfz{,5.5501556396484375,17,"[array(-0.0893501), array(-0.13501762), array(0.1706808), array(-0.46590261), array(0.66618052), array(0.84629803), array(-1.44100241), array(-0.79289726), array(-1.30332214), array(-1.3599271), array(-1.33588057), array(-1.38725823), array(-1.37002276), array(-1.37711504), array(-1.34931847), array(-1.38824604), array(-1.40209163)]","[0, 0, 0, 0, 1, 0, 1, 1, 1]",8.36843075048951,"[1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0]",8.36843075048951
17,gaussian,COBYLA,vanilla,True,False,1,9,HCrM\^~,9.451453685760498,22,"[array(-0.2210148), array(0.38752047), array(-0.05800229), array(1.68045115), array(0.57795544), array(-0.41735515), array(-0.10469688), array(-0.64972295), array(-0.95844277), array(-0.46343935), array(-1.1171772), array(-1.21336661), array(-1.28489225), array(-1.19232788), array(-1.2460395), array(-1.24600784), array(-1.22569852), array(-1.33132805), array(-1.23693499), array(-1.21255754), array(-1.26093464), array(-1.24466683)]","[0, 0, 1, 0, 0, 1, 1, 0, 1]",9.234222502056577,"[0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",9.397804657366132
18,gaussian,COBYLA,vanilla,True,False,1,9,H?`fNrt,8.768153667449951,23,"[array(-0.50801639), array(-0.15350057), array(-0.21013083), array(1.39264114), array(0.34098003), array(-0.77852166), array(-0.70165952), array(-0.99150729), array(-1.09430564), array(-1.13528043), array(-1.05353712), array(-1.03669502), array(-1.14108948), array(-1.15166994), array(-1.16347273), array(-1.09681112), array(-1.12551752), array(-1.17356648), array(-1.15752684), array(-1.17774482), array(-1.10385731), array(-1.11928083), array(-1.13498785)]","[1, 0, 1, 1, 0, 1, 0, 1, 0]",6.70021996388731,"[0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",6.784150497834054
19,gaussian,COBYLA,vanilla,True,False,1,9,H?o~FB~,7.667007684707642,20,"[array(0.08270568), array(-0.49069313), array(-0.32126608), array(1.08268002), array(0.01409972), array(-0.63976537), array(-0.47461131), array(-0.77055512), array(-0.7780885), array(-0.81872446), array(-1.03514253), array(-1.16089719), array(-1.16055572), array(-1.13743903), array(-1.03642185), array(-1.08460407), array(-1.16433976), array(-1.07645167), array(-1.11321122), array(-1.1524395)]","[1, 1, 1, 0, 0, 0, 0, 0, 1]",8.466571687859473,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 1.0]",8.466571687859474
20,gaussian,COBYLA,vanilla,True,False,1,8,GCZMY{,6.911925554275513,24,"[array(0.21356521), array(-0.30708784), array(-0.24507974), array(0.274559), array(-0.1692328), array(-0.25617977), array(-0.15513953), array(-0.34561254), array(-0.44862788), array(-0.35909264), array(-0.64820583), array(-0.66992373), array(-0.6932622), array(-0.86279315), array(-0.93091779), array(-0.87573203), array(-0.98305946), array(-1.06777416), array(-1.0383203), array(-1.01245526), array(-0.99639355), array(-0.99085181), array(-1.01822118), array(-1.06650707)]","[1, 0, 0, 0, 1, 0, 0, 1]",6.165651827970485,"[1.0, 0, 0, 0, 1.0, 0, 0, 1.0]",6.1656518279704855
21,gaussian,COBYLA,vanilla,True,False,1,8,GCqnfc,12.51016616821289,21,"[array(-0.50483855), array(0.30417467), array(-0.01714013), array(1.26872955), array(0.15674768), array(-0.55403888), array(-0.38263919), array(-0.8076052), array(-0.94185454), array(-0.93581172), array(-0.77967027), array(-0.96430539), array(-0.87287916), array(-0.90550189), array(-0.89897105), array(-0.91764382), array(-0.93995748), array(-0.90503008), array(-0.91791827), array(-0.91385349), array(-0.91647988)]","[0, 1, 1, 1, 0, 1, 0, 0]",5.497646681997324,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",5.497646681997324
22,gaussian,COBYLA,vanilla,True,False,1,8,GCrb`o,8.068717241287231,20,"[array(0.3188261), array(-0.67516081), array(0.20077281), array(-0.2903268), array(-0.99697141), array(-1.16478357), array(0.1551106), array(-1.4711593), array(-1.32116196), array(-1.32486765), array(-1.45962416), array(-1.36380313), array(-1.49833435), array(-1.49701975), array(-1.409953), array(-1.43439151), array(-1.376461), array(-1.47400471), array(-1.44848594), array(-1.47383906)]","[0, 0, 0, 0, 1, 1, 1, 1]",5.666137418765273,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 1.0]",5.746790969279266
23,gaussian,COBYLA,vanilla,True,False,1,8,G?`c^c,6.398346185684204,19,"[array(0.06063605), array(-0.88583765), array(-0.38795676), array(0.66725021), array(-0.21660678), array(-0.94031419), array(-0.82968763), array(-1.00291526), array(-0.97600007), array(-1.0651457), array(-1.04104747), array(-0.97934715), array(-1.0165292), array(-1.02476828), array(-0.9509461), array(-1.00272743), array(-1.03424955), array(-1.00878728), array(-1.05130349)]","[1, 1, 1, 1, 0, 0, 1, 0]",5.456219255426035,"[0, 0, 0, 0, 1.0, 1.0, 0, 1.0]",5.456219255426036
24,gaussian,COBYLA,vanilla,True,False,1,8,GCY^fo,6.489244699478149,22,"[array(-0.822678), array(0.98679426), array(0.04533572), array(1.13029591), array(-0.38262854), array(-0.90126788), array(-0.47460167), array(-1.13658308), array(-1.19766591), array(-1.08753556), array(-1.00323699), array(-1.10802042), array(-1.18829851), array(-1.17180245), array(-1.17114151), array(-1.20164484), array(-1.19072549), array(-1.20273713), array(-1.20670049), array(-1.2477981), array(-1.18040542), array(-1.20229157)]","[1, 1, 1, 1, 0, 0, 0, 0]",6.479057280322159,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.479057280322161
25,gaussian,COBYLA,vanilla,True,False,1,8,G?BDvw,4.49983286857605,19,"[array(0.00845485), array(-0.80721646), array(-0.1839484), array(0.73480084), array(-0.15546022), array(-0.99044181), array(-0.83013599), array(-1.08888309), array(-1.10757552), array(-1.04800776), array(-0.99963978), array(-1.11191945), array(-1.19280769), array(-1.13369953), array(-1.16581308), array(-1.11699609), array(-1.12526678), array(-1.06062371), array(-1.18446594)]","[1, 1, 1, 1, 1, 0, 0, 0]",6.131206333504157,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.1312063335041564
26,gaussian,COBYLA,vanilla,True,False,1,8,GCrrt[,5.156501054763794,20,"[array(-0.47124903), array(-0.35281909), array(0.04275362), array(0.04882659), array(-0.28490836), array(-0.25659201), array(-0.82223895), array(-1.03124291), array(-0.79199836), array(-1.24967036), array(-1.06194754), array(-1.25587794), array(-1.17287054), array(-1.20626423), array(-1.19625763), array(-1.22019674), array(-1.21368237), array(-1.23667537), array(-1.20903956), array(-1.22890924)]","[1, 0, 1, 0, 1, 1, 0, 0]",6.313431949829383,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",6.832223019458334
27,gaussian,COBYLA,vanilla,True,False,1,8,G?`cno,3.760974168777466,16,"[array(0.14129872), array(-1.16260097), array(-0.24360476), array(0.47209624), array(-0.44726031), array(-1.24002297), array(-1.00962335), array(-1.30086221), array(-1.04682849), array(-1.25093951), array(-1.26654799), array(-1.23477664), array(-1.29394275), array(-1.28050758), array(-1.26378115), array(-1.27266554)]","[0, 0, 0, 0, 1, 1, 1, 1]",5.211623763820935,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",5.211623763820935
28,gaussian,COBYLA,vanilla,True,False,1,8,G?BDn[,3.7111494541168213,16,"[array(-0.2546402), array(-0.72168428), array(-0.39148747), array(1.24441571), array(0.21781516), array(-0.8563033), array(-0.86242025), array(-0.74952087), array(-0.75098524), array(-0.74406692), array(-0.8135419), array(-0.75508947), array(-0.73679019), array(-0.80963178), array(-0.7941925), array(-0.76000815)]","[1, 1, 1, 0, 1, 0, 1, 0]",5.63658573280958,"[0, 0, 0, 1.0, 0, 1.0, 0, 1.0]",5.636585732809579
29,gaussian,COBYLA,vanilla,True,False,1,8,GCRVF[,5.071851491928101,20,"[array(-0.5960548), array(0.24719395), array(-0.38525147), array(1.1046164), array(-0.05285553), array(-0.80205295), array(-0.61263365), array(-0.93860524), array(-1.15035781), array(-1.08207478), array(-1.12589362), array(-1.08174894), array(-1.12749254), array(-1.11768738), array(-1.16543642), array(-1.13968532), array(-1.14693429), array(-1.18556267), array(-1.1505725), array(-1.18736836)]","[1, 1, 0, 0, 0, 0, 0, 1]",6.46664386737643,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.49004782359108
