,backend_mode,qaoa_variant,param_initialization,depth,warm_start,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,noisy_sampling,vanilla,gaussian,1,False,True,5,>>graph6<<DkO,187.92751789093018,57,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[2.69586401 2.54532494],0.19
1,noisy_sampling,vanilla,gaussian,1,False,True,5,>>graph6<<Dm{,156.6885666847229,49,1.6666666666666667,"[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0]",3.0,[2.66671969 2.85820132],0.1566
2,noisy_sampling,vanilla,gaussian,1,False,True,7,>>graph6<<FkPsg,188.22275972366333,57,1.0,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[5.79556729 0.37418439],0.11819999999999999
3,noisy_sampling,vanilla,gaussian,1,False,True,7,>>graph6<<Fm~]w,174.1701192855835,52,1.4,"[1, 1, 1, 1, 1, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[3.70900469 3.3731513 ],0.13979999999999998
4,noisy_sampling,vanilla,gaussian,1,False,True,9,>>graph6<<HkPsgZ@,179.8219232559204,53,1.8,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[2.57836492 2.84001962],0.0162
5,noisy_sampling,vanilla,gaussian,1,False,True,9,>>graph6<<Hm~]x^^,164.78792428970337,48,3.4285714285714284,"[1, 1, 1, 0, 0, 0, 0, 1, 0]",24,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[4.25255094 1.53864188],0.0186
6,noisy_sampling,vanilla,gaussian,1,True,True,5,>>graph6<<DkO,153.81893372535706,50,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[3.59905666 2.67793   ],0.397
7,noisy_sampling,vanilla,gaussian,1,True,True,5,>>graph6<<Dm{,159.36120772361755,51,1.0,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,[3.30880058 1.61088426],0.2208
8,noisy_sampling,vanilla,gaussian,1,True,True,7,>>graph6<<FkPsg,160.95846009254456,49,1.0,"[1, 0, 0, 1, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[3.35343333 1.47538098],0.2386
9,noisy_sampling,vanilla,gaussian,1,True,True,7,>>graph6<<Fm~]w,173.19816327095032,46,1.0,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[3.31555803 1.54362783],0.15819999999999998
