,backend_mode,qaoa_variant,param_initialization,depth,warm_start,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,noisy_sampling,multiangle,gaussian,1,False,True,5,>>graph6<<DkO,559.3694515228271,184,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.85102689 3.87309176 2.37709055 3.1995174  3.20986694 4.1360378
 1.73233927 1.1034979  2.1750911  2.22426615 2.25697008]",0.41859999999999997
1,noisy_sampling,multiangle,gaussian,1,False,True,5,>>graph6<<Dm{,1012.3099794387817,322,1.3333333333333333,"[1, 1, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[2.50034548 4.19017525 3.15875755 2.0739455  3.84449589 3.40831146
 3.71382252 3.23238151 4.16094886 3.26453816 3.37365802 2.26933278
 3.01321226 1.57147475 1.60373169 1.53979165 1.5405287  1.47983218]",0.1486
2,noisy_sampling,multiangle,gaussian,1,False,True,7,>>graph6<<FkPsg,1403.1993298530579,422,1.5,"[1, 1, 1, 1, 1, 1, 0]",6,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.94704648 2.73175226 4.03397961 3.97350152 3.10410245 2.14588217
 2.23711471 3.84939697 1.74160995 3.13669139 4.76414391 2.99558154
 3.30972138 3.16477721 3.06063074 2.08206647 2.13528017 1.84657286
 0.85326418 1.48151665 0.99164098 1.01583722 2.04055294]",0.1246
3,noisy_sampling,multiangle,gaussian,1,False,True,7,>>graph6<<Fm~]w,1852.9721610546112,566,1.2,"[1, 1, 0, 1, 1, 1, 1]",6,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.90823887 3.47560171 4.06495974 4.11007005 3.887957   3.7190811
 3.79041239 3.55875713 2.78085511 3.1561929  3.06384844 3.109517
 3.27354326 2.96392243 3.12335499 3.13689963 4.64864553 3.29064676
 3.41690611 4.59071337 3.17712913 2.92778397 3.25571546 3.06226895
 1.79028405 1.07832648 2.72784883 1.20747632 1.55560089 1.58346467
 1.66940608]",0.3082
4,noisy_sampling,multiangle,gaussian,1,False,True,9,>>graph6<<HkPsgZ@,1975.0146088600159,592,1.4,"[1, 0, 1, 1, 1, 0, 1, 1, 1]",7,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[2.956197   3.86278362 3.75951267 3.99141056 2.68026693 3.23465285
 3.87867454 2.55913124 3.86479719 3.25540564 3.5598279  3.23190136
 3.19303078 3.22792369 3.02412535 3.90941413 3.11097509 3.15752343
 3.10659408 3.44461009 3.85592475 4.15736008 3.0755064  3.21385895
 1.5081787  2.42776437 2.53732695 1.35377609 1.82053399 1.47948582
 1.40235506 1.5938861  1.53336211]",0.0002
5,noisy_sampling,multiangle,gaussian,1,True,True,5,>>graph6<<DkO,681.7046437263489,216,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[2.51634744 3.5568267  2.5501525  3.48310847 4.03127402 3.51196731
 2.35496229 1.54015261 0.87594106 2.42044382 0.82832837]",0.5642
6,noisy_sampling,multiangle,gaussian,1,True,True,5,>>graph6<<Dm{,909.6710712909698,291,1.0,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.03906546 4.42979552 3.83426307 3.34156713 4.19258648 3.86467086
 3.96567028 3.04137263 4.18154021 4.3339106  2.83353104 2.85855789
 2.91343748 1.47159497 1.63019539 1.44906491 1.51283749 1.20821753]",0.26280000000000003
7,noisy_sampling,multiangle,gaussian,1,True,True,7,>>graph6<<FkPsg,1220.3146336078644,381,1.25,"[1, 1, 1, 0, 0, 1, 1]",5,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[2.54706164 4.56193883 3.938828   3.60938504 2.65555745 2.4351087
 3.09973368 4.09814471 4.58391892 3.20042985 3.20386742 3.27272033
 3.37533783 2.96482281 3.1466066  4.19853049 1.55964423 1.2071119
 2.42030927 1.47711183 1.37651947 2.60270194 1.57112611]",0.1088
8,noisy_sampling,multiangle,gaussian,1,True,True,7,>>graph6<<Fm~]w,1596.4031910896301,492,1.0,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.36108933 3.87320597 3.86260163 3.85558913 3.30971951 3.89613688
 3.93965705 2.83343689 4.17257765 3.22200788 3.43629659 3.21112674
 3.14468422 2.94307065 3.12263088 3.23005249 3.16269589 3.04180689
 3.44701904 3.49090002 3.08183738 3.09732481 3.64968753 3.0368859
 2.64761344 1.39747226 1.56634583 1.67272268 1.53917079 1.69425836
 1.48483329]",0.17880000000000001
9,noisy_sampling,multiangle,gaussian,2,False,True,5,>>graph6<<DkO,1018.9646503925323,323,2.5,"[0, 0, 1, 1, 1]",5,"[1.0, 1.0, 0, 0, 0]",2.0,"[2.59469108 3.31340646 2.43616797 3.03153511 3.21646626 3.33805831
 2.60278518 1.20501094 1.68358629 1.71723946 2.92950644 3.87563575
 3.27117785 2.60364567 2.35451806 3.89260183 3.71204878 1.9312989
 1.87064185 2.30939781 1.92208171 1.4981874 ]",0.38139999999999996
