,param_initialization,optimizer,qaoa_variant,warm_start,backend_mode,depth,lagrangian_multiplier,amount_shots,max_tol,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<DbS,0.28017616271972656,50,"[np.float64(1.8607043055331958), np.float64(-0.21259429178341366), np.float64(0.3103694763022902), np.float64(-0.9140750301811764), np.float64(0.6727359083884127), np.float64(0.12693328321196), np.float64(0.963774171775508), np.float64(0.9930688922091203), np.float64(0.2605507945354055), np.float64(0.46826192259542904), np.float64(1.6621437120173255), np.float64(0.455013948789635), np.float64(0.11652917066153129), np.float64(0.04451446920909189), np.float64(-0.12818523772686322), np.float64(0.44514407281835755), np.float64(-0.37943294610036105), np.float64(0.7365195328739885), np.float64(0.5431119279741486), np.float64(-0.6310983136510879), np.float64(1.15570440021089), np.float64(0.49493775737229023), np.float64(0.3913028051395307), np.float64(-0.342378024013136), np.float64(-1.1990671313637282), np.float64(2.2119062777281893), np.float64(1.0598101717511368), np.float64(-0.10531144662133848), np.float64(1.7628357379376562), np.float64(-0.17040759977599912), np.float64(-0.004533140542481613), np.float64(1.320150984891082), np.float64(-0.2807766382332613), np.float64(0.7944074765935532), np.float64(-0.3355579382889524), np.float64(1.3612183942564782), np.float64(0.13038189496928226), np.float64(-0.25788470129902974), np.float64(-1.5247852548937448), np.float64(0.1678113084429675), np.float64(0.7354209119328433), np.float64(0.07467456641333031), np.float64(-0.11976084459652937), np.float64(-0.6427759168250894), np.float64(-0.38862827052036536), np.float64(-0.06363930973900553), np.float64(-0.6478398061699988), np.float64(0.44435307615132275), np.float64(-0.11689686673872843), np.float64(1.4940997249930397)]","[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[3.50919945 0.09333786 3.51839036 0.54528793],0.12727619645988247
1,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<DxK,0.3167908191680908,50,"[np.float64(-0.44344690851076235), np.float64(0.4497212398308817), np.float64(0.9507526010253878), np.float64(0.42513180143987117), np.float64(0.4539672437104069), np.float64(-0.06290157276718938), np.float64(0.4674766385472914), np.float64(-0.31186988577865415), np.float64(0.39678641819755567), np.float64(-0.2753183234724192), np.float64(-0.10666888492251868), np.float64(0.46699884862090857), np.float64(-0.04477624461235566), np.float64(0.5397481931014073), np.float64(-0.32752540377073325), np.float64(0.3059980707869237), np.float64(-1.02640731918679), np.float64(2.7381534531060927), np.float64(-0.10308994238326533), np.float64(1.385378418450884), np.float64(2.956238020074657), np.float64(0.5655920978855554), np.float64(-0.049001194726534095), np.float64(0.10724057417763344), np.float64(1.1662816136544365), np.float64(0.7134723978588045), np.float64(2.3038503775306562), np.float64(-1.3118921177960203), np.float64(-0.9651279824721946), np.float64(-0.05822706686988424), np.float64(-0.8066663063335134), np.float64(-0.8597020160126518), np.float64(-0.9731639545809263), np.float64(-0.7727808397574519), np.float64(-0.8463847791072363), np.float64(-0.6189461465762901), np.float64(0.15612510216645864), np.float64(1.0828763102837895), np.float64(-0.022111847751570386), np.float64(2.502875848797905), np.float64(-0.28215941125854055), np.float64(-0.16425464136366102), np.float64(0.8817309024096676), np.float64(0.7375135476108832), np.float64(-0.12559572851747985), np.float64(2.540598033751826), np.float64(0.3488655905397141), np.float64(0.12479997531132936), np.float64(0.8609734560428783), np.float64(0.26039076036095715)]","[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,[0.27988641 0.46862021 0.65464605 2.91574217],0.325518020709202
2,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<Dv[,0.29894185066223145,50,"[np.float64(1.0078396541119652), np.float64(3.381244069467), np.float64(-1.24009772839765), np.float64(-0.2871409171934186), np.float64(0.7951343274119258), np.float64(-1.2797693839707527), np.float64(2.5213096958743852), np.float64(-0.17260246708831206), np.float64(0.05283168710007493), np.float64(0.8756409402963183), np.float64(1.9624148752777022), np.float64(-1.2822864583949332), np.float64(-0.10057078681462132), np.float64(-0.894168782751152), np.float64(1.4006521524404827), np.float64(0.4736682254502936), np.float64(4.691835266434227), np.float64(1.635825705585671), np.float64(0.16833419309393904), np.float64(-1.5788443002764816), np.float64(0.38818212707802063), np.float64(0.4987466655807479), np.float64(-0.1801001086938836), np.float64(1.24729660765484), np.float64(0.26759210566780545), np.float64(0.5745191183368852), np.float64(-0.5214291743788295), np.float64(3.580995523083989), np.float64(-1.4070570563456015), np.float64(1.077612945874542), np.float64(4.1906826711788545), np.float64(0.18889076270911204), np.float64(-0.043901853626350226), np.float64(-0.5555585436350579), np.float64(0.48126670626400525), np.float64(-0.18915791077222366), np.float64(-0.2367511597044567), np.float64(0.05954343899261926), np.float64(0.5238231136248165), np.float64(0.08105955086229816), np.float64(-0.7029360378941705), np.float64(2.0491046367258616), np.float64(0.7559926926273081), np.float64(0.04485617567081664), np.float64(0.34556946234119934), np.float64(0.8713795918901819), np.float64(-0.03435840269117173), np.float64(-0.17875352851296084), np.float64(-1.291408950232542), np.float64(-2.32476321157799)]","[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,[5.91480247 0.15666686 2.80130652 0.73419083],0.3078038282352288
3,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<DbS,0.23304414749145508,50,"[np.float64(0.1768123695606775), np.float64(-0.12205648602109431), np.float64(0.3495890266048801), np.float64(0.14067602726925865), np.float64(0.01735782916410193), np.float64(0.037837976596355516), np.float64(0.10675622126807548), np.float64(-0.22850225657456497), np.float64(-1.151944892252272), np.float64(-0.5089601483951751), np.float64(0.5704548236024352), np.float64(0.1868354337830828), np.float64(-0.3721324463090031), np.float64(0.16255126760991911), np.float64(1.701723308548134), np.float64(0.21034568031253514), np.float64(-0.45327512118082736), np.float64(-1.1837679094244904), np.float64(-0.5705862112994478), np.float64(0.18844229611479485), np.float64(-0.4436988607654604), np.float64(-1.1031719199574583), np.float64(0.19011063740853806), np.float64(0.09417953169901644), np.float64(0.8683893418199695), np.float64(0.41706324893860874), np.float64(1.2592465810670095), np.float64(0.35289541334164526), np.float64(0.023712036248245943), np.float64(0.1003684222467), np.float64(-0.1851147509424368), np.float64(-0.09165574406048882), np.float64(-0.7149165146016654), np.float64(1.6650610508473407), np.float64(0.4079019790645494), np.float64(0.03746633951964812), np.float64(0.5967589027639396), np.float64(-0.3053025267285484), np.float64(1.692246956583061), np.float64(-0.8757672322663981), np.float64(0.9563288964676148), np.float64(-0.22744508998702723), np.float64(-0.47950232228057826), np.float64(-0.9431818651337059), np.float64(0.20751040092476886), np.float64(-0.5323444668729261), np.float64(0.06043573906335678), np.float64(0.6467886967063353), np.float64(-1.1411886263879403), np.float64(1.20638039091647)]","[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[2.71006518 2.67375477 0.21685    1.67807166],0.19882826270686504
4,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<DxK,0.3069179058074951,50,"[np.float64(0.04285286353452356), np.float64(-0.6889390603368548), np.float64(-0.46365031871838447), np.float64(-0.5317354046971048), np.float64(1.1566545969869062), np.float64(-1.224307369724826), np.float64(0.049046947244933525), np.float64(-0.10250401361995559), np.float64(-0.7301180023784104), np.float64(-1.03352943932199), np.float64(0.013227953517887768), np.float64(0.5786996987069878), np.float64(-0.07774515632070209), np.float64(0.3409897158624815), np.float64(0.5787357211444731), np.float64(1.0753346514163893), np.float64(0.9908361783667371), np.float64(0.22971994290212783), np.float64(2.338712143663396), np.float64(0.05499218643441584), np.float64(-0.10293508204601555), np.float64(0.007647983438758223), np.float64(2.409008536030403), np.float64(-0.7321713694716641), np.float64(0.778001490651957), np.float64(0.478557244811418), np.float64(2.453290195724335), np.float64(0.027771534611593124), np.float64(-0.47804247866689037), np.float64(0.42068640228750925), np.float64(0.9071779723470067), np.float64(2.5240081353116284), np.float64(2.1053716175239714), np.float64(1.6773759045845613), np.float64(0.17857938914542545), np.float64(-0.08430574661493835), np.float64(-0.3393365922327106), np.float64(-0.9045706735095045), np.float64(1.2647381104896882), np.float64(0.07490982876876491), np.float64(-0.14970060033986918), np.float64(0.5282630793108114), np.float64(1.2515870872621855), np.float64(0.0928918010371095), np.float64(0.9893385078062518), np.float64(0.6178401946105972), np.float64(0.09906501052160953), np.float64(0.21870907405141318), np.float64(1.169038041113839), np.float64(-0.5894176178454292)]","[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.11309882 1.18046784 2.7563097  1.96342432],0.17540407881691034
5,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<Dv[,0.36882686614990234,50,"[np.float64(0.297828387673735), np.float64(-1.4443540118893978), np.float64(-0.1067458094842843), np.float64(0.9169031589465205), np.float64(0.23690895924178162), np.float64(2.46388331024667), np.float64(-0.2642304627791886), np.float64(-0.008624933927866701), np.float64(-0.10474239588660242), np.float64(-0.8553310805330949), np.float64(1.698580784629774), np.float64(1.5339414378073544), np.float64(0.07884185106643761), np.float64(3.2024493127308196), np.float64(-1.517722550721728), np.float64(0.07664991508305191), np.float64(1.186469372253733), np.float64(-0.016126571567951463), np.float64(1.1039338637283875), np.float64(1.6891837758087154), np.float64(0.27271593193489896), np.float64(0.38372692661683944), np.float64(-1.9065483770370357), np.float64(0.5830419388644069), np.float64(-0.5124279795955493), np.float64(-0.37639891759114896), np.float64(-0.006103576176456127), np.float64(-1.1132151162733395), np.float64(-1.1153453732299368), np.float64(-1.7158180081252168), np.float64(-1.3210999106860113), np.float64(0.23681014193748706), np.float64(2.871749592774568), np.float64(0.4316594262716622), np.float64(-0.15502744110786482), np.float64(0.3004316309393624), np.float64(0.5754372240482069), np.float64(3.715814046383647), np.float64(0.5493961267471948), np.float64(0.11528844420401105), np.float64(-0.4060810119198919), np.float64(0.12518420869590796), np.float64(-0.2347460051521016), np.float64(-0.6776206756721618), np.float64(-0.7923935007027431), np.float64(0.21451124159079604), np.float64(2.9415539556112202), np.float64(-1.7688873221094505), np.float64(0.10041618304772683), np.float64(-0.6245222366002546)]","[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.73404894 2.76471566 5.70576994 0.45520373],0.054120908272093496
6,gaussian,COBYLA,vanilla,False,statevector,10,2,5000,1e-08,True,5,>>graph6<<DbS,0.9454960823059082,50,"[np.float64(0.1470059428671576), np.float64(-0.2852836440829316), np.float64(0.04288935691142408), np.float64(0.7003601285699034), np.float64(-0.7015986041275284), np.float64(-0.09618431938233749), np.float64(0.36714694087222366), np.float64(0.3530790833560682), np.float64(-0.6374729872784858), np.float64(-0.0013573720650989773), np.float64(0.28281686573650866), np.float64(-0.6950738438351298), np.float64(-0.2635083590258849), np.float64(0.6018069915874119), np.float64(1.2810797432975944), np.float64(0.5026531103227032), np.float64(0.30143051292666245), np.float64(0.5868203458017227), np.float64(-0.46767018793224313), np.float64(0.2037205990019646), np.float64(0.5506616555713968), np.float64(0.20331715939128753), np.float64(-0.1417239579868404), np.float64(-0.3183729911229378), np.float64(-0.3531006175172872), np.float64(-0.3059218157233849), np.float64(0.42955015326615753), np.float64(-0.14672599634753608), np.float64(-0.46145736921562447), np.float64(0.3911537868643157), np.float64(-1.358488548226175), np.float64(-0.22442725404019886), np.float64(-0.1731973592296977), np.float64(-0.04027797053008464), np.float64(0.4256238802990582), np.float64(-0.03796864823951718), np.float64(0.13956227763493123), np.float64(-0.000826359487812317), np.float64(-0.48374603058842147), np.float64(-0.14165499243483776), np.float64(-0.0093946929068814), np.float64(0.1054340281782406), np.float64(0.35393971035344507), np.float64(0.5532563415393794), np.float64(0.1332785489919752), np.float64(-0.3664283981156827), np.float64(-0.03020842205307603), np.float64(-1.0345777958256632), np.float64(-0.223189073356315), np.float64(-0.36465267386779593)]","[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.90746022 0.62673876 3.39306059 1.72549495 2.0545148  2.83292264
 5.99727198 2.16681656 4.20019131 0.56805157 3.91387084 0.37964949
 2.81252997 0.82321743 6.22530269 0.46628424 5.55955744 0.08099053
 2.33394637 2.32430842]",0.3113953880973946
7,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<DbS,0.20135140419006348,50,"[np.float64(1.7866035978644017), np.float64(0.6582838623310496), np.float64(0.1947339013980609), np.float64(0.28585633195833177), np.float64(0.03308042405039185), np.float64(0.16719093107652028), np.float64(-0.7415658869774513), np.float64(-0.5298717086767089), np.float64(0.1968471013676809), np.float64(0.06671885732276239), np.float64(2.613866977142429), np.float64(0.586807106935016), np.float64(0.10286613579906534), np.float64(0.31678912352141675), np.float64(1.7142254480373977), np.float64(-0.2625645697421958), np.float64(0.19369795848016227), np.float64(-0.1905750693920254), np.float64(-0.03217208538667485), np.float64(0.9706181726910988), np.float64(2.225452539936505), np.float64(0.6799381668714573), np.float64(2.2277636794625177), np.float64(-0.375436131747636), np.float64(-0.5577975208490041), np.float64(0.491074317865154), np.float64(2.1570584639789963), np.float64(0.05071799093579815), np.float64(0.04777344130074236), np.float64(0.38951384957875734), np.float64(0.3780591549534817), np.float64(1.3631647558037752), np.float64(-0.029652180646933757), np.float64(0.5823571819300183), np.float64(0.454138741683587), np.float64(-0.0016762962580871184), np.float64(-0.6015018057067882), np.float64(0.357701551503261), np.float64(-0.7936467994363372), np.float64(1.2470794249222474), np.float64(-1.0895511588741091), np.float64(0.513378447397245), np.float64(0.9714583992987212), np.float64(0.7705439704269491), np.float64(-0.21777470399139995), np.float64(-0.7637565040739561), np.float64(0.09554874233156667), np.float64(0.9799248925036995), np.float64(1.5699966285128655), np.float64(-0.7981798209801778)]","[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[0.13009227 0.41299098 0.42864824 3.04779992],0.08457100506561153
8,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<DxK,0.2932286262512207,50,"[np.float64(-1.4192679248729552), np.float64(-0.9831973342116034), np.float64(-0.018205703879227958), np.float64(0.03810929489746785), np.float64(-0.3124559460934652), np.float64(1.9161894316387293), np.float64(-0.22051774116470757), np.float64(-1.0171001702787237), np.float64(0.12871060184196875), np.float64(3.422433497429897), np.float64(-0.406823370047306), np.float64(0.07343337273978473), np.float64(0.6303808154231145), np.float64(0.5290428471711148), np.float64(1.2960290454278898), np.float64(0.1517107728608206), np.float64(-0.28952491000661773), np.float64(1.569028284116281), np.float64(0.7294067894871995), np.float64(1.3583763930694455), np.float64(0.08382261632103416), np.float64(-0.566004001362538), np.float64(0.044903314572756065), np.float64(-0.7809815349546207), np.float64(-1.2868381100286905), np.float64(0.4228285754243051), np.float64(-0.7085274982467613), np.float64(-0.05787310506557529), np.float64(-0.3728271741609638), np.float64(0.7543950734650078), np.float64(-1.095263048568472), np.float64(-0.4128035955670729), np.float64(0.16325730455814114), np.float64(-0.1474607031539614), np.float64(0.6072141305974457), np.float64(0.5879711206675812), np.float64(0.26985199480485833), np.float64(0.9552457188513795), np.float64(0.891964628647543), np.float64(0.7586383919676453), np.float64(-0.6967173881712607), np.float64(-0.8606537617725588), np.float64(-0.01569677894851298), np.float64(0.44922987864658165), np.float64(-0.08979177233235136), np.float64(-0.03981779279905052), np.float64(0.22438095405792902), np.float64(0.04086654979481212), np.float64(-0.5091428397659664), np.float64(-0.7023788914089536)]","[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.28235971 0.53975367 3.09104989 0.37627052],0.32675436980597383
9,gaussian,COBYLA,vanilla,False,statevector,2,2,5000,1e-08,True,5,>>graph6<<Dv[,0.2791459560394287,50,"[np.float64(-1.239439524183501), np.float64(1.3918839364331121), np.float64(-0.11259710707743797), np.float64(0.22579377025177816), np.float64(-0.8308167819038783), np.float64(2.3393669882700174), np.float64(0.4411670020747511), np.float64(-0.9096289233628106), np.float64(-0.8553537592230043), np.float64(-1.8125724233167877), np.float64(5.229074693980583), np.float64(0.16301001716188904), np.float64(3.4499612187593223), np.float64(-0.6381294058388718), np.float64(2.5505727590873435), np.float64(-0.5361353987432487), np.float64(0.8791308943966807), np.float64(-0.16093561142600535), np.float64(-0.936788853033437), np.float64(0.4254732508111052), np.float64(0.45954123960305626), np.float64(2.4560354971767366), np.float64(-1.2604938283679388), np.float64(0.35446225280560073), np.float64(-0.8271031882847694), np.float64(2.534334875953171), np.float64(0.17192838824830978), np.float64(-0.6736417076572435), np.float64(0.14073264982006384), np.float64(-0.8571310365063024), np.float64(0.5225390052397307), np.float64(-1.9118064120971914), np.float64(2.4034198588940705), np.float64(3.104437167631729), np.float64(3.577618684192806), np.float64(-0.5146528408262788), np.float64(0.2355905688603531), np.float64(-1.0584956093540114), np.float64(-0.12102773664208494), np.float64(4.844293404330285), np.float64(-0.1339531046922371), np.float64(-0.765631005303729), np.float64(0.268453608068408), np.float64(3.148611565751881), np.float64(0.27711142864331145), np.float64(3.053982630833279), np.float64(-0.7661134959765866), np.float64(-1.146851452122161), np.float64(-0.6994043384193933), np.float64(-1.6435051026395748)]","[1, 0, 1, 1, 1]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.37767049 2.90804256 0.30336965 2.47733659],0.19512136912010453
