,Unnamed: 0,param_initialization,optimizer,qaoa_variant,warm_start,backend_mode,depth,lagrangian_multiplier,amount_shots,max_tol,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,ratio
0,0,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DbS,0.2336242198944091,50,"[np.float64(-0.40354782046609233), np.float64(-0.3998728265487403), np.float64(-0.09380296251061682), np.float64(-0.0844670736181415), np.float64(0.08975931553296615), np.float64(-0.2745432883418128), np.float64(-0.6321896496633326), np.float64(-0.2319987088727467), np.float64(-0.48526240097026063), np.float64(-0.263448316055814), np.float64(0.5206403823639157), np.float64(0.22660868044441276), np.float64(1.1124615362144976), np.float64(0.716737663087102), np.float64(-0.5909643624514764), np.float64(0.5410852142154908), np.float64(1.3517766758623337), np.float64(0.013789252976958516), np.float64(0.10100159083484693), np.float64(-0.1453050194214094), np.float64(0.5691935118884827), np.float64(0.29741464053296557), np.float64(-0.2244737994359075), np.float64(-1.067838235263801), np.float64(0.6274611973052544), np.float64(-0.563396361154585), np.float64(0.8947507110296321), np.float64(0.8796871689285521), np.float64(-0.38826511923443957), np.float64(-0.6372946255467312), np.float64(0.4917934094004487), np.float64(0.3249550443711612), np.float64(0.08463504645269267), np.float64(0.9556604649018975), np.float64(0.7721212643484359), np.float64(-0.5694714068105243), np.float64(0.18187892878410583), np.float64(1.1277084011275187), np.float64(-0.11103122521982), np.float64(-0.06360022135299437), np.float64(0.6962306476176943), np.float64(-0.4914955843512062), np.float64(-0.5972450885819227), np.float64(0.1919950692583121), np.float64(0.5526071054158972), np.float64(0.4973487565431639), np.float64(-0.34845832287462275), np.float64(-0.9580140093330549), np.float64(0.8934916609048855), np.float64(-0.26161447395521276)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[1.65631081 2.86258824 5.65293562 1.45912843],0.6587933509183478,1.0
1,1,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DxK,0.2497639656066894,50,"[np.float64(1.4851573346010545), np.float64(1.6329027330451213), np.float64(1.0553524911674455), np.float64(1.2976117250182413), np.float64(0.409694048607276), np.float64(-0.30022068224666015), np.float64(1.5075025869682463), np.float64(1.586371441894532), np.float64(-0.5445892237780676), np.float64(0.4979487667108682), np.float64(0.76474133593169), np.float64(0.3392179393569433), np.float64(-0.861620033922591), np.float64(-0.5901497235326408), np.float64(0.969956366913332), np.float64(0.5937915333015465), np.float64(-0.40175222725933357), np.float64(-0.0847189033872393), np.float64(-0.7120253087753036), np.float64(0.7500301623550907), np.float64(-0.14207856930383395), np.float64(1.486197188179195), np.float64(1.4253796177927598), np.float64(-0.8747974439059609), np.float64(0.17230944632217554), np.float64(0.9015792390771151), np.float64(-0.44543892355230597), np.float64(0.28515668158343827), np.float64(-0.36714841270674126), np.float64(1.2872693689782928), np.float64(1.3838632047087374), np.float64(-0.25678007089194615), np.float64(0.19308696375595286), np.float64(0.5711948504544972), np.float64(0.6738410475580443), np.float64(0.17411519366635564), np.float64(0.05693939946459185), np.float64(0.3699025697820966), np.float64(0.18108200701551924), np.float64(-0.5151112728279471), np.float64(0.481913984963983), np.float64(1.1565388516660988), np.float64(0.628443034057054), np.float64(-0.6175777479387855), np.float64(0.066279302591914), np.float64(-0.32025205283258423), np.float64(-0.014260128853956), np.float64(1.6590869829182031), np.float64(1.5492020127327182), np.float64(1.6341214956791639)]","[1, 1, 0, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[1.37300821 1.13131596 6.03736769 0.61783403],0.9449870818400838,1.0
2,2,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DbS,0.7222750186920166,50,"[np.float64(-0.6209786929852981), np.float64(0.18292321946190473), np.float64(0.09553182646751174), np.float64(-0.01362032167765298), np.float64(-0.13660977958746476), np.float64(0.332034594714376), np.float64(-0.09434563755831403), np.float64(0.39011695041773065), np.float64(-0.43522134690911546), np.float64(-0.305459264525499), np.float64(-0.08402875756770367), np.float64(0.3478852051438369), np.float64(0.30042663827682486), np.float64(-0.1292178878703586), np.float64(0.42921738558287914), np.float64(0.47835566826838033), np.float64(0.19902760121763757), np.float64(0.5122158448730592), np.float64(-0.43336632781988255), np.float64(-0.16147717870704192), np.float64(-0.5511331049521052), np.float64(0.38109191467299014), np.float64(0.6625456960613114), np.float64(0.2528042702522052), np.float64(-0.5423359383616805), np.float64(0.05474809638433217), np.float64(0.467023496312052), np.float64(0.43236571086346115), np.float64(0.6611887836745985), np.float64(-0.31010693407282564), np.float64(-0.2770801019030137), np.float64(0.03674272563029973), np.float64(-0.38280796382484344), np.float64(0.8290418604760574), np.float64(0.2778384054457196), np.float64(-0.07984598024716037), np.float64(-0.10633564662148426), np.float64(-0.15125101599409607), np.float64(0.43815621758607315), np.float64(0.11230349562641356), np.float64(0.39653141272603776), np.float64(0.4537747939847411), np.float64(0.6080037546638152), np.float64(-0.15268968380734554), np.float64(0.4404311551806366), np.float64(0.12770833723632227), np.float64(-0.3571459352672594), np.float64(-0.11147908244619154), np.float64(0.22182541509098863), np.float64(-0.22914270413391913)]","[1, 0, 0, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[5.50452787 1.42060975 3.90913497 2.91719953 1.15915422 1.99867303
 3.86623937 0.24426336 0.23075468 3.13930001 3.65429013 1.7721672
 5.36827485 0.8985369  4.5957507  2.83822135 0.02270399 0.41879961
 0.04443947 2.40712432]",0.4434282362189127,1.0
3,3,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DxK,0.8768260478973389,50,"[np.float64(1.7730028922916181), np.float64(0.9347644434361594), np.float64(1.8520269727224603), np.float64(-0.41980536988862194), np.float64(0.0361424003910915), np.float64(0.20551956991766196), np.float64(0.302698463066514), np.float64(0.5930925145480281), np.float64(0.599748395815447), np.float64(0.027024290094621484), np.float64(0.6633813035031021), np.float64(0.3840892981240447), np.float64(0.060864778293803046), np.float64(1.1613765967110343), np.float64(1.0276884144110585), np.float64(0.6318776039428645), np.float64(-0.002982241931301477), np.float64(-0.5977672519915758), np.float64(0.26984010243078604), np.float64(-0.23702451471986574), np.float64(0.04955835353315327), np.float64(-0.6375739739831695), np.float64(0.8385355401350338), np.float64(1.0145648412909398), np.float64(0.2985194157179113), np.float64(0.45755031614923924), np.float64(0.1820252434024112), np.float64(1.269845495315597), np.float64(0.27896155273372175), np.float64(1.426211027768785), np.float64(-0.49201061356444026), np.float64(0.11350446132726255), np.float64(0.38764986573106364), np.float64(0.494622465437766), np.float64(0.7731205421117524), np.float64(0.1099882563033), np.float64(0.6592932172985712), np.float64(-0.5449532102649781), np.float64(0.5985082288318003), np.float64(0.6244159873337434), np.float64(1.0541552628421307), np.float64(0.7379302303501305), np.float64(0.46275676085280365), np.float64(-0.01992315843396053), np.float64(0.7635888859100433), np.float64(1.481839231132162), np.float64(0.13229697320087772), np.float64(1.9901498223141425), np.float64(0.604770718100177), np.float64(-0.31161759877308154)]","[1, 1, 1, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.24574754 2.03060689 4.3514647  1.29158345 5.53753301 1.6263065
 1.67570546 0.67320563 0.8441439  2.49778278 6.14320807 1.72249199
 4.0311049  2.07937818 3.92104368 0.74065055 4.84022613 1.33821505
 4.94162933 0.42346615]",0.8388286470229812,1.0
4,4,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DbS,0.2178564071655273,50,"[np.float64(1.1087787850064075), np.float64(-0.42319995601897736), np.float64(-0.8175581824297324), np.float64(0.8307905961384648), np.float64(0.01871805866329286), np.float64(0.9447920608377738), np.float64(-0.11463403105786946), np.float64(-0.7079819783859762), np.float64(-1.0464868989253864), np.float64(1.2213977228916952), np.float64(-0.42559558175709805), np.float64(0.7994646475658733), np.float64(1.279113799541069), np.float64(-0.3782909783984521), np.float64(0.24766516050902193), np.float64(1.0559538637510268), np.float64(-0.18909961012918383), np.float64(0.4188623270348849), np.float64(-0.2648931081080319), np.float64(0.5934133291470489), np.float64(-0.6128736077693799), np.float64(-0.40417056730022877), np.float64(0.507379722743711), np.float64(-0.0836252122505864), np.float64(0.5218013448985771), np.float64(0.1719197461254776), np.float64(-0.0629885529094612), np.float64(0.6059148809255263), np.float64(0.10504527246721501), np.float64(-0.3949117712090583), np.float64(0.30943805510822997), np.float64(0.5521690108717651), np.float64(0.5486233705459187), np.float64(-0.262016322400475), np.float64(-0.5023757615841541), np.float64(0.8936750833377894), np.float64(-0.6368117852556502), np.float64(-0.4945539432563281), np.float64(1.146213371537021), np.float64(0.6178690802051815), np.float64(0.05823449169999196), np.float64(-0.7683896295261472), np.float64(0.4404847203235062), np.float64(1.1451775620529911), np.float64(0.00804135628499543), np.float64(-0.42750635749720317), np.float64(-0.3056079162253932), np.float64(-0.14107737713410176), np.float64(-0.2791733011383505), np.float64(0.19151019223780746)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[1.65950667 1.34235461 5.4924361  1.54541555],0.6177496710758537,1.0
5,5,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DxK,0.2114534378051757,50,"[np.float64(0.6016617359307463), np.float64(0.7782251769157235), np.float64(-0.21187860261006045), np.float64(-0.7395520507679645), np.float64(0.6016556447262983), np.float64(1.117833992408317), np.float64(0.698017812818095), np.float64(0.705697913985572), np.float64(1.370466643925342), np.float64(0.5705932374743163), np.float64(0.13144879681797), np.float64(0.6818066035589163), np.float64(-0.3434963920186413), np.float64(0.7852578443220066), np.float64(-0.31564004989723543), np.float64(0.062015111642485965), np.float64(1.3224428931308445), np.float64(0.9671347464257494), np.float64(0.6014847641091937), np.float64(1.6498451627559492), np.float64(0.36890413053601434), np.float64(-0.5189742889508654), np.float64(0.1443751272603701), np.float64(1.0767531725046573), np.float64(-0.9521155870636098), np.float64(-0.02981722692970333), np.float64(0.310751515188268), np.float64(0.47263509219788147), np.float64(-0.4889547706185977), np.float64(0.06860241671991463), np.float64(0.20784131897480734), np.float64(-0.577098763985066), np.float64(-0.4954675161597152), np.float64(-0.10896511442152344), np.float64(0.27636240639668463), np.float64(0.012900490065802128), np.float64(-0.8087680713554521), np.float64(1.647351561172803), np.float64(1.467401323916427), np.float64(0.5749908111028114), np.float64(0.17927577212250745), np.float64(0.11351415529757958), np.float64(-0.6157280428277089), np.float64(-0.2526943612705018), np.float64(0.10377358204060466), np.float64(1.759039853159187), np.float64(0.21440500620516625), np.float64(1.881883950078353), np.float64(0.0342659042043964), np.float64(0.6950076933955558)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[1.27405613 3.09213017 3.67358823 0.53825121],0.9808598462900506,1.0
6,6,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<Dv[,0.2990365028381347,50,"[np.float64(0.43710009305958075), np.float64(0.009380622184119045), np.float64(1.013285560276298), np.float64(1.5622904453519695), np.float64(1.201074139442009), np.float64(-1.174097174630291), np.float64(-0.07148612739545265), np.float64(0.4894281520263818), np.float64(-0.4647655731991477), np.float64(-0.4976610732342446), np.float64(-0.6778712749182322), np.float64(-0.0680761662956581), np.float64(1.112217858541534), np.float64(-0.2215594855922279), np.float64(-0.12941040051048516), np.float64(-0.29897160278276336), np.float64(0.4218636997964835), np.float64(0.7468831229501303), np.float64(1.2698585505185913), np.float64(0.40542165962553295), np.float64(0.604335304443641), np.float64(0.49834399476288843), np.float64(0.10006432658162065), np.float64(-0.1851212382055512), np.float64(-0.3052945340589796), np.float64(1.6681947100710426), np.float64(2.4366111175845186), np.float64(0.12246159199359807), np.float64(-0.45376293969229564), np.float64(-0.07049283154493852), np.float64(0.013054369409367174), np.float64(-0.23089896440901508), np.float64(1.2623344504338165), np.float64(0.32007673075276444), np.float64(-0.9218831106989909), np.float64(-0.6287930478110294), np.float64(0.8946423544695676), np.float64(0.6057028319550519), np.float64(-0.04637215042433241), np.float64(1.9337758623496113), np.float64(-0.4993347654334621), np.float64(0.01111535477184674), np.float64(0.46271951272558337), np.float64(2.193962521845438), np.float64(-0.14175052739537897), np.float64(-0.6071058948377429), np.float64(-0.28687682137571824), np.float64(0.6418556760789726), np.float64(0.1625951615265915), np.float64(1.1649484221953732)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[0.20398263 1.29372144 6.00350309 2.53835965],0.3997808285462446,1.0
7,7,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DbS,0.9829998016357422,50,"[np.float64(0.6944663788861122), np.float64(0.30053825846883364), np.float64(0.5103051645859844), np.float64(-0.11643361374635061), np.float64(0.3811295474104016), np.float64(-0.669912290245749), np.float64(0.9549880806027338), np.float64(-0.42057427859747143), np.float64(-0.2563747440551417), np.float64(0.3145665158012624), np.float64(0.026293538156842974), np.float64(0.2882007008532277), np.float64(-0.7714270904525351), np.float64(-0.4263013324520638), np.float64(0.5077601287173837), np.float64(-0.17415852296319106), np.float64(0.5407099813253622), np.float64(-0.31357231916148887), np.float64(-0.6051629047434554), np.float64(0.5569874677500198), np.float64(0.5478538540040804), np.float64(0.24487264431492814), np.float64(0.4579845449110365), np.float64(-0.3072962893792385), np.float64(0.24815340578017225), np.float64(0.11252535165157955), np.float64(0.387200052397672), np.float64(0.7003983228710176), np.float64(-0.7550306336535513), np.float64(-0.23371509305059354), np.float64(1.116677217275938), np.float64(0.2675580074296959), np.float64(0.1273305904123987), np.float64(-0.21926113357379162), np.float64(-0.15044524730415643), np.float64(-0.26307173373643133), np.float64(1.0505588157431411), np.float64(0.3339569911524637), np.float64(1.1691497514449785), np.float64(0.39744331249488135), np.float64(0.6138275794121099), np.float64(0.05454743379559274), np.float64(0.31097908042044664), np.float64(0.24406493324841133), np.float64(0.0762573523119947), np.float64(0.37745922012105326), np.float64(0.34494234360975806), np.float64(-0.2890455903967349), np.float64(-0.3150621011178662), np.float64(0.2920521570357884)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[6.01047407 2.58406163 0.94218481 1.56898974 0.91538319 2.62136932
 4.66869667 0.13214724 0.8776449  2.63659359 1.66325124 0.79702638
 4.08390616 1.69506618 5.8832342  3.08857611 5.66373037 1.66144412
 2.44087187 0.39439303]",0.6950486046586435,1.0
8,8,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DbS,0.2695469856262207,50,"[np.float64(-0.46861357578416835), np.float64(0.24202758511137473), np.float64(-0.31623474656602857), np.float64(0.15667978161867452), np.float64(0.5828039025836554), np.float64(-0.04111615225584557), np.float64(0.33977072757120996), np.float64(0.7368897966675352), np.float64(-0.19675143821559848), np.float64(0.20628484086280496), np.float64(-0.5403534732911511), np.float64(-0.3297905435052489), np.float64(1.0895496118663073), np.float64(0.6444524911216787), np.float64(0.7913402027324888), np.float64(0.4999971307959959), np.float64(-0.7612461396899637), np.float64(0.6033376149232701), np.float64(-0.42746452510638544), np.float64(-0.4577656236888912), np.float64(-0.20976470962379118), np.float64(0.09652450106413234), np.float64(0.45861654512962047), np.float64(-0.22283494183091399), np.float64(1.0494260485059563), np.float64(0.19443077081238652), np.float64(1.2151852986738847), np.float64(0.3960883697491776), np.float64(-1.0063769450061746), np.float64(-0.4630761617497803), np.float64(-0.19800609864468027), np.float64(0.688999389070082), np.float64(-0.5119836955413039), np.float64(-0.15239798312174463), np.float64(-0.33942635933749976), np.float64(0.012517692184052756), np.float64(-0.6980872595708691), np.float64(-0.31104896324343506), np.float64(-0.617489268926536), np.float64(-0.0416076560820212), np.float64(0.16130384192372352), np.float64(0.5085669530007265), np.float64(-0.37313957015351906), np.float64(0.4539589972290795), np.float64(-0.652820892606583), np.float64(0.19752386299399177), np.float64(0.24630540633454295), np.float64(-0.5371138646450356), np.float64(1.220465513668824), np.float64(0.2742970163331193)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[5.10291472 3.04457044 5.38591717 2.42449734],0.7054538913399616,1.0
9,9,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DxK,0.225590705871582,50,"[np.float64(0.8234254244393201), np.float64(0.7410195351980763), np.float64(-0.03259802262015359), np.float64(1.224982087861394), np.float64(0.3549470792777978), np.float64(-0.4328308549314036), np.float64(0.6385966855410692), np.float64(-0.7094027271475459), np.float64(0.5678647169697281), np.float64(0.19784837127556437), np.float64(1.3298836004260621), np.float64(1.0285889825809307), np.float64(0.9523122988845354), np.float64(-0.8663774778494395), np.float64(-0.14854216699810585), np.float64(1.4147661146979165), np.float64(1.1978476022823492), np.float64(1.4891270342925411), np.float64(-0.0895094223402155), np.float64(1.421854548108736), np.float64(-0.8023448717296324), np.float64(1.697742875931156), np.float64(0.607113045835751), np.float64(1.2491740217271685), np.float64(-0.07727152983437502), np.float64(-0.33406059421828316), np.float64(1.1362348827912787), np.float64(-0.11701695251540453), np.float64(0.5742655307892929), np.float64(0.6115895343631252), np.float64(-0.1771881235811914), np.float64(1.265788868012928), np.float64(0.9077687745634229), np.float64(1.5271025589632568), np.float64(-0.5493155997265227), np.float64(0.5818010769126357), np.float64(-0.0830176448070023), np.float64(0.9659995091815952), np.float64(0.24712520841939406), np.float64(0.24713861515054647), np.float64(0.4770876471168989), np.float64(2.1247959424935576), np.float64(-0.7049573141549947), np.float64(1.011799301484361), np.float64(-0.6476587756927908), np.float64(-0.8176704849172111), np.float64(1.3786866169294032), np.float64(0.8178708199675382), np.float64(0.2463423351243404), np.float64(-0.2246496878080676)]","[1, 1, 0, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[3.06533244 1.94593589 3.27997474 2.51613958],0.9423510355338428,1.0
