,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,1.4295473098754883,300,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,[4.24212973 1.84613288 2.58799579 1.25259354],0.1208
1,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,0.7782378196716309,142,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[1.57079632 0.78539819 3.92699079 2.35619449],0.0
2,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,0.9827084541320801,152,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.04629922 1.35478785 3.4131565  0.85936568],0.3056
3,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,22.68485379219055,3228,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[2.57514136 2.21833866 3.53991917 1.66412971 2.81535165 2.20850745
 3.37994796 1.16300837]",0.3108
4,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,45.954978227615356,5000,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.6276594  2.17883436 3.57621179 1.63402431 2.83600294 2.25775304
 3.28198433 2.6844969 ]",0.6625
5,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,29.180585384368896,2181,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.58966258 1.77428559 2.87448157 1.3554991  3.38404544 0.48212519
 4.63627468 2.76001061]",0.5901000000000001
6,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,43.780715227127075,3803,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[5.09632351 2.21598318 2.87564688 1.18403726 1.61335539 1.32424307
 2.6117287  0.42731065 4.03635289 1.63501249 3.42888325 1.10674423]",0.7406
7,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,0.7279212474822998,150,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[3.6544817  2.03302976 4.11066842 2.0987082 ],0.1127
8,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,2.2389822006225586,405,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.73832898 3.36840644 2.75433392 1.2466502 ],0.6792
9,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,0.7910594940185547,131,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[3.75092553 1.05496936 2.71100382 2.59648879],0.0696
