,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,2.684222459793091,198,0.7368421052631579,"[0, 1, 0, 0, 0, 1]",3.5,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[4.09719396 1.69388485 3.00627978 0.84268922],0.045263933554042325,2,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,6.863307952880859,327,0.8181818181818182,"[1, 0, 0, 0, 1, 1, 1, 0, 0]",9.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[3.72607409 1.4973693  2.94752811 0.66142103],0.007920518183452751,2,>>graph6<<HmzffJz
2,12,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,10.219707250595093,253,1.0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",19.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.73520783 1.42959798 2.57507295 0.51934247],0.005098917243684635,2,>>graph6<<KmzffJznl{hU
3,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,4.339415788650513,227,1.0,"[0, 0, 1, 0, 1, 0, 0, 1, 1]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[3.90231209 1.36928298 3.57225049 0.81645958],0.04074305899482978,2,>>graph6<<Hh_iS_u
4,6,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,2.405198812484741,183,0.7368421052631579,"[0, 1, 1, 1, 1, 0]",3.5,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.64415305 1.33297593 3.07680283 2.22737579],0.0638617793672214,4,>>graph6<<Emz_
5,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,5.686368703842163,202,0.8181818181818182,"[1, 0, 0, 0, 1, 1, 1, 0, 0]",9.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[3.86943562 1.46420936 3.08219644 0.62657513],0.016995045370355462,4,>>graph6<<HmzffJz
6,12,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,11.447474956512451,297,0.8205128205128205,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]",16.0,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.01200051 1.58222095 3.83382935 1.91175374],0.0004503796593336185,4,>>graph6<<KmzffJznl{hU
7,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,15.096007585525513,922,0.96875,"[1, 0, 0, 0, 1, 0, 0, 1, 1]",7.75,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[4.12469469 1.39565922 3.84478787 0.8394411 ],0.02422280063926472,4,>>graph6<<Hh_iS_u
8,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,8.564280986785889,351,0.6818181818181818,"[0, 1, 0, 1, 0, 1, 0, 0, 1]",7.5,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[3.59061142 2.85405327 3.14328614 2.67281309],0.023255414364877307,6,>>graph6<<HmzffJz
9,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,1.9569506645202637,167,0.875,"[1, 0, 0, 1, 0, 1, 1, 1, 0]",7.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[4.09132012 1.40525105 3.04710734 0.92121399],0.01483167330576465,6,>>graph6<<Hh_iS_u
