param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DkO,5.664187431335449,1038,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[3.79761599 2.13386841 2.43263062 0.44481903],0.3726
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dm{,1.4016790390014648,171,"[0, 1, 1, 1, 1]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,[4.24135245 1.39111665 2.89245846 2.39135429],0.1528
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,15.01206350326538,1299,"[1, 0, 1, 1, 0, 1, 1]",5,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[4.26553037 1.68549499 2.80110997 1.29745463],0.1707
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,63.19352054595947,4619,"[1, 1, 0, 1, 1, 1, 0]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[2.76525622 3.30468386 2.94707222 0.77067128],0.2731
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,73.90650629997253,5000,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[3.08982314 0.51640719 3.80148734 2.2256124 ],0.0246
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,28.00497031211853,1379,"[1, 1, 0, 1, 1, 1, 1, 1, 1]",8,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[2.06507803 1.63814142 3.32155166 2.6966987 ],0.2284
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DkO,14.457783222198486,1585,"[1, 0, 0, 1, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[2.95323769 1.79530814 4.0564736  1.92036    3.7419114  1.42822287
 4.27621332 1.51017516]",0.6235999999999999
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dm{,35.92029809951782,3432,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.64325008 2.03042947 3.43436717 1.64334612 3.50159801 1.50292294
 3.02232452 2.03591489]",0.3432
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DkO,55.36822772026062,5000,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.10488113 0.99178995 2.16346369 1.36430317 2.94183285 1.25946416
 2.62051278 1.01721075 2.98928218 2.34442423 3.09457319 1.25927443]",0.7168
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<Dm{,67.39058995246887,5000,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[4.3086939  2.15210937 3.667376   1.77494108 3.36737639 1.20049748
 2.77423076 2.29151595 3.04733049 1.37845235 3.04320671 3.24126166]",0.5104
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,87.38044500350952,5000,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[4.22396346 1.69344145 4.81469953 2.54271836 3.59793703 2.0323755
 2.97462737 0.93993149]",0.2965
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,117.29080486297607,5000,"[1, 1, 1, 1, 1, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[4.02407005 1.60400159 3.08947274 2.84220376 2.8972949  1.11077929
 3.54086509 1.86851735]",0.1478
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,132.11411690711975,5000,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[2.77849578 2.79385215 2.54274257 2.98968762 2.86207054 0.96858112
 3.06666778 0.69112545]",0.1714999999999999
