,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,276.3428726196289,96,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[1.76835883 1.97100551 4.23032003 1.92427737],0.1511
1,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,257.83945536613464,90,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.05765466 1.33758914 3.54625438 1.78182965],0.5727
2,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,295.18905377388,91,"[1, 1, 1, 1, 1]",5,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.22542755 1.5331132  2.8135182  2.85691338],0.1478
3,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,422.08087825775146,145,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.19739861 2.01499456 3.27311943 1.44260559 4.21689484 1.46609042
 4.40730993 2.92670722]",0.1361
4,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,398.7760090827942,141,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.60098695 1.81539682 3.1699422  1.66328625 3.47754411 1.44794883
 4.1547935  2.64102449]",0.5734
5,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,441.1439793109894,149,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.40213862 2.61224629 2.86882195 2.0168326  2.84369088 2.9176312
 3.30644073 1.67970218]",0.1275
6,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,637.552766084671,218,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.14602035 1.60937484 3.24456244 1.98236794 4.32068038 1.32969768
 3.41404397 1.55947296 2.85277272 1.42581596 3.34881393 1.40998575]",0.4256
7,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,303.8749248981476,104,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[2.55898008 0.30915417 2.77121862 1.47039385],0.1975
8,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,266.56070947647095,90,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[1.61738771 0.48117935 4.68127605 1.94447867],0.3017
9,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,220.40212082862854,75,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[3.04490427 2.475202   3.25806762 1.6531592 ],0.3006
10,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,662.9740915298462,227,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.56395705 1.81406551 2.79707596 1.66220145 3.05208763 2.78906824
 3.42719857 1.57585813 4.11704788 1.58975876 2.91165323 1.64594572]",0.5570999999999999
11,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,669.5448911190033,229,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.16747522 1.5957404  3.13065627 1.58536479 3.89249936 1.66160355
 3.36985482 1.62606796 2.74686173 1.59967334 3.14691995 2.40864634]",0.010100000000000001
12,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,444.7568168640137,148,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.22703509 1.62866161 4.37647251 1.41780076 2.79046116 1.24992881
 4.07186511 2.65553128]",0.0698
13,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,426.77819776535034,142,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.46756605 1.83545452 2.89624194 1.40687733 3.55125562 1.5647302
 4.31279633 1.05776042]",0.3994
14,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,386.35972809791565,137,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.17528815 1.15404624 2.60968574 1.01815961 2.87863448 1.36338861
 3.40021582 1.33718745]",0.1689
