,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,53.74866485595703,5000,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[4.43174047 4.57835802 3.12310233 3.9908896  3.82173532 3.96444952
 2.38504386 3.19969701 4.65873694 4.71391043 1.54143649 1.77692511
 1.60845657 1.59558106 1.73174916 1.6168529  3.14882303 3.05643556
 2.97270207 3.16140201 3.2749989  3.15626663 3.10517483 3.12262758
 2.9900408  3.89021647 1.54900893 1.64217303 0.92445085 1.55356185
 0.6777847  1.55365873]",0.48685907910219384,2,>>graph6<<Emz_
1,9,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,114.91412734985352,5000,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[1.56199827 4.47969308 3.9833815  4.80055509 4.73277057 3.0883029
 4.69665239 4.43022157 3.14523564 4.69506313 3.73249161 4.33273916
 4.04766001 4.7210361  4.71328966 3.52883755 3.65282828 4.63641544
 3.12230465 3.09391773 3.11678104 3.13548466 3.15347795 3.16896926
 3.15010339 1.591222   1.49188579 1.53063104 1.57104291 1.4679078
 1.31073493 1.55599005 1.56705646 1.53568829 3.1392885  3.16127378
 3.13243536 3.28376202 2.83701083 3.09606791 3.1347721  3.12425084
 3.11224183 3.18222393 3.48955662 3.45549481 3.15159125 3.06464213
 3.05713963 4.68596087 3.02512475 3.6880018  3.54707452 3.15255359
 3.3002026  3.42448294 3.15949882 3.14491282 3.5319577  1.57419717
 1.52860337 1.57013083 1.27013078 1.96975959 1.67619188 1.55844992
 1.60288401 1.64134852]",0.7876738716669256,2,>>graph6<<HmzffJz
2,9,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,86.24466800689697,5000,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[4.31787921 4.72024535 2.55513009 1.99776758 4.74895327 4.2889019
 1.70486701 1.28019543 4.91749679 4.46769857 4.67518089 2.4108015
 5.48108643 2.42156772 1.18327279 2.62635591 0.61731082 2.51877981
 1.52166405 1.55066238 1.6507654  1.57320781 1.54904959 4.28605627
 3.15444075 3.06434309 4.72980024 1.7086599  3.1246998  3.15427211
 3.19157616 3.28181605 3.36194693 2.47537229 4.39107987 3.13624115
 3.27058187 1.60549287 1.52092493 3.56763459 3.07373171 2.52058684
 1.78771262 1.71981416 1.50013975 1.20065174]",0.6915189348830381,2,>>graph6<<Hh_iS_u
3,6,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,54.4180634021759,5000,1.0,"[1, 0, 0, 1, 1, 1]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.12780243 4.71536727 4.71924597 4.87706474 3.14341128 4.88426046
 4.69284447 1.57490268 1.57462128 3.80869834 1.56017363 0.65954787
 1.56085385 1.53865851 1.5734058  1.5720132  3.12736318 3.1366969
 3.13880197 3.03703676 3.14202596 4.71112103 3.16201761 3.35598314
 3.12857653 3.13946878 1.60242182 1.5762871  1.5756897  1.67542205
 3.13455373 1.57419163]",0.8293639519847795,4,>>graph6<<Emz_
4,9,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,115.13315486907959,5000,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[ 4.43225538  4.70866569  1.54250533  4.6265102   4.75183614  3.11307179
  3.09382064  4.29872499  1.99457464  2.39853874  4.69064415  4.6877954
  2.46238395  1.61226915  4.70504045  4.6959844   3.85734353  4.47258069
  3.16265805  3.23421116  3.0981159   3.14618936  4.72353663  4.74794995
  3.13796271  1.49407152 -0.01315572  1.56096695  1.48996744  1.55188406
  1.62931484  1.56383961  1.56125706  1.57224392  3.14865456  3.15154201
  3.08070799  3.11742321  3.11120714  3.12869606  3.13440341  3.12208965
  3.11542176  3.08982287  3.04152242  3.51904273  3.1301728   3.09546315
  3.02765735  4.71715524  3.30927907  4.72379793  4.72301067  3.3076148
  3.15564856  3.09225635  3.16037989  3.16991194  3.13769776  1.5572719
  1.54716239  1.59613738  1.64319866  1.46313833  1.56883846  1.57088205
  1.6078483   1.63088378]",0.6937574375243362,4,>>graph6<<HmzffJz
5,9,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,86.67664432525635,5000,1.0,"[0, 0, 1, 0, 1, 0, 0, 1, 1]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[5.17773894 3.82807139 3.587085   4.62477559 1.37406315 2.92449596
 4.73766651 3.0253643  1.56683966 5.03950476 4.13388378 1.92479339
 3.24253409 2.17658697 1.52350897 1.64588713 1.5038828  1.58332021
 3.13554554 1.56005457 1.57209356 1.36205167 1.59187315 3.08754731
 3.16790794 3.15463703 1.81844049 3.16530281 3.12484949 3.13628475
 3.25407418 3.44666195 1.58127939 1.58448103 3.09434993 3.49206844
 3.05719758 0.83717023 1.54616972 1.53221868 1.12553832 1.54980886
 0.10743028 1.56870637 1.43548089 1.29668616]",0.2622883190540602,4,>>graph6<<Hh_iS_u
6,6,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,50.93742847442627,5000,1.0,"[1, 0, 0, 1, 1, 1]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[4.45566909 4.34791204 2.41916387 3.112025   1.55042189 4.92674727
 2.40670885 3.80914026 4.55481589 4.68853682 0.74465934 1.51813234
 1.51896742 1.58039986 2.2277611  1.5862302  3.15380037 3.32108979
 1.61856052 3.1453993  3.19608181 3.16638099 3.20714297 3.13290932
 3.92918089 4.66155444 1.55020617 1.15925045 1.0085888  1.53876033
 3.01731904 1.5172868 ]",0.8782138537445365,6,>>graph6<<Emz_
7,9,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,114.9921305179596,5000,1.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1]",11.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[1.55910459 4.64847059 2.25838025 4.66119164 4.68740487 3.13741694
 4.71595846 4.75579995 4.70068894 4.70741588 3.76579262 4.93443178
 3.71054816 4.60564763 4.72133453 1.58757955 3.63994069 3.36667105
 3.15598742 4.72809189 3.09964687 3.12386197 3.20564142 3.15098476
 3.14444538 1.56936714 1.56123207 1.58564948 1.56506766 1.54380353
 1.5755001  1.56272395 1.56859561 1.65158023 3.13788618 3.13615659
 3.1726868  3.15065855 3.12423176 3.18427854 3.14265152 3.1303807
 3.08956471 2.97622035 4.68353438 3.4072568  3.21903734 2.75964345
 3.1088619  3.13739832 3.14054891 3.17030662 3.10095908 3.14490151
 3.18057984 3.13516318 3.15235055 3.14704806 2.60325456 1.56824208
 1.57881523 1.51127852 1.48718026 2.07111793 1.31307645 1.61122047
 1.60499485 0.17126901]",0.7946691958893183,6,>>graph6<<HmzffJz
8,9,statevector,gaussian,multiangle,COBYLA,True,2,False,5000,1e-08,2,78.32443523406982,5000,0.875,"[0, 1, 1, 0, 0, 1, 1, 1, 0]",7.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[ 1.97483876  2.60256066  4.8164762   4.41977535  3.14309616  4.73555041
  1.41168422  4.77285954  4.70517586  4.28228282  4.53169589  3.83828383
  2.37635641  4.7137243   1.53834091  2.48554229  1.13640854  1.56329301
  1.57106333 -0.01020855  1.57928647  1.57271263  1.52089966  4.84947163
  3.15880644  4.69997135  3.47957199  3.16530215  3.1034834   3.13648397
  3.56927778  3.12815347  3.14658802  3.18946755  3.13184231  4.70244211
  3.26576206  1.14455231  1.52826148  0.01398931  0.89686938  1.46756002
  1.7279939   1.58624643  0.83860905  1.61403143]",1.5943191806279295e-06,6,>>graph6<<Hh_iS_u
9,6,statevector,gaussian,multiangle,COBYLA,True,4,False,5000,1e-08,2,93.73579406738281,5000,1.0,"[1, 0, 0, 1, 1, 1]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.40382688 3.89861215 3.90872007 2.79941565 4.67302558 2.59144264
 3.67247034 2.72717482 2.95571955 3.59019457 2.01368986 1.4044532
 1.28985261 1.22056177 1.25320703 1.40840062 3.8005971  3.80050395
 4.49299979 3.18301636 3.71495048 4.55098936 2.7141952  4.6688935
 3.08950892 3.32260961 1.58585229 1.46334775 1.66238554 1.55757647
 1.56683028 1.75504805 3.00507046 3.45952618 3.2017032  2.96426606
 3.01711586 3.00187184 3.09907046 4.73338197 3.13319039 3.31053257
 1.85021702 1.33282061 1.53446955 1.64923026 1.76037166 1.87194075
 3.10797832 3.12122999 3.15033191 2.58295872 3.01026552 3.09278402
 3.16782162 3.00117166 2.90163638 3.04508584 1.58225483 1.59331828
 1.69278089 1.75762907 2.75884695 1.52077574]",0.943449339610904,2,>>graph6<<Emz_
