,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,826.0884273052216,279,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[5.84707913 2.84465307 3.17199435 3.05115761 2.6877129  1.42421365
 3.30534583 1.73149359 2.72848621 0.83567006 3.18703788 1.43192031
 4.84801122 1.02520314 2.81854034 2.34238357]",0.3257
1,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,791.3319575786591,261,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.39099058 2.60331626 3.06692969 1.8064976  4.34275241 1.57214364
 3.07579301 1.61409148 4.12354829 1.77959087 4.41315478 1.62199601
 3.03324487 2.50311241 3.43285271 2.67066276]",0.4192
2,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,805.01384806633,265,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.50299795 1.67101485 2.51895247 1.42318556 3.2126455  1.56509816
 3.45832391 1.65774646 3.46592273 2.75052851 3.087037   2.58863404
 3.70485235 1.44199418 3.1874094  2.53609677]",0.193
3,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,990.9865400791168,333,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.8011359  2.68573616 3.41057838 1.69475657 3.32913844 1.69280292
 2.65920739 1.67224718 3.34865481 1.52184766 2.64549634 1.68379571
 3.15631066 1.58559156 3.06549993 1.85482072 3.2136147  2.7302113
 3.2829511  2.41994679]",0.3023
4,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,917.3635792732239,308,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.98537142 1.41904884 3.79198629 1.82294421 3.47395973 1.43318166
 3.3547333  2.13017638 3.62211168 2.38270366 2.87694613 1.42882969
 2.81687358 1.74630491 2.94220874 1.49151198 3.22470065 1.44407232
 2.90565227 1.64464913]",0.576
5,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,991.5368447303772,330,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.01347919 1.65443098 3.83276151 1.35725974 2.98720196 1.57746747
 3.53041674 1.6170497  3.16449649 1.49067472 3.02329719 2.565734
 3.63702312 2.75972959 3.40586843 1.19602747 2.52576402 1.40004486
 2.87197591 2.49666434]",0.0324
6,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,821.873615026474,283,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.8499936  1.57174528 4.11638542 1.47231121 3.30022429 1.74904747
 3.0462911  1.80721213 3.48515719 1.84017985 4.09311149 2.32670038
 3.11671048 2.62053015 4.22230787 1.43874226]",0.3776
7,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,852.1428861618042,284,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.28764232 3.00192718 3.02257955 2.17548929 3.6199988  1.28403589
 3.03392932 1.67418266 2.74302897 1.17710104 3.40359895 1.460169
 3.06876289 1.07551413 4.40326179 1.55841723]",0.5614999999999999
8,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,841.9716970920563,289,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.70569407 1.66239371 3.10511867 1.3202699  3.96220317 3.17176785
 4.10684227 1.56852563 2.90803147 1.45517922 4.10631576 1.45256958
 4.48278838 1.87567515 4.49093797 2.74152972]",0.42369999999999997
9,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,1020.3608155250549,318,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.33783194 1.52390345 3.99922445 2.36612107 3.76300023 1.50197973
 3.25338244 1.52379417 3.04791755 2.6068776  3.0352682  1.88955046
 4.29577091 1.77082438 3.3242692  1.77941505 4.16992124 1.61588765
 3.12561693 1.81677541]",0.6168
