,backend_mode,qaoa_variant,param_initialization,depth,warm_start,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,statevector,vanilla,gaussian,1,False,True,5,>>graph6<<DkO,1.0891690254211426,78,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[2.6908007  2.60795163],0.20601602516806367
1,statevector,vanilla,gaussian,1,False,True,5,>>graph6<<Dm{,0.81569504737854,79,1.6666666666666667,"[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0]",3.0,[3.24234003 2.00667842],0.03895596487246679
2,statevector,vanilla,gaussian,1,False,True,7,>>graph6<<FkPsg,0.4986610412597656,79,1.0,"[1, 1, 0, 0, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[5.82130408 0.33532277],0.14112119147256494
3,statevector,vanilla,gaussian,1,False,True,9,>>graph6<<HkPsgZ@,0.7530698776245117,70,1.8,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[2.65614805 0.29168167],0.025266481763066242
4,statevector,vanilla,gaussian,1,True,True,5,>>graph6<<DkO,0.46895337104797363,77,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[3.59137426 2.67058576],0.4304408883025137
5,statevector,vanilla,gaussian,1,True,True,5,>>graph6<<Dm{,1.8806138038635254,72,1.0,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,[3.57486841 2.82440537],0.40335533760785813
6,statevector,vanilla,gaussian,1,True,True,7,>>graph6<<FkPsg,1.8789100646972656,101,1.0,"[1, 0, 0, 1, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[3.36333877 1.5982444 ],0.31134462164696625
7,statevector,vanilla,gaussian,1,True,True,9,>>graph6<<HkPsgZ@,6.299689531326294,180,1.0,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[3.28075561 1.5980613 ],0.06811937355991557
8,statevector,vanilla,gaussian,2,False,True,5,>>graph6<<DkO,24.561595916748047,1019,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[3.79761591 2.13386846 2.43263061 0.444819  ],0.36699336948904426
9,statevector,vanilla,gaussian,2,False,True,5,>>graph6<<Dm{,23.08548879623413,727,1.3333333333333333,"[1, 1, 1, 1, 0]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,[4.25807464 1.63245685 2.82147966 1.78056273],0.17829321523031744
10,statevector,vanilla,gaussian,1,False,True,7,>>graph6<<Fm~]w,3.8441736698150635,85,1.4,"[1, 1, 1, 1, 1, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[2.6403147  0.22377674],0.18368142329400283
11,statevector,vanilla,gaussian,1,True,True,7,>>graph6<<Fm~]w,2.4012033939361572,77,1.0,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[3.582835   2.90435664],0.3533810410897704
12,statevector,vanilla,gaussian,1,True,True,9,>>graph6<<Hm~]x^^,1.404526710510254,87,1.0,"[0, 1, 1, 1, 1, 1, 1, 0, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[3.60991004 2.93850658],0.2642375157927445
