,backend_mode,qaoa_variant,param_initialization,depth,warm_start,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,noisy_sampling,vanilla,gaussian,10,False,5,>>graph6<<DkO,946.8942122459412,306,1.0,"[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[3.74393051 1.59814101 2.8888084  1.66535804 3.27595717 1.50090398
 3.15429464 2.71474803 3.05522238 1.31376299 3.5658518  1.68296463
 2.90083011 1.98168758 2.93585378 1.46169784 3.5036982  1.33953011
 4.58203469 2.82339161]",0.309
1,noisy_sampling,vanilla,gaussian,10,False,5,>>graph6<<Dm{,937.187164068222,297,0.6666666666666666,"[1, 0, 1, 1, 0]",2.5,"[1.0, 0, 0, 0, 1.0]",3.75,"[4.1940241  1.65028485 2.96376312 2.59793941 3.06497228 1.45830803
 3.1587587  1.56839271 4.38572973 1.67762497 3.13102194 2.47206516
 3.19464785 1.78626435 3.07363432 1.54889886 3.23393315 1.46477785
 3.1610838  1.63083551]",0.0622
2,noisy_sampling,vanilla,gaussian,10,False,7,>>graph6<<FkPsg,1218.8080933094025,296,0.9047619047619048,"[1, 0, 0, 0, 1, 1, 1]",4.75,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[3.53544564 1.66315082 2.93883252 2.55352355 3.90787361 1.47055321
 4.33664326 1.48554978 2.98285762 1.67474947 4.36849857 2.70221897
 3.72549393 1.38660142 3.32772754 1.63765102 2.95197384 1.62351331
 2.89197458 1.55186028]",0.0188
3,noisy_sampling,vanilla,gaussian,10,False,7,>>graph6<<Fm~]w,1357.6978387832642,274,0.6428571428571429,"[0, 1, 0, 1, 1, 0, 1]",4.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[2.88871383 2.54119408 3.2396959  1.45042933 3.16954771 2.4844792
 3.46935839 1.50644899 3.21634764 1.60841994 3.45382882 1.61334323
 3.32729547 1.52011463 3.29470412 1.52079977 3.23116137 1.48949632
 2.67522396 1.63071304]",0.014599999999999998
4,noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<HkPsgZ@,1161.4058499336243,274,0.6333333333333333,"[1, 0, 0, 1, 1, 1, 0, 1, 1]",4.75,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[3.30692035 1.37484289 3.39654623 1.64539872 4.39457381 1.50157927
 2.90341465 1.40510972 3.3218909  1.67995438 3.01883741 1.60050892
 2.96858196 1.63205967 3.07065526 1.72489696 3.30303568 1.46274792
 3.12946592 1.53090335]",0.0072
5,noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<Hm~]x^^,1504.6937203407288,278,0.8775510204081632,"[0, 0, 1, 0, 1, 1, 0, 0, 1]",10.75,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[4.09175182 1.61112828 2.78316275 1.64562164 3.20041562 1.48784256
 2.88728336 1.29411553 3.39930386 1.574597   2.92495204 1.49999319
 3.1811082  1.66500928 2.97900675 1.42822873 2.9566951  1.64782374
 3.20577258 1.50733353]",0.0046
6,noisy_sampling,vanilla,gaussian,10,True,5,>>graph6<<DkO,1015.5876929759979,314,0.9,"[1, 0, 0, 0, 0]",2.25,"[1.0, 0, 0, 1.0, 0]",2.5,"[4.29699034 1.34775501 3.24698102 1.59694127 4.00082922 1.34246863
 2.97165363 1.48294869 2.99318695 1.46657195 2.9501597  1.33785129
 2.79385511 1.64332539 3.32949807 1.04597144 3.01649289 1.50926056
 3.3443473  1.7060542 ]",0.1454
7,noisy_sampling,vanilla,gaussian,10,True,5,>>graph6<<Dm{,896.6019134521484,270,0.6666666666666666,"[1, 1, 1, 1, 0]",2.5,"[1.0, 0, 0, 0, 1.0]",3.75,"[3.91982472 1.70033503 3.14496578 1.63409849 3.12668283 1.54956384
 3.0993503  1.57213353 3.11218422 1.57390364 3.43026972 2.42849145
 3.63434508 1.69704713 3.29783166 1.39532808 3.97315496 1.41269996
 3.49774206 1.59842238]",0.062
8,noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<FkPsg,1177.4995396137238,281,0.9047619047619048,"[0, 1, 1, 0, 1, 1, 0]",4.75,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[3.78958432 1.95601388 3.03819164 1.52305439 2.65504713 2.5876112
 3.23671774 1.58148629 4.06199459 2.57911645 3.0935915  1.85831324
 3.37488052 1.63785974 3.41732799 1.5341257  3.32601528 1.4769505
 3.29469101 1.65747981]",0.019000000000000003
9,noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<Fm~]w,1439.869155406952,279,0.6428571428571429,"[0, 1, 0, 0, 1, 0, 1]",4.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[4.0344155  1.5822822  3.17985912 1.66759968 4.14338837 1.64154599
 4.00867723 1.47704598 3.12810484 1.50891882 3.15165338 1.47102729
 3.44728576 1.7691604  3.29435087 1.35214191 3.37089768 1.45075637
 3.15553416 1.48519671]",0.0152
10,noisy_sampling,vanilla,gaussian,10,True,9,>>graph6<<HkPsgZ@,1313.643275976181,300,0.8666666666666667,"[1, 0, 0, 1, 0, 0, 0, 1, 0]",6.5,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[2.96703145 2.64131713 2.87141498 1.68002885 3.05581615 1.49001307
 3.15985083 1.37485757 3.18640423 1.48886277 3.12019097 1.39418184
 3.10154577 1.59525337 2.98453274 2.23445263 3.49773299 2.62666819
 2.93927534 1.65761652]",0.007
11,noisy_sampling,vanilla,gaussian,10,True,9,>>graph6<<Hm~]x^^,1588.2453904151917,298,0.7959183673469388,"[1, 0, 1, 1, 1, 0, 0, 1, 0]",9.75,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[4.0095688  1.70839461 4.27893404 2.18745172 3.18006862 2.67963547
 2.99609256 1.68143548 3.10268859 1.68085109 4.2226874  1.51283623
 2.85549973 1.62089773 3.53702261 1.68175816 3.12854363 1.43555577
 3.18780859 1.64451595]",0.0026
12,noisy_sampling,vanilla,static,10,False,5,>>graph6<<DkO,996.4799680709839,313,1.0,"[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[ 0.28435642  0.91084576 -0.09261388  1.0190413   0.10871951  0.71663742
  0.02210032  0.63016542  0.50975411  0.54983754  0.47459906  0.38136289
  0.48959177  1.23442622  0.75904675  0.83572693  1.02557995  0.14169223
  0.90122013  0.002784  ]",0.2884
13,noisy_sampling,vanilla,static,10,False,5,>>graph6<<Dm{,1085.1049485206604,314,1.0,"[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[ 1.09833523  0.94350615  0.15563158  0.70819812  0.14202491  0.73962567
  0.11846971  0.50992226  0.63245044  0.4926468   0.53946148  0.51241227
  0.55781501  0.20413407  0.65602621  0.35790972  0.54949332  0.06195931
  0.93148898 -0.22887822]",0.1256
14,noisy_sampling,vanilla,static,10,False,7,>>graph6<<FkPsg,1293.1577320098877,308,1.0,"[1, 0, 0, 0, 0, 1, 1]",5.25,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[ 1.10551933  0.911083    0.08131449  0.71121547  0.41882389  0.82959524
  1.04713729  0.5874821   0.67766347  0.41890198  0.51183043  0.32099183
  0.38808595  0.42547523  0.71532586  0.55305164  0.73631659  0.28414388
  0.80180548 -0.12475679]",0.034199999999999994
