,backend_mode,qaoa_variant,param_initialization,depth,warm_start,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,statevector,multiangle,gaussian,1,False,True,5,>>graph6<<DkO,2.5045864582061768,390,2.5,"[0, 0, 1, 1, 1]",5,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.92699082 3.9269908  2.35619449 3.14159265 4.71238897 4.14694284
 1.3874206  2.00497416 0.78539817 0.78539816 2.35619451]",0.49999999999999895
1,statevector,multiangle,gaussian,1,False,True,5,>>graph6<<Dm{,10.17824125289917,2088,1.0,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[2.35619449 2.36838307 2.35619448 3.10687407 2.3561945  2.17670718
 2.61799387 3.14159266 3.14159266 4.71238898 1.57079687 3.1090807
 2.61799388 1.57079631 1.5707963  1.57079634 1.57079633 0.78539816]",0.9999999999999218
2,statevector,multiangle,gaussian,1,False,True,7,>>graph6<<FkPsg,14.262551546096802,1861,1.25,"[1, 0, 1, 1, 0, 1, 1]",5,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.92699081 2.87518075 3.58741101 3.69717018 2.35619449 3.9269908
 3.92699085 3.92699082 4.71238901 3.14159266 3.14159266 3.14159264
 2.35619453 3.14159264 3.14159265 1.57079672 3.00172798 2.26399059
 2.35619449 1.57079633 1.57079633 3.14159268 1.57079635]",0.4999999999999766
3,statevector,multiangle,gaussian,1,False,True,7,>>graph6<<Fm~]w,21.81005311012268,2394,1.0,"[1, 1, 0, 1, 1, 1, 0]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.92699099 3.92699082 2.78560167 3.9269908  3.92699083 3.92699082
 3.92699087 2.74889357 5.02654825 3.92699058 4.71238897 3.4975836
 4.71238898 3.14159266 3.14159263 3.14159266 3.14159268 3.1415926
 3.14159266 1.57079626 3.14159266 3.14159259 2.3561945  1.57079632
 2.74889359 2.51327412 2.74889358 2.35619448 1.57079633 1.57079633
 1.57079634]",0.4999999999999787
4,statevector,multiangle,gaussian,1,False,True,9,>>graph6<<HkPsgZ@,33.36786508560181,3161,1.0,"[1, 1, 0, 0, 0, 1, 1, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[2.35619448e+00 2.35619450e+00 5.49778716e+00 3.49104125e+00
 3.92699088e+00 3.92699084e+00 5.42475106e+00 3.92699084e+00
 3.14159265e+00 4.18879023e+00 2.94354045e+00 3.14159265e+00
 3.92699081e+00 3.14159256e+00 4.71238902e+00 3.14159266e+00
 3.14159264e+00 3.14159264e+00 2.35619448e+00 3.14159264e+00
 3.14159266e+00 3.82758199e+00 3.14159265e+00 3.14159267e+00
 1.57079633e+00 1.57079635e+00 2.35619450e+00 8.59078560e-07
 1.90644292e+00 2.35619443e+00 7.85398144e-01 7.85398111e-01
 2.35619449e+00]",0.4999999999999024
5,statevector,multiangle,gaussian,1,True,True,5,>>graph6<<DkO,14.388429164886475,4046,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[2.54042117 2.76742912 2.45437329 2.76742903 3.32392839 3.14159291
 2.44097676 1.57079621 0.78539785 2.35619451 2.35619454]",0.6832694737696927
6,statevector,multiangle,gaussian,1,True,True,5,>>graph6<<Dm{,18.527578830718994,3565,1.0,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.73673764 4.2356015  2.54644769 4.23560139 1.57079636 3.61377088
 3.14159274 3.14159265 3.1415926  3.14159266 4.71238768 4.24021068
 3.66519144 3.14159266 1.57079602 1.57079635 1.57079631 2.11911855]",0.9546334141573838
7,statevector,multiangle,gaussian,1,True,True,7,>>graph6<<FkPsg,35.793057918548584,5000,1.0,"[1, 0, 1, 1, 0, 0, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.16117847 3.96227643 4.71254555 3.78079338 2.54647572 3.79098902
 4.71194545 3.14542192 3.14175743 3.14306423 2.35099246 3.14156334
 3.13981036 3.92386319 3.92903514 4.71244558 1.56895745 1.0469594
 2.93084294 1.57207987 1.57082788 3.14154245 1.57044131]",0.4019410096195793
8,statevector,multiangle,gaussian,2,False,True,5,>>graph6<<DkO,23.236741542816162,5000,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.69171447 3.87572948 2.06210645 3.14033679 3.92699148 2.35619391
 1.51740464 2.35619311 1.56892543 1.57079606 2.65415404 2.35619573
 3.14159103 3.14159327 3.14159289 2.36842894 3.18769457 1.49106586
 1.51270564 0.78539592 2.35619335 1.45091017]",0.9999999799915982
9,statevector,multiangle,gaussian,2,False,True,5,>>graph6<<Dm{,29.342950105667114,5000,1.0,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.92695307 3.18466501 3.6467331  4.76981658 2.70784633 3.1416458
 4.11552797 1.86097588 4.23091408 3.50346583 4.04227154 2.62599345
 3.1416001  1.57082797 1.57076776 1.4117586  2.05193796 1.57075031
 3.22915161 3.13852565 3.17300725 3.14156941 3.47737194 3.58992617
 3.07180444 3.17278374 2.70592775 2.99559818 2.57717293 2.97366326
 3.24389969 1.70176199 1.57976461 1.5207512  1.4628215  2.74999482]",0.9999927822976524
