,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,13.201246500015259,2343,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[2.69986634 2.87443114 0.71466794 1.36836974],0.36991086636414544,0,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,9.714049577713013,803,0.7045454545454546,"[0, 0, 0, 0, 1, 1, 1, 0, 0]",7.75,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[2.7549175  1.52342492 2.97391463 1.59291584],0.01135773736507888,0,>>graph6<<HmzffJz
2,12,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,7.742690324783325,326,0.6538461538461539,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]",12.75,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.46924116 1.77456672 3.45936808 2.78538203],4.532304559755375e-05,0,>>graph6<<KmzffJznl{hU
3,9,statevector,gaussian,vanilla,COBYLA,False,2,False,5000,1e-08,2,32.5909206867218,3873,0.625,"[1, 1, 1, 1, 0, 1, 0, 0, 0]",5.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[2.74853831 2.38785137 5.18262193 0.38684906],0.004216007554621208,0,>>graph6<<Hh_iS_u
4,6,statevector,gaussian,vanilla,COBYLA,False,4,False,5000,1e-08,2,42.947649240493774,5000,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.65682354 1.43776453 4.21134425 1.16645552 3.37478948 1.68524805
 2.29765504 2.61284936]",0.17775604828505054,0,>>graph6<<Emz_
5,9,statevector,gaussian,vanilla,COBYLA,False,4,False,5000,1e-08,2,93.11022400856018,5000,0.9772727272727273,"[0, 0, 0, 1, 1, 1, 1, 1, 0]",10.75,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[2.91722144 1.36986226 3.27935354 2.76401865 3.27738573 2.56295348
 2.18739993 1.49199537]",0.006350517506774739,0,>>graph6<<HmzffJz
6,12,statevector,gaussian,vanilla,COBYLA,False,4,False,5000,1e-08,2,53.552377462387085,1275,0.6025641025641025,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",11.75,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,"[2.89803091 1.74430903 2.8894222  3.39994878 2.22603313 1.29740629
 1.43342052 1.63347268]",0.0016847865872955318,0,>>graph6<<KmzffJznl{hU
7,9,statevector,gaussian,vanilla,COBYLA,False,4,False,5000,1e-08,2,66.68581223487854,5000,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[4.02729344 1.43541763 3.49222503 1.84795828 3.41330683 2.67466216
 1.80212349 1.51268508]",0.09801064800333091,0,>>graph6<<Hh_iS_u
8,6,statevector,gaussian,vanilla,COBYLA,False,6,False,5000,1e-08,2,63.71325206756592,5000,0.8947368421052632,"[0, 1, 1, 1, 0, 0]",4.25,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.71195225 2.79821015 3.62969556 1.1773507  3.47124522 2.4675295
 3.35349464 1.24626136 5.2554305  0.50561956 4.09120137 1.68156662]",0.04083162878595683,0,>>graph6<<Emz_
9,6,statevector,gaussian,vanilla,COBYLA,False,8,False,5000,1e-08,2,82.86644625663757,5000,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[2.68227631 1.53275    3.53076102 1.34795256 3.59560741 2.8332366
 2.6086002  2.40920061 4.10050445 1.32807231 3.16238501 1.81036161
 2.32091985 2.17333441 3.87577708 1.15904494]",0.3855737093913315,0,>>graph6<<Emz_
