,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,noisy_sampling,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,3898.813565015793,369,1.4890661481873502,"[1, 0, 1, 1, 1, 1]",3.758292546712208,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.96112306 3.15229286 4.00935405 4.13123064 3.75512417 2.83104248
 3.16196711 3.76936735 4.68000742 4.87788449 4.87307888 3.11859858
 3.91310855 3.17244924 3.25664549 2.65930945 1.1954511  0.77642528
 3.24124856 1.74955622 1.72778737 0.92861193]",0.078125,0,,,>>graph6<<Emz_
1,6,noisy_sampling,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,2609.7255856990814,317,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.01789607 4.47195331 3.79480498 4.13536214 4.06005681 3.12675413
 3.09143524 3.05498015 3.01578227 4.24337776 3.19010912 3.32370341
 3.11237535 2.76712373 3.7503895  3.29064932 1.4261032  1.41885905
 1.56089976 1.4245351  1.79269508 1.50424529]",0.1943359375,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
2,9,noisy_sampling,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,5597.261613368988,661,1.2597814021776308,"[1, 1, 0, 1, 1, 1, 1, 1, 1]",3.869671922827154,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.15245353 3.99646471 2.54525912 4.2108619  4.06077305 3.54228544
 3.89989886 2.65023534 4.31401738 4.46922597 2.91245183 3.11917914
 3.18070353 3.25514111 3.19342807 3.17981493 3.06364403 3.05628903
 3.19369509 3.15889066 3.1733399  3.28241435 3.38693751 2.98669884
 3.07579715 3.08710492 3.31697639 3.33896268 3.28868401 3.34351546
 3.1299256  2.86456867 3.28609447 3.25272492 1.61166078 1.69091011
 1.76671414 1.52223785 1.61446036 1.74091032 2.46526353 2.69176305
 1.50105997]",0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
3,6,noisy_sampling,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,3935.0509264469147,373,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.91183995 3.33201384 3.25234781 4.11526956 4.01343045 3.66494524
 4.27254986 4.23140533 3.12754658 3.37783259 3.19057277 3.13984963
 4.04043901 3.16971691 2.95906139 3.07013258 1.37946928 2.35909111
 1.60946515 1.52187424 1.34599925 1.49657159]",0.01171875,0,,,>>graph6<<Emz_
4,6,noisy_sampling,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,3867.753255844116,371,1.304244567027628,"[1, 1, 1, 0, 1, 0]",3.2918165800201256,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.08143569 4.5140838  2.52970866 4.48622342 4.04969184 3.46941743
 3.62580098 3.21233335 3.14217656 3.23743625 3.17414088 3.29271035
 3.10331883 2.65234963 3.36456113 2.70398223 1.27323437 1.70085464
 1.79830948 1.47824335 1.29354829 1.70138324]",0.0830078125,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
5,9,noisy_sampling,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,5468.863754987717,501,1.699364955325937,"[1, 1, 1, 0, 1, 1, 1, 1, 1]",4.1165723619115635,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.57479969 4.09558697 3.51251529 3.48522064 2.68697987 4.49182459
 4.43377308 3.81290106 4.18963161 4.60133177 3.31839887 3.30630712
 3.10164979 4.4918375  3.38957601 3.16475971 2.57252444 3.21903337
 3.1401343  3.16260297 3.46477629 2.69797108 3.04646526 1.55884888
 1.64689695 1.46947898 1.5323574  1.52993889 2.96248898 1.59529501
 1.32301669 1.45623226]",0.017578125,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
6,6,noisy_sampling,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,3787.600926876068,362,1.4890661481873502,"[1, 0, 1, 1, 1, 1]",3.758292546712208,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.90947282 2.81443994 2.81923537 2.54680438 2.4336908  4.13386419
 3.02195691 4.64124017 4.74274549 3.48078369 3.28888203 3.15665659
 3.56923667 4.78994364 3.20254979 3.09283833 1.74192295 2.33142945
 1.68890657 1.4537668  1.82305814 1.78654641]",0.09765625,0,,,>>graph6<<Emz_
7,9,noisy_sampling,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,6148.481511831284,737,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.01086854 2.38525057 3.99577744 4.06862625 3.89649634 4.09778745
 4.82760073 4.42565205 2.40351463 3.151074   3.16866114 2.90169015
 3.04100024 3.19861426 3.18751881 3.24883681 3.13724979 3.20878989
 3.28863337 2.90548359 2.46889474 2.91576173 3.31825338 3.10877995
 3.09076532 3.23361428 3.44612945 3.18842971 3.21716739 3.17458747
 3.1678146  3.12716234 3.55565144 3.14708722 1.66084107 1.65620735
 1.56007777 1.48159959 2.01373413 1.87719845 1.67412992 1.64067509
 1.55687542]",0.0,0,,,>>graph6<<HmzffJz
8,9,noisy_sampling,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,5705.9495215415955,526,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.68080685 3.77506733 4.01209121 2.97908662 4.03710572 3.82792502
 4.06764789 4.08826159 3.8643898  3.62491929 3.18186794 3.13965291
 3.12164492 2.96021965 3.07157753 3.23921886 3.14162037 3.35826655
 3.10969846 3.34237363 2.95315147 2.97305644 3.14961352 1.5240043
 1.60570222 1.56503146 2.2608718  1.49966637 3.12643944 2.67194928
 1.64030601 1.53752709]",0.001953125,0,,,>>graph6<<Hh_iS_u
9,6,noisy_sampling,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,3144.507110118866,370,1.304244567027628,"[1, 1, 1, 0, 1, 0]",3.2918165800201256,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.02571517 4.64141291 3.81565509 2.88867474 3.91565363 3.24681835
 2.98547923 3.05767828 4.92742927 4.5539304  3.08490952 3.15621971
 3.21787681 3.06312539 3.15531245 3.17575348 1.36928164 1.14758883
 1.33823506 2.56392944 1.55992939 1.51219337]",0.1630859375,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
