,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,1,0.9554524421691895,74,1.334033620739923,"[1, 1, 1, 0, 0, 0, 0, 0, 1]",4.097752544498066,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.50179309 1.47804731],0.0,0,,,>>graph6<<HmzffJz
1,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,1,0.7734575271606445,77,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.68267722 0.68737821],0.014259645068151573,0,,,>>graph6<<Hh_iS_u
2,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.8740577697753906,66,1.9851386380651352,"[1, 1, 1, 0, 0, 0, 0, 0, 1]",6.097752544498066,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.5301935  0.70006001],0.0,0,,,>>graph6<<HmzffJz
3,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.9217886924743652,86,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.18221505 3.32074633],0.00011057568533469818,0,,,>>graph6<<Hh_iS_u
4,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,4,1.8876879215240479,218,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.72169372 1.51081015],5.851314427325405e-05,0,,,>>graph6<<Hh_iS_u
5,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,1,3.375605344772339,220,1.1615414277280007,"[1, 0, 0, 0, 1, 1, 1, 1, 1]",3.567908084934437,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.06217915 1.7678572 ],0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
6,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,1,1.3216500282287598,90,1.7577961312437025,"[0, 1, 0, 1, 0, 1, 1, 0, 0]",4.258117097845542,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.61322912 0.31546248],3.438514428691045e-09,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
7,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.4853434562683105,96,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.53554669 3.09379033],0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
8,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.4499905109405518,97,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.62586478 3.10344412],0.005033264158324722,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
9,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,4,4.314022064208984,343,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.58909015 1.48852007],0.0023213268874931066,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
10,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,4,7.779247045516968,583,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.79665323 1.52965573],0.0,0,,,>>graph6<<HmzffJz
11,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,10,49.19052863121033,3993,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.84726055 1.87218869],0.0,0,,,>>graph6<<HmzffJz
12,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,10,6.401474714279175,703,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.09148965 2.48336971],1.1271001560109383e-05,0,,,>>graph6<<Hh_iS_u
13,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,4,4.542490243911743,324,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.59490927 1.5040703 ],0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
14,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,10,36.43166518211365,2457,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.55933671 1.86231528],0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
15,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,10,34.78022074699402,2997,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.49177377 3.13208455],0.0016937133910391346,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
