,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,6.717408180236816,134,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.93996121 2.13285578 3.48904621 1.74474714 3.32739748 2.75205137
 3.05223702 1.68388916]",0.06560272127488656,0,,,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,2.445861577987671,134,1.2511432368580786,"[1, 1, 1, 1, 1, 1, 0, 1, 1]",3.843138060885686,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.00056337 1.71909976 3.21990324 1.52861871 3.09828893 1.86736433
 2.91194083 1.50645606]",0.0,0,,,>>graph6<<HmzffJz
2,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,3.6917672157287598,134,1.6368006941170803,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",3.9650155655161727,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.63068258 1.56031675 2.94323901 1.63856517 3.14250199 1.62077126
 3.27109928 1.72382004]",0.0047110577202847245,0,,,>>graph6<<Hh_iS_u
3,6,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,4.535931825637817,134,1.4899261138457989,"[1, 1, 1, 1, 0, 1]",3.7604630362693783,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.09496758 3.65250243 4.27854236 3.97345965 3.42755831 3.23010384
 4.01430686 3.3094922  3.10256943 3.28460779 3.62541842 2.8883369
 4.18068269 4.08440204 4.46219548 3.0123227  2.51489581 1.96123915
 1.90318406 1.65870057 1.83908209 1.85275064 3.1622598  3.0384884
 3.44811571 3.35761086 3.45011469 3.2558016  3.08872455 3.31011965
 3.0269921  3.16368565 3.7174685  4.56502912 4.22427202 2.81981891
 2.79584343 3.15073684 1.55209968 1.60274245 1.35023286 1.51060641
 2.59546098 1.47420392 3.12790071 2.92791928 3.00747898 2.82038763
 3.40151279 3.15517928 3.25068283 2.74618983 3.37134753 2.94941571
 2.88848183 3.01857373 3.18497058 2.98040218 2.63943214 3.20816552
 1.64639774 1.52468022 2.52828636 1.3398856  1.5963567  1.49566773
 2.84907624 2.90330844 2.71254131 2.67465252 3.30523827 3.24738498
 3.44587815 3.15529823 3.35382352 3.11372724 3.01502568 2.80033257
 4.61897531 3.21670926 4.17554702 2.88205195 1.4459721  1.54318475
 1.38429949 1.45688255 1.3218416  1.60957499]",0.031119618068077757,0,,,>>graph6<<Emz_
4,9,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,6.589472532272339,134,1.7538356253760075,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.2485230968965135,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.314319   4.51134737 3.33105669 4.25734197 4.03215479 4.02368919
 3.34198906 3.11023853 4.32540247 3.23041504 4.07628263 4.30296487
 3.29192917 3.00606047 3.03664798 4.37303341 2.92698519 3.83931929
 4.04426738 3.02006074 4.20989683 2.83572484 3.20919609 1.64198734
 1.6592575  1.52529967 2.57518865 1.55059864 1.66864245 1.71098537
 1.7483776  1.56126996 3.16318819 2.90172075 3.25674497 3.28414802
 4.39429995 2.80632951 3.02185329 3.17974163 3.18718293 3.17359707
 3.30117114 3.14572234 2.94190143 3.46721648 2.96124577 3.21205611
 3.06563058 3.36872311 3.1179284  3.23060902 3.09239136 3.38048764
 3.10301618 1.62895718 1.93965401 1.61118073 1.56718511 1.64261001
 1.57959532 1.72475673 1.52545793 1.50487484 2.88202019 4.23166842
 4.21064717 3.36933074 2.64251213 3.08024757 3.29252937 4.20958771
 3.39764628 2.87273371 3.16141616 3.39218427 4.12139342 3.30175357
 3.15666762 3.02990469 3.41844303 3.09808738 4.25583694 3.01516917
 3.24471927 3.01447693 4.02609926 1.52560908 2.67534549 1.52543423
 1.54739367 1.3094899  1.5406407  1.62279193 1.58100554 1.56681526
 3.20098586 2.89264876 4.20933566 3.55052878 2.99114771 3.12489451
 3.4392719  2.98099385 3.4062464  3.14640591 2.93836065 2.94768687
 3.2258423  3.41438242 3.27645822 2.81204146 3.14370946 3.00901832
 3.07603889 4.66017532 3.37946429 3.09303413 3.2563155  1.5613703
 2.60719561 1.55734359 2.56927259 1.46372639 1.44939614 2.59790823
 1.44307958 1.41065324]",1.9022173577014668e-05,0,,,>>graph6<<Hh_iS_u
5,6,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,6.864999055862427,134,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.97025059 1.74772361 3.16794474 1.68378682 3.21011027 2.63126426
 3.38424159 2.85387002]",0.010747556013785818,0,,,>>graph6<<Emz_
6,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,3.7097866535186768,134,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.23267719 1.69995714 3.09705323 1.49607638 2.91974923 1.34288282
 2.86312742 1.30064715]",0.026199412282911623,0,,,>>graph6<<Hh_iS_u
7,6,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,4.363118886947632,134,1.4782248416467056,"[0, 1, 1, 1, 1, 1]",3.7309298928650803,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.38670801 3.21988247 3.32151176 3.13682897 3.30786556 4.10864696
 4.32723609 4.03015154 2.8780535  2.67948895 2.83791178 3.20847812
 2.68455341 4.47041176 3.53030799 2.80085085 1.10023526 1.7481567
 1.49067721 1.60864377 1.58463123 1.51485622 4.07385935 3.46753222
 3.1038544  3.25956416 3.04993016 3.09787182 3.17295005 3.45092726
 3.1289627  3.57465787 3.16572782 3.34088139 3.42574961 3.10721964
 3.1083194  3.01411037 1.57506233 1.63756708 1.71092466 1.95723715
 2.44198245 1.55719942 3.07254323 3.25588207 2.81584381 3.23328065
 2.98705024 3.4001436  3.13786832 3.1193068  3.2539544  3.01997119
 3.00533815 3.40921756 3.09611506 3.01004102 3.33117447 2.98065987
 1.58960299 1.64057557 1.55334836 1.58091035 2.54106102 1.59171571
 3.34361591 3.1717344  2.95306232 3.08928808 3.31489912 2.96975944
 3.01905528 3.28419402 2.85496506 3.43811662 3.05428323 3.05223167
 4.49361231 2.76848576 3.21137781 2.98015733 1.31823563 2.59525826
 1.44746409 1.60093014 1.58878423 1.83468406]",0.029541200410626064,0,,,>>graph6<<Emz_
8,6,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,5.736948013305664,134,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.76788815 1.70522026 3.08218483 1.44797249 3.29627327 1.58298221
 4.36810436 2.57978847]",0.016222087571912482,0,,,>>graph6<<Emz_
9,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,7.016313076019287,134,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[3.95432804 1.22682793 3.59541151 1.6353476  3.15430155 1.39454119
 3.2796116  2.79996278]",0.0,0,,,>>graph6<<HmzffJz
