,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,multiangle,COBYLA,False,1,True,5000,1e-08,2,4.036676406860352,699,1.0,"[1, 1, 1, 0, 0, 0]",3,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.71238899 4.71238897 4.71238898 3.14159257 3.14159266 3.14159257
 3.64378014 2.68969967 3.39830669 4.7631681  4.58083356 2.33535537
 3.1977486  3.16355971 2.73222365 2.03131625 1.07125436 1.33623865
 1.74214954 1.7753171  1.41493622 1.97282721]",0.9999999999999865,0,>>graph6<<Emz_
1,9,statevector,gaussian,multiangle,COBYLA,False,1,True,5000,1e-08,2,22.80004620552063,1662,1.0,"[1, 1, 1, 0, 0, 1, 1, 0, 1]",6,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,"[4.71238899 4.71238899 4.71238897 6.28318534 6.28318533 4.71238897
 4.71238903 3.14159274 4.71238899 5.21254721 3.95197636 2.58975959
 2.50402663 2.98979145 3.01437278 3.24558764 2.29467571 3.09832096
 2.31106311 2.74781789 2.96924134 2.82040032 3.84929972 3.92260507
 2.37625584 2.80492397 3.14963139 3.57342822 3.03591304 2.96522729
 3.45992941 3.22222244 3.04398672 4.30227862 1.01471172 1.37354756
 1.12079884 1.83880496 0.748759   1.27452577 1.772861   0.93412177
 0.67394089]",0.9999999999999873,0,>>graph6<<HmzffJz
2,12,statevector,gaussian,multiangle,COBYLA,False,1,True,5000,1e-08,2,83.89952540397644,2937,1.0,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",9,"[1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0]",9.0,"[ 4.71238898  4.71238901  4.71238898  4.71238895  4.71238897  4.71238911
  3.14159263  4.71238878  3.14159266  3.14159266  4.71238897  4.71238904
  5.45097274  3.13097636  5.01124606  3.48831209  3.40639197  2.67286179
  3.28004426  3.31431764  2.06666342  2.49654412  2.68416711  1.83966412
  3.86719357  4.31923249  1.21528448  2.4869977   4.12240393  3.4686034
  2.69679082  3.54888407  2.86096045  4.20518851  3.18599033  3.6738829
  2.96741233  2.68604937  4.02302251  3.60172367  3.91733483  4.38571565
  1.91463871  2.69853035  0.97665561  1.38784119  3.15085485  3.25213006
  1.94113472  2.47634967  4.21928005  2.06641651  4.23241102  4.18014757
  4.46547507  2.53167152  2.50628064  1.39213577  1.79235651  0.83195166
  1.81013865  1.71872072  1.3124667   1.10590252  1.1946074  -0.30485795
  3.23742265  2.11890735]",0.9999999999999367,0,>>graph6<<KmzffJznl{hU
3,9,statevector,gaussian,multiangle,COBYLA,False,1,True,5000,1e-08,2,10.98412799835205,1060,1.2,"[1, 1, 0, 1, 0, 1, 1, 0, 1]",6,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,"[4.71238897 4.71238899 6.28318532 4.71238898 3.14159266 4.71238897
 4.71238899 3.14159267 4.71238898 4.98792905 2.93867998 3.34644523
 3.09391156 3.05087329 3.75175369 4.4213557  2.05000558 2.91490813
 3.66664013 3.0659822  4.38873405 2.95682596 2.85866984 1.24836683
 2.03356562 3.10637178 1.79934372 1.80787408 1.48071409 1.22848565
 2.01792145 1.48531168]",1.1752094589325e-49,0,>>graph6<<Hh_iS_u
4,6,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,38.78896164894104,5000,1.0,"[1, 1, 1, 0, 0, 0]",3,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[ 1.57079776e+00  4.71239208e+00  4.71240722e+00  4.71222447e+00
  4.71217896e+00  1.57082780e+00  4.18870373e+00  3.92699382e+00
  4.71238953e+00  3.14158568e+00  4.71238628e+00  3.14159130e+00
  4.71238712e+00  4.71238615e+00  4.71228742e+00  3.14163580e+00
  1.57079871e+00 -4.05994820e-07  1.57079555e+00  1.57079687e+00
  1.57079017e+00  1.57079511e+00]",0.7568673766497256,0,>>graph6<<Emz_
5,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,76.75907588005066,5000,1.0,"[1, 1, 1, 0, 0, 0, 1, 1, 1]",6,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,"[4.71311144 4.71133834 4.71356246 4.19909044 4.28217618 4.74014786
 4.35538857 4.42273629 4.72195993 2.87280818 4.04179814 3.14487999
 3.14535252 3.13056905 3.13980335 3.14223059 3.14171182 3.14155179
 3.86545086 3.13898754 3.14166859 3.38658356 4.71155194 3.14084185
 3.14295351 3.14170636 2.35043262 4.71313971 3.14203653 3.14220017
 3.14368602 3.14491024 2.54253696 4.70801873 1.57047968 1.56959068
 1.57069739 2.96864352 2.42344209 2.35376307 1.56931938 2.61936742
 1.57224626]",0.7756949520046739,0,>>graph6<<HmzffJz
6,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,57.17032027244568,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",5,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,"[ 4.70669426e+00  4.41006888e+00  4.70946840e+00  1.57134757e+00
  4.71468676e+00  4.70216541e+00  4.70676751e+00  1.57502404e+00
  4.71122071e+00  1.59660470e+00  4.71189034e+00  3.14461331e+00
  3.14083408e+00  3.14209013e+00  3.10203584e+00  3.14324550e+00
  3.14318793e+00  3.14265273e+00  3.15250111e+00  3.14197859e+00
  4.71318927e+00  4.18656572e+00  3.14171374e+00  1.57076710e+00
  1.57110896e+00  3.12896323e+00  1.57172349e+00 -3.48494097e-03
  1.57015792e+00  5.77517443e+00  2.09138617e+00  1.57268953e+00]",0.6508826272048597,0,>>graph6<<Hh_iS_u
7,6,statevector,gaussian,multiangle,COBYLA,False,4,True,5000,1e-08,2,95.90128540992737,5000,1.6666666666666667,"[0, 1, 1, 1, 1, 1]",5,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.70922213 3.27017075 3.20066932 3.24728969 3.14072669 3.14292917
 3.7949904  3.01192066 3.14904497 3.25257301 3.14502871 3.47337705
 3.34114148 2.8123504  3.28748773 3.1399599  1.56994456 1.66418302
 2.42551893 1.75007389 1.48230178 1.56224084 3.14484531 2.73590243
 3.0682804  3.21507467 3.67314023 3.10590691 3.78649202 2.83881382
 2.84741938 2.88015474 2.64573934 3.23489315 3.45368586 2.82734804
 2.99540542 3.12775432 1.54352844 1.93954121 2.79915725 1.92116303
 1.37046086 1.72734963 3.48796877 2.95395521 4.6596335  2.61145558
 2.39872157 3.56774254 2.39804717 3.72753727 3.34758315 3.37635398
 3.063534   4.05960946 2.4480959  3.2499631  3.17805263 3.72086093
 1.87375922 1.52957923 3.03960103 1.44841727 2.31788016 1.60295156
 2.9891017  3.24167183 3.02274594 2.93287836 2.89916618 3.14075365
 3.23937038 2.97785613 3.20273032 3.0050376  2.79229344 3.33758642
 3.40397178 3.44382591 3.33501865 2.892717   1.33875261 1.54264564
 1.55390969 1.42959226 1.71984769 1.57031146]",1.9156612835286007e-12,0,>>graph6<<Emz_
8,6,statevector,gaussian,multiangle,COBYLA,False,1,True,5000,1e-08,2,3.7098238468170166,669,1.3333333333333333,"[1, 1, 0, 0, 1, 1]",4,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.71238895 4.71238892 3.14159265 3.14159266 4.71238896 4.71238902
 3.13712318 4.29935285 2.338002   2.73728018 2.93543618 2.86998221
 3.27688221 4.30676799 3.08543929 3.54337313 1.54295026 1.63126838
 1.85113189 0.86595395 1.72959699 0.6247576 ]",9.411218259833063e-48,0,>>graph6<<Emz_
9,9,statevector,gaussian,multiangle,COBYLA,False,1,True,5000,1e-08,2,20.565481662750244,1559,1.0,"[1, 1, 1, 1, 0, 1, 0, 0, 1]",6,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,"[4.71238897 4.71238895 4.71238896 4.71238894 3.14159262 4.71238894
 3.14159278 3.14159262 4.712389   3.23717683 2.00936995 3.36716002
 3.89575173 2.93889533 3.32777351 3.38560101 3.25593863 3.15570649
 3.79106811 2.41580324 3.24553491 2.86784504 3.13107614 3.2000312
 4.48199833 2.09240097 2.93998597 2.93839911 3.07422076 2.60559504
 2.95674173 2.87769117 2.75651104 3.45215568 1.69137021 1.57442015
 1.05945942 0.53644468 0.79317969 1.30069519 1.06784918 0.90786309
 1.68240056]",0.9999999999999776,0,>>graph6<<HmzffJz
