,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,36.57634449005127,5000,1.6666666666666667,"[0, 1, 1, 1, 1, 1]",5,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.71238931 4.7123895  4.71240724 4.71238027 4.7124628  4.71238613
 3.54973596 2.71494782 2.70519357 3.07262082 3.09393505 2.93875397
 3.08827938 2.77348657 3.83096861 3.23344489 1.62561997 2.1430812
 1.73853329 1.85534898 1.5071292  1.52431797]",0.1591125153235612,2,>>graph6<<Emz_
1,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,73.31537914276123,5000,1.1666666666666667,"[1, 1, 1, 0, 1, 0, 1, 1, 1]",7,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,"[4.71296479 4.70920648 4.69401182 4.66954148 4.31696245 4.68103973
 4.62021173 4.65643682 4.72141599 3.15124867 4.02606721 3.14154253
 3.13935231 3.15256223 3.22921012 3.13768051 3.14374769 3.13913241
 3.07760349 4.7090451  3.14572727 3.06878247 3.13227181 3.1402688
 3.13764213 4.70603981 3.33576191 3.14310989 3.14558545 3.14971833
 2.86072115 3.05524559 3.52023563 3.15511785 1.6484519  1.55160358
 1.56735849 2.95116205 1.47642246 1.68944267 1.54956144 1.5860362
 1.57044658]",0.07214363538731844,2,>>graph6<<HmzffJz
2,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,55.46754240989685,5000,1.4,"[1, 0, 1, 1, 1, 1, 0, 1, 1]",7,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,"[1.571092   4.28835492 4.71303042 4.71157479 4.71262792 4.71125139
 4.71133039 1.59158793 4.71236262 2.43961568 2.50734913 3.80345936
 3.15512257 3.14185767 2.33685669 3.14176674 3.14167709 4.73512129
 3.14404287 3.14221681 3.14114147 3.68791867 3.14139139 1.57102966
 1.57277462 1.57021131 1.57082476 3.14189723 1.55883494 4.07142996
 1.03468723 1.57073954]",0.022147008447209696,2,>>graph6<<Hh_iS_u
3,6,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,36.85321855545044,5000,1.6666666666666667,"[0, 1, 1, 1, 1, 1]",5,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[2.97582923 4.71237323 4.71247201 4.71216009 4.71231051 4.71246169
 2.61764946 3.53414573 2.35721263 3.14153926 3.14159413 3.92795206
 3.14154696 3.92785234 3.92656073 3.14174185 1.57079429 1.51005676
 1.57134847 1.57137195 1.57068722 1.57071215]",0.09228252969587232,4,>>graph6<<Emz_
4,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,74.37782597541809,5000,1.3333333333333333,"[1, 1, 1, 1, 1, 0, 1, 1, 1]",8,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,"[4.71307843 4.71166937 1.57078053 4.7124077  4.55813995 4.71694749
 4.71161675 4.69775819 4.71071856 4.14693342 5.33363746 3.24337864
 3.1236402  3.2356042  3.23372266 3.15790784 3.15339098 3.18183303
 3.27987393 3.13896272 3.13994568 3.03519985 4.71450938 3.14509428
 3.14650799 3.13018545 3.25493987 3.16149956 3.15521376 3.19115968
 3.22758855 3.33862113 2.57217728 3.19475579 1.58249058 1.57455112
 1.57446864 1.85666306 1.95285383 1.53391246 1.5597935  2.56858271
 1.5980106 ]",0.01913281162451221,4,>>graph6<<HmzffJz
5,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,55.46463584899902,5000,1.4,"[1, 0, 1, 1, 1, 1, 0, 1, 1]",7,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,"[4.7114602  4.66161    4.71216724 4.71081233 4.71324876 4.71496163
 4.71114426 4.72048226 4.71270899 3.94652244 2.72714167 3.57330439
 3.2678736  3.14133797 2.35766325 3.14163785 3.14204959 3.2287023
 3.14218752 3.14175183 3.14198258 2.54248109 3.14156775 1.5707446
 1.60278488 1.57227202 3.14186845 1.57042655 2.94623983 4.62163098
 2.03467161 1.57058319]",0.0021275697931355617,4,>>graph6<<Hh_iS_u
6,6,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,38.755643129348755,5000,1.3333333333333333,"[1, 0, 0, 1, 1, 1]",4,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.71269552 4.48519848 4.43802335 4.45181639 1.57178044 4.71266094
 3.12554026 3.12779343 3.14266059 3.18022778 3.1486463  3.14271736
 3.91669773 3.14571603 3.75925117 3.11592275 2.29122841 1.57309629
 1.57091938 1.56762454 1.60991201 1.57952178]",6.498466844038039e-05,6,>>graph6<<Emz_
7,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,75.5082380771637,5000,1.5,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,"[4.71411158 1.57047377 4.71179421 4.69951432 4.69840257 1.60693064
 4.71173146 4.70709499 4.70938943 4.13070925 3.13353023 3.14946646
 3.14153705 3.14385982 3.15111702 3.14757444 3.14600157 3.14470803
 3.16056653 3.14128149 3.14053088 4.33717411 3.20827985 3.19133089
 3.17691533 3.14123674 3.21245693 3.18720826 3.17425059 3.16613909
 3.15152589 4.7172935  3.13498701 3.1511545  1.61232541 1.58896228
 1.58379993 3.1281376  1.99851299 1.51637885 2.30731179 2.07390004
 1.58288739]",0.016441659198478786,6,>>graph6<<HmzffJz
8,9,statevector,gaussian,multiangle,COBYLA,True,1,True,5000,1e-08,2,53.340012311935425,5000,1.0,"[0, 1, 1, 1, 0, 1, 1, 0, 0]",5,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,"[1.70515923 4.71274769 4.71200049 4.71293729 4.81212142 4.71025454
 1.57261617 1.75518539 1.57106618 1.73421746 3.18886722 3.14746838
 3.18040794 3.13587001 3.16017805 3.14182218 3.14209311 3.19421028
 3.14134473 4.71385798 3.14189504 2.07762871 3.1404437  1.57181855
 1.77812142 1.56920208 0.06074721 1.57108857 1.44753351 3.12430851
 1.39143673 1.57361025]",0.3120561366401989,6,>>graph6<<Hh_iS_u
9,6,statevector,gaussian,multiangle,COBYLA,True,4,True,5000,1e-08,2,120.47249364852905,5000,1.0,"[1, 1, 1, 0, 0, 0]",3,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.6557256  2.96978496 4.10814262 3.7440817  3.52418935 3.43994261
 3.17115474 2.11496691 3.52121712 2.31822948 4.05839331 2.98307885
 3.76471469 2.58104549 3.70290047 3.73064572 1.55295546 1.94479665
 3.16128195 2.96793176 1.73158815 1.43903999 4.56552922 4.14930436
 4.04872405 4.41197037 3.10034243 3.19247501 2.9334599  3.15526782
 3.13027528 3.18539175 3.80250786 3.80129643 2.02713355 3.19356974
 3.15441474 3.19610837 1.50799985 1.39262956 2.09249824 1.61464706
 1.4982896  1.46830118 3.30429791 2.9541739  3.10555468 4.34583019
 3.1580399  3.33330405 2.61368151 3.421774   3.1836379  3.13262358
 3.23936552 3.38482634 3.09519956 2.98649411 3.33187176 3.17382736
 1.71621034 1.72024955 1.70426433 1.9122933  2.02222561 1.52338521
 2.62559182 3.51220962 3.08868524 3.08764755 2.90795827 3.06008
 4.26513448 3.25976692 2.45446922 3.23151838 3.02030011 3.41561693
 2.83035288 3.91543287 2.74598571 3.3040329  1.61885036 1.80671507
 1.57081856 1.55403873 1.85065801 1.61542724]",0.9994602392386015,2,>>graph6<<Emz_
