,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,17.571691036224365,1889,1.4782248416467056,"[0, 1, 1, 1, 1, 1]",3.7309298928650803,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.92699082 3.92699082 3.92699081 3.92699085 3.9269908  3.14159265
 2.91794323 4.82794901 3.92699079 3.14159265 3.14159265 3.14159264
 3.14159266 3.14159266 4.61194232 4.60573592 0.70372734 1.52637734
 2.3561945  2.35619413 1.57079632 1.57079632]",0.4999999999997688,0,,,>>graph6<<Emz_
1,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,67.21194672584534,4761,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.92699082 2.35619457 3.92699082 2.35619449 3.9269908  3.92699079
 3.92699084 3.92699083 3.14159261 2.0627837  5.3044105  3.92699079
 3.92699074 3.14159265 1.57079713 3.14159264 3.14159263 3.14159263
 3.14159264 3.14159266 3.14159266 2.6563466  3.14159264 1.57079633
 1.57079634 1.93444867 1.9920905  1.86847585 2.51396246 1.00179111
 1.32671987 1.57079632]",1.5949417809289373e-34,0,,,>>graph6<<Hh_iS_u
2,6,statevector,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,51.24912881851196,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.71239497 1.57090717 1.57138763 1.69911417 4.69967433 4.71124164
 3.88535801 3.73707414 3.14145436 3.14137175 3.14135553 3.14108959
 3.13163388 4.70275265 3.07008494 1.84277282 1.41183969 1.53102006
 3.14166667 1.57076506 1.57072975 1.57069584]",0.7537335514872474,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
3,6,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,24.743576765060425,2454,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.92699081 2.35619449 3.9269908  5.49778669 3.9269908  3.92699086
 5.34956255 3.36392879 3.14159267 3.14159268 3.14159266 3.14159263
 3.14159265 3.14159267 3.84328553 4.60573594 2.11118203 2.289566
 1.57079632 1.5707963  1.57079635 1.57079634]",0.9999999999997848,0,,,>>graph6<<Emz_
4,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,39.5925817489624,2650,1.24926171148465,"[0, 1, 1, 0, 0, 1, 1, 1, 1]",3.0262341342126162,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.35619476 3.92699081 2.3561945  3.92699087 3.92699085 3.92699083
 3.92699083 3.92699085 3.92699082 3.43797293 3.08712086 3.14159265
 3.14159266 3.14159264 3.14159266 3.14159266 3.14159263 3.14159266
 3.14159266 3.14159261 4.71238897 3.09907101 3.14159266 1.57079636
 1.57079634 1.93444866 1.99209052 3.11412634 1.88547181 3.00537327
 1.32671993 1.57079633]",1.3184341383909208e-34,0,,,>>graph6<<Hh_iS_u
5,6,statevector,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,53.49410820007324,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[1.57047394 4.71281903 1.5700519  4.40728235 4.71067885 4.71395004
 3.88826999 3.73792904 4.71154478 3.14100771 3.14142707 4.7117994
 3.11438554 3.11523794 4.24168305 1.84269909 1.41950787 0.01264744
 1.57165925 1.57146299 1.57075161 1.57008833]",0.7338137134588335,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
6,6,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,11.265292644500732,1282,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.92699082 2.35619448 2.35619447 3.92699077 3.14159263 3.9269908
 2.16143942 2.99015894 3.14159266 2.3561945  3.92699086 3.14159267
 3.14159266 3.14159265 3.84328558 3.68458872 1.40745467 2.28956597
 2.35619448 1.57079633 1.57079631 1.57079635]",2.4882606949484675e-15,0,,,>>graph6<<Emz_
7,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,66.2414493560791,5000,1.295374116316499,"[1, 1, 1, 0, 1, 0, 0, 1, 1]",3.1379376565649753,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.13795075 2.35619296 2.35619434 2.35619381 3.92699033 2.35619371
 3.92449757 3.92699112 3.92699083 3.43797306 3.08712113 3.14159283
 3.14159207 3.14159245 3.1415928  3.1415927  3.14159254 2.35603518
 3.14159078 3.14159273 3.14159293 3.54034545 3.14159256 3.14159166
 1.57079631 1.93444741 1.99209044 1.86847608 1.88547133 1.00179306
 1.99866772 1.5707965 ]",2.3801877706199083e-12,0,,,>>graph6<<Hh_iS_u
8,6,statevector,gaussian,multiangle,COBYLA,True,1,minvertexcover,5000,1e-08,2,49.23103880882263,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.71161873 4.71176719 4.71271959 4.50128671 4.71404682 4.71126362
 3.88988655 3.73712203 4.71214549 4.71193664 3.14127951 3.14130706
 3.11563322 3.11632326 4.30424096 3.68517084 1.41808561 1.53742362
 1.57090613 1.57166998 1.57085551 1.57045881]",0.739011287987152,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
9,6,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,16.128921508789062,1895,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.9269908  2.35619448 3.92699082 3.92699129 3.14159271 3.92699082
 2.23095501 2.2426192  3.14159265 3.92699082 3.14159267 3.14159266
 3.14159262 3.14159263 2.30597131 3.68458875 2.11118202 2.28956598
 0.78539821 1.57079633 1.57079639 1.57079632]",0.49999999999988576,0,,,>>graph6<<Emz_
