,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,131.50152134895325,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[2.76766827 4.4679342  4.073125   4.11126039 2.94331541 4.26515122
 3.15840843 4.39626263 3.38402368 3.00068601 3.29159233 4.10024993
 3.06694153 2.69559911 3.24432057 3.27453329 2.70546394 1.57366584
 1.0967473  1.8187728  1.46759894 0.9832446  3.42543732 3.13719128
 3.52302868 3.62954953 3.14182424 3.09878129 3.0903606  3.2627427
 3.14910455 3.14245822 2.88251357 2.95433299 3.84025914 2.28395469
 3.14353377 3.11413074 1.57078036 1.56396972 1.35709124 2.55128079
 1.57094355 1.49708874 3.30533896 2.98287965 3.15209316 2.83261507
 2.18864609 4.19176183 3.2912771  3.16319849 3.14546666 3.17461422
 3.14289464 3.1510379  3.19395682 3.85634481 3.50931667 2.9965085
 1.9105954  1.56690379 1.58773528 1.71930209 1.1007358  2.54870114
 3.46025692 2.99423964 2.86621072 4.07764386 3.03293642 3.38248315
 3.58389454 3.1453176  3.46527608 3.47510358 3.47745921 3.11870093
 3.13644613 3.2847271  2.86135813 4.65834663 1.49256141 1.52397726
 1.7770642  1.62461812 2.13679844 1.65969792]",0.9997708167239105,0,,,>>graph6<<Emz_
1,9,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,330.43124628067017,5000,1.0506212894982383,"[1, 1, 1, 1, 0, 1, 0, 0, 1]",3.2271945739698595,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[3.78036036 2.89142593 4.3133751  2.84801857 2.58557578 4.18899826
 2.94164266 3.17807546 3.93132492 3.30471505 4.27802369 2.93886332
 2.71578245 3.52456416 4.50279235 3.75020159 4.2688268  3.14009649
 3.09727918 3.73779828 2.89383278 3.62182043 3.32932032 2.78998283
 3.04977593 3.49556222 3.15790535 3.10476293 3.10626783 3.30599485
 3.11415188 2.51569488 2.73478365 3.50539607 2.45918527 1.57602945
 0.52089523 1.48444795 1.55632268 1.57663689 1.57132782 1.57179312
 1.57630269 3.13849718 3.14308791 3.26587408 3.16383836 3.18441445
 3.16407106 2.96943769 3.09606405 3.16831505 2.8709605  3.19014812
 3.15384731 3.40774195 3.08660131 3.14039667 3.14661126 3.47438985
 3.15818248 3.02128358 3.15972951 3.07813438 2.94482079 3.13811028
 3.12369658 3.05712157 4.45792892 3.14407342 3.23553405 3.2519097
 3.48744517 3.55641377 3.34611357 3.24305402 2.91431701 1.61850001
 1.23775217 1.748044   1.38520084 1.56197692 1.27246827 1.49119442
 1.60630341 1.44438221 3.36087438 3.17348943 3.23411399 2.75207257
 3.30540863 3.27609501 3.33596476 2.80829076 3.08443159 3.27741804
 3.19335542 3.37054604 3.15276457 2.66317641 3.4799662  3.20329565
 3.82478442 3.43312888 3.59772058 2.56854252 3.38599332 2.73909836
 2.99937974 2.94670545 3.14383099 3.07624798 3.6237096  3.39475545
 3.2857206  3.24909033 4.2897919  3.1912714  3.18314618 2.83117056
 1.21035152 1.43298499 1.64092517 1.46556957 1.66206774 1.94384599
 1.33476234 1.30311957 1.50631925 3.20025624 3.05766071 3.21186297
 3.18852724 3.11693891 3.18993417 3.97837956 3.22726442 3.17849462
 2.89129836 4.27951828 3.33429018 3.28447761 2.89690161 3.67280749
 3.01879354 2.87045458 2.80297436 3.05288145 3.2268966  3.5038291
 4.02101515 3.42937846 3.70837563 3.11832556 2.86456353 2.44568113
 2.6709123  3.65348695 3.18212208 3.14193423 3.55376915 3.01398256
 4.35950824 1.937434   1.08437073 1.45931495 1.94277251 2.51668685
 2.76813139 2.40613042 1.57222889 1.61520691]",0.0,0,,,>>graph6<<HmzffJz
2,9,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,207.7562599182129,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.95928192 3.77235693 2.55436677 3.27416423 4.32440978 4.72386934
 3.14306439 3.82969076 2.33143351 4.07844232 4.37769168 3.24145614
 3.8846369  2.70134587 3.26330761 4.08173353 3.31431541 3.24180556
 3.00761047 3.37134429 3.07408195 2.70437462 2.35316612 2.26258237
 2.86367682 2.11746033 1.35737937 1.68991815 1.53222291 1.48911081
 1.4666192  1.39145286 2.99866429 3.18096871 2.03322636 3.08705734
 3.35576276 3.14246023 3.14862861 3.14222777 3.17527558 3.11687279
 2.74585174 3.94779919 3.14332578 3.13261233 3.248409   3.12901168
 2.96902601 3.13260458 3.10103197 3.03796611 3.08663715 3.65961106
 3.1253833  1.86103575 1.05739182 1.99997597 1.57101914 1.50061653
 1.52860644 1.6869332  1.33441369 1.91869394 3.48769648 2.76781105
 3.90821054 3.11272729 2.96129875 3.22293423 3.16281035 2.92535409
 3.0910851  3.18760038 3.39885278 4.69892083 4.05399709 2.80438266
 3.06131255 2.41846109 3.65410891 3.0677344  3.35058146 4.76871533
 3.27514893 3.23731983 3.35509543 1.69460062 1.62103283 1.58776753
 1.01491092 1.68789276 1.38052566 1.60533619 1.47134005 1.62719656
 3.08070496 4.76455777 1.87589593 3.58267984 3.06883061 3.24184842
 3.98727951 2.8876547  2.96187422 2.83967462 4.63522991 2.85472849
 3.71849281 3.07490062 3.05305759 2.97131448 3.7723399  2.72410859
 4.18705955 3.32077895 3.3534114  2.79124437 3.15955886 1.42042837
 1.59143167 1.6093947  1.34929902 1.477303   1.76037726 2.65984802
 1.66154902 1.71175794]",0.9982768947475943,0,,,>>graph6<<Hh_iS_u
3,6,statevector,gaussian,multiangle,COBYLA,True,4,minvertexcover,5000,1e-08,2,155.14085364341736,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.28439679 3.73302337 3.13212657 4.3723909  2.90848951 3.71060002
 3.33216826 3.28873323 4.47808031 4.21602252 3.37804178 3.64469927
 3.00927181 3.06600645 3.33871441 3.1529494  2.19102153 1.45749873
 1.4281868  1.59753298 1.78643197 1.40159629 3.61546047 3.04574894
 2.45401841 4.17539281 3.2661939  2.89874322 3.16219399 3.15443173
 3.28863271 3.13592127 2.81074116 3.1609226  3.54916831 3.09510405
 3.08481565 3.21348552 1.56813312 1.53268548 1.57185235 1.59628053
 1.90358526 1.81951441 3.21599188 2.76765336 3.39584194 3.17588941
 2.85543464 3.43607572 3.09755154 3.48410275 3.16861327 3.1033133
 3.14388119 3.19218569 2.96219048 2.87920783 2.7595084  3.17669156
 1.43982949 1.79671066 1.41954594 1.62554776 1.85561023 1.68881186
 3.50055216 3.33205045 3.21176438 3.10052245 3.14443932 3.16792259
 3.75147864 2.77839018 3.05913215 3.03393185 3.171529   3.49433175
 2.94187649 3.06310621 2.77848796 3.1045067  1.69077318 1.36528869
 1.48191837 1.04689222 1.57039265 1.50433435]",0.9747305321635251,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
4,9,statevector,gaussian,multiangle,COBYLA,True,4,minvertexcover,5000,1e-08,2,210.07519555091858,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.69882668 4.28853545 3.42151428 3.35937804 4.3481499  4.51850236
 3.93481402 3.79060297 3.04531357 3.08669383 4.40046487 3.168463
 3.07700878 3.18093065 3.82981134 3.86960038 3.05505995 3.20856385
 2.57768339 2.36079666 3.87645569 3.61032284 3.47536723 2.53301433
 0.83543727 2.35081861 1.12722013 3.12704214 2.42738641 1.83045741
 1.70105763 1.53106617 4.72255548 4.49727192 4.18793048 4.43882211
 3.76648685 3.7027797  4.14618971 2.74520941 3.1273882  2.57643594
 3.14693821 2.98656445 3.12457321 3.24547974 3.10419548 3.22488914
 2.48811023 3.1361831  3.11436185 3.06236986 2.67957148 2.682028
 3.32793063 1.73884473 2.0387565  1.78977279 1.57265365 2.00752394
 2.03983542 1.33465582 1.15755408 1.20459981 3.38265319 3.09159406
 3.45460676 3.24810063 2.87967838 3.39074451 3.03996222 3.17787918
 3.01213989 3.20735995 3.35162138 3.30996873 2.77862464 3.17686365
 2.92966186 3.99157194 2.69090788 3.25594609 3.44349353 4.55676386
 2.73309039 4.02139389 3.4157323  0.65278705 1.61001763 1.42609876
 1.4801329  1.83010201 1.3002937  1.78327706 1.96904113 1.70536491
 3.15850258 3.12440426 3.18414503 3.27799566 3.13960626 3.21037501
 4.2289996  3.7886773  3.01355495 2.9004538  2.71482819 2.8098331
 3.05944221 3.24514239 2.65428783 3.11871905 3.03224348 4.04912421
 3.16666344 3.90600731 2.91267405 2.95131362 3.14117322 1.26502437
 1.62501074 1.16538216 1.8590804  1.89126231 1.82931548 1.81814624
 2.36995924 1.60308819]",0.9445084304381085,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
5,6,statevector,gaussian,multiangle,COBYLA,False,7,minvertexcover,5000,1e-08,2,237.23489212989807,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.43102812 3.99480538 4.75473386 3.71610355 3.30494669 2.69055072
 3.18513682 3.24181733 2.97212409 3.24260887 3.2369516  3.07479998
 2.5371872  3.14167458 3.42430533 4.45735946 2.43385667 1.91064872
 1.6129056  1.62643685 1.44708771 1.82712365 3.80199816 2.98105167
 3.25964018 3.15094003 3.36955131 3.50800491 3.06261924 2.88492553
 3.11334258 3.08038317 2.89598509 2.57532651 3.92576081 4.33607622
 3.14424107 3.12770568 1.2626201  1.66516595 1.32964498 1.69198707
 1.43000729 1.43560749 3.11878744 3.09616441 3.10814997 3.36273953
 3.14297187 3.13320075 2.45847838 2.94482932 3.56313203 3.50460438
 3.11953711 3.04642505 2.98802481 3.14118913 3.36773126 2.86239626
 1.46132442 1.47302777 1.34894958 1.35188385 1.80136699 1.41563576
 3.38730311 2.6784941  4.59505065 2.59158748 3.00308168 3.37875908
 3.04365315 3.23644777 3.19207795 3.43913601 3.25809724 3.33115189
 2.65889117 3.60659749 2.75577359 3.29520906 1.83119459 1.31907185
 1.67715339 1.68943533 1.35444702 1.53484184 3.30865137 3.17576644
 3.41364192 2.92849727 3.41610272 3.07199952 3.05501422 3.25904193
 3.17438579 2.99070858 2.78609456 3.39873406 3.26031121 3.24058691
 2.67175087 2.71433174 2.07521299 1.19955102 1.5289322  1.6339267
 1.48468407 1.4343268  3.12335557 2.99916165 2.62231788 3.45680975
 2.34314644 3.53363614 3.14642316 2.66335656 3.00705652 2.80487525
 3.55877611 3.04829839 3.24383165 3.18366401 3.06420219 3.06241733
 1.46719049 1.63051052 2.13517114 1.86090966 1.38012995 0.96697935
 2.82395302 3.23699459 3.79055417 3.25493262 2.93465821 3.05710562
 2.78852234 4.21187794 3.87756834 2.96463935 2.98769992 3.72638609
 3.01658177 2.98901423 4.40846605 3.26267421 1.47161248 2.69426773
 1.5153884  1.71960116 1.7420156  1.26604666]",0.997120204122461,0,,,>>graph6<<Emz_
6,6,statevector,gaussian,multiangle,COBYLA,True,7,minvertexcover,5000,1e-08,2,286.81310868263245,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.99641781 4.06169119 2.80456827 3.25625322 4.32383258 4.28522256
 3.07495458 4.11759298 2.95599927 3.33142791 2.9418244  2.91966477
 3.19504075 3.17927973 3.45726832 2.88977602 2.92857828 1.48906375
 1.49801396 1.60585655 1.47331437 1.41612532 3.33881952 3.39174454
 3.94818458 3.41432884 3.396588   2.86574863 3.35637485 3.27926813
 3.30278004 2.85943634 3.15628086 3.43233562 3.71622647 2.91274799
 3.51977241 3.33714783 2.28418206 1.45876472 1.09818379 2.32409224
 1.49220346 1.42078786 3.16676246 3.26624329 3.09535225 3.07133127
 3.00125678 2.83692926 2.39085531 3.40462415 3.19905728 3.35730739
 3.14732393 3.06342571 2.91469641 3.10790863 2.82817026 3.10179798
 1.52929117 1.55790522 1.65081692 1.62661523 1.775992   1.82788652
 3.07884385 3.07661588 3.16419516 3.23052679 3.25518928 3.40241676
 3.10021848 3.27485481 3.39006362 3.44393343 3.15170747 3.19287043
 3.04602912 2.62146964 2.94924616 3.3322949  1.58512642 1.80484033
 1.78860745 1.60862019 1.27974784 1.37938625 2.54741932 3.0424765
 3.22962639 2.89813785 3.16552878 3.26162105 3.19942931 3.58306918
 3.22630857 2.93750781 3.13304909 2.93316914 3.20180979 3.47791691
 3.041501   3.06802323 2.02903031 1.54457747 1.64003787 1.54737207
 1.55717581 1.69209563 2.85960158 3.0627249  3.04164357 4.35729613
 3.23155794 4.07441166 3.42025287 3.44516841 3.56312797 3.55621942
 2.99782383 3.40610884 3.25390595 3.72095149 3.66923971 4.02549013
 1.64821636 1.75018826 2.63809705 1.75041096 2.91650594 1.03496688
 3.50175165 2.99211665 3.1110929  2.77812093 3.08271578 2.73237611
 3.13712195 3.221071   2.54400649 3.00331938 2.98146285 3.16015963
 3.18815172 3.19307408 3.07133398 3.2278068  1.34350391 1.40929193
 1.27828415 1.72294654 1.73793589 1.61220773]",0.9965575793430765,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
7,6,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,126.26345181465149,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.20925725 2.67592144 4.26445499 3.5371162  3.8412777  3.8303614
 3.1461761  3.23948053 3.13129913 2.6423731  3.04420416 2.89594975
 2.77511609 3.34318679 3.09305913 3.16835145 1.47352931 2.45465213
 2.0564975  1.23474675 1.2172997  1.57339973 3.8513836  4.32734917
 2.88283789 2.58806346 3.11914337 3.20415672 3.19768256 3.12394532
 3.07700895 3.1284953  2.65582465 2.92063825 3.83210219 2.99416726
 4.09146712 3.13306232 1.5313125  1.49857657 1.50720091 1.96625808
 1.63202551 1.63812379 3.16261408 3.15151863 3.23516221 3.12544561
 4.12329532 4.1531595  3.30221934 3.45110029 3.32882523 3.11759022
 3.09075099 3.17095239 3.39160402 3.26858892 3.07023442 2.82264696
 1.454867   1.62502644 1.46317348 1.66397289 1.58620086 2.18860943
 2.92443126 3.55731121 3.46376917 3.8204919  3.1815132  3.06117152
 3.42459322 3.05816636 3.21114717 4.37683568 3.18374244 3.22228416
 4.53558671 3.39467549 3.12296387 3.16940004 1.77859734 1.69360753
 2.59093024 2.89816352 1.61356401 1.52967147]",0.9994582039236796,0,,,>>graph6<<Emz_
8,9,statevector,gaussian,multiangle,COBYLA,False,4,minvertexcover,5000,1e-08,2,209.92735123634338,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.4201247  3.57414893 2.79901156 4.13015876 3.99457984 3.21633855
 3.10583648 4.22184311 2.70313236 4.20543931 3.24994719 4.14423746
 3.63072553 3.21668594 3.506972   3.37862675 3.10173968 3.21492071
 3.10364492 2.92889246 3.90340744 3.538333   2.7901868  1.96540896
 3.01936283 1.60078635 1.83857404 1.60572649 1.88122898 1.62939073
 1.19347348 1.58889311 3.72992879 4.1559328  3.70784788 3.3371195
 3.03853362 2.99920927 3.1684686  3.1323943  3.13493133 1.80865405
 4.04774237 2.84539315 3.18067149 3.13065468 3.27106371 3.14218503
 2.92785562 3.02207849 3.08719778 3.14242582 3.12705428 3.08859007
 3.05716452 1.55923368 1.5404836  1.25630432 1.58689926 2.02564046
 1.42139109 3.09961751 1.58280054 1.6303003  3.31845927 4.0680489
 2.83825246 3.18052229 3.13822912 3.29672744 3.14248924 3.12420977
 3.08865587 3.23404714 3.14261037 2.50622506 3.18574264 2.59602468
 3.38224136 2.55004559 3.42186993 3.60177224 3.96013879 3.80943497
 3.20161259 3.13721053 3.0681245  1.60484156 1.21651009 1.4334539
 2.344567   1.59584254 1.45193003 1.56365123 1.49994152 1.72584678
 3.84245997 3.118721   3.54971981 2.84442514 4.35149942 2.86153504
 2.93546944 4.43671966 2.79516425 3.90010974 3.96654834 3.25781644
 3.30651455 2.76213339 2.98342869 3.12531754 3.11619352 3.28070897
 3.16132773 3.49050242 3.27252114 3.10608316 3.11634649 2.79649935
 1.5853293  1.51532339 1.47954714 1.32683363 2.88724332 1.60146198
 1.13606037 1.50880995]",0.9966420312786142,0,,,>>graph6<<Hh_iS_u
9,6,statevector,gaussian,multiangle,COBYLA,True,4,minvertexcover,5000,1e-08,2,152.64341187477112,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[2.91446113 3.51471876 3.76398252 3.79325595 3.5958901  3.77694482
 3.59689889 3.52627049 2.67323207 4.19752965 3.9506571  4.33644925
 3.54829033 4.39095382 3.83772552 2.66758508 1.31207198 3.27855602
 1.29370206 1.31441905 1.5465471  1.74530632 3.29233846 3.63862478
 2.71623035 3.37650681 3.19148444 3.34726025 3.23100047 3.11664551
 3.02252904 3.20858012 3.92604469 2.49907205 3.11748918 3.43384802
 4.5707086  3.2112692  1.53024199 1.55710132 1.36872425 1.25402057
 1.50972084 1.44500771 3.02476643 3.17706734 3.26825878 3.06998552
 2.75667374 2.92732014 3.4217371  3.25824129 3.41450188 3.11292946
 3.23260018 3.181587   3.53399254 4.18299417 3.14034226 3.00116543
 1.636109   1.56255609 1.4934722  1.41889926 1.46092927 1.71680007
 3.22699313 3.11065625 4.11182791 2.89591129 3.0859512  4.4215994
 4.54879177 3.23174137 3.10068328 3.16933031 3.24394219 3.17269822
 3.19448466 3.37847128 2.68996058 3.16895867 1.54238223 1.45149055
 1.58512463 3.08567144 1.4264631  1.73943282]",0.9955147530832072,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
