,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.7881968021392822,71,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.67002012 2.69976358],0.11888529646351852,0,,,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.45137357711792,78,1.9851386380651352,"[1, 1, 1, 0, 0, 0, 0, 0, 1]",6.097752544498066,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.53019352 0.70006001],0.0,0,,,>>graph6<<HmzffJz
2,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.5413897037506104,68,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.63681079 0.31642063],0.007461196983038304,0,,,>>graph6<<Hh_iS_u
3,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,2.077831506729126,134,1.2871785518814223,"[1, 1, 1, 1, 1, 0, 1, 1, 0]",3.953827777796114,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.04887367 3.5379741  4.12692019 3.51486546 3.9312879  4.1039438
 3.86758635 4.76540853 4.34271662 4.3265429  2.87661136 3.38337055
 4.51230214 3.30318823 3.99966061 2.8734624  3.49086578 3.31251184
 3.84527762 3.35296942 3.2193821  3.17096391 3.31191816 4.46651333
 3.14222798 3.15268011 3.27039715 3.13661018 3.16283907 3.17901964
 3.09437052 3.07255094 2.75235815 3.13176514 1.48201185 1.36638177
 1.47505244 1.41925809 2.36732191 1.6009942  1.70758157 1.63052204
 2.09594817]",0.0,0,,,>>graph6<<HmzffJz
4,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.4983341693878174,134,1.403990839009438,"[1, 0, 1, 0, 1, 1, 1, 1, 1]",3.4010527674643916,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.02314132 2.53237404 2.64929035 3.48153146 3.825337   4.1672728
 3.91239969 3.98151091 3.88505002 3.55394647 3.02339555 3.10134869
 3.16491314 3.14707329 3.40388512 3.16701511 3.63236352 3.21738951
 3.17223633 2.98396556 3.26715856 2.6767053  3.07869692 1.6461402
 1.58186169 2.11681173 2.02366137 1.51430698 2.17875558 2.18561414
 1.25757429 1.47823489]",0.006670889392513243,0,,,>>graph6<<Hh_iS_u
5,6,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.3283195495605469,67,2.1538631349156763,"[0, 1, 1, 0, 1, 1]",5.4361908478315,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[4.22280595 1.70917435],0.05214300000377704,0,,,>>graph6<<Emz_
6,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.7707216739654541,134,1.9851386380651352,"[1, 1, 1, 0, 0, 0, 0, 0, 1]",6.097752544498066,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.74740636 0.79491449],0.0,0,,,>>graph6<<HmzffJz
7,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,3.2601726055145264,134,6.2596998809689195,"[0, 1, 0, 0, 0, 0, 0, 0, 1]",15.163610055095774,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.34467115 1.63272762],0.0016659684780584297,0,,,>>graph6<<Hh_iS_u
8,6,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,2.9489383697509766,134,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.66230027 2.33524342 3.99844901 3.82509768 4.08607954 2.73586062
 1.81147677 4.71882668 4.42389322 3.07957173 3.13783113 3.30678601
 3.06337162 3.09854444 4.02789966 4.60554243 2.08477369 1.03181637
 1.35121774 1.67781042 1.56280154 1.58088818]",0.043576256255673906,0,,,>>graph6<<Emz_
9,6,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.45574164390563965,67,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.67002011 2.6997636 ],0.11888529772835907,0,,,>>graph6<<Emz_
10,6,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,4.355427265167236,134,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.92535784 2.5289711  4.81455309 4.1114665  3.96750398 3.87143734
 2.77314939 2.98252644 3.14302518 3.79231587 3.20349523 3.13478781
 3.20482907 3.14791778 3.22198885 4.33900641 2.15136495 2.31584748
 1.60375211 1.63312979 2.21785882 1.58606651]",0.14416244818112192,0,,,>>graph6<<Emz_
11,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,7.51467752456665,134,1.7864134509349001,"[1, 1, 1, 0, 1, 1, 1, 1, 0]",5.487328167961658,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[3.94790856 2.62352796 3.89192661 3.38445539 3.74490856 4.4255023
 3.76339599 3.90888355 3.27791584 4.13937341 2.84486824 3.77147293
 3.1575346  2.77327492 4.95175465 3.32708183 3.20933547 3.18933434
 3.4557006  2.89541194 3.31629378 3.08589116 3.12139872 3.22403622
 3.21237084 3.05055478 3.0039172  3.05637559 3.24059355 3.29866037
 2.79177986 3.06246049 3.37811069 3.08394183 1.62292299 1.60148079
 1.56502805 1.57154748 1.61775239 1.63598344 1.66850806 2.51528895
 1.36718442]",0.0,0,,,>>graph6<<HmzffJz
12,9,statevector,gaussian,multiangle,COBYLA,False,1,minvertexcover,5000,1e-08,2,5.355008602142334,134,1.7348718625185064,"[1, 1, 1, 1, 1, 0, 1, 1, 1]",4.202584935224785,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.42046585 2.88648843 2.8708015  2.8510919  4.14964156 3.29317286
 3.77929548 4.01714623 3.75765625 3.46388252 3.02261802 3.11371378
 3.09819656 3.09699394 3.20793187 3.0547405  3.51157151 3.00604541
 2.84528879 3.07658541 3.16793778 3.41606112 3.07478963 1.43439755
 3.12773181 2.26048958 2.00637105 2.25884493 2.95723855 1.63412012
 1.49276962 1.59713831]",0.014419414087045576,0,,,>>graph6<<Hh_iS_u
13,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,3.2105448246002197,103,1.4257569139911976,"[1, 1, 1, 0, 0, 0, 0, 1, 1]",4.3794990855647615,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.62190161 3.57444236],0.0,0,,,>>graph6<<HmzffJz
