,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.4667975902557373,67,1.7941706808734268,"[1, 1, 1, 1, 1, 1]",4.528353764313619,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.65274043 0.29565475],0.03872639580118726,0,,,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.5234932899475098,105,1.4257569139911976,"[1, 1, 1, 0, 0, 0, 0, 1, 1]",4.3794990855647615,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.6219016  3.57444235],0.0,0,,,>>graph6<<HmzffJz
2,12,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.7690954208374023,105,2.514320396278524,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",11.495652014363321,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.58121815 0.54557548],0.0006191960492939238,0,,,>>graph6<<KmzffJznl{hU
3,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.812955379486084,68,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.67004334 3.1425105 ],3.326269782410716e-05,0,,,>>graph6<<Hh_iS_u
4,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.6757667064666748,187,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[3.25195182 1.5026902 ],0.1444728887893659,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
5,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,80.70736193656921,4929,2.1016880872905843,"[1, 1, 0, 0, 0, 1, 1, 0, 1]",6.455757616258203,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.46339938 2.63801885],0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
6,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.825775384902954,134,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.53066694 2.45901516],0.2129337625956781,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
7,6,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,84.65742826461792,5000,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.88208194 1.83272108 3.04370403 1.42369482 3.2503675  2.55328276
 3.86662153 1.7996714 ]",0.02052406669920875,0,,,>>graph6<<Emz_
8,6,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,52.73378777503967,2374,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[2.4765669  1.57737216 3.66922058 1.66980703 3.29405953 2.03807377
 2.73611818 1.44997774]",0.0037315938236198434,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
9,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,119.40034127235413,2670,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[2.55114732 1.63713628 2.82208083 1.57357814 3.08811782 1.30119611
 3.15260226 1.39156681]",0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
10,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,105.42869448661804,5000,1.0,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",4.572071256860571,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.14386695 1.67916588],0.010949676141470365,0,[1 1 0 0 1 1 1 1 1 1 1 0],4.572071256860571,>>graph6<<KmzffJznl{hU
11,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,127.65081357955933,5000,1.7455937583139955,"[1, 1, 0, 1, 1, 1, 1, 1, 1]",4.228557849259922,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.61604057 1.43403263 2.98944342 1.37697784 3.15209415 2.09627907
 4.14679598 2.626064  ]",0.004487015425057393,0,,,>>graph6<<Hh_iS_u
12,6,statevector,gaussian,vanilla,COBYLA,False,7,minvertexcover,5000,1e-08,2,128.96045589447021,5000,1.2984430401505362,"[1, 1, 0, 0, 1, 1]",3.277173956354101,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.14797536 0.84962741 3.24705631 1.65296586 1.7001342  1.67812966
 3.06264541 1.66952539 4.65918268 2.18911931 2.45491465 1.10309527
 4.813063   2.2523832 ]",0.08932702005528881,0,,,>>graph6<<Emz_
13,6,statevector,gaussian,vanilla,COBYLA,False,10,minvertexcover,5000,1e-08,2,141.97812128067017,5000,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.74635174 1.82211871 3.18926191 1.61507662 3.01959528 1.55249711
 3.05234645 2.91212657 3.19527205 1.72953755 3.29960632 1.51658883
 3.74758281 1.42187843 3.65847798 2.00426316 3.29310039 1.22880909
 3.91526895 2.393855  ]",0.10367256213615142,0,,,>>graph6<<Emz_
14,6,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.3614768981933594,78,1.7941706808734268,"[1, 1, 1, 1, 1, 1]",4.528353764313619,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.65274042 0.29565475],0.03872639520980327,0,,,>>graph6<<Emz_
15,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.3238930702209473,145,1.9851386380651352,"[1, 1, 1, 0, 0, 0, 0, 0, 1]",6.097752544498066,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.53019353 0.70005999],0.0,0,,,>>graph6<<HmzffJz
16,12,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,2.6698203086853027,155,2.514320396278524,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",11.495652014363321,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.58121803 0.54557548],0.0006191951152742852,0,,,>>graph6<<KmzffJznl{hU
17,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.627424955368042,68,1.1187558625531626,"[0, 1, 1, 1, 0, 1, 1, 0, 0]",2.7100944085489638,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.71564828 2.43342246],0.03300270399535769,0,,,>>graph6<<Hh_iS_u
18,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.5776855945587158,94,1.4210225796633162,"[1, 1, 1, 1, 1, 0]",3.5865556250537063,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.61652582 3.27240421],0.05337334521642049,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
19,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.8047587871551514,73,2.1016880872905843,"[1, 1, 0, 0, 0, 1, 1, 0, 1]",6.455757616258203,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.46339937 2.63801884],0.0,0,[1 1 0 0 1 1 1 1 1],3.071701103174029,>>graph6<<HmzffJz
20,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,170.76393103599548,5000,1.2283464700481135,"[1, 1, 1, 0, 1, 1, 1, 1, 1]",3.773113207126715,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[3.92219012 1.65035614 3.22564799 1.71115565 3.1230329  1.13931213
 4.5539322  1.63338884]",0.0,0,,,>>graph6<<HmzffJz
21,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,191.37132334709167,5000,1.5688591063944497,"[1, 1, 1, 1, 1, 1, 1, 0, 0]",3.8004326362479115,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.18622233 1.97264805 2.77089453 1.55415291 4.58084192 1.53049215
 3.07017183 1.36000743]",0.0003883969675499163,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
22,9,statevector,gaussian,vanilla,COBYLA,False,7,minvertexcover,5000,1e-08,2,289.4151222705841,5000,1.2283464700481135,"[1, 1, 1, 0, 1, 1, 1, 1, 1]",3.773113207126715,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.78396402 2.18585105 4.64258198 3.21797627 3.20965791 1.50346375
 3.11699261 3.00919456 3.2035444  1.40281656 3.03640936 1.80570305
 3.34760874 1.67567324]",0.0,0,,,>>graph6<<HmzffJz
23,9,statevector,gaussian,vanilla,COBYLA,False,7,minvertexcover,5000,1e-08,2,210.66455221176147,5000,1.3683373069850076,"[0, 1, 1, 1, 1, 0, 1, 0, 1]",3.3146850075101155,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.14388119 1.57092996 3.32043221 1.13488338 3.06259837 1.1409977
 2.99152524 1.93051096 3.18467723 1.34254587 2.84412771 1.13264325
 2.63865446 1.01931781]",0.000363618640568512,0,,,>>graph6<<Hh_iS_u
24,6,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,191.23631477355957,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.47438921 0.62194148 3.40813164 1.28879611 1.98555032 1.52159898
 3.08174087 2.91871604 3.34901514 1.54508606 3.14919792 3.07833417
 3.34240698 2.01445963]",0.7024084171314491,0,[1 1 1 0 0 0],2.5239258519758856,>>graph6<<Emz_
25,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,106.80069851875305,5000,1.3481126555022764,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",6.163667123231935,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.03633038 0.72028522],0.007328384984726521,0,[1 1 0 0 1 1 1 1 1 1 1 0],4.572071256860571,>>graph6<<KmzffJznl{hU
26,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.0740222930908203,124,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.53066695 2.45901515],0.2129337645420289,0,[1 0 1 0 1 0 0 1 1],2.4224180621178033,>>graph6<<Hh_iS_u
