,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,1,True,5000,1e-08,2,0.5230550765991211,82,1.6666666666666667,"[0, 1, 1, 1, 1, 1]",5,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,[2.67000697 2.84000598],0.050458184829957654,0,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,1,True,5000,1e-08,2,0.762213945388794,76,1.3333333333333333,"[1, 1, 1, 0, 0, 0, 0, 0, 1]",8,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,[3.49813511 2.39833046],0.008218956248594938,0,>>graph6<<HmzffJz
2,12,statevector,gaussian,vanilla,COBYLA,False,1,True,5000,1e-08,2,3.2623682022094727,184,5.111111111111111,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]",46,"[1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0]",9.0,[2.49405253 1.82199364],0.002169352205590604,0,>>graph6<<KmzffJznl{hU
3,9,statevector,gaussian,vanilla,COBYLA,False,1,True,5000,1e-08,2,0.5984244346618652,77,1.8,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,[3.44329946 1.20058837],0.006198138481119402,0,>>graph6<<Hh_iS_u
4,6,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.554358959197998,75,1.0,"[1, 1, 1, 0, 0, 0]",3,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,[3.62935192 2.86955802],0.24990436501659538,0,>>graph6<<Emz_
5,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,31.552990198135376,2369,1.0,"[1, 1, 1, 0, 0, 0, 1, 1, 1]",6,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0]",6.0,[3.16524749 1.57675953],0.05884370424545149,0,>>graph6<<HmzffJz
6,12,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,1.5528311729431152,68,1.4444444444444444,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0]",13,"[1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0]",9.0,[3.01619573 2.47890262],0.004148172429596471,0,>>graph6<<KmzffJznl{hU
7,9,statevector,gaussian,vanilla,COBYLA,True,1,True,5000,1e-08,2,0.7434089183807373,82,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",5,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",5.0,[3.61089994 2.82117485],0.13581707077042174,0,>>graph6<<Hh_iS_u
8,6,statevector,gaussian,vanilla,COBYLA,False,4,True,5000,1e-08,2,66.31065702438354,5000,1.6666666666666667,"[1, 1, 0, 1, 1, 1]",5,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[4.25168055 1.62394567 3.05264037 3.0312614  2.85573626 1.4577956
 2.41776323 1.56004158]",0.06234930480698568,0,>>graph6<<Emz_
9,6,statevector,gaussian,vanilla,COBYLA,True,4,True,5000,1e-08,2,54.09058690071106,3000,1.0,"[1, 1, 1, 0, 0, 0]",3,"[1.0, 1.0, 1.0, 0, 0, 0]",3.0,"[3.14159262 1.6834475  4.32838231 2.62664264 4.63796946 1.64521552
 3.14159212 3.14159196]",0.9999999999965696,0,>>graph6<<Emz_
