,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,387.758864402771,131,"[array(-0.05343304), array(-0.15133344), array(-0.19817413), array(-0.14679425), array(0.01550327), array(-0.08319643), array(-0.17404045), array(-0.06167796), array(-0.21413617), array(-0.19119467), array(-0.19210124), array(-0.20641203), array(-0.23247595), array(-0.16881855), array(-0.09282415), array(-0.18672535), array(-0.1213034), array(-0.14143463), array(-0.23337096), array(-0.32974136), array(-0.34305948), array(-0.28870713), array(-0.50520478), array(-0.41064278), array(-0.31635769), array(-0.12556376), array(-0.62116911), array(-0.13675803), array(-0.59479681), array(-0.15360955), array(-0.52375288), array(-0.67654407), array(-0.50688145), array(-0.57554877), array(-0.53584203), array(-0.58372315), array(-0.5447945), array(-0.47644691), array(-0.57716978), array(-0.70007482), array(-0.6007129), array(-0.59319077), array(-0.55893332), array(-0.48931157), array(-0.60819318), array(-0.27185323), array(-0.70020169), array(-0.44748967), array(-0.51028923), array(-0.10077195), array(-0.64884774), array(-0.52076382), array(-0.62732704), array(-0.78256014), array(-0.83758854), array(-0.84480753), array(-0.84133045), array(-0.8696586), array(-0.74984111), array(-0.78521719), array(-0.85601052), array(-0.75519365), array(-0.74952666), array(-0.83135406), array(-0.77646469), array(-0.83569034), array(-0.83334489), array(-0.77469212), array(-0.72967243), array(-0.85562872), array(-0.82392089), array(-0.74124487), array(-0.76400436), array(-0.81952449), array(-0.88832312), array(-0.86707835), array(-0.83748187), array(-0.81807839), array(-0.81687384), array(-0.73349108), array(-0.84847871), array(-0.77727767), array(-0.82343958), array(-0.78499147), array(-0.7680928), array(-0.84028711), array(-0.82297411), array(-0.83088676), array(-0.81252805), array(-0.87155141), array(-0.88771617), array(-0.81115892), array(-0.81684359), array(-0.79545002), array(-0.85006618), array(-0.82395748), array(-0.76201146), array(-0.80801212), array(-0.79322021), array(-0.74062825), array(-0.88369633), array(-0.80660549), array(-0.82020013), array(-0.83210416), array(-0.73807127), array(-0.80479835), array(-0.81809875), array(-0.79457781), array(-0.80901297), array(-0.86391906), array(-0.85605905), array(-0.7078023), array(-0.83433629), array(-0.77695803), array(-0.78348588), array(-0.87999517), array(-0.82690053), array(-0.76042608), array(-0.736455), array(-0.77769709), array(-0.79970891), array(-0.84864146), array(-0.8384813), array(-0.81075115), array(-0.80836369), array(-0.86003677), array(-0.78933086), array(-0.76274965), array(-0.7663177), array(-0.77236078), array(-0.78713088)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,461.7999584674835,151,"[array(0.04246384), array(-0.05468035), array(-0.03851459), array(-0.0595397), array(0.01309219), array(-0.0493824), array(-0.07003356), array(-0.14458039), array(-0.14357214), array(-0.05206664), array(-0.115742), array(0.03273036), array(-0.0127918), array(0.01221459), array(0.022232), array(-0.06696915), array(-0.108645), array(0.1443597), array(-0.10553482), array(0.05838256), array(-0.25534579), array(-0.36902985), array(-0.40545696), array(-0.34960584), array(-0.42542167), array(-0.40473431), array(-0.48264083), array(-0.53251595), array(-0.35879231), array(-0.47784314), array(-0.43059659), array(-0.49684885), array(-0.27783825), array(-0.57393739), array(-0.58834571), array(-0.70675629), array(-0.56872588), array(-0.6134655), array(-0.30567382), array(-0.63822381), array(-0.53012706), array(-0.6542927), array(-0.75945218), array(-0.92888579), array(-0.73822073), array(-0.85713079), array(-0.52751557), array(-0.7893846), array(-0.75987027), array(-0.76731705), array(-0.67016147), array(-0.90719202), array(-0.85733603), array(-0.78878762), array(-0.75285663), array(-0.81319891), array(-0.86689854), array(-0.75233865), array(-0.89346827), array(-0.79368356), array(-0.86663037), array(-0.78109703), array(-0.83072577), array(-0.81990602), array(-0.88046815), array(-0.83512889), array(-0.86034344), array(-0.83301719), array(-0.87639138), array(-0.85882416), array(-0.9432799), array(-0.7931589), array(-0.895553), array(-0.87042864), array(-0.84019618), array(-0.80793056), array(-0.89604453), array(-0.8134821), array(-0.9354203), array(-0.89081314), array(-0.87242706), array(-0.92680987), array(-0.85731287), array(-0.79815184), array(-0.88302689), array(-0.92172791), array(-0.88298662), array(-0.90742641), array(-0.86191227), array(-0.87497167), array(-0.85763829), array(-0.9566809), array(-0.92088565), array(-0.95913007), array(-0.81446043), array(-0.85609537), array(-0.89694855), array(-0.81701317), array(-0.85797264), array(-0.88713529), array(-0.87464048), array(-0.87848699), array(-0.88432734), array(-0.96925886), array(-0.86679331), array(-0.88718759), array(-0.88960189), array(-0.88969664), array(-0.83146644), array(-0.89906092), array(-0.88453853), array(-0.79357296), array(-0.88143046), array(-0.86710269), array(-0.90618868), array(-0.89198873), array(-0.89298034), array(-0.86900595), array(-0.8609899), array(-0.82665884), array(-0.88861458), array(-0.84526991), array(-0.86537916), array(-0.84360049), array(-0.90656437), array(-0.89169296), array(-0.76512415), array(-0.8692392), array(-0.88434467), array(-0.86487778), array(-0.85691347), array(-0.90810476), array(-0.86144707), array(-0.93686696), array(-0.93771835), array(-0.89950225), array(-0.91370367), array(-0.83789709), array(-0.84730749), array(-0.88443677), array(-0.91491357), array(-0.81852917), array(-0.91071123), array(-0.86475314), array(-0.8761157), array(-0.89536555), array(-0.86871851), array(-0.79465144), array(-0.86276654), array(-0.86143298), array(-0.81596591)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,364.9823377132416,122,"[array(0.1916234), array(0.0511787), array(0.05756421), array(0.00382546), array(-0.00966283), array(-0.24386983), array(-0.24814117), array(-0.09685997), array(-0.1028284), array(-0.0730443), array(-0.16885495), array(-0.26889052), array(-0.26529195), array(-0.17298234), array(-0.28255784), array(-0.25503678), array(-0.19953954), array(-0.24332739), array(-0.3244259), array(0.26451959), array(-0.23469432), array(-0.1578646), array(-0.506552), array(-0.63182457), array(-0.57051731), array(-0.42912093), array(-0.7424108), array(-0.14480984), array(-0.78619994), array(-0.70055227), array(-0.8398274), array(-0.48574417), array(-0.97050778), array(-0.74456824), array(-0.92385179), array(-0.97906229), array(-0.84477198), array(-0.68766907), array(-0.94984192), array(-0.8008701), array(-0.85570502), array(-0.81676942), array(-0.92595424), array(-0.89079798), array(-0.816738), array(-0.70899733), array(-0.98694835), array(-0.67700561), array(-0.94095483), array(-0.64556367), array(-0.93475783), array(-0.98008483), array(-0.8955498), array(-1.03281276), array(-0.80035223), array(-0.84152378), array(-0.94000636), array(-0.98533221), array(-0.92510717), array(-1.00329512), array(-0.93992), array(-0.91067577), array(-0.98476824), array(-0.89768635), array(-0.96442269), array(-0.9324795), array(-0.91135216), array(-0.9203176), array(-0.91512117), array(-0.97093315), array(-0.92795187), array(-0.90840077), array(-1.00526279), array(-0.97267385), array(-0.95735705), array(-1.00204804), array(-0.95010672), array(-0.994982), array(-0.98144777), array(-0.9305825), array(-0.96176027), array(-1.03043639), array(-0.97089795), array(-0.98996256), array(-0.92026004), array(-0.96045577), array(-0.9761771), array(-0.96623674), array(-0.92674303), array(-0.9424525), array(-0.95657684), array(-0.94497226), array(-0.93435893), array(-0.9707949), array(-0.91497963), array(-1.02125095), array(-0.95939499), array(-0.95040546), array(-0.98276999), array(-0.96395715), array(-0.9865561), array(-0.95745397), array(-0.9934431), array(-0.965428), array(-0.96499925), array(-0.94299507), array(-1.00434459), array(-1.02426345), array(-0.93381463), array(-1.01579234), array(-0.90515308), array(-0.96370054), array(-0.99840874), array(-0.99795038), array(-0.96636176), array(-0.98227452), array(-0.939446), array(-0.95653838), array(-0.98722911), array(-0.99360484), array(-0.96261213), array(-0.93734435)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,572.3865303993225,189,"[array(-0.08774282), array(0.0006571), array(-0.00847419), array(-0.03016295), array(0.00446268), array(-0.01725971), array(-0.11848791), array(-0.09785428), array(-0.09936677), array(-0.08603302), array(-0.05020229), array(-0.07508186), array(-0.13037477), array(-0.02237703), array(-0.08374521), array(-0.05148274), array(-0.04628599), array(-0.16320524), array(-0.13704358), array(0.01231463), array(-0.10388342), array(-0.14053998), array(-0.18409553), array(-0.02588932), array(-0.10641382), array(-0.22160199), array(-0.19713154), array(-0.3152652), array(-0.29086899), array(-0.29431586), array(-0.41319616), array(-0.29828072), array(-0.43292166), array(-0.40052343), array(-0.52984611), array(-0.54028045), array(-0.45199812), array(-0.59041069), array(-0.48417853), array(-0.47397041), array(-0.47532091), array(-0.63518128), array(-0.64498879), array(-0.67773015), array(-0.62352862), array(-0.45936822), array(-0.73589382), array(-0.75408955), array(-0.73377651), array(-0.74144193), array(-0.74176611), array(-0.6903181), array(-0.69765403), array(-0.84336809), array(-0.77777483), array(-0.79475539), array(-0.67258064), array(-0.79955101), array(-0.72169639), array(-0.76208394), array(-0.86086442), array(-0.80620382), array(-0.81288283), array(-0.86986315), array(-0.86893855), array(-0.85893398), array(-0.90796514), array(-0.90053373), array(-0.85741212), array(-0.950112), array(-0.94158918), array(-0.90595138), array(-0.97846657), array(-1.00744722), array(-0.94569975), array(-0.93641977), array(-0.88507786), array(-0.94922506), array(-0.9594104), array(-0.84796229), array(-1.06966207), array(-1.02597066), array(-0.98728117), array(-1.06625586), array(-1.03067163), array(-1.03582674), array(-1.03016527), array(-1.05364643), array(-1.08385867), array(-0.98872894), array(-1.08830171), array(-1.04598136), array(-1.10965952), array(-1.03044665), array(-1.0156802), array(-1.12282213), array(-1.06621819), array(-1.14561094), array(-1.11526286), array(-1.19043171), array(-1.12742359), array(-1.13652532), array(-1.18777926), array(-1.08960858), array(-1.17223927), array(-1.09180162), array(-1.12894112), array(-1.13767313), array(-1.1547374), array(-1.23558231), array(-1.23124127), array(-1.15939765), array(-1.09852958), array(-1.21982423), array(-1.19376676), array(-1.09168648), array(-1.12760733), array(-1.16306806), array(-1.18050743), array(-1.10365393), array(-1.11738311), array(-1.13409653), array(-1.16945104), array(-1.13937926), array(-1.17103606), array(-1.18512889), array(-1.14188802), array(-1.16300227), array(-1.14276838), array(-1.09426317), array(-1.18646176), array(-1.18094078), array(-1.24331404), array(-1.15488109), array(-1.12343949), array(-1.21438953), array(-1.18682691), array(-1.18040602), array(-1.20916665), array(-1.14223352), array(-1.1475701), array(-1.26990802), array(-1.17319353), array(-1.19380948), array(-1.17108883), array(-1.15631208), array(-1.12175651), array(-1.19481636), array(-1.22821169), array(-1.19725443), array(-1.18619133), array(-1.20571075), array(-1.12964405), array(-1.15861228), array(-1.20348039), array(-1.19174226), array(-1.20089728), array(-1.19713393), array(-1.25844529), array(-1.21054893), array(-1.20223308), array(-1.17766628), array(-1.18809027), array(-1.20543556), array(-1.22950288), array(-1.22749881), array(-1.15668426), array(-1.24326299), array(-1.16799596), array(-1.16293938), array(-1.27475823), array(-1.17462566), array(-1.19918565), array(-1.22529567), array(-1.17145881), array(-1.17073119), array(-1.20139226), array(-1.13772749), array(-1.21795487), array(-1.19164911), array(-1.22189076), array(-1.21701602), array(-1.17762137), array(-1.15425783), array(-1.20693935), array(-1.23232778), array(-1.19696775), array(-1.16542893), array(-1.19726526)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,447.9453914165497,156,"[array(0.01200809), array(0.09967789), array(0.02811772), array(0.02459885), array(0.10051216), array(0.03610253), array(0.01943814), array(0.11035577), array(0.04450121), array(0.09527295), array(-0.0129942), array(-0.01052582), array(0.0208404), array(0.00982265), array(-0.02166255), array(-0.01517641), array(0.01173048), array(-0.00729321), array(-0.04626485), array(-0.08233437), array(-0.0934736), array(-0.26074508), array(0.10681521), array(-0.2174959), array(-0.5195126), array(-0.19182308), array(-0.66263945), array(-0.47772118), array(-0.7147065), array(-0.48411664), array(-0.669872), array(-0.41920056), array(-0.78115202), array(-0.69772895), array(-0.7002822), array(-0.74302869), array(-0.75188813), array(-0.79323663), array(-0.70699407), array(-0.57455635), array(-0.67747074), array(-0.40924529), array(-0.77156558), array(-0.47374772), array(-0.70810346), array(-0.74541202), array(-0.86937022), array(-0.8005132), array(-0.94426114), array(-0.94510521), array(-0.73429983), array(-0.86515766), array(-0.91826873), array(-0.94238114), array(-0.89890347), array(-0.88575361), array(-0.83664319), array(-0.90702356), array(-0.77138986), array(-0.90203066), array(-0.97203761), array(-0.97204387), array(-0.87778696), array(-0.93987496), array(-0.82247449), array(-0.90876485), array(-0.84122793), array(-0.92180602), array(-1.07886967), array(-0.91655238), array(-1.01432236), array(-0.97237847), array(-1.04070374), array(-1.05966088), array(-1.00949964), array(-1.04601309), array(-1.01545247), array(-1.0432923), array(-1.04636273), array(-1.02434018), array(-0.99376028), array(-1.08076722), array(-1.01691243), array(-1.01890247), array(-1.03910398), array(-1.12550607), array(-1.06472952), array(-1.09455143), array(-1.0000952), array(-1.05970067), array(-1.04356217), array(-1.06366014), array(-1.1308141), array(-1.12914847), array(-1.09322338), array(-1.0760738), array(-1.04114752), array(-1.17714912), array(-1.16430908), array(-1.12963444), array(-1.10468647), array(-1.15595756), array(-1.17285146), array(-1.1214427), array(-1.15386081), array(-1.09953059), array(-1.14649924), array(-1.09509507), array(-1.16326544), array(-1.05412185), array(-1.13791404), array(-1.10667138), array(-1.0968122), array(-1.09753102), array(-1.14589068), array(-1.14498369), array(-1.11744167), array(-1.16968273), array(-1.1318276), array(-1.10158913), array(-1.13534095), array(-1.09377925), array(-1.10013443), array(-1.15386296), array(-1.08259182), array(-1.11451285), array(-1.10173576), array(-1.12620635), array(-1.11067423), array(-1.09673361), array(-1.10985897), array(-1.17882024), array(-1.11942092), array(-1.12223964), array(-1.0970603), array(-1.07994645), array(-1.09995089), array(-1.10463155), array(-1.10479428), array(-1.12121452), array(-1.07966984), array(-1.07659278), array(-1.10865748), array(-1.14825761), array(-1.14095504), array(-1.1350774), array(-1.09929448), array(-1.1224668), array(-1.12124584), array(-1.16886665), array(-1.13945705), array(-1.14666993), array(-1.07916148), array(-1.09189771), array(-1.09676753), array(-1.01911379)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,478.65855836868286,168,"[array(-0.09234962), array(0.03716182), array(-0.09432082), array(-0.09148709), array(0.14846794), array(0.0080542), array(-0.11839575), array(0.04966092), array(-0.15827088), array(-0.20301994), array(-0.08958931), array(-0.07820281), array(-0.12432662), array(-0.1702539), array(-0.07282399), array(-0.06854501), array(-0.24245505), array(0.30759016), array(-0.3177478), array(-0.22674749), array(-0.24988276), array(-0.23429996), array(-0.69987592), array(-0.39893894), array(-0.4758023), array(-0.44126875), array(-0.55617121), array(-0.20204105), array(-0.35427169), array(-0.51149209), array(-0.68144479), array(-0.26905566), array(-0.63149108), array(-0.6432412), array(-0.71084236), array(-0.83435549), array(-0.76200397), array(-0.78656674), array(-0.76486717), array(-0.77887886), array(-0.74704764), array(-0.73176071), array(-0.62873572), array(-0.7790662), array(-0.71513007), array(-0.73224485), array(-0.74438701), array(-0.80907426), array(-0.768272), array(-0.65461129), array(-0.76339668), array(-0.85779143), array(-0.83898779), array(-0.7467319), array(-0.77572612), array(-0.89081615), array(-0.88345548), array(-0.88815271), array(-0.89127778), array(-0.8319821), array(-0.90907789), array(-0.88199392), array(-0.92760213), array(-0.88113471), array(-0.76284055), array(-0.84731373), array(-0.80601072), array(-0.91786804), array(-0.82002279), array(-0.92253257), array(-0.80751172), array(-0.7653426), array(-0.97817315), array(-0.99399368), array(-0.95698207), array(-0.99103437), array(-0.85558592), array(-0.97099863), array(-0.95723707), array(-0.91613517), array(-0.92092171), array(-0.98010833), array(-0.98248771), array(-0.97967229), array(-1.00268523), array(-0.91062138), array(-1.0102488), array(-0.92669058), array(-1.04218297), array(-0.93538335), array(-0.98519716), array(-0.94526586), array(-0.92502389), array(-0.96492856), array(-0.93878152), array(-1.03832726), array(-0.9857543), array(-0.91022614), array(-0.97407158), array(-0.97071413), array(-0.96726351), array(-1.00996884), array(-0.97380598), array(-0.98985144), array(-1.03875723), array(-0.98132979), array(-0.97390737), array(-0.98713917), array(-1.04763964), array(-0.97293676), array(-0.98290277), array(-0.99043429), array(-1.01664078), array(-0.97275599), array(-0.99796199), array(-1.01575922), array(-0.96373188), array(-1.01522794), array(-0.99478154), array(-0.95468392), array(-0.95521468), array(-1.01827638), array(-0.93562187), array(-0.95827359), array(-0.92326464), array(-0.98334118), array(-1.1001703), array(-0.97204322), array(-0.98479652), array(-0.93009019), array(-1.07269487), array(-0.95482526), array(-1.03322702), array(-0.93979964), array(-0.97011794), array(-1.05915855), array(-1.00504453), array(-0.99324083), array(-0.94447734), array(-1.01622606), array(-1.01570322), array(-0.97183865), array(-0.95713857), array(-1.0099964), array(-0.95986177), array(-0.99658786), array(-0.98017016), array(-0.99161098), array(-0.97727517), array(-0.96110346), array(-1.02866904), array(-0.98166203), array(-1.02595746), array(-1.01605756), array(-0.96433376), array(-1.02461348), array(-0.96066605), array(-0.94436623), array(-0.9885529), array(-0.94445794), array(-0.92229972), array(-0.94888468), array(-0.99082907), array(-1.0258094), array(-0.95459254), array(-0.99953465), array(-0.96095795), array(-1.01156483)]","[0, 0, 1, 0, 1, 1, 0]",5.442387316639132,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,331.0167305469513,112,"[array(-0.04422942), array(0.00503067), array(0.01442676), array(-0.05085625), array(0.13972955), array(-0.07154147), array(-0.02279651), array(-0.08062462), array(0.00220776), array(-0.0992261), array(-0.04556354), array(0.04175067), array(-0.02442386), array(-0.12231185), array(-0.00487737), array(-0.00506722), array(4.95850282e-05), array(0.00558242), array(-0.05323392), array(-0.08821188), array(-0.19934667), array(-0.16503144), array(0.01582602), array(-0.10576696), array(-0.31695), array(-0.19664582), array(-0.35618218), array(-0.27434313), array(-0.19934832), array(-0.23412014), array(-0.115517), array(-0.40393811), array(-0.38824079), array(-0.46111339), array(-0.38369485), array(-0.24678766), array(-0.4904997), array(-0.38138588), array(-0.34473134), array(-0.31603135), array(-0.36172744), array(-0.29483925), array(-0.27667495), array(-0.21046249), array(-0.26049614), array(-0.40637077), array(-0.32490989), array(-0.25940789), array(-0.3457235), array(-0.3712096), array(-0.35777995), array(-0.28224442), array(-0.34382728), array(-0.40474285), array(-0.39334143), array(-0.38867649), array(-0.32063436), array(-0.35046171), array(-0.31569228), array(-0.395829), array(-0.40347793), array(-0.33514394), array(-0.31181892), array(-0.32068374), array(-0.37615074), array(-0.33705814), array(-0.37217639), array(-0.42164363), array(-0.31729397), array(-0.37208327), array(-0.36326855), array(-0.39533402), array(-0.41820242), array(-0.35479802), array(-0.32205851), array(-0.40736555), array(-0.41071788), array(-0.35444097), array(-0.39485461), array(-0.41412045), array(-0.44356656), array(-0.3576597), array(-0.3848221), array(-0.30877839), array(-0.32758943), array(-0.3834322), array(-0.36921767), array(-0.39174043), array(-0.35765278), array(-0.31207571), array(-0.3483863), array(-0.35581098), array(-0.3672565), array(-0.39575819), array(-0.35566177), array(-0.39104366), array(-0.33343591), array(-0.36114713), array(-0.41357792), array(-0.38912491), array(-0.44036232), array(-0.39670101), array(-0.34299514), array(-0.45184634), array(-0.37215207), array(-0.42667072), array(-0.37876125), array(-0.44280359), array(-0.3939721), array(-0.39363475), array(-0.37017476), array(-0.35785085)]","[1, 0, 0, 1, 0, 0, 1]",4.720190965244353,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,277.06205654144287,94,"[array(0.00779995), array(0.03220854), array(0.13291666), array(-0.00421988), array(0.04650206), array(-0.11748045), array(-0.10974645), array(-0.14704873), array(-0.10384034), array(-0.16308582), array(-0.05828864), array(-0.07511683), array(-0.08390373), array(-0.21014139), array(-0.14535589), array(-0.1159732), array(-0.12575669), array(-0.11677489), array(-0.13849191), array(0.03773638), array(-0.20449069), array(-0.1234979), array(-0.20599138), array(-0.08818427), array(-0.0794563), array(-0.19440976), array(-0.15272893), array(-0.02720118), array(-0.09449317), array(-0.06047879), array(-0.16668236), array(-0.05751122), array(-0.10282292), array(-0.12177432), array(-0.12710388), array(-0.15247471), array(-0.06209438), array(-0.14555147), array(-0.07715523), array(-0.08536735), array(-0.1615567), array(-0.09770921), array(-0.13586623), array(-0.14049438), array(-0.11277938), array(-0.1540862), array(-0.11324225), array(-0.08665159), array(-0.09769634), array(-0.04787069), array(-0.0617914), array(-0.11740601), array(-0.09698935), array(-0.15268106), array(-0.09796819), array(-0.1176718), array(-0.0915576), array(-0.11395228), array(-0.10466503), array(-0.12649087), array(-0.07749084), array(-0.11774575), array(-0.1126016), array(-0.12318468), array(-0.16825176), array(-0.12471822), array(-0.14147768), array(-0.06678029), array(-0.12995632), array(-0.15823457), array(-0.09227839), array(-0.15986978), array(-0.17474669), array(-0.07181354), array(-0.17684605), array(-0.07967867), array(-0.12059454), array(-0.10934079), array(-0.10142283), array(-0.13896476), array(-0.06465176), array(-0.09330281), array(-0.0961091), array(-0.15344822), array(-0.08930376), array(-0.13363533), array(-0.16858338), array(-0.17405616), array(-0.13131715), array(-0.07840255), array(-0.15079288), array(-0.15583436), array(-0.09118102), array(-0.10087972)]","[1, 1, 0, 0, 1, 0, 1]",3.666726302326505,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,394.8198039531708,136,"[array(-0.04548536), array(0.09430357), array(0.02951698), array(0.08203504), array(0.22953755), array(-0.02567603), array(0.00786915), array(0.07496466), array(-0.01868693), array(0.00132614), array(-0.000491), array(0.04755337), array(-0.02586166), array(0.04205191), array(0.00976486), array(-0.02056786), array(-0.01771756), array(0.06133545), array(0.02113022), array(-0.14264694), array(-0.18858632), array(-0.11055369), array(-0.40551012), array(-0.43788439), array(-0.36345159), array(-0.46665506), array(-0.48395776), array(-0.07171933), array(-0.4600618), array(-0.51997275), array(-0.6769555), array(-0.39212098), array(-0.66794872), array(-0.39293565), array(-0.6674362), array(-0.63614649), array(-0.57494264), array(-0.32955137), array(-0.59986208), array(-0.35344016), array(-0.69057474), array(-0.63074537), array(-0.60510254), array(-0.77274423), array(-0.73781028), array(-0.65234487), array(-0.80880705), array(-0.71665139), array(-0.4156263), array(-0.67939916), array(-0.70722069), array(-0.73229369), array(-0.78167104), array(-0.70020105), array(-0.7726374), array(-0.72517865), array(-0.77707785), array(-0.74955225), array(-0.70465633), array(-0.7140822), array(-0.82562371), array(-0.71355711), array(-0.784123), array(-0.79026192), array(-0.79320363), array(-0.94905109), array(-0.94553955), array(-0.85603854), array(-0.84004389), array(-0.87945067), array(-0.81543003), array(-0.89833251), array(-0.84769587), array(-0.77748228), array(-0.90347708), array(-0.82488409), array(-0.94870053), array(-0.89791491), array(-0.82311099), array(-0.86690196), array(-0.85387363), array(-0.87060907), array(-0.83139513), array(-0.88838611), array(-0.85827458), array(-0.85022789), array(-0.92738718), array(-0.86314806), array(-0.77926069), array(-0.85312339), array(-0.8634079), array(-0.9388489), array(-0.87520506), array(-0.87381761), array(-0.82899555), array(-0.8509092), array(-0.89313002), array(-0.85116833), array(-0.86121962), array(-0.89413452), array(-0.87398083), array(-0.80103593), array(-0.85949008), array(-0.91174958), array(-0.85144436), array(-0.86498467), array(-0.85755209), array(-0.89093295), array(-0.90502243), array(-0.92248875), array(-0.83001335), array(-0.86424349), array(-0.89350324), array(-0.84269842), array(-0.8380564), array(-0.85359791), array(-0.85546673), array(-0.92324851), array(-0.85492463), array(-0.86359119), array(-0.95099122), array(-0.88702131), array(-0.91147875), array(-0.8558829), array(-0.86624108), array(-0.89242209), array(-0.90831759), array(-0.85572152), array(-0.89065442), array(-0.88082711), array(-0.87980035), array(-0.84997682), array(-0.89088117), array(-0.91497425), array(-0.87639197), array(-0.85067561)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,gaussian,COBYLA,multiangle,False,True,1,7,F?~vw,306.20413422584534,103,"[array(-0.0124124), array(-0.03195021), array(0.01049317), array(0.00099962), array(0.21244354), array(0.02875064), array(0.04148826), array(-0.07678753), array(-0.16599748), array(-0.18277088), array(-0.22218442), array(-0.10483392), array(-0.14981507), array(-0.12998284), array(-0.08825129), array(-0.14340071), array(-0.22525346), array(-0.51855353), array(-0.50853399), array(-0.48233818), array(-0.42974143), array(-0.43713343), array(-0.68423031), array(-0.34281421), array(-0.54198272), array(-0.4000693), array(-0.25420257), array(-0.1113801), array(-0.6086621), array(-0.57609448), array(-0.58235742), array(-0.67170415), array(-0.62328571), array(-0.65633911), array(-0.56091744), array(-0.61886965), array(-0.58386736), array(-0.59971586), array(-0.59669421), array(-0.56778472), array(-0.63147618), array(-0.49854801), array(-0.64100288), array(-0.57556549), array(-0.46134902), array(-0.57738442), array(-0.66914104), array(-0.65760176), array(-0.61168588), array(-0.60707984), array(-0.64609003), array(-0.59200136), array(-0.64578812), array(-0.61506566), array(-0.59610301), array(-0.60600613), array(-0.47291541), array(-0.54889524), array(-0.65300672), array(-0.63025313), array(-0.54305432), array(-0.6066124), array(-0.57181118), array(-0.57038344), array(-0.6536678), array(-0.59938929), array(-0.56049499), array(-0.60304841), array(-0.63858854), array(-0.61173439), array(-0.52148423), array(-0.55043868), array(-0.61628795), array(-0.56721306), array(-0.65866179), array(-0.59365149), array(-0.59732399), array(-0.60126157), array(-0.53018699), array(-0.62439885), array(-0.62262457), array(-0.59451706), array(-0.59084529), array(-0.6245936), array(-0.62799936), array(-0.60715362), array(-0.58443313), array(-0.58913778), array(-0.62810193), array(-0.5651634), array(-0.66286996), array(-0.58034713), array(-0.62570767), array(-0.59006192), array(-0.55135964), array(-0.57869414), array(-0.61055682), array(-0.64696028), array(-0.55007389), array(-0.61664616), array(-0.6217009), array(-0.58396561), array(-0.64793693)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
