,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.749704599380493,114,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.093602895736694,125,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.420299768447876,127,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.42626953125,129,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.26662802696228,128,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.896723747253418,117,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.085434913635254,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.35315203666687,138,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.04667329788208,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.746765851974487,119,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
10,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.566340923309326,118,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
11,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.5918238162994385,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
12,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.942485332489014,131,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
13,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.563406705856323,121,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
14,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.5142247676849365,115,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
15,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.487136602401733,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
16,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.768158435821533,125,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
17,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.63057804107666,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
18,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.723315000534058,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
19,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.774752378463745,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
20,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.6707847118377686,125,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
21,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.237675428390503,139,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
22,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.513296842575073,124,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
23,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.687952518463135,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
24,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.958806276321411,133,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
25,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.149792194366455,135,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
26,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.624615669250488,123,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
27,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.783400774002075,124,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
28,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.8730127811431885,121,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
29,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.788050174713135,128,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
30,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.444744110107422,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
31,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.735054969787598,129,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
