,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.798122406005859,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.197116136550903,130,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.901189088821411,123,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.739680290222168,115,[],[1. 1. 1. 0. 0. 1. 0.],5.2473570484294925,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.257977724075317,132,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.20058798789978,131,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.983842849731445,129,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.061794281005859,125,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.757115364074707,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.440634727478027,140,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
10,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.5256359577178955,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
11,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.174275159835815,132,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
12,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.930251836776733,129,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
13,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.740303993225098,124,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
14,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.786448955535889,127,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
15,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.667004585266113,118,[],[0. 1. 1. 1. 0. 0. 0.],5.312089311049142,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
16,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.59855842590332,115,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
17,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.417649984359741,121,[],[1. 1. 1. 0. 0. 1. 0.],5.2473570484294925,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
18,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.723466157913208,130,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
19,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.9391419887542725,127,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
20,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.474395990371704,122,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
21,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.084034204483032,108,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
22,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.466000080108643,117,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
23,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.165843725204468,135,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
24,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.77756929397583,125,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
25,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.577543020248413,119,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
26,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.189408779144287,116,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
27,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.996455430984497,133,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
28,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.393522024154663,114,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
29,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.950715780258179,127,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
30,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.403927564620972,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
31,uniform,COBYLA,recursive,False,False,1,7,F?~vw,6.250790596008301,137,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
32,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.426724672317505,121,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
33,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.992714881896973,129,[],[1. 1. 0. 1. 0. 0. 1.],5.442387316639132,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
34,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.069850444793701,136,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
35,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.9304351806640625,130,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
36,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.834731817245483,125,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
37,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.848136901855469,128,[],[1. 1. 0. 1. 0. 0. 1.],5.442387316639132,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
38,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,5.422247886657715,120,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
39,uniform,COBYLA,recursive,False,False,1,7,F?~vw,5.652283430099487,119,[],[1. 1. 1. 1. 1. 0. 0.],5.136949160124757,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
40,gaussian,COBYLA,recursive,False,False,1,7,F?~vw,6.067780494689941,126,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
