,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,COBYLA,vanilla,False,False,1,7,F?~vw,1.666766881942749,16,"[array(0.61147534), array(-0.68278443), array(-0.86201213), array(0.82217961), array(0.56013666), array(-0.33190706), array(-0.82451674), array(-0.32668), array(-0.74543648), array(-0.83489633), array(-0.96522391), array(-0.88312427), array(-0.84738227), array(-0.9064797), array(-0.90464561), array(-0.90154251)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,uniform,COBYLA,vanilla,True,False,1,7,F?~vw,1.787079095840454,17,"[array(0.31401053), array(-0.59138451), array(-0.88671065), array(0.41274148), array(-0.50646933), array(-0.61122318), array(-1.0240389), array(-0.99430263), array(-1.02865897), array(-0.91267455), array(-1.01723887), array(-1.03120572), array(-1.03505739), array(-0.94358529), array(-0.88773101), array(-0.95541705), array(-0.95885324)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,vanilla,False,False,1,7,F?~vw,2.0888078212738037,20,"[array(0.28426701), array(-0.6705546), array(-0.27006484), array(1.61062811), array(-0.295148), array(0.33656806), array(-0.70784255), array(-0.82521602), array(-0.61611649), array(-0.67646884), array(-0.87243679), array(-0.93044468), array(-0.65963714), array(-0.61660149), array(-0.8340717), array(-0.72863055), array(-0.77432111), array(-0.84694508), array(-0.86983786), array(-0.78964421)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,gaussian,COBYLA,vanilla,True,False,1,7,F?~vw,1.4982192516326904,14,"[array(0.52056313), array(-0.97627498), array(-0.29681878), array(0.8068598), array(-0.33987782), array(-0.86361527), array(-0.72084437), array(-0.86076306), array(-0.82379381), array(-0.97576189), array(-0.85869032), array(-0.85097578), array(-0.86954189), array(-0.86202204)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,uniform,COBYLA,vanilla,False,False,1,7,F?~vw,2.087085723876953,20,"[array(-0.48320078), array(0.25923615), array(-0.02542027), array(1.38292748), array(-0.02047882), array(-0.15622427), array(-0.39034344), array(-0.55150819), array(-0.48116634), array(-0.39489479), array(-0.60307534), array(-0.65770629), array(-0.58180644), array(-0.53576371), array(-0.57369299), array(-0.62957802), array(-0.53031736), array(-0.56179947), array(-0.55781315), array(-0.50554414)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,uniform,COBYLA,vanilla,True,False,1,7,F?~vw,2.5937490463256836,24,"[array(0.83087545), array(0.39803274), array(0.11299418), array(-0.07885408), array(-0.03484404), array(-0.09744908), array(-0.13233303), array(-0.03685874), array(0.04775553), array(-0.22709739), array(-0.32240425), array(-0.34440381), array(-0.48700992), array(-0.46224241), array(-0.52037028), array(-0.51923086), array(-0.45703707), array(-0.48988109), array(-0.49136693), array(-0.48832691), array(-0.45612215), array(-0.5182491), array(-0.47193353), array(-0.43542232)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,vanilla,False,False,1,7,F?~vw,2.0127205848693848,19,"[array(-0.85428601), array(0.5201499), array(-0.18219914), array(1.62997594), array(0.10261665), array(-0.01191819), array(-0.68211009), array(-0.91802255), array(-0.91388534), array(-0.80013577), array(-0.88352812), array(-0.91593509), array(-0.94404084), array(-0.93610717), array(-0.85774567), array(-0.98213241), array(-0.86878215), array(-0.92811618), array(-0.91580313)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,gaussian,COBYLA,vanilla,True,False,1,7,F?~vw,2.4670016765594482,23,"[array(-0.14376266), array(-0.4755126), array(-0.13639494), array(1.06784063), array(0.21911488), array(-0.71632233), array(-0.55641854), array(-0.88890976), array(-0.96880315), array(-0.99100786), array(-1.04771092), array(-0.80901214), array(-0.93895282), array(-0.99417172), array(-0.99255908), array(-1.01987364), array(-0.98737806), array(-1.03748767), array(-1.07767605), array(-1.00584793), array(-0.99400098), array(-1.04677257), array(-1.02261123)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,uniform,COBYLA,vanilla,False,False,1,7,F?~vw,1.4852895736694336,14,"[array(-0.35234332), array(0.24184349), array(-1.02149073), array(0.42989094), array(0.5499995), array(-0.90951038), array(-0.45339724), array(-0.93379544), array(-0.96426347), array(-0.96763116), array(-0.95296544), array(-0.92922917), array(-0.99762309), array(-1.01492299)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,uniform,COBYLA,vanilla,True,False,1,7,F?~vw,2.0235869884490967,19,"[array(-0.86557031), array(1.40733857), array(-0.4404675), array(0.03452414), array(-0.93451383), array(-0.79821399), array(-0.75068123), array(-1.0424326), array(-1.09871058), array(-1.05344225), array(-1.1375877), array(-1.05194211), array(-1.03634474), array(-1.07286978), array(-1.02682194), array(-1.02725137), array(-1.17943658), array(-1.07749659), array(-1.06713704)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
