,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,COBYLA,vanilla,False,False,1,9,H?r@fR],6.41124153137207,22,"[array(0.13375953), array(0.48922054), array(0.07349322), array(-0.28302069), array(0.40214395), array(-0.21597412), array(-0.12517869), array(-0.28460498), array(0.49449424), array(-0.55694841), array(-0.18029625), array(-0.53126606), array(-0.18901865), array(-0.44681944), array(-0.66714131), array(-0.57944053), array(-0.54696683), array(-0.52040754), array(-0.61299753), array(-0.62827758), array(-0.64464022), array(-0.63779538)]","[1, 0, 0, 0, 1, 0, 1, 0, 1]",4.997786960885928,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,uniform,COBYLA,vanilla,False,False,1,9,HCQeLr~,5.938388347625732,21,"[array(0.19460407), array(1.40027954), array(0.01325798), array(-0.32537846), array(-0.28585968), array(-1.16964375), array(-0.47433935), array(-0.97623657), array(-0.40861583), array(-0.81681286), array(-1.00181683), array(-1.08916164), array(-1.23125969), array(-1.21918897), array(-1.1459506), array(-1.22666338), array(-1.25707175), array(-1.21204652), array(-1.18370801), array(-1.17387815), array(-1.18313467)]","[0, 1, 0, 0, 0, 1, 0, 1, 1]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,uniform,COBYLA,vanilla,False,False,1,9,H?qlvNx,11.855674266815186,30,"[array(-0.03858685), array(0.12839767), array(0.16139772), array(0.37530802), array(0.13962827), array(-0.12396217), array(-0.07371943), array(-0.20420115), array(-0.21215889), array(-0.27986341), array(-0.28128459), array(-0.37322927), array(-0.61314034), array(-0.64569839), array(-0.84577336), array(-0.82929987), array(-0.89416971), array(-1.05212971), array(-1.11709727), array(-1.00947325), array(-1.13042512), array(-1.19787092), array(-1.2303017), array(-1.26547972), array(-1.29287376), array(-1.41500524), array(-1.37296594), array(-1.38676179), array(-1.28134692), array(-1.39624134)]","[0, 0, 1, 1, 1, 0, 0, 1, 0]",10.185457194060403,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,uniform,COBYLA,vanilla,False,False,1,9,HCQbQuv,6.003775596618652,21,"[array(-0.46559424), array(0.9249275), array(-0.41763943), array(0.0735812), array(0.83966256), array(-0.74306668), array(-0.24829104), array(-0.4536266), array(-0.91969905), array(-1.11771657), array(-0.81696724), array(-0.84793557), array(-1.16963504), array(-1.23106335), array(-1.22851051), array(-1.20876099), array(-1.23831245), array(-1.2270924), array(-1.25874801), array(-1.12806391), array(-1.18546582)]","[1, 1, 1, 0, 0, 1, 0, 1, 0]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,uniform,COBYLA,vanilla,False,False,1,9,HCrfZzf,8.753879070281982,25,"[array(-0.15735077), array(0.08415067), array(0.07608228), array(0.84056046), array(-0.30490966), array(0.76518626), array(-0.57030543), array(-0.42427281), array(-0.1461184), array(-0.65639049), array(-0.77487836), array(-0.78021038), array(-0.84567875), array(-0.81345952), array(-0.93079792), array(-0.95402226), array(-0.77969839), array(-0.95371006), array(-1.0324573), array(-0.96014635), array(-0.9525419), array(-0.90591953), array(-1.03918045), array(-1.05001894), array(-0.93133099)]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",7.6801757424559725,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,uniform,COBYLA,vanilla,False,False,1,9,H?qbDo~,6.548500299453735,23,"[array(1.04441278), array(-0.80806218), array(-1.00976723), array(0.52602233), array(0.21390816), array(-0.06173058), array(-0.85125031), array(-1.06642026), array(-1.14292655), array(-1.23711009), array(-1.32191681), array(-1.24775221), array(-1.0896609), array(-1.31213215), array(-1.26049048), array(-1.27468933), array(-1.29390225), array(-1.33343646), array(-1.42262665), array(-1.29263659), array(-1.3477637), array(-1.38293823), array(-1.39208421)]","[1, 1, 1, 1, 0, 0, 0, 0, 1]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,uniform,COBYLA,vanilla,False,False,1,9,H?`cnd},5.6294264793396,20,"[array(-0.20022776), array(0.38571356), array(-0.0793698), array(-0.10130798), array(0.33865981), array(-0.42054391), array(-0.40723465), array(-0.36083591), array(-0.44436583), array(-0.27468164), array(-0.37799048), array(-0.50389358), array(-0.41221944), array(-0.43611993), array(-0.47785319), array(-0.4838076), array(-0.46820678), array(-0.44971119), array(-0.46766906), array(-0.4533094)]","[0, 1, 0, 1, 1, 1, 0, 0, 1]",4.968439812011311,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,uniform,COBYLA,vanilla,False,False,1,9,H?`cv`z,6.024993419647217,22,"[array(0.16446085), array(0.01210861), array(0.2047257), array(-0.31620664), array(1.14857661), array(0.06041826), array(0.05713774), array(-0.42693545), array(0.26476397), array(-0.79951942), array(-0.47779489), array(-0.6678253), array(-0.81026807), array(-0.62799424), array(-0.86244399), array(-0.82495948), array(-0.8779374), array(-0.89145201), array(-0.86697869), array(-0.87528917), array(-0.84349328), array(-0.80096938)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,uniform,COBYLA,vanilla,False,False,1,9,H?bFUi~,7.888076543807983,25,"[array(-0.0174604), array(-0.11918966), array(0.24575488), array(-0.36800626), array(0.88587707), array(-0.20255975), array(-0.10187652), array(-0.26553939), array(-0.24809386), array(-0.52558389), array(-0.53420018), array(-0.5880796), array(-0.59266726), array(-0.48264566), array(-0.64185164), array(-0.75479288), array(-0.66852228), array(-0.72167736), array(-0.65873542), array(-0.6835862), array(-0.72352615), array(-0.78963857), array(-0.69019678), array(-0.65607007), array(-0.62762186)]","[0, 0, 0, 0, 0, 1, 1, 1, 0]",6.868969977038627,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,uniform,COBYLA,vanilla,False,False,1,9,HCQTefs,4.639178514480591,17,"[array(-0.22191468), array(0.07465156), array(-0.42690627), array(0.35871255), array(0.28663179), array(-0.33237857), array(-0.3879927), array(-0.36078991), array(-0.46679488), array(-0.44281085), array(-0.38902338), array(-0.48132626), array(-0.50873986), array(-0.44864355), array(-0.45288274), array(-0.50362324), array(-0.35573036)]","[0, 1, 1, 1, 0, 0, 1, 1, 0]",4.32413204973759,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
10,uniform,COBYLA,vanilla,False,False,1,9,H?`vFVt,20.141354084014893,24,"[array(0.39116874), array(-0.1073026), array(0.30479388), array(-0.10869053), array(-0.91442251), array(0.19375079), array(-1.05572458), array(0.60072176), array(-1.42869735), array(-1.49559345), array(-1.21505877), array(-0.32613781), array(-1.08497947), array(-1.53819419), array(-1.51031313), array(-1.52551477), array(-1.53702948), array(-1.58071094), array(-1.52197682), array(-1.50812489), array(-1.54130278), array(-1.58799406), array(-1.57610556), array(-1.58271788)]","[1, 1, 1, 1, 0, 0, 0, 1, 0]",8.044071421187637,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 1.0]",8.044071421187637
11,uniform,COBYLA,vanilla,False,False,1,9,HCXmfqv,7.970368146896362,16,"[array(0.15558255), array(0.04468771), array(-0.1081593), array(0.16570047), array(0.00526549), array(-0.04391637), array(-0.07467881), array(-0.09629614), array(-0.12151539), array(-0.04485346), array(-0.05581494), array(-0.08200349), array(-0.04769016), array(-0.07432688), array(-0.09129708), array(-0.09352472)]","[1, 1, 1, 0, 1, 1, 0, 1, 0]",3.0403672556963306,"[1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0]",6.533122484141586
12,uniform,COBYLA,vanilla,False,False,1,9,HCQebj],9.00135350227356,20,"[array(-0.3681136), array(-0.01967161), array(-0.87962992), array(-0.0816218), array(1.10341341), array(-1.05689241), array(-0.98405912), array(-0.30072194), array(-0.72895289), array(-1.1148824), array(-1.14694221), array(-1.13244651), array(-1.15562879), array(-1.16556536), array(-1.12092821), array(-1.11862274), array(-1.17479631), array(-1.14317722), array(-1.1625641), array(-1.11472102)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",6.125951699247245,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.125951699247246
13,uniform,COBYLA,vanilla,False,False,1,9,HCQbQpJ,7.406947612762451,17,"[array(1.19141755), array(-0.60188562), array(-0.33591044), array(0.46929922), array(1.00050636), array(-0.57747813), array(-0.59506802), array(-0.00704568), array(-0.33706128), array(-0.71811425), array(-0.74100189), array(-0.69036112), array(-0.67983299), array(-0.72292431), array(-0.69866681), array(-0.72813667), array(-0.74149343)]","[0, 1, 0, 1, 0, 1, 1, 0, 1]",4.1928277779034,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",4.211028141743718
14,uniform,COBYLA,vanilla,False,False,1,9,HCdbFNf,9.37752890586853,22,"[array(-0.04906984), array(-0.07518725), array(-0.15598012), array(-0.09817907), array(-0.23924675), array(0.03421303), array(0.01259237), array(-0.39500848), array(-0.20785626), array(-0.43675123), array(-0.46018691), array(-0.42055989), array(-0.4584354), array(-0.37912007), array(-0.4228336), array(-0.41812065), array(-0.49590519), array(-0.46624606), array(-0.37634834), array(-0.49479632), array(-0.43850418), array(-0.42682154)]","[1, 1, 1, 0, 1, 0, 1, 0, 0]",6.451268932942937,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0]",8.618099618340064
