,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,COBYLA,recursive,False,False,3,9,H?r@fR],3.160092830657959,346,[],[1. 0. 1. 1. 1. 1. 0. 0. 0.],5.636218475911499,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,uniform,COBYLA,recursive,False,False,3,9,HCQeLr~,3.3965749740600586,350,[],[0. 1. 0. 1. 0. 1. 0. 1. 1.],6.460569230189154,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,uniform,COBYLA,recursive,False,False,3,9,H?qlvNx,3.184640407562256,332,[],[1. 0. 0. 0. 1. 0. 0. 1. 1.],7.053207996839175,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,uniform,COBYLA,recursive,False,False,3,9,HCQbQuv,4.11861252784729,365,[],[1. 1. 1. 0. 0. 1. 0. 1. 0.],7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,uniform,COBYLA,recursive,False,False,3,9,HCrfZzf,3.7503700256347656,353,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,uniform,COBYLA,recursive,False,False,3,9,H?qbDo~,3.3831536769866943,345,[],[1. 1. 1. 0. 1. 0. 1. 0. 1.],4.936675069401536,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,uniform,COBYLA,recursive,False,False,3,9,H?`cnd},3.4342918395996094,346,[],[1. 1. 1. 0. 0. 1. 0. 1. 0.],5.020136173919949,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,uniform,COBYLA,recursive,False,False,3,9,H?`cv`z,3.3778581619262695,373,[],[1. 1. 1. 1. 1. 0. 1. 0. 0.],5.572448818936994,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,uniform,COBYLA,recursive,False,False,3,9,H?bFUi~,3.588066816329956,345,[],[0. 1. 1. 0. 1. 0. 1. 1. 1.],4.608709559687856,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,uniform,COBYLA,recursive,False,False,3,9,HCQTefs,3.0188515186309814,347,[],[0. 1. 1. 1. 1. 0. 0. 0. 0.],4.907896435759974,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
10,uniform,COBYLA,recursive,False,False,3,9,H?`vFVt,14.992599725723267,363,[],[1. 1. 0. 1. 1. 1. 0. 1. 0.],5.554269787870271,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 1.0]",8.044071421187637
11,uniform,COBYLA,recursive,False,False,3,9,HCXmfqv,14.841243743896484,347,[],[0. 0. 0. 1. 0. 1. 1. 1. 0.],6.533122484141585,"[1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0]",6.533122484141586
12,uniform,COBYLA,recursive,False,False,3,9,HCQebj],14.861501455307007,368,[],[1. 1. 0. 1. 1. 0. 1. 0. 0.],4.674501665622641,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.125951699247246
13,uniform,COBYLA,recursive,False,False,3,9,HCQbQpJ,8.461532354354858,351,[],[0. 1. 0. 0. 0. 1. 0. 1. 0.],3.166402182325814,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",4.211028141743718
14,uniform,COBYLA,recursive,False,False,3,9,HCdbFNf,7.593080997467041,345,[],[1. 1. 0. 0. 0. 1. 0. 0. 1.],7.127878491210632,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0]",8.618099618340064
15,uniform,COBYLA,recursive,False,False,3,9,H?`fffj,6.80696439743042,349,[],[1. 1. 1. 1. 0. 1. 0. 0. 0.],5.85565049225527,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.532236701606372
16,uniform,COBYLA,recursive,False,False,3,9,H?ovfz{,6.481484413146973,349,[],[0. 1. 1. 1. 1. 1. 1. 0. 0.],6.856677617675062,"[1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0]",8.36843075048951
17,uniform,COBYLA,recursive,False,False,3,9,HCrM\^~,6.89540433883667,385,[],[1. 0. 1. 1. 0. 0. 1. 0. 1.],7.054015380164298,"[0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",9.397804657366132
18,uniform,COBYLA,recursive,False,False,3,9,H?`fNrt,6.391227722167969,359,[],[1. 0. 1. 1. 1. 0. 1. 0. 0.],4.6700939773419305,"[0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",6.784150497834054
