,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,3.735260009765625,556,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.12982914 1.43030737 3.2755206  0.75195398],0.008714849245881891,0,,,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,5.30695652961731,342,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.36041825 1.67622352 3.13076412 1.25846097],0.0,0,,,>>graph6<<HmzffJz
2,6,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,13.559512376785278,1507,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.98611181 2.5104993  3.93302392 1.41383677 3.42877551 1.61942955],0.020193807395880763,0,,,>>graph6<<Emz_
3,9,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,91.98830270767212,5000,1.5710182561075887,"[1, 1, 1, 0, 0, 0, 1, 0, 1]",4.82569851039222,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[4.16669827 1.52596792 3.30043291 2.70749599 4.47142458 1.81143862],0.0,0,,,>>graph6<<HmzffJz
4,6,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,69.55229616165161,5000,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.34574093 1.50437315 3.19512556 2.26037474 2.98560394 2.58384674
 3.42812434 2.62967923 3.70878813 1.2451601 ]",0.07296710682369353,0,,,>>graph6<<Emz_
5,6,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,81.04271817207336,5000,1.2984430401505362,"[1, 1, 0, 0, 1, 1]",3.277173956354101,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.57394632 1.88379652 4.65710385 1.76285019 2.84492709 1.30909775
 3.22429706 2.90904597 2.9766448  0.89572843 4.46494735 2.94291038]",0.12387123135233524,0,,,>>graph6<<Emz_
6,6,statevector,gaussian,vanilla,COBYLA,False,8,minvertexcover,5000,1e-08,2,110.86436986923218,5000,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.67865406 1.64732688 3.05317912 1.31830774 3.22325894 1.61520847
 3.33765006 1.6042336  3.25679248 2.45293211 3.32701512 2.11531121
 3.79556919 1.84374834 3.5020561  2.11623061]",0.19156765432798306,0,,,>>graph6<<Emz_
7,6,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,3.976386308670044,598,1.7941706808734268,"[1, 1, 1, 1, 1, 1]",4.528353764313619,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.95217417 3.53544228 2.76374095 0.61534827],0.041797562511538836,0,,,>>graph6<<Emz_
8,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,33.04533576965332,2466,1.5710182561075887,"[1, 1, 1, 0, 0, 0, 1, 0, 1]",4.82569851039222,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[4.20237826 1.5031428  2.70995366 1.24416651],0.0,0,,,>>graph6<<HmzffJz
9,6,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,23.15971803665161,2554,2.164704441456321,"[1, 0, 1, 0, 1, 1]",5.463553501678628,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.95237575 1.4004031  3.85198765 1.80693847 3.00171324 1.33307634],0.0013254384737902717,0,,,>>graph6<<Emz_
10,9,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,141.17847323417664,5000,1.7047152381897241,"[0, 1, 1, 1, 1, 1, 0, 1, 1]",5.236375677744954,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[3.14118291 1.57186168 4.0257957  1.31977755 3.12829003 1.5973476
 3.23584303 1.42705208 3.35672316 1.56296024]",0.0,0,,,>>graph6<<HmzffJz
11,9,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,168.28506350517273,5000,0.9999999999999999,"[1, 1, 0, 0, 1, 1, 1, 1, 1]",3.071701103174029,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.12329102 3.29576068 3.02917516 1.62747563 3.04613136 1.7276323
 3.13428202 2.78575413 4.65591986 3.67144231 2.79201757 3.2561469 ]",0.0,0,,,>>graph6<<HmzffJz
12,6,statevector,gaussian,vanilla,COBYLA,False,9,minvertexcover,5000,1e-08,2,114.17635917663574,5000,1.4890661481873502,"[1, 0, 1, 1, 1, 1]",3.758292546712208,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.67804194 1.73692504 3.12992368 1.58582819 4.15611972 1.87286768
 4.99766268 1.80344865 3.24342328 2.10394495 3.71692933 2.03521077
 3.42331897 1.26342351 3.00199461 1.32965739 3.92154283 1.22513522]",0.0011532683871269614,0,,,>>graph6<<Emz_
13,9,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,93.31146621704102,5000,2.0652253992827583,"[1, 1, 0, 0, 1, 1, 0, 1, 1]",6.343755137279874,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.95723372 0.9259216  4.69077127 0.65952201 2.89542817 1.11753201],0.0,0,,,>>graph6<<HmzffJz
14,6,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,69.60109877586365,5000,1.6773926682377382,"[1, 1, 1, 0, 1, 1]",4.2336147192800375,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.88953747 2.33940508 2.83647698 1.51847396 2.43479062 1.44006881
 3.03466599 1.59573735 2.23139782 1.18282047]",0.022679320755792404,0,,,>>graph6<<Emz_
