,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,rec_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,3,9,H?r@fR],316.8290731906891,31,[],[0. 0. 1. 1. 1. 1. 0. 1. 1.],6.371991462395325,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,gaussian,COBYLA,recursive,False,True,1,3,9,HCQeLr~,308.63838052749634,28,[],[0. 1. 0. 0. 0. 1. 0. 1. 1.],7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,gaussian,COBYLA,recursive,False,True,1,3,8,GCZMY{,294.30477809906006,34,[],[1. 0. 0. 0. 1. 0. 0. 1.],6.1656518279704855,"[1.0, 0, 0, 0, 1.0, 0, 0, 1.0]",6.1656518279704855
3,gaussian,COBYLA,recursive,False,True,1,3,8,GCqnfc,281.93608140945435,33,[],[1. 0. 0. 0. 1. 0. 1. 1.],5.497646681997324,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",5.497646681997324
4,gaussian,COBYLA,recursive,False,True,1,3,7,FCZTo,235.01783227920532,30,[],[0. 0. 0. 0. 1. 1. 1.],5.174843542202047,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",5.174843542202046
5,gaussian,COBYLA,recursive,False,True,1,3,7,FCZew,230.64888501167297,28,[],[1. 0. 0. 0. 1. 1. 0.],3.9471197289408133,"[0, 1.0, 1.0, 1.0, 0, 0, 1.0]",3.9471197289408133
6,gaussian,COBYLA,recursive,False,True,1,3,6,EQyw,181.50446248054504,30,[],[0. 0. 1. 1. 1. 0.],4.432487862987722,"[1.0, 1.0, 0, 0, 0, 1.0]",4.432487862987722
7,gaussian,COBYLA,recursive,False,True,1,3,6,E?Bw,176.97571396827698,28,[],[0. 0. 0. 0. 0. 1.],2.762376409118102,"[1.0, 1.0, 1.0, 1.0, 1.0, 0]",2.762376409118102
8,gaussian,COBYLA,recursive,False,True,1,3,5,DFw,132.4078962802887,28,[],[1. 1. 1. 0. 0.],3.3806223225650873,"[1.0, 1.0, 1.0, 0, 0]",3.3806223225650873
9,gaussian,COBYLA,recursive,False,True,1,3,5,DUw,138.33331418037415,30,[],[1. 1. 0. 0. 0.],2.8541802014301934,"[1.0, 1.0, 0, 0, 0]",2.8541802014301934
