,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,False,False,2,9,H?r@fR],8.670735597610474,26,"[array(0.25979997), array(-0.90454679), array(-0.0598766), array(0.4654473), array(-0.75783425), array(0.7000556), array(-0.06770521), array(-0.28698956), array(-0.79997616), array(-0.87217403), array(-0.74279926), array(-0.66948205), array(-0.71668607), array(-0.89126941), array(-0.89265086), array(-0.89042571), array(-0.86447165), array(-0.83645368), array(-0.82692184), array(-0.93275868), array(-0.84411272), array(-0.84111186), array(-0.84168356), array(-0.82604836), array(-0.76590156), array(-0.86224261)]","[1, 1, 1, 0, 1, 0, 1, 0, 0]",6.971914601189573,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,gaussian,COBYLA,vanilla,False,False,2,9,HCQeLr~,7.910877227783203,23,"[array(0.02391885), array(-0.00114472), array(-0.15249807), array(-0.12294241), array(0.14270698), array(-0.05452945), array(-0.08971748), array(-0.04096278), array(-0.14611824), array(-0.03938594), array(-0.08974349), array(-0.12051326), array(-0.10164273), array(-0.1078462), array(-0.12187161), array(-0.10262225), array(-0.11697825), array(-0.12128055), array(-0.14478171), array(-0.10852815), array(-0.12358402), array(-0.09786384), array(-0.05209033)]","[0, 0, 1, 1, 0, 1, 1, 1, 0]",4.7519153933296,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,gaussian,COBYLA,vanilla,False,False,2,9,H?qlvNx,8.544975757598877,24,"[array(0.34777714), array(0.11628496), array(0.06155023), array(-0.08914511), array(-0.00614556), array(0.00362767), array(-0.05928261), array(0.15941717), array(-0.02140649), array(-0.06327264), array(-0.05934658), array(0.03550721), array(0.05290776), array(-0.01024281), array(-0.11470514), array(-0.00682491), array(-0.02729848), array(-0.09948876), array(-0.09023106), array(-0.03696366), array(-0.11320406), array(-0.11437517), array(-0.0347054), array(-0.11755529)]","[0, 0, 1, 1, 1, 1, 0, 1, 1]",6.639887751911041,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,gaussian,COBYLA,vanilla,False,False,2,9,HCQbQuv,8.868965148925781,26,"[array(-0.1903125), array(0.20394861), array(-0.68171632), array(-0.01844626), array(-0.04873032), array(0.21671466), array(0.00922945), array(-0.56886672), array(-0.59228064), array(-0.52557701), array(-0.59105007), array(-0.59071618), array(-0.6410702), array(-0.6558438), array(-0.58573994), array(-0.57620128), array(-0.62588595), array(-0.68218709), array(-0.65306652), array(-0.70957559), array(-0.6043128), array(-0.61406855), array(-0.64203135), array(-0.65605006), array(-0.67879276), array(-0.58050392)]","[1, 0, 1, 0, 1, 1, 1, 0, 0]",6.408229360153427,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,gaussian,COBYLA,vanilla,False,False,2,9,HCrfZzf,9.21761155128479,25,"[array(-0.21103381), array(0.0228039), array(0.04178953), array(-0.05849586), array(0.10000728), array(-0.15309638), array(0.0305553), array(0.09625412), array(0.00684275), array(-0.28766158), array(-0.26042414), array(-0.17157162), array(-0.09576887), array(-0.16984178), array(-0.18775671), array(-0.21725112), array(-0.23562567), array(-0.24531975), array(-0.2188702), array(-0.22475694), array(-0.2757894), array(-0.2250153), array(-0.18032025), array(-0.21977307), array(-0.22716721)]","[1, 0, 0, 1, 0, 0, 0, 1, 0]",5.297747692555039,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,gaussian,COBYLA,vanilla,False,False,2,9,H?qbDo~,8.58636999130249,26,"[array(0.02228084), array(-0.01571161), array(0.22357823), array(-0.06493621), array(-0.12115273), array(0.16468908), array(-0.03009092), array(-0.12333076), array(-0.09445232), array(0.23353473), array(-0.13010713), array(-0.19380412), array(-0.06979624), array(-0.08806522), array(0.00140989), array(-0.12304881), array(-0.14036908), array(-0.05945218), array(-0.06758049), array(-0.14858215), array(-0.10291653), array(-0.09538969), array(-0.10224321), array(-0.08607037), array(-0.06996365), array(-0.1008699)]","[1, 0, 0, 1, 1, 0, 0, 1, 1]",3.861815051503093,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,gaussian,COBYLA,vanilla,False,False,2,9,H?`cnd},8.791086673736572,26,"[array(-0.25040333), array(-0.69181185), array(-0.01935007), array(-0.03247671), array(-0.57373799), array(-0.15130519), array(-0.18962715), array(-0.15560234), array(-0.67884051), array(-0.7789359), array(-0.5448067), array(-0.78065688), array(-0.6091261), array(-0.68215743), array(-0.71966676), array(-0.68781691), array(-0.72776443), array(-0.74992731), array(-0.63707935), array(-0.73208068), array(-0.73661653), array(-0.69025399), array(-0.77359318), array(-0.69901819), array(-0.77305304), array(-0.71747065)]","[0, 1, 1, 1, 1, 0, 0, 0, 0]",6.900142776118493,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,gaussian,COBYLA,vanilla,False,False,2,9,H?`cv`z,7.8436195850372314,24,"[array(-0.13130943), array(0.19651366), array(-0.07825445), array(0.06737609), array(0.03901018), array(0.09014757), array(0.17789624), array(-0.13762114), array(-0.10528997), array(-0.08718048), array(-0.16641614), array(-0.15346308), array(-0.16088741), array(-0.20976685), array(-0.14767437), array(-0.08249467), array(-0.15500218), array(-0.15825571), array(-0.1413752), array(-0.12892899), array(-0.1393009), array(-0.12114759), array(-0.17561047), array(-0.15998361)]","[0, 1, 1, 1, 1, 1, 1, 1, 0]",5.3736593352482664,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,gaussian,COBYLA,vanilla,False,False,2,9,H?bFUi~,8.321226358413696,24,"[array(0.1150703), array(-0.31074256), array(0.01362193), array(0.04696961), array(-0.26615542), array(0.20760428), array(0.17110887), array(-0.45777041), array(-0.51509996), array(-0.23864382), array(-0.47173618), array(-0.36094466), array(-0.39892209), array(-0.47840857), array(-0.50122769), array(-0.47617699), array(-0.48124549), array(-0.49017875), array(-0.48814415), array(-0.5333149), array(-0.46530589), array(-0.45625075), array(-0.52738342), array(-0.43931411)]","[0, 1, 0, 0, 1, 0, 1, 1, 1]",5.879313103498513,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,gaussian,COBYLA,vanilla,False,False,2,9,HCQTefs,9.074152708053589,28,"[array(0.23233615), array(-0.35400578), array(0.03335361), array(-0.37155854), array(-0.40249734), array(0.24814984), array(0.37373323), array(-0.31204993), array(-0.22048723), array(-0.17057175), array(-0.37310245), array(-0.20975773), array(-0.53956929), array(-0.4771355), array(-0.58419788), array(-0.55800752), array(-0.53460523), array(-0.53239387), array(-0.57351513), array(-0.5917496), array(-0.52640471), array(-0.5307934), array(-0.53980747), array(-0.62484946), array(-0.49157443), array(-0.59910365), array(-0.55440735), array(-0.49570769)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
