,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,False,2,5,D,11.019292831420898,31,"[array(0.27872128), array(2.09090909), array(0.003996), array(0.61738262), array(0.66733267), array(0.28271728), array(0.21378621), array(-0.3026973), array(0.06393606), array(1.38777878e-17), array(-0.6953047), array(-0.3966034), array(-0.84115884), array(-0.55644356), array(-0.99100899), array(-0.85014985), array(-0.65434565), array(-0.90809191), array(-0.95904096), array(-1.00699301), array(-1.004995), array(-0.88811189), array(-0.93806194), array(-1.001998), array(-0.97402597), array(-0.95204795), array(-0.90509491), array(-0.99400599), array(-0.97202797), array(-0.96403596), array(-0.96903097)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 1.0, 0, 0]",4.0,[2.39485987 2.08652698 3.60954481 1.43422467],0.0979
1,gaussian,COBYLA,vanilla,False,False,2,5,B,9.742488145828247,27,"[array(0.00849151), array(0.84365634), array(0.03946054), array(0.14635365), array(0.14335664), array(0.77872128), array(0.03046953), array(0.04245754), array(0.27322677), array(-0.06643357), array(0.02347652), array(0.03946054), array(0.01948052), array(-0.11238761), array(-0.00649351), array(0.03146853), array(0.03846154), array(0.04545455), array(-0.03346653), array(0.04245754), array(-0.02347652), array(-0.05544456), array(0.01748252), array(-0.04945055), array(-0.15334665), array(-0.04745255), array(-0.00849151)]","[0, 0, 0, 0, 1]",0,"[1.0, 1.0, 0, 0, 0]",4.0,[3.29520932 1.63805646 3.16154933 1.31787308],0.08990000000000001
2,gaussian,COBYLA,vanilla,False,False,2,5,k,8.953766584396362,24,"[array(-0.03046953), array(0.81668332), array(-0.19030969), array(5.1953047), array(4.88461538), array(2.55194805), array(0.44105894), array(0.01648352), array(0.09340659), array(0.3041958), array(0.01148851), array(-0.17432567), array(-0.21228771), array(0.24725275), array(-0.22927073), array(0.05544456), array(0.0004995), array(-0.15234765), array(-0.1033966), array(-0.00749251), array(0.07542458), array(-0.03946054), array(0.0014985), array(-0.15834166)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 0, 0, 0]",6.0,[3.1205644  2.48937588 3.29128747 1.69150977],0.31289999999999996
3,gaussian,COBYLA,vanilla,False,False,4,5,D,26.23321771621704,64,"[array(-0.80519481), array(-0.91608392), array(-0.0969031), array(-0.52147852), array(-0.39360639), array(-0.48851149), array(-0.44555445), array(0.2017982), array(-0.46553447), array(0.3966034), array(-0.23976024), array(-0.64435564), array(-0.92507493), array(-0.32767233), array(-1.0959041), array(-1.37362637), array(-0.62337662), array(-1.52447552), array(-1.24175824), array(-1.57742258), array(-1.30969031), array(-1.56143856), array(-1.47652348), array(-1.5044955), array(-1.63536464), array(-1.40859141), array(-1.66833167), array(-1.6013986), array(-1.54345654), array(-1.71028971), array(-1.74625375), array(-1.75524476), array(-1.76323676), array(-1.74325674), array(-1.72827173), array(-1.77722278), array(-1.72727273), array(-1.79120879), array(-1.71528472), array(-1.71128871), array(-1.8011988), array(-1.76523477), array(-1.75124875), array(-1.81718282), array(-1.78721279), array(-1.82717283), array(-1.84015984), array(-1.85214785), array(-1.81018981), array(-1.88711289), array(-1.85514486), array(-1.83116883), array(-1.85914086), array(-1.81918082), array(-1.83516484), array(-1.85914086), array(-1.83316683), array(-1.85014985), array(-1.81718282), array(-1.79120879), array(-1.85914086), array(-1.84415584), array(-1.83516484), array(-1.80719281)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.37534402 1.24287694 2.77970201 2.34321876 3.12529678 2.01658181
 3.12064487 1.23507983]",0.2122
4,gaussian,COBYLA,vanilla,False,False,4,5,B,29.814217567443848,66,"[array(2.45504496), array(-0.58691309), array(1.22527473), array(0.7997003), array(1.01248751), array(0.67282717), array(-0.98251748), array(-1.4000999), array(-0.14635365), array(-0.91758242), array(0.10939061), array(-1.3971029), array(-0.81668332), array(-0.72977023), array(-0.7047952), array(-1.28721279), array(-0.32417582), array(-1.73276723), array(-1.44305694), array(-1.46103896), array(-1.57692308), array(-1.41808192), array(-1.78871129), array(-1.28721279), array(-1.5979021), array(-1.74375624), array(-1.73676324), array(-1.53796204), array(-1.81768232), array(-1.78671329), array(-1.86863137), array(-1.66283716), array(-1.65684316), array(-1.80669331), array(-1.92757243), array(-1.81968032), array(-1.95254745), array(-1.9985015), array(-2.02147852), array(-2.04645355), array(-2.0034965), array(-1.9985015), array(-1.96253746), array(-2.0954046), array(-2.01248751), array(-2.07942058), array(-2.0974026), array(-2.0034965), array(-2.11138861), array(-2.07742258), array(-2.07542458), array(-2.13036963), array(-2.05544456), array(-2.04845155), array(-2.08541459), array(-2.08641359), array(-2.10539461), array(-2.09240759), array(-2.10539461), array(-2.12137862), array(-2.1033966), array(-2.06843157), array(-2.03846154), array(-2.0984016), array(-2.05144855), array(-2.12037962)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.60804625 1.61391328 3.06169418 1.33137841 3.39434279 2.51918265
 3.47885167 1.33450954]",0.6851
5,gaussian,COBYLA,vanilla,False,False,4,5,k,29.383322954177856,62,"[array(0.08941059), array(0.33616384), array(-0.05744256), array(0.15034965), array(-0.4010989), array(1.76373626), array(1.59090909), array(0.16133866), array(0.36513487), array(0.55694306), array(2.73276723), array(-0.32217782), array(0.36913087), array(-0.79270729), array(-0.0014985), array(-1.27622378), array(2.6988012), array(-0.78971029), array(2.70679321), array(-1.1033966), array(-1.90859141), array(-1.14035964), array(-1.76573427), array(-1.81968032), array(-1.71778222), array(-1.04245754), array(-1.72777223), array(-1.51198801), array(-1.44405594), array(-1.74075924), array(-1.72977023), array(-1.94755245), array(-1.93656344), array(-2.07242757), array(-2.02347652), array(-2.11038961), array(-2.15834166), array(-2.15134865), array(-2.03746254), array(-2.16333666), array(-2.23826174), array(-2.23426573), array(-2.24025974), array(-2.09140859), array(-2.21028971), array(-2.13036963), array(-2.18231768), array(-2.1983017), array(-2.14035964), array(-2.0994006), array(-2.25824176), array(-2.28421578), array(-2.18631369), array(-2.10839161), array(-2.17032967), array(-2.18031968), array(-2.17632368), array(-2.16833167), array(-2.18931069), array(-2.18331668), array(-2.24325674), array(-2.24225774)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.02472735 2.82859003 2.84929957 2.745713   2.90183383 1.61116947
 3.11339345 1.42511708]",0.1892
6,gaussian,COBYLA,vanilla,False,False,6,5,D,38.89641809463501,80,"[array(-1.24175824), array(-0.97402597), array(-0.24675325), array(-0.46153846), array(-0.85914086), array(0.35164835), array(-0.02997003), array(-0.34165834), array(-0.24475524), array(-0.6983017), array(-0.41758242), array(-0.75824176), array(-0.76723277), array(-0.44955045), array(-1.83216783), array(-1.04095904), array(-1.1018981), array(-2.03696304), array(-1.64035964), array(-0.42557443), array(-1.42857143), array(-0.49050949), array(-1.87312687), array(-0.76323676), array(-2.00999001), array(-1.28671329), array(-1.77622378), array(-0.78321678), array(-1.66333666), array(-1.96203796), array(-1.84815185), array(-1.95104895), array(-2.12587413), array(-1.81818182), array(-2.04595405), array(-2.02597403), array(-2.15584416), array(-2.03096903), array(-2.12287712), array(-2.06393606), array(-2.12687313), array(-2.0979021), array(-2.2027972), array(-1.94205794), array(-2.16083916), array(-2.15384615), array(-2.1988012), array(-2.0959041), array(-2.13586414), array(-2.17782218), array(-2.11188811), array(-2.15484515), array(-2.17282717), array(-2.13886114), array(-2.19180819), array(-2.22377622), array(-2.16183816), array(-2.0999001), array(-2.16783217), array(-2.16483516), array(-2.15984016), array(-2.13286713), array(-2.25274725), array(-2.12387612), array(-2.19380619), array(-2.14685315), array(-2.13386613), array(-2.17382617), array(-2.21278721), array(-2.25674326), array(-2.17282717), array(-2.13186813), array(-2.17182817), array(-2.18681319), array(-2.18681319), array(-2.17182817), array(-2.19280719), array(-2.14585415), array(-2.21078921), array(-2.18481518)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.31955832 1.13910493 2.76400825 1.73268401 2.53249448 1.30282841
 3.02226746 1.25075656 3.14392057 1.93579497 3.05926201 1.38418129]",0.4634
7,gaussian,COBYLA,vanilla,False,False,6,5,B,38.251081466674805,72,"[array(-0.08641359), array(0.21228771), array(-0.24725275), array(-0.07242757), array(-0.14135864), array(0.46303696), array(0.28421578), array(1.29420579), array(3.47502498), array(0.60689311), array(0.36313686), array(-0.32717283), array(-0.40709291), array(0.16133866), array(-0.83566434), array(-0.8026973), array(0.73976024), array(-0.92957043), array(-0.50899101), array(-0.8036963), array(-0.41908092), array(-0.46603397), array(0.57092907), array(-0.81968032), array(0.37712288), array(-0.95654346), array(-0.86563437), array(-0.49100899), array(0.44705295), array(-0.79070929), array(-1.02047952), array(-0.77072927), array(-0.95054945), array(-0.40709291), array(-0.8966034), array(-1.0014985), array(-0.72977023), array(-0.95554446), array(-0.99350649), array(-0.94755245), array(-1.13636364), array(-1.13936064), array(-1.09340659), array(-1.11438561), array(-0.95954046), array(-1.12037962), array(-0.93256743), array(-1.07342657), array(-1.04545455), array(-1.06143856), array(-1.11438561), array(-1.12537463), array(-1.02847153), array(-1.0954046), array(-1.08341658), array(-0.9985015), array(-1.11138861), array(-1.08441558), array(-1.13736264), array(-1.05444555), array(-1.0954046), array(-1.14135864), array(-1.15334665), array(-1.01348651), array(-1.18631369), array(-1.07842158), array(-1.11238761), array(-0.98951049), array(-1.16733267), array(-1.11738262), array(-1.06243756), array(-1.05844156)]","[1, 0, 1, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,"[2.88039316 2.37191387 3.11758726 2.00980755 3.13818219 1.48843266
 3.62926497 1.48354836 3.37557578 1.38077312 4.00214284 2.7014823 ]",0.24960000000000002
8,gaussian,COBYLA,vanilla,False,False,6,5,k,46.33019685745239,82,"[array(0.61888112), array(1.99350649), array(-0.55694306), array(0.26723277), array(-0.65584416), array(-0.18331668), array(0.7987013), array(-0.20729271), array(0.56093906), array(0.48001998), array(-0.03946054), array(-0.56393606), array(-0.66883117), array(1.68281718), array(0.73576424), array(-0.3001998), array(0.78771229), array(-0.37312687), array(-0.96853147), array(-0.21128871), array(-1.36913087), array(-1.78771229), array(0.41908092), array(-1.37112887), array(0.1023976), array(-2.05744256), array(2.15934066), array(-0.33916084), array(1.17232767), array(-1.78671329), array(-1.97052947), array(-1.57592408), array(-1.94455544), array(-1.57992008), array(-1.99050949), array(-1.38111888), array(-1.05544456), array(-1.82667333), array(-2.13936064), array(-1.90759241), array(-2.18331668), array(-2.13936064), array(-2.16933067), array(-2.00649351), array(-2.26723277), array(-1.80869131), array(-2.24125874), array(-1.97652348), array(-2.32517483), array(-2.31118881), array(-2.3001998), array(-2.3031968), array(-2.20929071), array(-2.24525475), array(-2.2952048), array(-2.26123876), array(-2.09340659), array(-2.32617383), array(-2.31018981), array(-2.3011988), array(-2.2992008), array(-2.29020979), array(-2.27622378), array(-2.28021978), array(-2.29020979), array(-2.30719281), array(-2.35314685), array(-2.28821179), array(-2.33216783), array(-2.2962038), array(-2.28221778), array(-2.33816184), array(-2.2992008), array(-2.33116883), array(-2.31318681), array(-2.28021978), array(-2.2972028), array(-2.31618382), array(-2.32017982), array(-2.27022977), array(-2.30919081), array(-2.30519481)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.23696634 3.10204942 3.11461641 2.38418864 3.92169574 1.88603784
 3.35156433 1.94727704 2.78795189 1.53108307 3.23455835 2.57131818]",0.09970000000000001
9,gaussian,COBYLA,vanilla,False,False,8,5,D,62.561166524887085,113,"[array(0.68031968), array(0.71328671), array(-0.00799201), array(0.49150849), array(0.01498501), array(0.14285714), array(0.51348651), array(0.65334665), array(-0.1048951), array(-0.17682318), array(-0.13786214), array(-0.1978022), array(-0.11188811), array(0.22277722), array(0.03396603), array(0.52947053), array(0.8041958), array(0.55344655), array(0.49150849), array(0.05094905), array(-0.2997003), array(0.14985015), array(-0.02997003), array(-0.27172827), array(0.30569431), array(-0.3956044), array(-0.67632368), array(-1.14385614), array(-0.91508492), array(-0.83816184), array(-0.65034965), array(-1.21578422), array(-0.14285714), array(-0.91908092), array(-0.18081918), array(-0.95504496), array(0.36463536), array(-1.17082917), array(-1.34065934), array(-1.09290709), array(-0.28371628), array(-0.7042957), array(-1.40659341), array(-1.05794206), array(-1.33066933), array(-0.63136863), array(-1.3036963), array(-1.03996004), array(-1.27572428), array(-1.05294705), array(-1.22877123), array(-0.75324675), array(-1.05094905), array(-1.26173826), array(-1.27472527), array(-1.20779221), array(-1.002997), array(-1.4035964), array(-1.43356643), array(-1.44555445), array(-1.40959041), array(-1.33566434), array(-1.37962038), array(-1.32367632), array(-1.35464535), array(-1.43856144), array(-1.32067932), array(-1.46753247), array(-1.42857143), array(-1.2957043), array(-1.41958042), array(-1.48451548), array(-1.46053946), array(-1.4975025), array(-1.54645355), array(-1.50749251), array(-1.55444555), array(-1.43856144), array(-1.46553447), array(-1.47352647), array(-1.53346653), array(-1.44655345), array(-1.54645355), array(-1.45454545), array(-1.49150849), array(-1.52447552), array(-1.4975025), array(-1.48851149), array(-1.54545455), array(-1.51448551), array(-1.43356643), array(-1.53846154), array(-1.47452547), array(-1.55644356), array(-1.51148851), array(-1.51748252), array(-1.55244755), array(-1.45454545), array(-1.40759241), array(-1.48551449), array(-1.6013986), array(-1.56343656), array(-1.55644356), array(-1.52847153), array(-1.48551449), array(-1.51748252), array(-1.52247752), array(-1.47052947), array(-1.47452547), array(-1.51148851), array(-1.51948052), array(-1.47652348), array(-1.41258741)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.40175582 2.81693994 3.85678627 1.07755987 2.79148288 1.72468923
 2.70403011 2.60067439 4.20524419 1.16842586 3.9864481  1.77654485
 3.0879977  1.22618113 3.36580264 1.42137622]",0.1701
