,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,True,10,5,D,732.042619228363,121,"[array(0.06893107), array(-0.38761239), array(0.32567433), array(0.40659341), array(0.68431568), array(0.31268731), array(0.03996004), array(0.47352647), array(0.7002997), array(0.99200799), array(0.00999001), array(0.47152847), array(-0.03196803), array(1.000999), array(0.33866134), array(-0.21478521), array(-0.55044955), array(-0.21378621), array(-0.50749251), array(-0.6953047), array(-0.51548452), array(-0.53046953), array(-0.08491508), array(-0.60739261), array(-0.18181818), array(-0.29170829), array(-0.16283716), array(-0.68931069), array(-0.97102897), array(-0.64435564), array(-0.39260739), array(-0.96903097), array(-0.55944056), array(-0.63036963), array(0.10889111), array(-0.97202797), array(-1.4965035), array(-1.48651349), array(-1.18181818), array(-1.45854146), array(-1.56143856), array(-1.38561439), array(-0.73126873), array(-1.22877123), array(-0.4965035), array(-1.34665335), array(-0.63536464), array(-0.76923077), array(-1.41258741), array(-1.62437562), array(-1.31568432), array(-1.44355644), array(-1.70629371), array(-1.69430569), array(-1.38361638), array(-1.65334665), array(-1.58241758), array(-1.64135864), array(-1.15484515), array(-1.80919081), array(-1.37162837), array(-1.68031968), array(-1.42957043), array(-1.8021978), array(-1.60539461), array(-1.63536464), array(-1.08391608), array(-1.53646354), array(-1.67232767), array(-1.74425574), array(-1.64235764), array(-1.70929071), array(-1.6973027), array(-1.68731269), array(-1.81418581), array(-1.71628372), array(-1.58741259), array(-1.68931069), array(-1.58941059), array(-1.6983017), array(-1.7022977), array(-1.68931069), array(-1.7022977), array(-1.60939061), array(-1.74225774), array(-1.80619381), array(-1.73226773), array(-1.70729271), array(-1.64635365), array(-1.77222777), array(-1.61938062), array(-1.70629371), array(-1.63636364), array(-1.73326673), array(-1.73726274), array(-1.74825175), array(-1.66733267), array(-1.72127872), array(-1.73826174), array(-1.68731269), array(-1.61238761), array(-1.6953047), array(-1.66633367), array(-1.67632368), array(-1.63136863), array(-1.65134865), array(-1.6963037), array(-1.78521479), array(-1.6963037), array(-1.7002997), array(-1.68431568), array(-1.66333666), array(-1.64135864), array(-1.7042957), array(-1.74425574), array(-1.65434565), array(-1.66433566), array(-1.69430569), array(-1.64035964), array(-1.74925075), array(-1.6013986)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.40522447 1.57777494 3.10987988 1.28475364 3.47408581 1.50630285
 3.38217909 1.64599321 3.34657905 1.3973066  3.01244778 2.18600634
 3.137665   1.2636505  3.12575879 2.576815   2.94250315 2.05717511
 4.17521211 2.00561591]",0.3722
1,gaussian,COBYLA,vanilla,False,True,10,5,B,689.4911141395569,116,"[array(-0.14535465), array(-0.25124875), array(-0.0024975), array(0.45204795), array(0.11238761), array(0.12137862), array(0.07642358), array(0.04945055), array(-0.34715285), array(-0.46203796), array(-0.09040959), array(1.04745255), array(0.43106893), array(0.70979021), array(-0.02647353), array(0.18431568), array(0.18531469), array(0.65584416), array(0.9965035), array(-0.03946054), array(-0.33416583), array(0.4020979), array(-0.14135864), array(-0.37612388), array(-0.57192807), array(0.13636364), array(-0.15034965), array(0.03646354), array(0.02547453), array(-0.18031968), array(-0.25324675), array(-0.6038961), array(-0.0974026), array(-0.28821179), array(-1.02947053), array(-0.80669331), array(-0.73076923), array(-0.65184815), array(-0.18031968), array(-1.18931069), array(-0.15034965), array(-1.23126873), array(-0.70679321), array(-0.91358641), array(-0.27922078), array(-0.55894106), array(-0.24925075), array(-0.62387612), array(-1.33416583), array(-0.85764236), array(-1.20529471), array(-0.47002997), array(-1.34915085), array(-0.35314685), array(-0.54595405), array(-1.24925075), array(-1.3981019), array(-1.3031968), array(-1.38911089), array(-1.37512488), array(-1.39410589), array(-0.69280719), array(-1.13836164), array(-1.01148851), array(-1.34615385), array(-0.53696304), array(-1.32717283), array(-1.36313686), array(-1.26023976), array(-1.38611389), array(-1.03946054), array(-1.38511489), array(-1.24725275), array(-1.49400599), array(-1.21928072), array(-1.3021978), array(-1.24025974), array(-1.23026973), array(-1.44905095), array(-1.43206793), array(-1.42307692), array(-1.44005994), array(-1.4000999), array(-1.41808192), array(-1.39310689), array(-1.37512488), array(-1.45304695), array(-1.37712288), array(-1.39310689), array(-1.4020979), array(-1.37512488), array(-1.32217782), array(-1.39110889), array(-1.45104895), array(-1.30619381), array(-1.45504496), array(-1.47102897), array(-1.35514486), array(-1.41908092), array(-1.42607393), array(-1.48301698), array(-1.38411588), array(-1.37612388), array(-1.38611389), array(-1.38211788), array(-1.40609391), array(-1.37112887), array(-1.37712288), array(-1.43006993), array(-1.34915085), array(-1.38311688), array(-1.40509491), array(-1.34415584), array(-1.3991009), array(-1.38811189), array(-1.28321678)]","[1, 0, 1, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,"[4.33006462 1.4435879  3.19416363 1.3188575  2.93845393 1.51854084
 2.96060573 2.64609923 3.73637687 1.32906089 3.08267988 1.71463723
 2.82361335 1.35013521 3.17692821 1.38579307 3.46517597 1.55025091
 3.01107397 1.59208792]",0.4378
2,gaussian,COBYLA,vanilla,False,True,10,5,k,694.6544783115387,115,"[array(1.8956044), array(2.63486513), array(-0.30919081), array(1.69280719), array(1.21028971), array(0.52097902), array(0.25824176), array(-0.61888112), array(0.14635365), array(0.5989011), array(0.47002997), array(-0.9005994), array(0.21028971), array(-0.35714286), array(-0.28121878), array(0.16933067), array(-0.16833167), array(-0.1013986), array(-0.73976024), array(-0.91158841), array(-0.97452547), array(1.23526474), array(0.14335664), array(-0.48701299), array(-1.77972028), array(0.19030969), array(-1.0974026), array(0.76573427), array(-1.05244755), array(1.08441558), array(-0.94255744), array(0.68981019), array(-1.3021978), array(-0.93256743), array(-0.88661339), array(-1.5999001), array(1.29020979), array(-1.63286713), array(-1.51298701), array(-1.48301698), array(-1.13036963), array(-1.7037962), array(-1.76273726), array(-1.62587413), array(-0.73176823), array(-1.82967033), array(-1.64385614), array(-1.5989011), array(-1.87662338), array(-1.53796204), array(-1.54295704), array(-1.47202797), array(-1.94455544), array(-1.63786214), array(-1.69080919), array(-1.7967033), array(-1.85164835), array(-1.52297702), array(-1.84865135), array(-1.88761239), array(-1.69380619), array(-1.82467532), array(-1.78971029), array(-1.93856144), array(-1.55394605), array(-1.92257742), array(-1.92957043), array(-1.79470529), array(-1.71578422), array(-1.86063936), array(-1.79270729), array(-1.81768232), array(-1.78271728), array(-2.05144855), array(-1.85764236), array(-1.9015984), array(-1.85264735), array(-1.8966034), array(-1.94355644), array(-1.91058941), array(-1.92457542), array(-1.91558442), array(-1.91958042), array(-1.85164835), array(-1.99250749), array(-1.93856144), array(-1.98551449), array(-1.87662338), array(-1.91658342), array(-1.8986014), array(-1.94355644), array(-1.9985015), array(-1.96953047), array(-1.90859141), array(-1.91358641), array(-1.92057942), array(-1.93656344), array(-1.90559441), array(-2.04045954), array(-1.91858142), array(-1.91558442), array(-1.94655345), array(-1.97952048), array(-1.97352647), array(-1.98751249), array(-1.98551449), array(-1.95054945), array(-1.93056943), array(-1.87562438), array(-1.95354645), array(-1.96253746), array(-1.98851149), array(-1.88561439), array(-1.94455544), array(-1.95554446)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.11497719 2.09095889 3.1414145  1.29087318 2.95143487 1.35430911
 4.23731426 1.08685895 3.2008444  1.7135805  4.29222578 1.67432504
 3.23352521 1.20395289 3.15486613 1.6836094  3.12782784 1.5361083
 3.99907864 2.39505343]",0.0545
3,gaussian,COBYLA,vanilla,False,True,12,5,D,788.4691236019135,133,"[array(0.07192807), array(0.29070929), array(0.33866134), array(-0.03496503), array(-0.20579421), array(0.13386613), array(0.35064935), array(0.25074925), array(-0.1038961), array(-0.12487512), array(-0.41758242), array(0.10889111), array(-0.2987013), array(0.15384615), array(0.03796204), array(-0.51348651), array(-0.39060939), array(-0.21378621), array(-0.24075924), array(-0.4035964), array(-0.44055944), array(-0.42657343), array(-0.54045954), array(-0.20879121), array(-0.5014985), array(0.49050949), array(-0.00699301), array(1.04195804), array(0.1998002), array(0.69330669), array(-0.2027972), array(0.2047952), array(-0.29070929), array(-0.51048951), array(0.6973027), array(-0.62937063), array(-0.45454545), array(-0.45754246), array(-0.36763237), array(-0.37862138), array(-0.61738262), array(-0.33966034), array(-0.14185814), array(-0.49450549), array(-0.3966034), array(-0.49250749), array(0.23176823), array(-0.55844156), array(-0.34565435), array(-0.04695305), array(-0.56343656), array(-0.58741259), array(-0.57842158), array(-0.54145854), array(-0.40759241), array(-0.26673327), array(-0.55444555), array(-0.20579421), array(-0.61238761), array(-0.39460539), array(-0.52847153), array(-0.60739261), array(-0.48351648), array(-0.58741259), array(-0.53846154), array(-0.57842158), array(-0.56143856), array(-0.64235764), array(-0.51248751), array(-0.4985015), array(-0.54645355), array(-0.61338661), array(-0.57842158), array(-0.62437562), array(-0.56743257), array(-0.56143856), array(-0.5984016), array(-0.62937063), array(-0.58741259), array(-0.55044955), array(-0.56343656), array(-0.5954046), array(-0.64435564), array(-0.61038961), array(-0.53446553), array(-0.57642358), array(-0.63236763), array(-0.6013986), array(-0.65834166), array(-0.55444555), array(-0.63036963), array(-0.58041958), array(-0.54545455), array(-0.57942058), array(-0.55744256), array(-0.63936064), array(-0.63736264), array(-0.65934066), array(-0.55044955), array(-0.58141858), array(-0.62737263), array(-0.58941059), array(-0.51148851), array(-0.56743257), array(-0.63736264), array(-0.5964036), array(-0.59040959), array(-0.55444555), array(-0.64235764), array(-0.6033966), array(-0.60939061), array(-0.56643357), array(-0.57242757), array(-0.63236763), array(-0.53546454), array(-0.55544456), array(-0.51248751), array(-0.63236763), array(-0.63736264), array(-0.55544456), array(-0.55744256), array(-0.56243756), array(-0.66333666), array(-0.56543457), array(-0.6033966), array(-0.58541459), array(-0.53946054), array(-0.60939061), array(-0.52447552), array(-0.59440559), array(-0.59440559), array(-0.64535465), array(-0.54745255)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.32499142 1.79549507 4.45833421 2.72601052 2.91362787 1.17206855
 3.34331367 2.00998264 3.3596984  1.83804139 2.72922971 1.38023883
 2.69416115 1.41044837 3.943526   1.35212248 3.05926255 1.55045619
 3.23378292 1.48127811 3.13461542 2.57519784 2.54863928 1.67704304]",0.0402
4,gaussian,COBYLA,vanilla,False,True,12,5,B,910.0499045848846,140,"[array(-0.07142857), array(1.91458541), array(0.43806194), array(-0.52497502), array(-0.10539461), array(0.95054945), array(-0.11338661), array(-0.18931069), array(0.0994006), array(0.41408591), array(0.02147852), array(0.63486513), array(-0.27522478), array(0.6998002), array(0.66083916), array(0.6978022), array(0.28321678), array(0.13236763), array(0.09440559), array(-0.07042957), array(0.01048951), array(-0.70879121), array(-0.83166833), array(-0.18831169), array(-0.82167832), array(0.41908092), array(-0.34915085), array(-0.16333666), array(0.02547453), array(-0.12737263), array(0.3961039), array(0.16033966), array(0.23326673), array(-0.83066933), array(0.35814186), array(-0.41608392), array(-0.10739261), array(-0.50899101), array(-0.26123876), array(-0.83766234), array(0.25124875), array(-0.58591409), array(-0.50899101), array(-0.86463536), array(-0.24125874), array(-0.88161838), array(-0.24125874), array(-0.55494505), array(-0.15534466), array(-0.78471528), array(-0.38911089), array(-0.84165834), array(0.04245754), array(-0.46303696), array(0.13036963), array(-0.36413586), array(-0.69180819), array(-0.31818182), array(-0.87662338), array(-0.70579421), array(-0.78971029), array(-0.22327672), array(-0.83666334), array(-0.77372627), array(-0.85964036), array(-0.85564436), array(-0.6988012), array(-0.88761239), array(-0.62187812), array(-0.83666334), array(-0.9045954), array(-0.67582418), array(-0.88961039), array(-0.65184815), array(-0.83866134), array(-0.86663337), array(-0.81968032), array(-0.83166833), array(-0.73676324), array(-0.88161838), array(-0.88061938), array(-0.68981019), array(-1.12637363), array(-1.11438561), array(-1.01048951), array(-1.08941059), array(-0.93756244), array(-1.02447552), array(-0.98751249), array(-0.93956044), array(-1.02647353), array(-1.07042957), array(-1.13036963), array(-1.01948052), array(-0.93756244), array(-1.03446553), array(-1.04945055), array(-0.94955045), array(-1.06243756), array(-1.05444555), array(-0.8006993), array(-0.80869131), array(-1.05744256), array(-1.04945055), array(-1.03946054), array(-0.90659341), array(-1.0954046), array(-0.94255744), array(-0.95354645), array(-0.86363636), array(-1.08041958), array(-1.01048951), array(-0.99050949), array(-1.06343656), array(-1.03146853), array(-0.97452547), array(-1.03246753), array(-0.96353646), array(-1.07242757), array(-1.0044955), array(-0.99150849), array(-1.03246753), array(-0.86263736), array(-1.03446553), array(-1.01748252), array(-0.9955045), array(-1.00549451), array(-0.97252747), array(-1.02647353), array(-1.0044955), array(-0.85864136), array(-1.05744256), array(-1.1003996), array(-0.79270729), array(-0.98051948), array(-0.98751249), array(-1.00749251), array(-0.91558442), array(-0.95554446), array(-1.03346653)]","[1, 0, 1, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.18488113 1.5030288  3.70832616 1.85490022 3.17639924 1.25750032
 3.17394413 1.74182713 2.915178   1.83390843 3.41604382 1.47745575
 2.66057553 1.45533174 3.1880558  1.1763772  3.23609417 1.76230279
 3.60260213 1.51969271 4.35351388 2.34384417 3.18841459 1.11684835]",0.38839999999999997
5,gaussian,COBYLA,vanilla,False,True,12,5,k,898.3097634315491,146,"[array(1.30719281), array(1.22927073), array(0.12637363), array(0.84465534), array(1.15934066), array(-0.16033966), array(0.11238761), array(-0.52297702), array(1.28421578), array(0.57692308), array(1.54395604), array(1.72677323), array(0.57492507), array(0.12137862), array(-0.42207792), array(1.08141858), array(0.61988012), array(0.34615385), array(0.21128871), array(1.03746254), array(-0.71878122), array(-0.51798202), array(-0.7027972), array(-0.84365634), array(-0.88861139), array(0.63686314), array(-0.56593407), array(-0.23426573), array(0.31518482), array(0.02747253), array(0.28521479), array(1.04145854), array(-0.29320679), array(0.63886114), array(-0.43606394), array(-0.80869131), array(-0.49300699), array(-0.42107892), array(-0.40709291), array(0.03746254), array(0.07342657), array(-0.69480519), array(0.76873127), array(-0.60989011), array(-0.42907093), array(-0.62387612), array(-0.65584416), array(-0.85064935), array(0.2962038), array(-0.9975025), array(-0.07842158), array(-0.44505495), array(-0.62287712), array(-0.1033966), array(-1.01448551), array(-1.19430569), array(-1.50799201), array(-0.45704296), array(-1.04045954), array(-1.02347652), array(-1.41008991), array(-1.33916084), array(-0.67982018), array(-0.71078921), array(-1.23026973), array(-0.9025974), array(-1.31918082), array(-1.29420579), array(-1.1953047), array(-1.11438561), array(-1.28621379), array(-1.47802198), array(-1.25424575), array(-1.14535465), array(-1.28821179), array(-1.45704296), array(-1.43306693), array(-1.501998), array(-1.18331668), array(-1.32117882), array(-1.46603397), array(-1.35914086), array(-1.23926074), array(-1.47202797), array(-1.25424575), array(-1.44505495), array(-1.37812188), array(-1.45404595), array(-1.46703297), array(-1.43206793), array(-1.32417582), array(-1.30819181), array(-1.3011988), array(-1.38511489), array(-1.43806194), array(-1.43206793), array(-1.53196803), array(-1.34115884), array(-1.36413586), array(-1.4010989), array(-1.45004995), array(-1.44505495), array(-1.36413586), array(-1.4000999), array(-1.40609391), array(-1.41108891), array(-1.34915085), array(-1.45704296), array(-1.55094905), array(-1.52497502), array(-1.57492507), array(-1.52897103), array(-1.49100899), array(-1.39210789), array(-1.44105894), array(-1.51898102), array(-1.47502498), array(-1.51398601), array(-1.62387612), array(-1.55694306), array(-1.78071928), array(-1.75974026), array(-1.63286713), array(-1.48001998), array(-1.64385614), array(-1.46703297), array(-1.71178821), array(-1.59290709), array(-1.70779221), array(-1.54495504), array(-1.59490509), array(-1.64385614), array(-1.7027972), array(-1.61788212), array(-1.6048951), array(-1.56093906), array(-1.45504496), array(-1.68681319), array(-1.65384615), array(-1.45504496), array(-1.53996004), array(-1.66283716), array(-1.64685315), array(-1.61388611), array(-1.56793207), array(-1.54595405)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,"[4.00129953 2.78250853 3.02730856 1.46064849 4.32059366 1.48499145
 4.28781119 1.93773057 3.03834086 1.51490776 3.12065634 1.77936174
 3.22976807 1.70130321 2.94170211 1.51356647 3.399751   1.69504047
 2.93988536 2.32642493 3.07913808 1.26278501 4.13705477 3.00460573]",0.2493
6,gaussian,COBYLA,vanilla,False,True,10,5,D,896.231537103653,149,"[array(-0.29370629), array(-0.07992008), array(0.53246753), array(0.15384615), array(-0.17682318), array(-0.08291708), array(0.46053946), array(-0.09490509), array(-0.34565435), array(0.00599401), array(0.00899101), array(-0.95704296), array(0.46153846), array(-0.25774226), array(-0.48651349), array(-0.82017982), array(-0.49250749), array(-0.64735265), array(-0.33766234), array(-1.05794206), array(-1.0959041), array(-0.40759241), array(-0.12887113), array(0.35264735), array(-0.02897103), array(1.02997003), array(-0.34965035), array(0.5014985), array(-0.27272727), array(0.8981019), array(-0.18581419), array(-0.86713287), array(0.34765235), array(-0.67932068), array(-1.13386613), array(-0.65834166), array(-0.71428571), array(-0.93306693), array(-0.85814186), array(-0.93306693), array(-1.02697303), array(-0.39160839), array(-0.23076923), array(-0.37462537), array(-0.88211788), array(-0.79420579), array(-0.85114885), array(-0.9000999), array(-0.33266733), array(-0.82917083), array(-0.4035964), array(-0.75924076), array(-0.83016983), array(-0.93906094), array(-0.998002), array(-0.68231768), array(-1.08191808), array(-1.0999001), array(-1.00999001), array(-1.14485514), array(-1.14685315), array(-1.22777223), array(-1.26673327), array(-1.35164835), array(-1.41058941), array(-1.34465534), array(-1.46853147), array(-1.34165834), array(-1.4955045), array(-1.35864136), array(-1.45454545), array(-1.47752248), array(-1.44455544), array(-1.40859141), array(-1.48151848), array(-1.5024975), array(-1.48251748), array(-1.41358641), array(-1.45954046), array(-1.52447552), array(-1.46753247), array(-1.47752248), array(-1.48251748), array(-1.3956044), array(-1.43556444), array(-1.44655345), array(-1.53246753), array(-1.5024975), array(-1.45754246), array(-1.35364635), array(-1.51448551), array(-1.48351648), array(-1.48251748), array(-1.53246753), array(-1.4985015), array(-1.56043956), array(-1.4955045), array(-1.52147852), array(-1.45854146), array(-1.51348651), array(-1.42557443), array(-1.53146853), array(-1.47452547), array(-1.41258741), array(-1.46553447), array(-1.48351648), array(-1.56843157), array(-1.42557443), array(-1.50949051), array(-1.47752248), array(-1.42257742), array(-1.52347652), array(-1.48951049), array(-1.47552448), array(-1.53146853), array(-1.52547453), array(-1.46053946), array(-1.49150849), array(-1.47952048), array(-1.47752248), array(-1.43856144), array(-1.52847153), array(-1.49350649), array(-1.51748252), array(-1.58041958), array(-1.51448551), array(-1.53946054), array(-1.44755245), array(-1.51548452), array(-1.4955045), array(-1.54645355), array(-1.4995005), array(-1.51148851), array(-1.48251748), array(-1.47852148), array(-1.48551449), array(-1.5014985), array(-1.53446553), array(-1.53946054), array(-1.53346653), array(-1.47652348), array(-1.50949051), array(-1.56043956), array(-1.47452547), array(-1.43156843), array(-1.53246753), array(-1.49150849), array(-1.56443556), array(-1.52647353)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.16110548 1.63571721 2.74365064 1.72482548 3.18307656 1.34080214
 3.22552513 2.75566204 3.22821935 1.91073188 4.41038102 1.4797018
 3.58627136 1.8231118  2.81833778 1.68738307 2.88616545 1.32055584
 3.7425498  2.79749613]",0.1635
7,gaussian,COBYLA,vanilla,False,True,10,5,B,766.6846396923065,117,"[array(0.09440559), array(1.19030969), array(1.17532468), array(-0.39010989), array(-0.44105894), array(-0.51898102), array(-0.12237762), array(1.8986014), array(0.18731269), array(0.14935065), array(0.20629371), array(0.12237762), array(0.12037962), array(-0.6008991), array(0.73776224), array(0.76173826), array(-0.22927073), array(-0.42807193), array(-0.52597403), array(-0.49300699), array(-0.47602398), array(0.17332667), array(-0.14235764), array(-0.15334665), array(0.53896104), array(0.48101898), array(0.47202797), array(-0.03746254), array(-0.32117882), array(-0.49200799), array(-0.43506494), array(-0.56593407), array(0.41608392), array(-0.80669331), array(-0.00649351), array(-1.14535465), array(-0.57092907), array(-0.90959041), array(-0.76273726), array(-1.0044955), array(-0.63486513), array(-1.08341658), array(-0.78471528), array(-1.1013986), array(-0.28621379), array(-0.82067932), array(-1.1023976), array(-0.59090909), array(-0.77472527), array(-0.69180819), array(-1.21328671), array(-0.71278721), array(-1.2012987), array(-0.71378621), array(-0.86063936), array(-1.24525475), array(-1.24225774), array(-1.28821179), array(-1.22527473), array(-1.27822178), array(-1.25524476), array(-1.2982018), array(-1.14635365), array(-1.25124875), array(-0.98251748), array(-1.13336663), array(-1.1003996), array(-1.27322677), array(-1.17332667), array(-1.24425574), array(-1.37412587), array(-1.35914086), array(-1.26923077), array(-1.10839161), array(-1.18031968), array(-1.33016983), array(-1.16633367), array(-1.34715285), array(-1.28521479), array(-1.31218781), array(-1.26223776), array(-1.22927073), array(-1.28321678), array(-1.17532468), array(-1.30719281), array(-1.29020979), array(-1.31918082), array(-1.29120879), array(-1.21128871), array(-1.26923077), array(-1.26123876), array(-1.2972028), array(-1.37012987), array(-1.16733267), array(-1.23126873), array(-1.12437562), array(-1.35214785), array(-1.33716284), array(-1.37712288), array(-1.23526474), array(-1.20629371), array(-1.34915085), array(-1.31018981), array(-1.28421578), array(-1.30619381), array(-1.29320679), array(-1.22327672), array(-1.32317682), array(-1.2972028), array(-1.26523477), array(-1.28421578), array(-1.26523477), array(-1.18931069), array(-1.24625375), array(-1.31518482), array(-1.32117882), array(-1.20729271)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.38355275 1.67080953 3.94960642 2.69079801 4.11496487 1.63489566
 3.08615416 1.18392918 3.04873572 1.72863335 2.86063034 1.71735742
 4.32717639 1.51089699 3.04201624 1.66043483 3.25556776 1.86269632
 3.55650678 1.19984375]",0.4739
8,gaussian,COBYLA,vanilla,False,True,10,5,k,863.4414322376251,140,"[array(0.11538462), array(0.27422577), array(0.32017982), array(-0.21028971), array(-0.32717283), array(-0.13336663), array(0.70679321), array(-0.39010989), array(0.50799201), array(-0.01048951), array(0.50899101), array(0.24625375), array(-0.27622378), array(1.48901099), array(-0.08141858), array(0.21528472), array(0.41108891), array(-0.6958042), array(0.08741259), array(-0.12137862), array(-0.36513487), array(0.08041958), array(0.16133866), array(-0.96453546), array(2.17932068), array(-0.67382617), array(2.18531469), array(0.1023976), array(-0.78771229), array(-0.58891109), array(-0.59090909), array(0.51798202), array(0.28021978), array(-0.07842158), array(-0.51398601), array(-1.1013986), array(0.84365634), array(-0.98351648), array(-0.32517483), array(-0.40709291), array(-0.63186813), array(-0.33116883), array(-0.59190809), array(-1.04845155), array(-0.74375624), array(-0.99150849), array(-0.8986014), array(-0.26123876), array(0.56093906), array(0.04145854), array(-1.13636364), array(-0.87462537), array(-1.12837163), array(-0.77772228), array(-0.96953047), array(-0.57092907), array(-1.26123876), array(0.03546454), array(-1.19430569), array(-0.72777223), array(-1.16233766), array(-0.05744256), array(-1.02347652), array(-0.42607393), array(-1.26023976), array(-0.59290709), array(-0.99050949), array(-0.92457542), array(-0.94755245), array(-1.08541459), array(-0.97552448), array(-1.35414585), array(-1.28621379), array(-1.3021978), array(-1.05144855), array(-1.11838162), array(-1.16933067), array(-1.40709291), array(-1.25024975), array(-1.42407592), array(-1.33116883), array(-1.53096903), array(-1.46803197), array(-1.4020979), array(-1.57492507), array(-1.51898102), array(-1.48601399), array(-1.54695305), array(-1.58591409), array(-1.55394605), array(-1.58091908), array(-1.61388611), array(-1.68281718), array(-1.6048951), array(-1.65484515), array(-1.55094905), array(-1.7047952), array(-1.73576424), array(-1.70879121), array(-1.68681319), array(-1.60989011), array(-1.75974026), array(-1.61188811), array(-1.85164835), array(-1.81868132), array(-1.67682318), array(-1.81768232), array(-1.62987013), array(-1.6958042), array(-1.79370629), array(-1.72277722), array(-1.81268731), array(-1.71778222), array(-1.74175824), array(-1.6988012), array(-1.79370629), array(-1.81768232), array(-1.73576424), array(-1.73976024), array(-1.78471528), array(-1.74775225), array(-1.73476523), array(-1.69180819), array(-1.6958042), array(-1.80969031), array(-1.73576424), array(-1.73476523), array(-1.73676324), array(-1.67182817), array(-1.60789211), array(-1.69180819), array(-1.68581419), array(-1.68981019), array(-1.83066933), array(-1.74875125), array(-1.68981019), array(-1.73176823), array(-1.74675325), array(-1.77772228), array(-1.74475524)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.29140665 1.65855407 4.27838626 2.90143883 3.00816884 2.10150855
 4.38315305 1.56308028 3.16645914 1.40153185 3.26309155 1.75218117
 2.9677804  1.86686204 2.94620219 1.46176109 4.24372975 1.37237173
 3.08703884 1.45675848]",0.073
9,gaussian,COBYLA,vanilla,False,True,12,5,D,789.0235347747803,132,"[array(-0.34065934), array(0.08591409), array(-0.52747253), array(-0.37262737), array(0.63836164), array(0.31968032), array(-0.13786214), array(0.24675325), array(-0.44355644), array(0.44555445), array(-0.11488511), array(-0.08191808), array(0.72227772), array(-0.20679321), array(-0.18081918), array(-0.000999), array(-0.23776224), array(0.35464535), array(0.57342657), array(-0.52147852), array(-0.41658342), array(-0.65834166), array(-0.54745255), array(-0.64635365), array(-0.7002997), array(0.51548452), array(-0.63436563), array(0.4025974), array(-0.57842158), array(-0.58741259), array(-0.66233766), array(-0.65534466), array(-0.01798202), array(-0.43656344), array(-0.87512488), array(-0.64035964), array(-0.32067932), array(-0.64835165), array(-0.44155844), array(-0.55744256), array(-0.22377622), array(-0.64335664), array(-0.86613387), array(-0.81818182), array(-0.6003996), array(-0.68031968), array(-0.27972028), array(-0.79220779), array(-0.74125874), array(-0.13686314), array(-0.75424575), array(-0.84115884), array(-0.66833167), array(-0.30869131), array(-0.84415584), array(-0.84615385), array(-0.47252747), array(-0.69430569), array(-0.59240759), array(-0.69030969), array(-0.77922078), array(-0.75024975), array(-0.83516484), array(-0.71928072), array(-0.78121878), array(-0.86713287), array(-0.79220779), array(-0.78021978), array(-0.76223776), array(-0.73226773), array(-0.63436563), array(-0.76223776), array(-0.78121878), array(-0.78621379), array(-0.68131868), array(-0.82717283), array(-0.84915085), array(-0.72127872), array(-0.85114885), array(-0.8951049), array(-0.87112887), array(-0.81018981), array(-0.91508492), array(-0.73526474), array(-0.8011988), array(-0.90809191), array(-0.82017982), array(-0.81918082), array(-0.75324675), array(-0.75424575), array(-0.76223776), array(-0.77722278), array(-0.83716284), array(-0.85614386), array(-0.74325674), array(-0.82017982), array(-0.95104895), array(-0.79220779), array(-0.84315684), array(-0.84415584), array(-0.75924076), array(-0.81018981), array(-0.76223776), array(-0.78321678), array(-0.79320679), array(-0.70629371), array(-0.86813187), array(-0.79120879), array(-0.76623377), array(-0.81518482), array(-0.92207792), array(-0.70629371), array(-0.82017982), array(-0.72827173), array(-0.81118881), array(-0.82317682), array(-0.84815185), array(-0.80619381), array(-0.78021978), array(-0.77322677), array(-0.81118881), array(-0.83516484), array(-0.88911089), array(-0.87412587), array(-0.71328671), array(-0.71728272), array(-0.83216783), array(-0.86513487), array(-0.83316683), array(-0.88111888), array(-0.80819181), array(-0.82517483)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.38659583 2.46120465 3.22967503 1.88437682 3.13634739 1.82766316
 3.39247212 1.46254508 3.4599501  1.35643938 3.09415151 1.54497968
 3.381603   1.66796165 3.21342126 1.13616994 3.10469117 1.29598011
 3.1604221  1.90330709 4.13328634 1.69120993 3.04571183 2.74408705]",0.1317
