,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,True,2,5,D,237.52705335617065,35,"[array(0.0979021), array(0.85614386), array(0.13986014), array(-0.002997), array(0.00999001), array(-0.20879121), array(-0.2017982), array(0.04595405), array(-0.06893107), array(-0.000999), array(-0.42857143), array(-1.01698302), array(-0.70529471), array(-0.83816184), array(-0.67132867), array(-0.94705295), array(-1.17882118), array(-0.80519481), array(-1.17282717), array(-1.39260739), array(-1.40859141), array(-1.35764236), array(-1.34565435), array(-1.43056943), array(-1.3016983), array(-1.37262737), array(-1.36863137), array(-1.34465534), array(-1.37962038), array(-1.39460539), array(-1.32967033), array(-1.31368631), array(-1.38761239), array(-1.31168831), array(-1.36263736)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 1.0, 0, 0]",4.0,[1.94541573 1.6757501  3.62142344 1.37143463],0.1125
1,gaussian,COBYLA,vanilla,False,True,2,5,B,171.1750979423523,28,"[array(-0.06543457), array(-0.78171828), array(0.15734266), array(0.82267732), array(-0.70879121), array(0.20829171), array(-1.07542458), array(-0.0964036), array(-1.63286713), array(0.15134865), array(-1.72377622), array(-0.03746254), array(-1.61988012), array(-1.11438561), array(-1.13936064), array(-1.45904096), array(-1.66683317), array(-1.66983017), array(-1.59090909), array(-1.75374625), array(-1.68881119), array(-1.78771229), array(-1.76973027), array(-1.73476523), array(-1.77972028), array(-1.69280719), array(-1.75574426), array(-1.74175824)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",4.0,[4.35416557 1.36490034 2.67788971 1.45393519],0.5674
2,gaussian,COBYLA,vanilla,False,True,2,5,k,161.59935522079468,27,"[array(-0.18031968), array(4.2962038), array(0.02247752), array(-0.17532468), array(-0.36413586), array(-2.13136863), array(3.54195804), array(-0.57792208), array(-1.8956044), array(-1.81968032), array(-0.81968032), array(-0.93956044), array(-1.33416583), array(-2.04545455), array(-2.16833167), array(-2.15634366), array(-2.05744256), array(-2.12037962), array(-2.1003996), array(-2.08441558), array(-2.15734266), array(-2.14635365), array(-2.13736264), array(-2.1043956), array(-2.09040959), array(-2.13036963), array(-2.13036963)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,[2.00141909 1.47815272 3.43967325 2.74636529],0.1456
3,gaussian,COBYLA,vanilla,False,True,4,5,D,267.0854616165161,45,"[array(0.5964036), array(-1.26173826), array(1.43456543), array(-0.13086913), array(0.45554446), array(-0.08291708), array(-0.75024975), array(-0.84315684), array(-1.14985015), array(-0.64135864), array(-0.84815185), array(-1.49350649), array(-1.16583417), array(-1.26973027), array(-1.42357642), array(-1.12587413), array(-1.26473526), array(-1.30969031), array(-1.42657343), array(-1.17882118), array(-1.10789211), array(-1.22377622), array(-1.37562438), array(-1.48151848), array(-1.41758242), array(-1.43356643), array(-1.4975025), array(-1.52147852), array(-1.53146853), array(-1.4985015), array(-1.48751249), array(-1.43156843), array(-1.47352647), array(-1.51348651), array(-1.51748252), array(-1.4955045), array(-1.47452547), array(-1.40959041), array(-1.52547453), array(-1.46753247), array(-1.5024975), array(-1.44155844), array(-1.52047952), array(-1.4985015), array(-1.47952048)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.69889099 1.47717255 2.86404937 1.42305296 3.49410202 1.45805988
 3.13506696 1.51225258]",0.1465
4,gaussian,COBYLA,vanilla,False,True,4,5,B,297.53421115875244,50,"[array(-0.34815185), array(0.91658342), array(0.05344655), array(0.00749251), array(0.25824176), array(1.2992008), array(0.28121878), array(-0.7977023), array(-0.12137862), array(-0.25524476), array(-0.13436563), array(-0.51798202), array(-0.01448551), array(-0.45204795), array(0.76873127), array(-1.05844156), array(-1.36713287), array(-1.49100899), array(-1.11038961), array(-1.36113886), array(-1.34315684), array(-1.48101898), array(-0.87562438), array(-1.4040959), array(-1.07042957), array(-1.34215784), array(-1.44205794), array(-1.52297702), array(-1.49300699), array(-1.53796204), array(-1.56393606), array(-1.56093906), array(-1.56593407), array(-1.51798202), array(-1.55894106), array(-1.62487512), array(-1.497003), array(-1.55894106), array(-1.48501499), array(-1.65084915), array(-1.62287712), array(-1.5989011), array(-1.6038961), array(-1.54895105), array(-1.56193806), array(-1.56093906), array(-1.6038961), array(-1.57492507), array(-1.55694306), array(-1.5999001)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",4.0,"[2.66297297 1.84183919 3.12346342 1.80221743 2.78170302 1.91523726
 4.23166647 1.30250171]",0.37529999999999997
5,gaussian,COBYLA,vanilla,False,True,4,5,k,284.2904438972473,47,"[array(0.55994006), array(-0.77372627), array(0.25224775), array(0.29420579), array(1.31018981), array(0.01348651), array(-1.80869131), array(-0.74475524), array(-0.55794206), array(-0.37012987), array(-1.25724276), array(-1.24725275), array(-0.91258741), array(0.03946054), array(-0.68581419), array(-2.02247752), array(-1.92057942), array(-1.84165834), array(-2.00549451), array(-1.87562438), array(-1.76673327), array(-1.96653347), array(0.99150849), array(-2.33116883), array(-2.07242757), array(-2.24825175), array(-2.24525475), array(-2.16733267), array(-2.19430569), array(-2.1963037), array(-2.27922078), array(-2.28421578), array(-2.26523477), array(-2.3041958), array(-2.22427572), array(-2.11138861), array(-2.27722278), array(-2.22327672), array(-2.17032967), array(-2.28521479), array(-2.12137862), array(-2.16033966), array(-2.24225774), array(-2.21428571), array(-2.18931069), array(-2.21728272), array(-2.17332667)]","[1, 1, 0, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.7645467  1.60499672 2.9108362  1.73990313 3.30415446 2.6268427
 3.20432593 1.5484769 ]",0.3252
6,gaussian,COBYLA,vanilla,False,True,6,5,D,338.1100261211395,55,"[array(-0.13486513), array(-0.43056943), array(0.3036963), array(-0.09090909), array(-0.6033966), array(-0.22477522), array(0.62437562), array(-0.81918082), array(0.45254745), array(-0.11288711), array(-0.2957043), array(-0.37762238), array(-0.74125874), array(0.44055944), array(-0.45154845), array(-1.0999001), array(-0.88011988), array(-1.001998), array(-0.09090909), array(-0.13986014), array(-0.81818182), array(-0.83616384), array(-0.96103896), array(-0.92907093), array(-1.03496503), array(-0.94305694), array(-0.81918082), array(-0.58241758), array(-1.09490509), array(-0.88311688), array(-1.03596404), array(-1.07392607), array(-1.01698302), array(-1.01198801), array(-1.03396603), array(-1.08491508), array(-1.03196803), array(-1.000999), array(-0.86913087), array(-1.06493506), array(-1.), array(-1.04495504), array(-1.06293706), array(-0.96803197), array(-1.01398601), array(-0.98601399), array(-0.96803197), array(-1.02897103), array(-0.99000999), array(-0.99300699), array(-0.95604396), array(-0.97802198), array(-0.99300699), array(-1.004995), array(-0.98801199)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.06485222 1.93898138 3.29554988 2.46559722 2.92445209 1.34619305
 4.05354872 1.41194709 3.31396866 1.35587678 3.05796644 1.76936019]",0.2127
7,gaussian,COBYLA,vanilla,False,True,6,5,B,466.94424414634705,79,"[array(-0.08741259), array(0.15334665), array(-0.2042957), array(-0.26923077), array(-0.51298701), array(-0.34015984), array(0.35514486), array(-0.72277722), array(0.04445554), array(0.7977023), array(0.70979021), array(0.47602398), array(-0.72377622), array(-0.67482517), array(0.71678322), array(-0.42007992), array(-1.502997), array(1.02647353), array(0.75274725), array(0.05544456), array(-0.78971029), array(-1.3991009), array(-0.99150849), array(-1.52097902), array(-0.36813187), array(-0.97552448), array(-0.67282717), array(-1.55594406), array(-0.04245754), array(-1.25724276), array(-0.75874126), array(-0.97252747), array(-1.57992008), array(-1.06543457), array(-1.503996), array(-1.26223776), array(-1.07042957), array(-1.42107892), array(-1.5979021), array(-1.26623377), array(-1.45804196), array(-1.39310689), array(-1.59290709), array(-1.3971029), array(-1.6028971), array(-1.62987013), array(-1.62587413), array(-1.6978022), array(-1.58491508), array(-1.71078921), array(-1.55094905), array(-1.67082917), array(-1.61188811), array(-1.65984016), array(-1.66483516), array(-1.63186813), array(-1.5979021), array(-1.77072927), array(-1.59390609), array(-1.59390609), array(-1.72077922), array(-1.61188811), array(-1.67682318), array(-1.57992008), array(-1.62787213), array(-1.68881119), array(-1.67282717), array(-1.71078921), array(-1.67882118), array(-1.62887113), array(-1.56093906), array(-1.68481518), array(-1.64585415), array(-1.68781219), array(-1.62687313), array(-1.67382617), array(-1.68081918), array(-1.57192807), array(-1.63586414)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.02329017 2.98034689 3.98719815 3.26743481 3.49798385 1.63989795
 4.12974232 1.7101281  3.23441111 1.51754449 3.01017839 2.27751258]",0.5798
8,gaussian,COBYLA,vanilla,False,True,6,5,k,422.2428104877472,70,"[array(-0.82167832), array(-0.66783217), array(-0.16733267), array(0.4040959), array(0.31218781), array(0.18731269), array(-0.21128871), array(-1.16633367), array(0.11738262), array(-0.16833167), array(-0.18531469), array(0.27322677), array(-1.05144855), array(-0.77872128), array(0.22227772), array(-1.24525475), array(0.68681319), array(-0.18431568), array(-0.77872128), array(-0.92157842), array(0.79270729), array(-1.34215784), array(-1.40909091), array(-1.48801199), array(-1.3981019), array(-1.73176823), array(-1.54495504), array(-0.63186813), array(-1.70979021), array(-1.15534466), array(-1.5979021), array(-0.52697303), array(-1.51698302), array(-0.78271728), array(-1.38111888), array(-1.81368631), array(-1.34915085), array(-1.72677323), array(-1.65684316), array(-1.65084915), array(-1.53796204), array(-1.32817183), array(-1.83266733), array(-1.75274725), array(-1.71078921), array(-1.86163836), array(-1.71478521), array(-1.93156843), array(-1.85164835), array(-1.76673327), array(-1.74375624), array(-1.86163836), array(-1.65384615), array(-1.78771229), array(-1.83066933), array(-1.84665335), array(-1.87062937), array(-1.75774226), array(-1.84065934), array(-1.78971029), array(-1.81168831), array(-1.77072927), array(-1.84665335), array(-1.84765235), array(-1.73276723), array(-1.71278721), array(-1.82567433), array(-1.85364635), array(-1.78371628), array(-1.64585415)]","[1, 1, 0, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.15984175 1.32357296 2.93656821 1.4303421  3.37561429 1.5385568
 4.25072894 1.3721858  2.93560904 1.384894   3.07148714 1.436327  ]",0.2538
9,gaussian,COBYLA,vanilla,False,True,8,5,D,589.7032716274261,95,"[array(-0.13386613), array(-0.09390609), array(0.54945055), array(0.03296703), array(-0.58841159), array(0.02697303), array(0.24175824), array(0.34365634), array(0.42057942), array(-0.72727273), array(-0.12487512), array(-0.26173826), array(-0.11588412), array(0.31168831), array(0.16283716), array(-0.64035964), array(-0.57442557), array(0.00999001), array(0.11888112), array(-1.22577423), array(-0.6993007), array(-0.63536464), array(-0.35864136), array(-1.07292707), array(-1.10989011), array(-0.9020979), array(-0.61938062), array(-0.74125874), array(-1.07892108), array(-1.04795205), array(-1.04595405), array(-1.11288711), array(-1.15584416), array(-1.14785215), array(-1.33866134), array(-1.37062937), array(-1.01598402), array(-1.35464535), array(-1.41958042), array(-1.42457542), array(-1.2047952), array(-1.30569431), array(-1.47252747), array(-1.39460539), array(-1.48151848), array(-1.41258741), array(-1.47952048), array(-1.25074925), array(-1.51148851), array(-1.64035964), array(-1.55544456), array(-1.63236763), array(-1.51748252), array(-1.44355644), array(-1.60639361), array(-1.67432567), array(-1.57942058), array(-1.49250749), array(-1.61438561), array(-1.63536464), array(-1.54645355), array(-1.62537463), array(-1.69330669), array(-1.62737263), array(-1.63436563), array(-1.58941059), array(-1.60639361), array(-1.62937063), array(-1.52947053), array(-1.57442557), array(-1.61838162), array(-1.5964036), array(-1.6033966), array(-1.62437562), array(-1.6023976), array(-1.61938062), array(-1.67732268), array(-1.61738262), array(-1.55744256), array(-1.66433566), array(-1.64235764), array(-1.60739261), array(-1.64535465), array(-1.57442557), array(-1.67032967), array(-1.63336663), array(-1.66833167), array(-1.68631369), array(-1.66233766), array(-1.61638362), array(-1.58641359), array(-1.62837163), array(-1.64335664), array(-1.64035964), array(-1.64535465)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[2.98643795 1.82579077 3.32653182 2.81114277 3.40941331 1.4001604
 3.20697437 1.65309291 3.90385578 1.33779601 3.03152857 1.25779739
 3.03015326 1.42201204 2.93258321 1.68839708]",0.2944
