,qaoa_variant,warm_start,errors,depth,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,vanilla,False,False,1,False,5,>>graph6<<DkO,9.932262659072876,58,"[array(0.1307), array(0.3234), array(0.1192), array(-0.50755), array(0.55965), array(0.0097), array(-0.08635), array(-0.5293), array(-0.4811), array(-0.5137), array(-0.57905), array(-0.59315), array(-0.5834), array(-0.5941), array(-0.58645), array(-0.5854), array(-0.5914), array(-0.58935), array(-0.6011), array(-0.59965), array(-0.5797), array(-0.5947), array(-0.59435), array(-0.5948), array(-0.59135), array(-0.57635), array(-0.59995), array(-0.5934), array(-0.5842), array(-0.59905), array(-0.5893), array(-0.58285), array(-0.5768), array(-0.60145), array(-0.5998), array(-0.60755), array(-0.58145), array(-0.6068), array(-0.58815), array(-0.5897), array(-0.58365), array(-0.57945), array(-0.5966), array(-0.5877), array(-0.5729), array(-0.5951), array(-0.5998), array(-0.59425), array(-0.5992), array(-0.57145), array(-0.59035), array(-0.59115), array(-0.5912), array(-0.5796), array(-0.58595), array(-0.587), array(-0.60285), array(-0.59595)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[4.3477551  1.74349727],0.2694
1,vanilla,False,False,1,False,5,>>graph6<<Dm{,10.354174375534058,52,"[array(0.56575), array(-0.3476), array(-0.6101), array(0.5005), array(0.10705), array(-0.62975), array(-0.2476), array(-0.7083), array(0.0106), array(-0.4272), array(-0.7588), array(-0.79925), array(-0.71845), array(-0.76235), array(-0.79615), array(-0.7824), array(-0.78015), array(-0.79625), array(-0.7946), array(-0.7949), array(-0.7995), array(-0.8075), array(-0.78565), array(-0.7793), array(-0.8097), array(-0.7994), array(-0.7928), array(-0.7929), array(-0.7958), array(-0.8021), array(-0.7956), array(-0.8038), array(-0.80625), array(-0.7807), array(-0.7862), array(-0.8027), array(-0.77945), array(-0.7846), array(-0.79805), array(-0.79415), array(-0.7911), array(-0.7925), array(-0.79645), array(-0.78185), array(-0.78015), array(-0.79005), array(-0.80585), array(-0.7982), array(-0.7968), array(-0.7987), array(-0.7863), array(-0.79145)]","[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[4.41991654 0.98535205],0.2704
2,vanilla,True,False,1,False,5,>>graph6<<DkO,12.447258710861206,56,"[array(-0.4986), array(0.34385), array(-0.5169), array(-0.2373), array(-0.16565), array(-0.5998), array(-0.5645), array(-0.6207), array(-0.60715), array(-0.62075), array(-0.625), array(-0.64965), array(-0.64895), array(-0.6333), array(-0.6293), array(-0.65125), array(-0.64205), array(-0.64315), array(-0.6422), array(-0.65365), array(-0.64785), array(-0.6568), array(-0.64105), array(-0.6535), array(-0.65645), array(-0.642), array(-0.63675), array(-0.6354), array(-0.6464), array(-0.63305), array(-0.6453), array(-0.6492), array(-0.65365), array(-0.62885), array(-0.6466), array(-0.64295), array(-0.654), array(-0.6225), array(-0.65225), array(-0.6414), array(-0.6352), array(-0.62325), array(-0.6438), array(-0.6612), array(-0.6425), array(-0.6284), array(-0.65295), array(-0.649), array(-0.6357), array(-0.6278), array(-0.6291), array(-0.6384), array(-0.66), array(-0.63435), array(-0.64375), array(-0.64935)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[0.83644494 2.95783413],0.32149999999999995
3,vanilla,True,False,1,False,5,>>graph6<<Dm{,9.386995315551758,49,"[array(0.14115), array(-0.63705), array(-0.15745), array(0.04375), array(-0.55585), array(-0.7038), array(-0.5583), array(-0.83835), array(-0.92625), array(-0.75175), array(-0.8727), array(-0.891), array(-0.9222), array(-0.90255), array(-0.90385), array(-0.90175), array(-0.91705), array(-0.926), array(-0.9213), array(-0.91035), array(-0.8823), array(-0.88425), array(-0.90685), array(-0.89925), array(-0.9121), array(-0.9038), array(-0.8836), array(-0.89875), array(-0.9117), array(-0.89785), array(-0.90615), array(-0.9164), array(-0.902), array(-0.8853), array(-0.90995), array(-0.91565), array(-0.91425), array(-0.90775), array(-0.90495), array(-0.90325), array(-0.914), array(-0.91575), array(-0.9155), array(-0.9083), array(-0.9112), array(-0.91525), array(-0.9222), array(-0.90765), array(-0.90565)]","[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[7.00535503 1.23268522],0.44279999999999997
4,vanilla,False,False,1,False,5,>>graph6<<DkO,9.04296326637268,52,"[array(-0.1002), array(0.48565), array(-0.0584), array(-0.39545), array(0.5771), array(-0.2348), array(-0.29955), array(0.2086), array(-0.2253), array(-0.33), array(-0.5474), array(-0.55435), array(-0.5612), array(-0.575), array(-0.5272), array(-0.5725), array(-0.5503), array(-0.5655), array(-0.57455), array(-0.54255), array(-0.58045), array(-0.5548), array(-0.56565), array(-0.54145), array(-0.55315), array(-0.5603), array(-0.56105), array(-0.5734), array(-0.55085), array(-0.56435), array(-0.55125), array(-0.5653), array(-0.561), array(-0.5575), array(-0.5564), array(-0.55475), array(-0.5428), array(-0.57105), array(-0.54625), array(-0.5507), array(-0.5576), array(-0.54385), array(-0.5693), array(-0.57005), array(-0.55535), array(-0.5513), array(-0.5615), array(-0.55155), array(-0.57365), array(-0.55925), array(-0.56), array(-0.5459)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[4.26999401 2.35992905],0.26449999999999996
5,vanilla,False,False,1,False,5,>>graph6<<Dm{,10.102996826171875,54,"[array(-0.02445), array(-0.0381), array(0.0329), array(1.2828), array(0.63025), array(-0.12005), array(-0.13345), array(-0.675), array(-0.5662), array(-0.68975), array(-0.53995), array(-0.7798), array(-0.7564), array(-0.8093), array(-0.8081), array(-0.7891), array(-0.80455), array(-0.79205), array(-0.80295), array(-0.8143), array(-0.8094), array(-0.8014), array(-0.79765), array(-0.79745), array(-0.7883), array(-0.7999), array(-0.7969), array(-0.79215), array(-0.78815), array(-0.79585), array(-0.8037), array(-0.79025), array(-0.78385), array(-0.79035), array(-0.80665), array(-0.79325), array(-0.80085), array(-0.79965), array(-0.82105), array(-0.79585), array(-0.78615), array(-0.7853), array(-0.7871), array(-0.7895), array(-0.7831), array(-0.79695), array(-0.79775), array(-0.80125), array(-0.7966), array(-0.79455), array(-0.78815), array(-0.79875), array(-0.789), array(-0.7906)]","[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[5.93652207 0.83532405],0.2531
6,vanilla,True,False,1,False,5,>>graph6<<DkO,9.529568910598755,52,"[array(-0.629), array(0.02425), array(-0.5803), array(0.1689), array(-0.3352), array(-0.6036), array(-0.6588), array(-0.6295), array(-0.66805), array(-0.67545), array(-0.68135), array(-0.6843), array(-0.6752), array(-0.6755), array(-0.685), array(-0.6567), array(-0.6859), array(-0.6904), array(-0.6906), array(-0.69075), array(-0.65895), array(-0.66425), array(-0.66485), array(-0.65635), array(-0.68055), array(-0.66395), array(-0.6747), array(-0.6789), array(-0.67955), array(-0.6716), array(-0.6622), array(-0.6872), array(-0.681), array(-0.68535), array(-0.67615), array(-0.6618), array(-0.6813), array(-0.67985), array(-0.6707), array(-0.67155), array(-0.671), array(-0.6751), array(-0.67415), array(-0.6931), array(-0.68295), array(-0.68515), array(-0.6818), array(-0.68285), array(-0.685), array(-0.6688), array(-0.6853), array(-0.682)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[0.764037   1.18494629],0.3101
7,vanilla,True,False,1,False,5,>>graph6<<Dm{,14.017312288284302,58,"[array(0.04855), array(-0.37265), array(-0.11), array(0.70665), array(-0.0153), array(-0.4582), array(-0.31315), array(-0.64435), array(-0.86765), array(-1.0034), array(-1.10875), array(-1.19515), array(-1.16485), array(-1.25115), array(-1.23035), array(-1.23495), array(-1.25435), array(-1.26525), array(-1.2719), array(-1.26305), array(-1.26195), array(-1.28115), array(-1.25095), array(-1.2655), array(-1.264), array(-1.275), array(-1.26555), array(-1.25455), array(-1.2785), array(-1.2735), array(-1.2664), array(-1.2728), array(-1.27125), array(-1.2524), array(-1.25865), array(-1.27475), array(-1.2706), array(-1.25575), array(-1.27105), array(-1.2754), array(-1.26005), array(-1.2621), array(-1.26315), array(-1.26565), array(-1.2672), array(-1.27135), array(-1.2823), array(-1.26655), array(-1.2682), array(-1.27345), array(-1.27565), array(-1.2615), array(-1.2704), array(-1.2624), array(-1.2767), array(-1.27485), array(-1.26235), array(-1.2645)]","[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[3.50529448 0.3886764 ],0.7839999999999999
8,vanilla,False,False,1,False,5,>>graph6<<DkO,10.095747709274292,51,"[array(-0.6253), array(0.4499), array(-0.54085), array(0.38695), array(0.3089), array(-0.3869), array(-0.6345), array(-0.2969), array(-0.58755), array(-0.59255), array(-0.6228), array(-0.62235), array(-0.6303), array(-0.6103), array(-0.63605), array(-0.62245), array(-0.63395), array(-0.63005), array(-0.62115), array(-0.6455), array(-0.62285), array(-0.63505), array(-0.61505), array(-0.6101), array(-0.6308), array(-0.62375), array(-0.62215), array(-0.61885), array(-0.62735), array(-0.62575), array(-0.63295), array(-0.63105), array(-0.6187), array(-0.645), array(-0.6169), array(-0.65375), array(-0.63885), array(-0.61795), array(-0.6331), array(-0.6185), array(-0.61765), array(-0.6302), array(-0.62435), array(-0.624), array(-0.6138), array(-0.63045), array(-0.63065), array(-0.6225), array(-0.62955), array(-0.6418), array(-0.61505)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[2.7180515  1.14873909],0.2613
9,vanilla,True,False,1,False,5,>>graph6<<DkO,9.6871976852417,52,"[array(-0.5805), array(0.02235), array(-0.58385), array(-0.02695), array(-0.40565), array(-0.555), array(-0.5233), array(-0.63765), array(-0.60835), array(-0.65905), array(-0.618), array(-0.6587), array(-0.649), array(-0.64655), array(-0.654), array(-0.6465), array(-0.64915), array(-0.65025), array(-0.65605), array(-0.65695), array(-0.6535), array(-0.6619), array(-0.6415), array(-0.6467), array(-0.6389), array(-0.65145), array(-0.6425), array(-0.6557), array(-0.6448), array(-0.647), array(-0.6524), array(-0.65605), array(-0.64875), array(-0.64735), array(-0.64355), array(-0.63535), array(-0.63615), array(-0.6687), array(-0.6555), array(-0.63635), array(-0.6558), array(-0.6445), array(-0.6488), array(-0.65645), array(-0.6578), array(-0.6367), array(-0.63285), array(-0.65245), array(-0.64665), array(-0.6598), array(-0.64925), array(-0.64555)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[0.7632559  3.19747581],0.3097
