,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.5325009822845459,74,3.3463581134988827,"[1, 0, 1, 1, 1, 0, 0, 0, 0]",8.106278336454151,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.47217767 1.11349612],0.007893733272855476,0,,,>>graph6<<Hh_iS_u
1,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,82.08709836006165,4460,1.313866636934937,"[0, 1, 1, 0, 1, 0, 1, 1, 1]",3.1827342725251655,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.15815807 1.62373168 3.48599833 1.76772551 3.32314503 2.15119874
 4.19991537 2.46882116]",0.01911447804081318,0,,,>>graph6<<Hh_iS_u
2,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,2.0907130241394043,352,6.2596998809689195,"[0, 1, 0, 0, 0, 0, 0, 0, 1]",15.163610055095774,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.34595703 1.63282189],0.0016707810850017178,0,,,>>graph6<<Hh_iS_u
3,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,74.94007086753845,4011,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.1979333  1.65076262 3.02649861 1.47008678 2.90047447 2.10164349
 2.93101733 2.34542225]",0.03818679250301056,0,,,>>graph6<<Hh_iS_u
4,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.6907248497009277,71,3.3463581134988827,"[1, 0, 1, 1, 1, 0, 0, 0, 0]",8.106278336454151,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.4721777  1.11349612],0.007893734178142106,0,,,>>graph6<<Hh_iS_u
5,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,323.95703387260437,18060,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.47478455 2.16894719 2.71221248 1.43555382 3.4281505  3.12901862
 2.84391662 2.40056011]",0.016780411787356647,0,,,>>graph6<<Hh_iS_u
6,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.48632168769836426,71,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.72477362 3.89273528],0.046786749574271515,0,,,>>graph6<<Hh_iS_u
7,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,123.91956734657288,7193,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.19860744 1.75424537 3.24818929 1.51916257 2.92234331 1.68177108
 2.42248093 1.59239375]",0.044446722734949796,0,,,>>graph6<<Hh_iS_u
8,9,statevector,gaussian,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.44646692276000977,69,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.18221503 3.32074632],0.00011057562989407725,0,,,>>graph6<<Hh_iS_u
9,9,statevector,gaussian,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,180.49275016784668,10299,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.19341177 1.76603869 3.15992494 1.70372403 2.89411327 2.01600095
 4.71944986 1.20105071]",0.04484898454945727,0,,,>>graph6<<Hh_iS_u
10,9,statevector,gaussian,vanilla,COBYLA,False,7,minvertexcover,5000,1e-08,2,1156.6681671142578,40000,1.7538356253760075,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.2485230968965135,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.12644762 1.58013785 3.47745441 1.62587162 2.17064818 1.93073303
 3.21797292 1.15953998 3.24144307 1.76580207 3.56445964 2.67881265
 3.66285586 2.8519957 ]",0.0010003693161130586,0,,,>>graph6<<Hh_iS_u
11,9,statevector,gaussian,vanilla,COBYLA,False,7,minvertexcover,5000,1e-08,2,1165.8664767742157,40000,1.3683373069850076,"[0, 1, 1, 1, 1, 0, 1, 0, 1]",3.3146850075101155,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.31066374 1.67459148 4.73419927 1.54414063 3.24357465 0.95563719
 3.29375211 2.44074116 3.12784821 2.47906302 3.25537235 1.49893708
 2.6309038  1.15933671]",0.01639646675249587,0,,,>>graph6<<Hh_iS_u
