,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,False,3,7,F?~vw,15.194623470306396,256,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,gaussian,COBYLA,recursive,False,False,5,7,F?~vw,33.30676579475403,445,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,recursive,False,False,3,7,F?~vw,15.984638214111328,274,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,gaussian,COBYLA,recursive,False,False,5,7,F?~vw,31.63222098350525,413,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,gaussian,COBYLA,recursive,False,False,3,7,F?~vw,17.649932622909546,299,[],[0. 0. 0. 0. 1. 1. 1.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,gaussian,COBYLA,recursive,False,False,5,7,F?~vw,28.38996410369873,370,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,recursive,False,False,3,7,F?~vw,15.614384651184082,261,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,gaussian,COBYLA,recursive,False,False,5,7,F?~vw,29.203760385513306,403,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,gaussian,COBYLA,recursive,False,False,3,7,F?~vw,16.397910833358765,279,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,gaussian,COBYLA,recursive,False,False,5,7,F?~vw,31.354621648788452,417,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
10,gaussian,COBYLA,recursive,False,False,3,7,F?~vw,16.52513313293457,272,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
