,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,5,D~{,41.18584227561951,31,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
1,gaussian,COBYLA,recursive,False,True,1,5,HCrfZzf,37.336052894592285,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,recursive,False,True,1,5,D~{,41.4091374874115,29,[],[0. 0. 0. 0. 1.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
3,gaussian,COBYLA,recursive,False,True,1,5,HCrfZzf,37.163867712020874,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,recursive,False,True,1,5,D~{,36.548646688461304,26,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
5,gaussian,COBYLA,recursive,False,True,1,5,HCrfZzf,45.10287809371948,34,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,recursive,False,True,1,5,D~{,40.42678451538086,32,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
7,gaussian,COBYLA,recursive,False,True,1,5,HCrfZzf,39.064743757247925,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,recursive,False,True,1,5,D~{,45.61310887336731,34,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
9,gaussian,COBYLA,recursive,False,True,1,5,HCrfZzf,42.36773180961609,33,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
10,gaussian,COBYLA,recursive,False,True,1,5,D~{,42.6034049987793,31,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
