,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,rec_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,813.0042195320129,30,[],[0. 1. 0. 1. 1. 1. 0. 0. 1.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
1,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,338.93669176101685,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,695.7720491886139,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
3,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,273.9625687599182,29,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,575.4644627571106,33,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
5,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,217.83693766593933,35,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,501.9578881263733,28,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
7,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,124.05931878089905,35,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,376.57513070106506,28,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
9,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.048578500747680664,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
10,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,277.78440260887146,26,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
11,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.049475908279418945,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
12,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,206.402245759964,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
13,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.05861353874206543,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
14,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,799.9224700927734,29,[],[0. 1. 0. 1. 1. 1. 0. 0. 1.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
15,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,392.1289565563202,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
16,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,672.4041121006012,31,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
17,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,280.6536672115326,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
18,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,634.8593482971191,33,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
19,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,195.31498646736145,30,[],[0. 0. 1. 1. 1.],3.2969242815046744,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
20,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,457.8859508037567,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
