,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,7,F?~vw,150.49295139312744,121,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
1,gaussian,COBYLA,vanilla,False,True,1,7,F?~vw,62.940075159072876,19,"[array(0.89862923), array(-0.2988279), array(-0.00824796), array(-0.01783178), array(0.87960541), array(-0.65786165), array(-0.42910718), array(-0.65187866), array(-0.5902683), array(-0.52958921), array(-0.60472075), array(-0.67893699), array(-0.65168962), array(-0.73278702), array(-0.62402117), array(-0.65136849), array(-0.5902036), array(-0.60903666), array(-0.66285579)]","[0, 0, 0, 0, 1, 1, 1]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
2,gaussian,COBYLA,recursive,False,True,1,7,F?~vw,168.32900214195251,126,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
3,gaussian,COBYLA,vanilla,False,True,1,7,F?~vw,53.816306591033936,16,"[array(0.63491382), array(-0.05246015), array(-0.07864614), array(-0.01516763), array(-0.14030476), array(0.18568419), array(-0.09000446), array(-0.02324678), array(-0.07835125), array(-0.05810698), array(-0.07543566), array(-0.09481211), array(-0.08167763), array(-0.09064407), array(-0.06612229), array(-0.02125924)]","[0, 0, 0, 1, 1, 0, 1]",5.247357048429492,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
4,gaussian,COBYLA,recursive,False,True,1,7,F?~vw,159.19536995887756,124,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
5,gaussian,COBYLA,vanilla,False,True,1,7,F?~vw,53.146228075027466,18,"[array(-0.52752725), array(0.51481183), array(-0.14085869), array(0.92720542), array(0.49249169), array(-0.29136352), array(-0.42734476), array(-0.5185873), array(-0.5612952), array(-0.44229176), array(-0.50291867), array(-0.46490838), array(-0.47195156), array(-0.63665359), array(-0.56625806), array(-0.5887429), array(-0.48345089), array(-0.49866514)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
6,gaussian,COBYLA,recursive,False,True,1,7,F?~vw,160.60808563232422,126,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
7,gaussian,COBYLA,vanilla,False,True,1,7,F?~vw,52.565733194351196,16,"[array(0.08557668), array(-0.30384067), array(-0.05891483), array(1.01066784), array(-0.2339158), array(-0.06063893), array(-0.37706002), array(-0.16055725), array(-0.18951032), array(-0.2175854), array(-0.28803655), array(-0.22586873), array(-0.19441907), array(-0.23394803), array(-0.32504189), array(-0.32692594)]","[0, 0, 0, 1, 1, 0, 1]",5.247357048429492,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
8,gaussian,COBYLA,recursive,False,True,1,7,F?~vw,170.9628164768219,130,[],[1. 1. 1. 1. 0. 0. 0.],6.76637017433752,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
9,gaussian,COBYLA,vanilla,False,True,1,7,F?~vw,51.068363666534424,16,"[array(-0.57861643), array(0.32855493), array(-0.14731796), array(1.47479117), array(-0.16903277), array(0.05237445), array(-0.49651209), array(-0.73761918), array(-0.65140072), array(-0.76201962), array(-0.74743916), array(-0.73733142), array(-0.74483591), array(-0.75203764), array(-0.67884515), array(-0.67098881)]","[1, 1, 1, 1, 0, 0, 0]",6.766370174337519,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
