,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,False,2,5,D,7.718687534332275,24,"[array(0.0034965), array(-0.4010989), array(1.03146853), array(0.33616384), array(-0.31018981), array(-0.05944056), array(0.46903097), array(-0.82667333), array(-0.3991009), array(-0.69480519), array(-0.61988012), array(-0.78871129), array(-0.68481518), array(-0.81268731), array(-0.73876124), array(-0.78971029), array(-0.78171828), array(-0.77272727), array(-0.8036963), array(-0.73576424), array(-0.75674326), array(-0.75274725), array(-0.78671329), array(-0.75674326)]","[0, 1, 0, 0, 1]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[4.24357898 1.84118754 2.85328158 2.06965545],<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb2b48e0>>
1,gaussian,COBYLA,vanilla,False,False,2,5,B,8.609888553619385,27,"[array(-0.15484515), array(-0.10889111), array(0.91408591), array(-0.31468531), array(-0.40859141), array(1.81318681), array(1.72327672), array(-0.33266733), array(-0.40659341), array(-0.28871129), array(-0.34865135), array(-0.9000999), array(-0.38461538), array(-0.88611389), array(-0.38861139), array(-0.74625375), array(-0.85814186), array(-0.74425574), array(-0.83816184), array(-0.85014985), array(-0.84415584), array(-0.88811189), array(-0.87012987), array(-0.87212787), array(-0.85614386), array(-0.86813187), array(-0.87412587)]","[0, 0, 0, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[3.0254175  1.31113714 4.21517629 2.45400048],<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb2e76d0>>
2,gaussian,COBYLA,vanilla,False,False,2,5,k,12.378594398498535,36,"[array(0.11088911), array(-0.0999001), array(-0.09290709), array(0.74025974), array(0.48651349), array(-0.32267732), array(0.18481518), array(-0.08991009), array(-0.08891109), array(-0.35564436), array(-0.30969031), array(-0.61238761), array(-0.72927073), array(-0.53946054), array(-0.41958042), array(-1.11188811), array(-1.17782218), array(-1.001998), array(-0.95604396), array(-1.31068931), array(-1.0989011), array(-1.2037962), array(-1.19380619), array(-1.25874126), array(-1.10989011), array(-1.35764236), array(-1.39060939), array(-1.41958042), array(-1.4035964), array(-1.33866134), array(-1.39360639), array(-1.32867133), array(-1.4025974), array(-1.34165834), array(-1.43356643), array(-1.3956044)]","[1, 1, 0, 0, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[4.41865876 1.85515209 2.48544424 1.25701842],<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb112560>>
3,gaussian,COBYLA,vanilla,False,False,4,5,D,16.637892246246338,43,"[array(0.2962038), array(0.27922078), array(-0.76573427), array(0.71278721), array(-0.07542458), array(0.55194805), array(0.22327672), array(0.12337662), array(0.35414585), array(-0.3011988), array(-0.03946054), array(-0.73676324), array(0.20929071), array(-0.58391608), array(-0.75874126), array(-0.58691309), array(-0.69380619), array(-0.56693307), array(-0.40609391), array(-0.75074925), array(-0.78971029), array(-0.67682318), array(-0.71478521), array(-0.8026973), array(-0.9035964), array(-0.86463536), array(-0.83566434), array(-0.85064935), array(-0.79170829), array(-0.82167832), array(-0.85664336), array(-0.82967033), array(-0.8956044), array(-0.85364635), array(-0.84465534), array(-0.85564436), array(-0.84865135), array(-0.86863137), array(-0.9015984), array(-0.7997003), array(-0.86963037), array(-0.82767233), array(-0.88161838)]","[0, 1, 1, 0, 1]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.08837271 2.31497885 3.59602465 1.12834063 2.90447093 1.56959414
 3.190251   1.43781009]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb1454b0>>
4,gaussian,COBYLA,vanilla,False,False,4,5,B,22.68112826347351,57,"[array(0.86213786), array(1.12187812), array(-0.1968032), array(0.24875125), array(1.53146853), array(0.02697303), array(0.12487512), array(1.43956044), array(1.65534466), array(0.81418581), array(1.02597403), array(-0.48851149), array(0.21678322), array(-0.63036963), array(-0.42457542), array(0.21478521), array(-0.25474525), array(-0.70829171), array(-0.19080919), array(-0.68631369), array(1.15584416), array(-0.78821179), array(-0.60639361), array(-0.86613387), array(0.004995), array(-0.52647353), array(-0.75024975), array(-0.8001998), array(-0.88211788), array(-0.81018981), array(-0.84615385), array(-0.77222777), array(-0.7982018), array(-0.73026973), array(-0.85014985), array(-0.85414585), array(-0.74625375), array(-0.82017982), array(-0.87212787), array(-0.85814186), array(-0.90609391), array(-0.86413586), array(-0.87012987), array(-0.87212787), array(-0.86413586), array(-0.86213786), array(-0.87212787), array(-0.85814186), array(-0.88211788), array(-0.87012987), array(-0.87412587), array(-0.84415584), array(-0.87812188), array(-0.85614386), array(-0.8981019), array(-0.86213786), array(-0.88411588)]","[0, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[2.89127905 1.74662283 3.01535636 2.1223821  2.89342523 1.13245422
 3.44260154 1.53845534]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb1886a0>>
5,gaussian,COBYLA,vanilla,False,False,4,5,k,21.9137704372406,52,"[array(0.87212787), array(0.87112887), array(0.86313686), array(0.59240759), array(0.52247752), array(1.16383616), array(1.04595405), array(-0.58541459), array(0.11288711), array(-0.46053946), array(-0.44455544), array(0.21578422), array(0.77122877), array(-0.4015984), array(0.8011988), array(-0.2997003), array(-0.51748252), array(-0.27872128), array(-0.003996), array(-0.43156843), array(-0.76423576), array(-0.86313686), array(-1.0959041), array(-1.04195804), array(-1.14185814), array(-1.06493506), array(-0.98001998), array(-1.19080919), array(-1.17082917), array(-1.31268731), array(-1.05994006), array(-1.3986014), array(-1.35564436), array(-1.37062937), array(-1.35264735), array(-1.3976024), array(-1.32967033), array(-1.39260739), array(-1.32867133), array(-1.21678322), array(-1.41358641), array(-1.3966034), array(-1.47352647), array(-1.42157842), array(-1.33866134), array(-1.4005994), array(-1.42457542), array(-1.32667333), array(-1.35764236), array(-1.3956044), array(-1.43456543), array(-1.4015984)]","[1, 1, 0, 0, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.60832341 2.53155827 4.34350286 2.86699353 2.79698936 1.25810343
 4.46868818 1.33121377]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb1a3910>>
6,gaussian,COBYLA,vanilla,False,False,6,5,D,30.30240035057068,70,"[array(0.14535465), array(0.14835165), array(1.05844156), array(0.30719281), array(-0.22027972), array(-0.13136863), array(0.67482517), array(-0.22527473), array(0.26623377), array(0.27822178), array(0.65584416), array(0.78871129), array(0.25324675), array(0.09240759), array(-0.05444555), array(-0.24025974), array(-0.04245754), array(-0.05744256), array(-0.16233766), array(0.14235764), array(-0.15934066), array(-0.02047952), array(-0.14135864), array(-0.31418581), array(-0.16233766), array(-0.28021978), array(-0.26823177), array(-0.4040959), array(-0.14935065), array(-0.38311688), array(-0.06043956), array(-0.46903097), array(-0.44905095), array(-0.44605395), array(-0.4000999), array(-0.21728272), array(-0.6048951), array(-0.50699301), array(-0.72377622), array(-0.67882118), array(-0.06943057), array(-0.53796204), array(-0.66183816), array(-0.63086913), array(-0.61288711), array(-0.7027972), array(-0.67682318), array(-0.67682318), array(-0.67882118), array(-0.62087912), array(-0.70679321), array(-0.63486513), array(-0.62487512), array(-0.67482517), array(-0.66483516), array(-0.65484515), array(-0.67982018), array(-0.68781219), array(-0.69180819), array(-0.65784216), array(-0.64185814), array(-0.68481518), array(-0.64985015), array(-0.64585415), array(-0.66583417), array(-0.65384615), array(-0.66083916), array(-0.63686314), array(-0.63686314), array(-0.68081918)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.04595526 1.59138058 3.05318959 2.40777473 3.55870128 1.18470583
 4.1444799  1.61391476 3.02841038 1.97243961 2.96304168 1.56777699]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb1f2d40>>
7,gaussian,COBYLA,vanilla,False,False,6,5,B,34.07881236076355,74,"[array(1.1998002), array(-0.12287712), array(0.51248751), array(0.6983017), array(0.72227772), array(-0.55644356), array(1.05794206), array(0.5004995), array(-0.07292707), array(0.32467532), array(-0.43456543), array(-0.16283716), array(0.35864136), array(0.78221778), array(0.02897103), array(-0.52847153), array(1.50949051), array(0.40659341), array(-0.54845155), array(-0.55044955), array(-0.57642358), array(-0.73226773), array(-0.32667333), array(-0.61038961), array(-0.85814186), array(-0.8041958), array(-0.75824176), array(-0.64435564), array(-0.83816184), array(-0.70829171), array(-0.46053946), array(-0.46053946), array(-0.86013986), array(-0.76623377), array(-0.80819181), array(-0.76623377), array(-0.83616384), array(-0.87212787), array(-0.8041958), array(-0.88011988), array(-0.84015984), array(-0.60839161), array(-0.88411588), array(-0.68831169), array(-0.85214785), array(-0.89210789), array(-0.87812188), array(-0.91408591), array(-0.87812188), array(-0.85414585), array(-0.92407592), array(-0.83216783), array(-0.84415584), array(-0.87012987), array(-0.85214785), array(-0.86013986), array(-0.8981019), array(-0.89010989), array(-0.86613387), array(-0.88011988), array(-0.9020979), array(-0.89410589), array(-0.88011988), array(-0.92207792), array(-0.8981019), array(-0.90609391), array(-0.92207792), array(-0.8961039), array(-0.89210789), array(-0.90809191), array(-0.9000999), array(-0.8961039), array(-0.86613387), array(-0.9020979)]","[0, 0, 0, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[4.10014098 1.47825662 3.00812639 1.49036652 4.49124547 1.55340483
 3.5282871  1.51108824 3.27994011 1.6108379  3.51704749 1.14316834]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb02a2c0>>
8,gaussian,COBYLA,vanilla,False,False,6,5,k,45.365070819854736,91,"[array(0.27472527), array(0.44455544), array(-0.16083916), array(-0.55544456), array(0.14985015), array(0.01798202), array(0.57542458), array(0.77322677), array(0.30669331), array(-0.004995), array(-0.18381618), array(-0.35664336), array(-0.31568432), array(0.64935065), array(-0.42557443), array(-0.49250749), array(0.2987013), array(-0.78821179), array(-0.24775225), array(0.001998), array(-0.47052947), array(-0.86113886), array(-0.83316683), array(-0.6983017), array(-0.90509491), array(-0.76423576), array(-0.82717283), array(-0.96403596), array(-1.07592408), array(-1.14985015), array(-0.96203796), array(-1.22277722), array(-1.16183816), array(-1.45854146), array(-1.18481518), array(-1.58341658), array(-0.6983017), array(-1.62137862), array(-1.57742258), array(-1.54045954), array(-1.66133866), array(-1.68931069), array(-1.68531469), array(-1.62437562), array(-1.61938062), array(-1.52147852), array(-1.47852148), array(-1.72827173), array(-1.65134865), array(-1.67732268), array(-1.83216783), array(-1.78721279), array(-1.81018981), array(-1.84015984), array(-1.7012987), array(-1.84715285), array(-1.73426573), array(-1.82517483), array(-1.85314685), array(-1.84915085), array(-1.84515485), array(-1.78921079), array(-1.85614386), array(-1.77122877), array(-1.82617383), array(-1.81218781), array(-1.84115884), array(-1.82917083), array(-1.84715285), array(-1.84715285), array(-1.78921079), array(-1.83116883), array(-1.78521479), array(-1.82317682), array(-1.82317682), array(-1.83916084), array(-1.84215784), array(-1.85714286), array(-1.86713287), array(-1.80919081), array(-1.81318681), array(-1.83916084), array(-1.84615385), array(-1.83216783), array(-1.83516484), array(-1.84915085), array(-1.83316683), array(-1.84915085), array(-1.82417582), array(-1.82817183), array(-1.85514486)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[2.87388919 2.40167423 3.84882275 2.22560397 3.48863791 1.61616993
 2.77256623 1.32418692 3.08219846 1.28924554 3.49329863 1.71584135]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb069990>>
9,gaussian,COBYLA,vanilla,False,False,8,5,D,43.544548749923706,89,"[array(0.01048951), array(0.12537463), array(0.32317682), array(0.91658342), array(-0.36413586), array(-0.08241758), array(0.51098901), array(-0.05644356), array(0.05044955), array(-0.09340659), array(0.64085914), array(-0.08841159), array(-0.32017982), array(-0.7027972), array(-0.48001998), array(0.07142857), array(-0.66683317), array(0.57092907), array(-0.54395604), array(-0.54295704), array(0.1963037), array(-0.64085914), array(0.22527473), array(-0.73576424), array(-0.09140859), array(-0.26623377), array(0.66683317), array(-0.8026973), array(-0.9975025), array(-0.90559441), array(0.31118881), array(-0.87462537), array(-1.11738262), array(-1.0014985), array(-0.68281718), array(-1.16533467), array(0.26223776), array(-0.52897103), array(-0.75874126), array(-1.21628372), array(-0.94555445), array(-0.7997003), array(-1.14835165), array(-1.01448551), array(-0.9995005), array(-0.32317682), array(-1.11838162), array(-1.07442557), array(-1.10739261), array(-1.14535465), array(-1.01348651), array(-0.96253746), array(-0.77072927), array(-1.0954046), array(-1.12137862), array(-1.09440559), array(-1.0044955), array(-1.11438561), array(-1.13936064), array(-1.16833167), array(-1.15534466), array(-1.07142857), array(-1.14035964), array(-1.2012987), array(-1.12637363), array(-1.13536464), array(-1.08541459), array(-1.12737263), array(-1.15834166), array(-1.12837163), array(-1.10739261), array(-1.08641359), array(-1.10939061), array(-1.0954046), array(-1.06543457), array(-1.11038961), array(-1.11038961), array(-1.14135864), array(-1.14935065), array(-1.06843157), array(-1.10939061), array(-1.1003996), array(-1.10939061), array(-1.12237762), array(-1.13136863), array(-1.11238761), array(-1.12537463), array(-1.13436563), array(-1.08041958)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.08069836 1.80909211 2.98681448 3.02976869 3.07301744 1.72107792
 3.30019192 1.3691497  3.15603091 1.74010842 3.13729308 1.36546512
 3.78029202 1.20073324 3.69190536 1.64729739]",<bound method QAOArunner.get_prob_most_likely_solution of <QAOA.QAOArunner object at 0x7fc2cb0b52a0>>
