,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,False,2,5,D,9.215716123580933,28,"[array(0.07642358), array(-0.44905095), array(0.27322677), array(0.4010989), array(-0.37512488), array(0.39310689), array(0.10739261), array(-0.01248751), array(-0.65584416), array(-0.83266733), array(-0.99250749), array(-0.7027972), array(-0.95854146), array(-0.57492507), array(-0.99450549), array(-0.89460539), array(-0.93256743), array(-0.98251748), array(-0.99050949), array(-0.96553447), array(-0.93756244), array(-0.94655345), array(-0.99250749), array(-1.02247752), array(-0.94955045), array(-0.95554446), array(-0.9965035), array(-0.98651349)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[4.39390285 1.75907024 2.47989054 1.41683542],0.6325
1,gaussian,COBYLA,vanilla,False,False,2,5,B,9.821997880935669,30,"[array(0.01898102), array(0.41058941), array(0.31268731), array(0.1048951), array(-0.43456543), array(0.13086913), array(-0.18281718), array(-0.66233766), array(0.59040959), array(0.15284715), array(-0.41058941), array(-0.96203796), array(-0.9020979), array(-0.95404595), array(-0.89410589), array(-0.92807193), array(-0.88011988), array(-0.96403596), array(-0.97002997), array(-0.98201798), array(-0.97802198), array(-0.98401598), array(-0.99000999), array(-0.98201798), array(-0.96203796), array(-0.98401598), array(-0.97802198), array(-0.99000999), array(-0.98601399), array(-0.98601399)]","[1, 1, 1, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[3.52399951 1.73351296 2.783104   2.30066395],0.9930000000000001
2,gaussian,COBYLA,vanilla,False,False,2,5,k,12.262290000915527,36,"[array(-0.02997003), array(0.03796204), array(0.08091908), array(0.65134865), array(0.17382617), array(-0.0979021), array(-0.1038961), array(0.48451548), array(-0.56643357), array(0.13986014), array(-0.5044955), array(0.30769231), array(-0.2967033), array(-0.89210789), array(-0.42057942), array(-0.91308691), array(-0.7032967), array(-0.7042957), array(-1.23876124), array(-1.25974026), array(-0.99300699), array(-1.12687313), array(-1.32167832), array(-1.3986014), array(-1.2957043), array(-1.29470529), array(-1.29070929), array(-1.36063936), array(-1.35564436), array(-1.33066933), array(-1.34065934), array(-1.35564436), array(-1.3046953), array(-1.35664336), array(-1.34965035), array(-1.34565435)]","[0, 0, 1, 1, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[2.86727497 1.89409388 2.62993758 1.2252301 ],0.605
3,gaussian,COBYLA,vanilla,False,False,4,5,D,20.87208867073059,53,"[array(-0.44505495), array(-0.91058941), array(0.17132867), array(-0.19130869), array(0.62687313), array(0.4030969), array(-0.50799201), array(-0.49400599), array(-0.78771229), array(-0.42507493), array(-0.6998002), array(-0.76473526), array(-0.8996004), array(-0.35114885), array(-1.10839161), array(-0.84265734), array(-1.16033966), array(-1.17032967), array(-1.15134865), array(-1.01248751), array(-0.75774226), array(-1.18331668), array(-1.22227772), array(-1.3021978), array(-1.18431568), array(-1.31818182), array(-1.23226773), array(-1.32717283), array(-1.28221778), array(-1.34815185), array(-1.34715285), array(-1.3031968), array(-1.35114885), array(-1.33416583), array(-1.36913087), array(-1.36213786), array(-1.34715285), array(-1.37212787), array(-1.35314685), array(-1.35814186), array(-1.38511489), array(-1.35614386), array(-1.36313686), array(-1.37112887), array(-1.37512488), array(-1.37412587), array(-1.33316683), array(-1.38011988), array(-1.33616384), array(-1.37112887), array(-1.36013986), array(-1.35314685), array(-1.36013986)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.56180702 1.44949512 2.71851894 1.37891768 2.37165496 1.50626877
 3.1080405  1.40654902]",0.9037
4,gaussian,COBYLA,vanilla,False,False,4,5,B,17.592323541641235,42,"[array(1.21178821), array(1.25774226), array(0.1968032), array(0.68031968), array(1.15184815), array(-0.92207792), array(0.81218781), array(0.7022977), array(-0.19480519), array(1.54745255), array(0.97002997), array(-0.11888112), array(0.32867133), array(0.88011988), array(-0.90609391), array(-0.77822178), array(-0.91408591), array(-0.93606394), array(-0.76223776), array(-0.81018981), array(-0.39060939), array(-0.83016983), array(-0.88211788), array(-0.78021978), array(-0.92207792), array(-0.67032967), array(-0.83416583), array(-0.9040959), array(-0.88811189), array(-0.93006993), array(-0.8981019), array(-0.9020979), array(-0.90809191), array(-0.9020979), array(-0.89210789), array(-0.89210789), array(-0.87612388), array(-0.93406593), array(-0.92607393), array(-0.91608392), array(-0.93006993), array(-0.88211788)]","[1, 1, 0, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.11624197 2.40451514 2.85804665 1.76273562 4.12971768 1.78932529
 3.33509364 1.73643354]",0.9672000000000001
5,gaussian,COBYLA,vanilla,False,False,4,5,k,25.043949127197266,58,"[array(-0.38561439), array(0.29470529), array(-0.4045954), array(1.45754246), array(0.19180819), array(0.51448551), array(0.63736264), array(0.39060939), array(0.16983017), array(-0.66633367), array(-0.48151848), array(-0.24575425), array(-0.64235764), array(-0.74125874), array(0.70529471), array(-0.5954046), array(-0.01798202), array(-1.11788212), array(-1.11888112), array(-1.14585415), array(-0.74825175), array(1.2997003), array(-1.18281718), array(-1.10989011), array(-0.64835165), array(-1.11188811), array(-0.53746254), array(-1.15784216), array(-0.37362637), array(-0.95304695), array(-1.02897103), array(-1.08691309), array(-1.16483516), array(-1.16283716), array(-1.12687313), array(-1.15584416), array(-1.19380619), array(-1.16783217), array(-1.22477522), array(-1.15284715), array(-1.14485514), array(-1.17082917), array(-1.14085914), array(-1.15684316), array(-1.17182817), array(-1.25274725), array(-1.1978022), array(-1.1968032), array(-1.2007992), array(-1.16283716), array(-1.14685315), array(-1.20879121), array(-1.12887113), array(-1.16083916), array(-1.16483516), array(-1.15584416), array(-1.16783217), array(-1.16883117)]","[1, 1, 0, 0, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.36532152 2.82788217 2.55309712 1.69429487 3.15499767 0.91684078
 2.75377287 1.84675904]",0.5599000000000001
6,gaussian,COBYLA,vanilla,False,False,6,5,D,36.146198987960815,80,"[array(0.05844156), array(0.44605395), array(0.08641359), array(-0.56893107), array(0.27422577), array(-0.01148851), array(0.00949051), array(-0.7957043), array(0.91958042), array(0.88861139), array(-0.15634366), array(-0.37612388), array(-0.8016983), array(-0.17932068), array(-0.64085914), array(-0.02247752), array(-0.67882118), array(-1.07142857), array(0.31718282), array(-0.76073926), array(-0.18431568), array(-1.1023976), array(-0.38811189), array(-1.02047952), array(0.41208791), array(-1.01148851), array(-0.28521479), array(-1.04445554), array(-0.96853147), array(-0.78471528), array(-0.05944056), array(-0.81668332), array(-0.83766234), array(-1.09340659), array(-1.1043956), array(-1.01348651), array(-1.0994006), array(-1.03246753), array(-1.0034965), array(-1.08941059), array(-1.07742258), array(-1.0974026), array(-1.10639361), array(-1.07142857), array(-1.13936064), array(-1.11838162), array(-1.11038961), array(-1.17032967), array(-1.17132867), array(-1.11638362), array(-1.13336663), array(-1.18231768), array(-1.11938062), array(-1.20829171), array(-1.19330669), array(-1.20929071), array(-1.18731269), array(-1.22627373), array(-1.1973027), array(-1.17932068), array(-1.09340659), array(-1.16333666), array(-1.21028971), array(-1.2012987), array(-1.19430569), array(-1.1953047), array(-1.17532468), array(-1.19230769), array(-1.17532468), array(-1.17932068), array(-1.21628372), array(-1.1993007), array(-1.22027972), array(-1.18831169), array(-1.15534466), array(-1.1993007), array(-1.2002997), array(-1.1963037), array(-1.22227772), array(-1.22727273)]","[0, 0, 0, 1, 1]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.11617681 1.56366693 4.25609405 1.37933446 2.70583075 1.60867373
 4.41996237 1.40001896 3.04385548 1.49810171 3.23155566 2.44366811]",0.7442000000000001
7,gaussian,COBYLA,vanilla,False,False,6,5,B,26.765453815460205,57,"[array(0.02897103), array(0.49050949), array(0.44055944), array(0.45454545), array(0.06093906), array(0.17882118), array(1.21378621), array(-0.66233766), array(0.90809191), array(-0.77422577), array(-0.36263736), array(-0.2967033), array(-0.85014985), array(0.63836164), array(0.52247752), array(-0.45054945), array(0.15484515), array(-0.26473526), array(0.81018981), array(-0.51848152), array(0.32067932), array(-0.70829171), array(-0.15684316), array(-0.75824176), array(-0.46853147), array(-0.5964036), array(-0.77822178), array(-0.42457542), array(-0.81618382), array(-0.7002997), array(-0.78021978), array(-0.77622378), array(-0.66433566), array(-0.75624376), array(-0.8021978), array(-0.81418581), array(-0.81618382), array(-0.74225774), array(-0.7982018), array(-0.78621379), array(-0.76623377), array(-0.77822178), array(-0.75624376), array(-0.78621379), array(-0.78021978), array(-0.77422577), array(-0.78621379), array(-0.77822178), array(-0.78821179), array(-0.71828172), array(-0.73626374), array(-0.79420579), array(-0.78621379), array(-0.79420579), array(-0.78221778), array(-0.77222777), array(-0.81018981)]","[0, 0, 0, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.14113014 1.95919772 2.82129416 1.56043021 2.93970378 1.54264898
 4.30160379 1.62470907 4.11611123 1.22013911 3.32799565 2.77705018]",0.9116000000000001
8,gaussian,COBYLA,vanilla,False,False,6,5,k,40.69627523422241,81,"[array(0.39160839), array(0.43356643), array(0.55844156), array(-0.15084915), array(0.52147852), array(-0.51148851), array(-0.46653347), array(-0.21178821), array(-0.24975025), array(-0.25174825), array(1.45954046), array(1.4965035), array(0.84115884), array(-0.03596404), array(1.12687313), array(-0.56943057), array(0.36063936), array(0.46753247), array(0.47252747), array(-0.94905095), array(0.2027972), array(-0.79420579), array(1.61038961), array(-0.55544456), array(1.4025974), array(-0.74125874), array(0.65334665), array(-0.7032967), array(0.34165834), array(-0.56143856), array(1.0989011), array(-1.01898102), array(-1.02097902), array(-0.93206793), array(-0.94505495), array(-1.05694306), array(-1.00799201), array(-1.14085914), array(-0.91008991), array(-1.13286713), array(-0.76723277), array(-1.05994006), array(-1.22777223), array(-1.22977023), array(-1.31868132), array(-1.19480519), array(-1.38161838), array(-1.4985015), array(-1.51248751), array(-1.52247752), array(-1.64235764), array(-1.59340659), array(-1.50849151), array(-1.69130869), array(-1.72627373), array(-1.72627373), array(-1.64835165), array(-1.65134865), array(-1.63736264), array(-1.67532468), array(-1.69030969), array(-1.60639361), array(-1.67632368), array(-1.67632368), array(-1.64235764), array(-1.66033966), array(-1.7012987), array(-1.6983017), array(-1.67532468), array(-1.66433566), array(-1.68131868), array(-1.66333666), array(-1.7012987), array(-1.65434565), array(-1.68531469), array(-1.70829171), array(-1.62437562), array(-1.66133866), array(-1.6983017), array(-1.71628372), array(-1.65334665)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[2.74072848 1.42033464 3.86837621 1.6904537  4.69196307 1.94666606
 2.88212435 1.05175355 2.86982806 1.6713506  3.15986873 1.27017235]",0.8036000000000001
9,gaussian,COBYLA,vanilla,False,False,8,5,D,61.594032764434814,121,"[array(1.14035964), array(1.3981019), array(0.27222777), array(-0.21928072), array(0.77972028), array(0.31918082), array(-0.12737263), array(0.0044955), array(-0.21828172), array(0.56093906), array(0.43606394), array(-0.08941059), array(-0.30519481), array(-0.13236763), array(-0.02847153), array(-0.04645355), array(0.00549451), array(1.12637363), array(1.15434565), array(-0.26523477), array(-0.14535465), array(-0.38411588), array(-0.65684316), array(-0.64685315), array(-0.66983017), array(-0.55994006), array(-0.81268731), array(-0.71678322), array(0.03246753), array(-0.96853147), array(-0.53596404), array(-0.39010989), array(-0.47902098), array(-0.97952048), array(-0.55694306), array(-0.74675325), array(-0.02947053), array(-0.96853147), array(-0.30819181), array(-0.57392607), array(-0.71678322), array(-0.96153846), array(-0.96153846), array(-0.73376623), array(-0.93356643), array(-0.7007992), array(-0.99350649), array(-1.09040959), array(-1.08341658), array(-0.64085914), array(-1.06843157), array(-1.09340659), array(-1.1003996), array(-0.93256743), array(-1.00949051), array(-0.99150849), array(-0.84265734), array(-1.10539461), array(-0.9955045), array(-1.0974026), array(-0.91058941), array(-1.06543457), array(-1.08741259), array(-1.05744256), array(-1.12037962), array(-1.17732268), array(-1.08241758), array(-1.11738262), array(-1.17032967), array(-1.14335664), array(-1.1993007), array(-1.24525475), array(-1.16533467), array(-1.19130869), array(-1.09040959), array(-1.23626374), array(-1.24025974), array(-1.2012987), array(-1.23426573), array(-1.18231768), array(-1.23726274), array(-1.22627373), array(-1.26023976), array(-1.24925075), array(-1.22027972), array(-1.22227772), array(-1.23926074), array(-1.21628372), array(-1.26223776), array(-1.2022977), array(-1.26023976), array(-1.23026973), array(-1.27022977), array(-1.21928072), array(-1.23926074), array(-1.25424575), array(-1.26123876), array(-1.24625375), array(-1.27822178), array(-1.26023976), array(-1.25424575), array(-1.23826174), array(-1.22527473), array(-1.25024975), array(-1.25124875), array(-1.23826174), array(-1.23626374), array(-1.26523477), array(-1.24025974), array(-1.23326673), array(-1.24325674), array(-1.26223776), array(-1.2022977), array(-1.24725275), array(-1.24325674), array(-1.26223776), array(-1.26223776), array(-1.25724276), array(-1.25124875), array(-1.25024975), array(-1.25724276)]","[1, 0, 0, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[2.99443144 2.92130005 3.56207913 0.45343797 2.90983429 1.25458177
 3.27179254 1.29363106 3.50398767 1.40014454 2.81521406 2.87692153
 3.0221811  1.34570256 3.02357438 1.87689006]",0.7903
