,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,gaussian,COBYLA,vanilla,False,True,2,5,D,167.50781083106995,29,"[array(-0.04645355), array(0.04845155), array(0.27122877), array(-0.05844156), array(-0.0034965), array(-0.51798202), array(0.41908092), array(0.0034965), array(-0.36813187), array(-0.32417582), array(0.23526474), array(-0.67182817), array(-0.35714286), array(-0.5959041), array(-0.62887113), array(-0.48801199), array(-0.75674326), array(-0.72777223), array(-0.73376623), array(-0.70879121), array(-0.72377622), array(-0.65384615), array(-0.71178821), array(-0.74275724), array(-0.77372627), array(-0.75374625), array(-0.72477522), array(-0.72077922), array(-0.71278721)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[2.87959378 0.38817474 4.35230456 1.17098215],0.41829999999999995
1,gaussian,COBYLA,vanilla,False,True,2,5,B,185.9475531578064,31,"[array(0.06493506), array(0.67632368), array(0.08691309), array(-0.68831169), array(0.18681319), array(0.73026973), array(0.55844156), array(-0.01498501), array(0.35264735), array(-0.77822178), array(-0.73026973), array(-0.45254745), array(-0.21278721), array(-0.6963037), array(-0.74825175), array(-0.80819181), array(-0.7982018), array(-0.8021978), array(-0.82417582), array(-0.81218781), array(-0.75824176), array(-0.81818182), array(-0.81018981), array(-0.81018981), array(-0.86413586), array(-0.87212787), array(-0.82217782), array(-0.8021978), array(-0.82817183), array(-0.77222777), array(-0.79020979)]","[1, 1, 0, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[2.95454749 1.74863706 4.09955022 1.22511254],0.9270999999999999
2,gaussian,COBYLA,vanilla,False,True,2,5,k,205.24500560760498,34,"[array(-0.05694306), array(-0.04495504), array(0.04295704), array(-0.08891109), array(0.7952048), array(0.4025974), array(0.33066933), array(0.36163836), array(-0.82417582), array(-0.17782218), array(-0.002997), array(0.27672328), array(-0.36463536), array(-0.58841159), array(-0.00699301), array(-0.83916084), array(-0.78521479), array(-0.89010989), array(-1.02197802), array(-1.1998002), array(-1.21378621), array(-1.25174825), array(-1.07692308), array(-1.1988012), array(-1.13486513), array(-1.17482517), array(-1.23176823), array(-1.18981019), array(-1.19280719), array(-1.12387612), array(-1.12587413), array(-1.17982018), array(-1.14285714), array(-1.21478521)]","[1, 1, 0, 0, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[3.42793278 1.84640717 3.80263234 1.71385782],0.5525
3,gaussian,COBYLA,vanilla,False,True,4,5,D,354.8800320625305,59,"[array(0.2022977), array(0.04645355), array(0.23426573), array(-0.15934066), array(0.32017982), array(0.35214785), array(-0.6958042), array(-0.01948052), array(-0.63086913), array(-0.00649351), array(-0.30819181), array(-0.6978022), array(0.05444555), array(-0.26123876), array(-0.66583417), array(-0.14135864), array(-0.72577423), array(-0.77172827), array(-0.77472527), array(-0.83166833), array(-0.7977023), array(-0.67282717), array(-0.43506494), array(-0.68381618), array(-0.88161838), array(-0.75874126), array(-0.84865135), array(-0.9015984), array(-0.82767233), array(-0.83766234), array(-0.87662338), array(-0.90959041), array(-0.85164835), array(-0.96853147), array(-0.96553447), array(-0.92457542), array(-0.96353646), array(-0.96153846), array(-0.98451548), array(-1.04145854), array(-1.05244755), array(-1.01948052), array(-1.03846154), array(-0.97452547), array(-0.95654346), array(-1.00649351), array(-0.9975025), array(-0.9985015), array(-0.97652348), array(-1.06143856), array(-1.00749251), array(-1.01648352), array(-0.97252747), array(-1.01448551), array(-0.99150849), array(-0.93256743), array(-0.97752248), array(-0.96453546), array(-0.97152847)]","[0, 1, 0, 0, 1]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.72869069 1.34565034 4.21658097 1.80723103 3.67255316 2.35876279
 3.29321636 1.51808212]",0.6819
4,gaussian,COBYLA,vanilla,False,True,4,5,B,263.5130889415741,44,"[array(-0.47252747), array(-0.32667333), array(0.5004995), array(1.09190809), array(0.3006993), array(-0.02097902), array(-0.06893107), array(-0.40859141), array(-0.41258741), array(0.11088911), array(-0.28071928), array(0.39260739), array(-0.3966034), array(-0.48251748), array(-0.55444555), array(-0.39060939), array(-0.52247752), array(-0.69230769), array(-0.65034965), array(-0.42257742), array(-0.44655345), array(-0.68231768), array(-0.58641359), array(-0.55044955), array(-0.64435564), array(-0.74625375), array(-0.72027972), array(-0.71028971), array(-0.60639361), array(-0.69430569), array(-0.65034965), array(-0.7042957), array(-0.65234765), array(-0.72227772), array(-0.64835165), array(-0.67832168), array(-0.70829171), array(-0.74425574), array(-0.67232767), array(-0.68031968), array(-0.7002997), array(-0.73426573), array(-0.7042957), array(-0.66233766)]","[1, 0, 1, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.22201168 1.30581342 3.44539764 1.52533075 2.9828135  1.52451837
 3.76500176 1.54377254]",0.8819
5,gaussian,COBYLA,vanilla,False,True,4,5,k,263.2265872955322,45,"[array(0.09190809), array(-0.33566434), array(0.05294705), array(0.06993007), array(0.41558442), array(-0.24475524), array(-0.47652348), array(0.70829171), array(-0.83416583), array(0.73326673), array(-0.41758242), array(-0.33266733), array(-0.97802198), array(-0.88411588), array(-0.14685315), array(-0.91108891), array(0.43956044), array(-0.97402597), array(-0.3956044), array(-0.58141858), array(-0.56943057), array(-0.90909091), array(-0.98301698), array(-0.80619381), array(-0.88911089), array(-1.02497502), array(-0.95404595), array(-0.995005), array(-0.96103896), array(-0.96903097), array(-0.98801199), array(-0.98701299), array(-0.99100899), array(-0.94905095), array(-0.97102897), array(-0.97902098), array(-0.99100899), array(-0.97702298), array(-0.98601399), array(-1.01298701), array(-0.95904096), array(-0.97602398), array(-0.95504496), array(-0.98201798), array(-0.98901099)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[4.23741101 1.82183739 3.18029535 1.62651279 2.88109585 2.6029892
 3.14621583 2.70946614]",0.3433
6,gaussian,COBYLA,vanilla,False,True,6,5,D,389.2351608276367,65,"[array(-0.08541459), array(-0.04545455), array(-0.1013986), array(0.35014985), array(-0.27122877), array(-0.31918082), array(0.45404595), array(0.12037962), array(0.21128871), array(-0.15834166), array(0.17932068), array(-0.7027972), array(-0.13336663), array(-0.14935065), array(-0.58391608), array(0.02547453), array(-0.14635365), array(-0.8046953), array(-0.62487512), array(-0.03846154), array(-0.8996004), array(-0.69180819), array(-0.75774226), array(-0.45704296), array(-0.74775225), array(-0.41608392), array(-0.65384615), array(-0.29020979), array(-0.64585415), array(-0.88661339), array(-0.67782218), array(-0.81868132), array(-0.63886114), array(-0.92957043), array(-0.89160839), array(-0.68981019), array(-0.85564436), array(-0.81468531), array(-0.83866134), array(-0.89160839), array(-0.88161838), array(-0.88661339), array(-0.83266733), array(-0.92157842), array(-0.81368631), array(-0.88661339), array(-0.82567433), array(-0.83366633), array(-0.88561439), array(-0.81368631), array(-0.87362637), array(-0.89160839), array(-0.87862138), array(-0.87162837), array(-0.88061938), array(-0.87762238), array(-0.82867133), array(-0.92157842), array(-0.88561439), array(-0.82267732), array(-0.83866134), array(-0.89160839), array(-0.83166833), array(-0.85664336), array(-0.95654346)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.20934404 2.89558647 2.79922348 2.38817558 4.2633034  1.11507297
 3.695923   1.95798558 3.09614481 1.24432986 4.18289161 1.37604142]",0.6072000000000001
7,gaussian,COBYLA,vanilla,False,True,6,5,B,407.72390842437744,65,"[array(0.28071928), array(0.51848152), array(0.31468531), array(0.19280719), array(-0.24275724), array(0.81018981), array(0.53646354), array(0.43656344), array(0.45254745), array(0.41258741), array(0.16883117), array(-0.54645355), array(-0.57042957), array(0.42457542), array(-0.17482517), array(0.6023976), array(-0.2027972), array(-0.02097902), array(0.37262737), array(-0.32067932), array(0.81818182), array(-0.5044955), array(-0.3986014), array(-0.5024975), array(-0.24075924), array(-0.38661339), array(-0.47252747), array(-0.51848152), array(-0.52847153), array(-0.71028971), array(-0.64035964), array(-0.74025974), array(-0.72027972), array(-0.74025974), array(-0.5984016), array(-0.64035964), array(-0.69230769), array(-0.67232767), array(-0.5964036), array(-0.64635365), array(-0.67432567), array(-0.64235764), array(-0.65034965), array(-0.65634366), array(-0.65434565), array(-0.67232767), array(-0.68231768), array(-0.6963037), array(-0.66633367), array(-0.69030969), array(-0.69430569), array(-0.71828172), array(-0.68631369), array(-0.72027972), array(-0.74825175), array(-0.71428571), array(-0.71228771), array(-0.66833167), array(-0.65634366), array(-0.65434565), array(-0.68031968), array(-0.66833167), array(-0.69430569), array(-0.66433566), array(-0.68231768)]","[1, 1, 1, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.23718611 1.61823337 4.1998902  2.49892856 2.90483693 1.45713688
 3.2069835  1.62185604 2.96990862 1.25471048 4.34470637 2.42843968]",0.8753999999999998
8,gaussian,COBYLA,vanilla,False,True,6,5,k,376.23279643058777,62,"[array(-0.28871129), array(-0.76523477), array(-0.18981019), array(0.82517483), array(0.06093906), array(1.03896104), array(-0.52347652), array(0.04195804), array(1.63636364), array(0.74925075), array(0.67532468), array(-0.08391608), array(-0.75424575), array(-0.26173826), array(-0.87212787), array(-1.07192807), array(-1.47652348), array(-1.05394605), array(-1.52647353), array(-0.76323676), array(-1.52147852), array(-1.3976024), array(-1.45154845), array(-1.14385614), array(-1.41058941), array(-1.36563437), array(-1.50949051), array(-1.39260739), array(-1.34665335), array(-0.94505495), array(-1.40759241), array(-1.47452547), array(-1.43056943), array(-1.42257742), array(-1.56443556), array(-1.49450549), array(-1.53746254), array(-1.47752248), array(-1.46453546), array(-1.42757243), array(-1.5044955), array(-1.46553447), array(-1.55144855), array(-1.50949051), array(-1.47052947), array(-1.49050949), array(-1.45754246), array(-1.52647353), array(-1.5004995), array(-1.45854146), array(-1.5014985), array(-1.46353646), array(-1.5004995), array(-1.49250749), array(-1.56143856), array(-1.48251748), array(-1.54045954), array(-1.54245754), array(-1.47152847), array(-1.44655345), array(-1.52747253), array(-1.4955045)]","[1, 1, 0, 0, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[4.13226    1.31034674 2.85542432 1.12993565 3.22135332 1.50674484
 3.15844206 1.53641889 2.46611891 1.18642154 3.05308513 1.38554254]",0.7587
9,gaussian,COBYLA,vanilla,False,True,2,5,D,177.6989414691925,30,"[array(0.59090909), array(0.61088911), array(0.59290709), array(0.16633367), array(-0.495005), array(-0.24225774), array(-0.56693307), array(-0.51698302), array(-0.44105894), array(-0.497003), array(0.26123876), array(-0.43506494), array(-0.56493506), array(-0.54495504), array(-0.50899101), array(-0.71878122), array(-0.76973027), array(-0.75874126), array(-0.7017982), array(-0.83866134), array(-0.72377622), array(-0.74475524), array(-0.78571429), array(-0.76573427), array(-0.79370629), array(-0.71478521), array(-0.77872128), array(-0.77872128), array(-0.69280719), array(-0.72877123)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[2.93296256 1.05547708 4.18798036 2.88686566],0.5101
10,gaussian,COBYLA,vanilla,False,True,2,5,B,204.1649374961853,35,"[array(0.51848152), array(0.35464535), array(0.64235764), array(0.68231768), array(-0.23876124), array(1.11988012), array(-0.37462537), array(-0.11888112), array(0.16883117), array(-0.55644356), array(-0.11888112), array(-0.08891109), array(-0.35464535), array(-0.6043956), array(-0.59040959), array(-0.52447552), array(-0.39260739), array(-0.62637363), array(-0.47252747), array(-0.63236763), array(-0.59040959), array(-0.68831169), array(-0.70629371), array(-0.7022977), array(-0.72427572), array(-0.72627373), array(-0.7022977), array(-0.75024975), array(-0.74425574), array(-0.6983017), array(-0.77422577), array(-0.73826174), array(-0.72627373), array(-0.68231768), array(-0.77022977)]","[1, 0, 1, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[4.26571833 2.12361424 2.84295685 2.7271511 ],0.8795999999999999
11,gaussian,COBYLA,vanilla,False,True,2,5,k,141.94074988365173,24,"[array(0.09290709), array(0.17082917), array(0.03596404), array(0.16583417), array(-0.14085914), array(0.69130869), array(-0.08491508), array(-0.74825175), array(0.87112887), array(-0.66633367), array(-0.94305694), array(-0.64735265), array(-0.88411588), array(-0.69130869), array(-0.8011988), array(-0.91708292), array(-0.8951049), array(-0.91008991), array(-0.9030969), array(-0.89210789), array(-0.92807193), array(-0.92007992), array(-0.85114885), array(-0.85014985)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[2.88630075 1.89325539 3.03746122 2.51519037],0.32720000000000005
