,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,vanilla,True,False,1,9,D~{,7.5924952030181885,7,"[array(-2.4958842), array(-2.4958842), array(-2.4958842), array(-2.4958842), array(-2.4958842), array(-2.4958842), array(-2.4958842)]","[1, 1, 1, 0, 0, 0, 1, 1, 0]",8.033912627316202,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
1,gaussian,COBYLA,vanilla,True,False,1,5,HCrfZzf,0.8393125534057617,7,"[array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285), array(-1.15166285)]","[1, 0, 0, 0, 1]",3.6675854367021086,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,vanilla,True,False,3,9,D~{,29.688172817230225,19,"[array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732), array(-2.14214732)]","[0, 0, 0, 0, 0, 0, 1, 1, 1]",7.6801757424559725,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
3,gaussian,COBYLA,vanilla,True,False,3,5,HCrfZzf,3.658519983291626,19,"[array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579), array(-0.89329579)]","[0, 1, 1, 0, 0]",3.4092183822699647,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,vanilla,True,True,1,9,D~{,138.5538628101349,17,"[array(-2.41568614), array(-2.40072985), array(-2.4252359), array(-2.42420793), array(-2.41788689), array(-2.41024334), array(-2.38939734), array(-2.40069516), array(-2.36503508), array(-2.42013702), array(-2.3899049), array(-2.42500862), array(-2.41758428), array(-2.38787011), array(-2.39148412), array(-2.40661959), array(-2.4074174)]","[0, 1, 1, 1, 1, 1, 0, 0, 1]",8.215132111345993,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
5,gaussian,COBYLA,vanilla,True,True,1,5,HCrfZzf,130.13406944274902,16,"[array(-1.03062885), array(-1.05551798), array(-1.04553066), array(-1.05967008), array(-1.05046905), array(-1.04193913), array(-1.05484887), array(-1.04503705), array(-1.04551409), array(-1.07718138), array(-1.04689331), array(-1.04638902), array(-1.0465506), array(-1.03589401), array(-1.05128906), array(-1.05722553)]","[0, 1, 1, 1, 0]",3.6675854367021086,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,vanilla,True,True,3,9,D~{,307.88327836990356,46,"[array(-2.27403591), array(-2.25334772), array(-2.26580272), array(-2.25185179), array(-2.27983861), array(-2.21314115), array(-2.24868206), array(-2.2829944), array(-2.2485215), array(-2.26195656), array(-2.19653081), array(-2.27075945), array(-2.27097333), array(-2.26791507), array(-2.20544443), array(-2.2857157), array(-2.26314873), array(-2.23774751), array(-2.25750105), array(-2.29093152), array(-2.26050364), array(-2.24501946), array(-2.25733936), array(-2.29975057), array(-2.25918774), array(-2.26611509), array(-2.29985394), array(-2.26580364), array(-2.24404843), array(-2.2499842), array(-2.29867097), array(-2.18044531), array(-2.27120827), array(-2.29414369), array(-2.26651954), array(-2.31038637), array(-2.24267835), array(-2.28942425), array(-2.28401548), array(-2.30635109), array(-2.28116714), array(-2.29943672), array(-2.29061848), array(-2.26688943), array(-2.26156207), array(-2.28046522)]","[1, 0, 0, 0, 0, 0, 1, 1, 0]",8.215132111345993,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
7,gaussian,COBYLA,vanilla,True,True,3,5,HCrfZzf,271.65678572654724,39,"[array(-0.68261393), array(-0.69377879), array(-0.68752482), array(-0.69688765), array(-0.68791067), array(-0.6860948), array(-0.68715819), array(-0.67905647), array(-0.69981065), array(-0.6947583), array(-0.69610696), array(-0.68761514), array(-0.68690978), array(-0.70047036), array(-0.69132314), array(-0.69105788), array(-0.68961228), array(-0.69877313), array(-0.68619585), array(-0.68823408), array(-0.6928825), array(-0.69168716), array(-0.70512716), array(-0.6886809), array(-0.68429322), array(-0.69970349), array(-0.70011616), array(-0.67638091), array(-0.68932084), array(-0.70054028), array(-0.68607603), array(-0.69910423), array(-0.69086975), array(-0.69994384), array(-0.70159679), array(-0.69747522), array(-0.70301436), array(-0.69278354), array(-0.69082342)]","[1, 1, 0, 0, 0]",3.2969242815046744,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,vanilla,True,False,1,9,D~{,7.506775856018066,7,"[array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801), array(-2.78776801)]","[1, 0, 1, 0, 0, 0, 1, 1, 0]",8.32579643427331,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
9,gaussian,COBYLA,vanilla,True,False,1,5,HCrfZzf,1.1316990852355957,7,"[array(-0.40094411), array(-0.40094411), array(-0.40094411), array(-0.40094411), array(-0.40094411), array(-0.40094411), array(-0.40094411)]","[0, 0, 1, 1, 0]",2.916866700016039,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
