,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,12,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,142.03549337387085,5000,1.2958765699965997,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0]",5.92484001812052,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[4.14351301 1.56652015 3.51534658 1.58583929],0.014919325281122978,0,,,>>graph6<<KmzffJznl{hU
1,12,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,31.925642490386963,798,2.2331315147964843,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",10.210036411590513,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.14159265 1.57079633 3.92699128 1.55160915 3.15950687 1.57206921],8.474488110597616e-08,0,,,>>graph6<<KmzffJznl{hU
2,12,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,318.9960141181946,5000,2.2331315147964843,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",10.210036411590513,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[3.1451743  1.56675759 3.44608246 2.65028382 3.1372212  1.42652988
 3.34730251 1.60860109 2.96003265 1.41620437]",0.0002167643086261226,0,,,>>graph6<<KmzffJznl{hU
3,12,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,369.87306237220764,5000,1.2993013936928643,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.9404985561020265,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[ 4.13612718  3.04769402  3.00409673  2.95871501  4.5722849   1.54630962
  3.09883987 -0.43800479  3.82239716  1.95808978  2.81506657  2.50705096]",0.024457716157955046,0,,,>>graph6<<KmzffJznl{hU
4,12,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,28.65432572364807,1001,1.4813161392722909,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.772682942690512,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[2.39866822 1.48478714 3.11873757 2.8672138 ],0.0005868800726709159,0,,,>>graph6<<KmzffJznl{hU
5,12,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,193.8997085094452,5000,2.9416518085944885,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",13.449441681766777,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[4.71789162 0.78400751 4.70926937 0.56540332 2.57174772 1.3076712 ],2.5039183672681445e-06,0,,,>>graph6<<KmzffJznl{hU
6,12,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,310.4327037334442,5000,5.564845747416697,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",25.442871290626663,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[3.2613001  2.47733514 3.95003298 1.73564374 3.69051891 1.66800244
 2.7951075  1.57115899 2.88562634 1.64699324]",0.00018676492297357795,0,,,>>graph6<<KmzffJznl{hU
7,12,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,364.5036618709564,5000,1.1138425620578223,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",5.092567562652507,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[2.38031272 1.52012367 3.18827513 1.65140727 2.91539333 1.32218384
 3.13564895 2.63770022 3.99977221 1.43612176 3.53284368 2.98618638]",0.004582246315489459,0,,,>>graph6<<KmzffJznl{hU
8,12,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,140.7228763103485,5000,1.289828511045714,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",5.897187861631377,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[2.57820578 3.20020393 2.80574029 0.97203182],0.0015526576872616988,0,,,>>graph6<<KmzffJznl{hU
9,12,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,199.75953269004822,5000,2.2331315147964843,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",10.210036411590513,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[4.71240987 2.35631861 4.71915668 1.76370475 4.51951938 1.53157856],0.00048032912381345026,0,,,>>graph6<<KmzffJznl{hU
