param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
uniform,COBYLA,vanilla,False,True,1,9,H?r@fR],115.74744153022766,17,"[array(0.36632064), array(-0.48752319), array(0.24556947), array(0.48273642), array(-0.20256164), array(0.01575851), array(-0.57898837), array(-0.25314939), array(-0.54171343), array(-0.5352557), array(-0.55983948), array(-0.5913959), array(-0.52798526), array(-0.60623407), array(-0.58002534), array(-0.55845254), array(-0.59420375)]","[0, 1, 1, 1, 0, 1, 0, 1, 0]",4.997786960885928,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
uniform,COBYLA,vanilla,False,True,1,9,HCQeLr~,127.45948815345764,20,"[array(0.00864903), array(-0.27409394), array(0.28813307), array(-0.17333723), array(-0.27565762), array(-0.04794645), array(-0.30662689), array(-0.05788271), array(-0.27083179), array(-0.21588028), array(-0.18149552), array(-0.27204636), array(-0.36794906), array(-0.25455439), array(-0.36892597), array(-0.33091487), array(-0.31987932), array(-0.32071849), array(-0.2906612), array(-0.37330652)]","[0, 1, 0, 1, 0, 1, 0, 0, 0]",5.71109534004173,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
uniform,COBYLA,vanilla,False,True,1,9,H?qlvNx,127.54619073867798,21,"[array(1.27699369), array(0.47214835), array(0.14896672), array(-0.10233807), array(-0.18343261), array(0.04809355), array(-0.03385289), array(-0.24092443), array(-0.14982771), array(-0.17793464), array(-0.13806381), array(-0.17205402), array(-0.2919028), array(-0.32001717), array(-0.15417498), array(-0.31894509), array(-0.24455863), array(-0.31179644), array(-0.26270247), array(-0.26504746), array(-0.20768799)]","[1, 0, 0, 1, 0, 1, 0, 0, 0]",4.764328352500795,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
uniform,COBYLA,vanilla,False,True,1,9,HCQbQuv,122.04568696022034,19,"[array(0.75335203), array(-0.8886448), array(-0.53406179), array(1.76904722), array(0.37131586), array(0.04914862), array(-0.76731889), array(-1.01288967), array(-0.82186341), array(-0.83687427), array(-1.01745488), array(-0.97197784), array(-1.04260228), array(-1.09598088), array(-1.08461094), array(-1.04796048), array(-1.04742106), array(-1.10061901), array(-1.060737)]","[1, 1, 1, 0, 0, 1, 0, 1, 0]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
uniform,COBYLA,vanilla,False,True,1,9,HCrfZzf,113.81095719337463,18,"[array(-0.79377768), array(1.78993394), array(-0.46454724), array(0.69756219), array(1.6432999), array(-0.90769386), array(-0.89692893), array(0.39404218), array(-0.47770864), array(-1.01956176), array(-1.12115822), array(-1.00495213), array(-1.03975121), array(-1.02100011), array(-1.05407752), array(-1.08050661), array(-1.05049101), array(-1.09149774)]","[1, 0, 0, 0, 0, 0, 1, 1, 0]",8.215132111345993,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
uniform,COBYLA,vanilla,False,True,1,9,H?qbDo~,116.90876626968384,18,"[array(-0.12969566), array(-0.01711963), array(-0.00435204), array(0.48097154), array(-0.40320118), array(-0.58981111), array(1.50855332), array(-1.00933791), array(-0.50673219), array(-1.21230111), array(-1.04367568), array(-0.93045943), array(-1.15135265), array(-1.17210542), array(-1.1394873), array(-1.17000839), array(-1.14035167), array(-1.09978683)]","[0, 0, 0, 0, 1, 1, 1, 1, 0]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
uniform,COBYLA,vanilla,False,True,1,9,H?`cnd},128.61313700675964,20,"[array(1.07652661), array(-0.0815735), array(-0.07524177), array(-0.08996098), array(-0.76902223), array(-0.98838287), array(1.45495276), array(-0.96607522), array(-0.99212186), array(-0.82380807), array(-1.17028611), array(-1.00217702), array(-1.12617909), array(-1.18787957), array(-1.2184881), array(-1.1784644), array(-1.12700786), array(-1.1309565), array(-1.16816319), array(-1.18158892)]","[1, 0, 0, 0, 0, 1, 0, 1, 1]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
uniform,COBYLA,vanilla,False,True,1,9,H?`cv`z,101.63028216362,16,"[array(-0.12891752), array(0.23825066), array(0.09741945), array(-0.01670751), array(0.06354514), array(-0.05708965), array(-0.05108967), array(0.04622058), array(-0.13304103), array(-0.05590193), array(-0.09039434), array(-0.1339722), array(-0.07159859), array(-0.11389675), array(-0.15577172), array(-0.03561525)]","[1, 0, 0, 0, 1, 0, 0, 0, 1]",5.069965203521346,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
uniform,COBYLA,vanilla,False,True,1,9,H?bFUi~,116.30960941314697,19,"[array(-0.01000635), array(-0.52471562), array(-0.27675469), array(1.45322756), array(-0.53383299), array(-0.92411857), array(-1.34610787), array(-1.2842), array(-1.10261724), array(-0.98785142), array(-1.1210131), array(-1.33773648), array(-1.33588737), array(-1.37087856), array(-1.21342041), array(-1.3403452), array(-1.23674018), array(-1.27727115), array(-1.2429731)]","[1, 0, 0, 0, 0, 0, 1, 1, 1]",7.764171831922256,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
uniform,COBYLA,vanilla,False,True,1,9,HCQTefs,109.67917084693909,18,"[array(-0.36945218), array(0.14665185), array(-0.26796993), array(0.60389715), array(0.11183601), array(-0.04869529), array(-0.24000099), array(-0.40880774), array(-0.52570592), array(-0.71245147), array(-0.68053931), array(-0.66732128), array(-0.58004555), array(-0.61327229), array(-0.6234279), array(-0.65223668), array(-0.63490553), array(-0.60988753)]","[0, 1, 0, 0, 0, 1, 1, 0, 1]",5.7371924689203775,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
