,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,51.80825424194336,5000,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[4.21843596 3.31538739 2.92629752 1.3249059 ],0.01423689453784261,0,,,>>graph6<<Hh_iS_u
1,9,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,70.46865844726562,5000,2.200514141561844,"[1, 0, 1, 1, 0, 1, 1, 1, 1]",5.330565202465063,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.10720561 3.21818708 3.6760549  1.74071736 3.61452627 1.26956113],0.01844460551656998,0,,,>>graph6<<Hh_iS_u
2,9,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,107.6850733757019,5000,1.7538356253760075,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.2485230968965135,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.11612375 1.57340227 3.31977802 1.55055737 4.00669698 1.90589146
 3.04493133 1.83007333 3.56444801 2.20790901]",7.616581078158046e-05,0,,,>>graph6<<Hh_iS_u
3,9,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,133.4364926815033,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.6302821  1.38788125 3.28329492 1.65170422 3.02195812 1.53796796
 2.96780318 2.09023738 3.57299224 1.1155377  3.96342429 1.17545503]",0.07773852404915566,0,,,>>graph6<<Hh_iS_u
4,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,52.55910921096802,5000,1.7538356253760075,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.2485230968965135,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.15107345 2.60654719 4.27933371 1.70440639],0.0009118971679696877,0,,,>>graph6<<Hh_iS_u
5,9,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,12.900426864624023,918,1.403990839009438,"[1, 0, 1, 0, 1, 1, 1, 1, 1]",3.4010527674643916,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.72884374 1.93493613 4.47277716 3.02763801 3.81995889 0.31546374],0.007832734415995826,0,,,>>graph6<<Hh_iS_u
6,9,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,108.96829676628113,5000,1.3683373069850076,"[0, 1, 1, 1, 1, 0, 1, 0, 1]",3.3146850075101155,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.11245645 1.10289697 3.11367439 1.44532887 3.29334555 2.69750678
 3.32415283 1.74083972 3.92014891 1.77615274]",0.00804470185223708,0,,,>>graph6<<Hh_iS_u
7,9,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,124.46553802490234,5000,1.3683373069850076,"[0, 1, 1, 1, 1, 0, 1, 0, 1]",3.3146850075101155,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.13926431 2.60946889 2.94523503 1.530557   3.3189613  1.3965472
 4.44865615 1.63156601 3.02018922 1.68010591 4.38090088 1.64957787]",0.013809019109871824,0,,,>>graph6<<Hh_iS_u
8,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,3.0314409732818604,293,1.6368006941170803,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",3.9650155655161727,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.67441507 1.69511276 2.95993765 2.69001549],0.0035151758794668246,0,,,>>graph6<<Hh_iS_u
9,9,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,70.47390508651733,5000,2.207899375084989,"[1, 1, 0, 1, 1, 1, 1, 0, 0]",5.348455325544489,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.15172493 1.57724062 3.92653107 1.93431878 2.83914618 1.51140242],2.892031521599203e-08,0,,,>>graph6<<Hh_iS_u
10,9,statevector,gaussian,vanilla,COBYLA,False,8,minvertexcover,5000,1e-08,2,169.31352615356445,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.21236964 1.69692169 3.06283816 1.63437681 3.06594257 1.56171323
 3.00141436 1.53151244 2.89232708 2.0632987  2.79336554 1.96038775
 3.50949095 2.20773617 4.5422233  1.10851153]",0.11454497612193114,0,,,>>graph6<<Hh_iS_u
11,9,statevector,gaussian,vanilla,COBYLA,False,9,minvertexcover,5000,1e-08,2,186.48834323883057,5000,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.15657133 1.55807428 3.2408378  1.49340909 3.13163466 1.57772464
 2.86959848 2.93822876 3.30327288 1.24580459 3.11542541 1.59672987
 3.20602047 1.46856851 3.24619726 1.48336514 3.507825   2.19482624]",0.007488877306814554,0,,,>>graph6<<Hh_iS_u
12,9,statevector,gaussian,vanilla,COBYLA,False,8,minvertexcover,5000,1e-08,2,161.8304147720337,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.65240501 1.67028692 3.18821881 1.9521464  3.33259757 1.48612961
 3.08450525 1.42755304 3.13501047 1.09173643 3.81554722 2.25578282
 2.76350662 1.57898749 3.65535502 2.33720969]",0.08576726616598869,0,,,>>graph6<<Hh_iS_u
13,9,statevector,gaussian,vanilla,COBYLA,False,9,minvertexcover,5000,1e-08,2,183.69144558906555,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.2272555  1.77386029 3.18727561 1.51072432 2.92562809 1.77046087
 3.28899234 1.60526504 3.29783304 3.05052761 2.79538694 1.7021874
 3.19501318 1.81196493 3.52622951 1.41963414 3.21847809 2.44126956]",0.2019471315824862,0,,,>>graph6<<Hh_iS_u
14,9,statevector,gaussian,vanilla,COBYLA,False,5,minvertexcover,5000,1e-08,2,106.59031105041504,5000,2.207899375084989,"[1, 1, 0, 1, 1, 1, 1, 0, 0]",5.348455325544489,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.14801445 1.57055647 2.49101448 2.00007097 3.35944599 1.90015934
 2.99155759 1.49585037 2.4553069  2.8506133 ]",0.0002355833481924465,0,,,>>graph6<<Hh_iS_u
15,9,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,123.89854335784912,5000,1.7538356253760075,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.2485230968965135,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.11721728 1.57438227 3.15054816 2.31891892 4.66553082 1.8622221
 3.89966895 1.30532525 2.74327071 1.48869326 4.06005852 1.86525081]",6.831954190943753e-06,0,,,>>graph6<<Hh_iS_u
16,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,37.77981781959534,3729,1.6368006941170803,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",3.9650155655161727,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.54722496 3.37619934 3.12674551 3.7898943 ],0.002703557703226902,0,,,>>graph6<<Hh_iS_u
17,9,statevector,gaussian,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,72.21863436698914,5000,2.207899375084989,"[1, 1, 0, 1, 1, 1, 1, 0, 0]",5.348455325544489,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.14328521 1.57129844 3.92696395 1.70892928 3.06404656 1.51021418],2.1765547845833595e-09,0,,,>>graph6<<Hh_iS_u
18,9,statevector,gaussian,vanilla,COBYLA,False,6,minvertexcover,5000,1e-08,2,75.4074637889862,2910,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.59998533 1.38278981 2.95516837 1.6544105  3.27832337 1.70603532
 2.94103054 1.85754717 2.69466135 1.66324771 2.50652417 2.32446378]",0.12912974247033915,0,,,>>graph6<<Hh_iS_u
19,9,statevector,gaussian,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,1.6958088874816895,152,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.06098143 1.37573997 3.13962636 0.93308547],0.0007699155993176723,0,,,>>graph6<<Hh_iS_u
20,9,statevector,gaussian,vanilla,COBYLA,False,8,minvertexcover,5000,1e-08,2,162.6079707145691,5000,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.1432828  1.69607422 3.07873836 1.33844866 3.29415102 1.49738341
 3.22523917 1.44942102 2.95679822 1.83072207 4.10197829 1.15897546
 3.47707541 1.99951992 3.5098131  2.96426238]",0.09901825060529817,0,,,>>graph6<<Hh_iS_u
21,9,statevector,gaussian,vanilla,COBYLA,False,9,minvertexcover,5000,1e-08,2,184.58984565734863,5000,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.70562351 3.08701572 4.75743581 1.58528303 3.16624656 1.60621771
 4.13813005 1.47124661 2.95914823 1.28657251 2.87912605 1.91114632
 2.99136491 1.26970551 3.14204199 1.99265794 2.95700201 2.25982041]",0.01556066254779927,0,,,>>graph6<<Hh_iS_u
