,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.5058469772338867,73,1.7941706808734268,"[1, 1, 1, 1, 1, 1]",4.528353764313619,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[5.79433307 0.29565475],0.038726395269781035,0,,,>>graph6<<Emz_
1,9,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.4641540050506592,101,1.5710182561075887,"[1, 1, 1, 0, 0, 0, 1, 0, 1]",4.82569851039222,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.62756474 2.70744936],0.0,0,,,>>graph6<<HmzffJz
2,12,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.6311707496643066,202,1.289828511045714,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",5.897187861631377,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[5.71875783 2.80542636],0.0007698828574385128,0,,,>>graph6<<KmzffJznl{hU
3,9,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.4460561275482178,66,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.63681075 0.31642062],0.0074611961734689265,0,,,>>graph6<<Hh_iS_u
4,6,statevector,uniform,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,1.8678879737854004,447,1.7941706808734268,"[1, 1, 1, 1, 1, 1]",4.528353764313619,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[5.77598074 2.90619387 0.20224652 0.48831211],0.047504075745558906,0,,,>>graph6<<Emz_
5,9,statevector,uniform,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,2.172081470489502,249,1.7047152381897241,"[0, 1, 1, 1, 1, 1, 0, 1, 1]",5.236375677744954,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[1.57120473 3.92699849 5.14527641 1.13792648],0.0,0,,,>>graph6<<HmzffJz
6,9,statevector,uniform,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,12.737426519393921,2086,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[1.65012336 2.09588468 6.29631923 3.35290468],0.0024710644927619127,0,,,>>graph6<<Hh_iS_u
7,6,statevector,uniform,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,13.96477222442627,2532,1.4782248416467056,"[0, 1, 1, 1, 1, 1]",3.7309298928650803,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[ 4.24253156  1.38241279  6.45548432  0.22939234 -0.49800901  1.8766279 ],0.05231582567967303,0,,,>>graph6<<Emz_
8,6,statevector,uniform,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,10.40485954284668,1545,1.4782248416467056,"[0, 1, 1, 1, 1, 1]",3.7309298928650803,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[0.49601948 1.8745683  2.28406034 2.32164295 2.48762667 1.58618708
 2.12357465 2.7515347 ]",0.008196237218689888,0,,,>>graph6<<Emz_
9,9,statevector,uniform,vanilla,COBYLA,False,4,minvertexcover,5000,1e-08,2,16.062370777130127,1263,1.4257569139911976,"[1, 1, 1, 0, 0, 0, 0, 1, 1]",4.3794990855647615,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[0.99456927 0.41120118 3.82541184 1.86628512 5.23549461 2.69930229
 5.91418288 0.7356091 ]",0.0,0,,,>>graph6<<HmzffJz
