,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,COBYLA,vanilla,False,False,1,9,H?r@fR],8.652689218521118,20,"[array(0.95639355), array(-0.44900556), array(0.25640423), array(0.45747859), array(0.74101547), array(-0.56904687), array(-0.50522597), array(-0.13718576), array(-0.47216911), array(-0.50890211), array(-0.597552), array(-0.64589607), array(-0.57599568), array(-0.59422845), array(-0.52593097), array(-0.58316994), array(-0.54653029), array(-0.60041307), array(-0.66336613), array(-0.53846477)]","[1, 0, 0, 0, 1, 0, 1, 0, 1]",4.997786960885928,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,uniform,COBYLA,vanilla,False,False,1,9,HCQeLr~,8.00666880607605,18,"[array(0.72003606), array(-0.94703099), array(-1.06758351), array(0.91542139), array(0.89189133), array(-0.71543257), array(-0.97109463), array(-0.68561475), array(-1.05932891), array(-1.25291617), array(-1.33719757), array(-1.23483529), array(-1.36112932), array(-1.33748328), array(-1.31910885), array(-1.30896659), array(-1.33329001), array(-1.31277095)]","[1, 0, 1, 1, 1, 0, 1, 0, 0]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,uniform,COBYLA,vanilla,False,False,1,9,H?qlvNx,11.31833791732788,23,"[array(0.98817744), array(-0.21871864), array(0.00404667), array(-0.07735451), array(1.23687179), array(-0.76905829), array(-0.3634426), array(-0.91969521), array(-1.33849078), array(-0.8008509), array(-1.44884287), array(-1.13771668), array(-1.54174317), array(-1.3576895), array(-1.57886814), array(-1.48903285), array(-1.54326419), array(-1.55926969), array(-1.58605398), array(-1.57406557), array(-1.51660018), array(-1.66389228), array(-1.52664198)]","[1, 1, 0, 0, 0, 1, 1, 0, 1]",10.185457194060403,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,uniform,COBYLA,vanilla,False,False,1,9,HCQbQuv,8.98782229423523,20,"[array(1.72137061), array(0.48711644), array(0.18003757), array(-0.41473726), array(0.30408677), array(-0.73478609), array(0.46756899), array(0.57940763), array(-0.26649102), array(-0.72146563), array(-0.69096357), array(-0.74308654), array(-0.71543544), array(-0.73339018), array(-0.67437393), array(-0.70794866), array(-0.67389346), array(-0.76999374), array(-0.62809377), array(-0.73486735)]","[0, 0, 0, 1, 1, 0, 1, 0, 1]",7.5035177858151965,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,uniform,COBYLA,vanilla,False,False,1,9,HCrfZzf,16.081679582595825,26,"[array(-0.09945119), array(0.4627432), array(0.05834889), array(-0.09358711), array(0.62081442), array(-0.30267643), array(-0.10857395), array(-0.42917391), array(-0.61280688), array(-0.62580406), array(-0.85005119), array(-0.8572936), array(-0.882004), array(-0.98602961), array(-1.07990511), array(-1.16182391), array(-0.98951083), array(-1.12814315), array(-1.13490073), array(-1.10589961), array(-1.16960945), array(-1.13878809), array(-1.12287042), array(-1.12085736), array(-1.19100363), array(-1.1966867)]","[0, 1, 0, 1, 1, 1, 0, 0, 1]",8.32579643427331,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,uniform,COBYLA,vanilla,False,False,1,9,H?qbDo~,7.37096381187439,17,"[array(-1.20151759), array(0.99654692), array(-0.88672889), array(1.06051988), array(0.57664723), array(-0.47233365), array(-1.07170123), array(-0.7650693), array(-1.08693716), array(-1.1847593), array(-1.24870246), array(-1.27426178), array(-1.23150342), array(-1.27256883), array(-1.21698653), array(-1.26446901), array(-1.18908249)]","[1, 1, 1, 1, 0, 0, 0, 0, 1]",7.74764404835377,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,uniform,COBYLA,vanilla,False,False,1,9,H?`cnd},7.434852600097656,17,"[array(-1.19711871), array(1.12964512), array(-0.65458234), array(0.78935855), array(0.54595471), array(-0.45496242), array(-1.28638484), array(-0.98501229), array(-1.14490287), array(-1.27091389), array(-1.36632159), array(-1.31664641), array(-1.23258117), array(-1.30118914), array(-1.29753872), array(-1.30035201), array(-1.30539216)]","[0, 1, 1, 1, 1, 0, 1, 0, 0]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,uniform,COBYLA,vanilla,False,False,1,9,H?`cv`z,7.64801549911499,18,"[array(0.07922836), array(0.37900578), array(0.55718346), array(-1.06484985), array(0.0382572), array(0.98035306), array(-1.21031427), array(-0.50199258), array(-1.02785455), array(-1.24695081), array(-1.19618122), array(-1.14991707), array(-1.21293717), array(-1.26972567), array(-1.23752209), array(-1.24085048), array(-1.18184742), array(-1.23567909)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.4253265294692685,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,uniform,COBYLA,vanilla,False,False,1,9,H?bFUi~,7.07495641708374,16,"[array(-0.55211861), array(0.15794503), array(0.04385425), array(1.44617102), array(0.25493071), array(-0.31988148), array(-0.40878982), array(-0.48371392), array(-0.46898352), array(-0.51457188), array(-0.5790533), array(-0.50014503), array(-0.50906564), array(-0.41057531), array(-0.46847877), array(-0.4957391)]","[0, 0, 0, 0, 0, 1, 1, 1, 0]",6.868969977038627,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,uniform,COBYLA,vanilla,False,False,1,9,HCQTefs,12.876019477844238,25,"[array(-0.60303451), array(-0.22012698), array(-0.43608199), array(0.45137532), array(-0.61387445), array(-0.29166278), array(-0.25171177), array(-0.51975776), array(-0.37405926), array(-0.88848389), array(-1.09806058), array(-1.22423662), array(-1.06400061), array(-1.25899413), array(-1.31655574), array(-1.34836767), array(-1.12976209), array(-1.19907867), array(-1.2757996), array(-1.31718319), array(-1.38006941), array(-1.3025245), array(-1.27057026), array(-1.25952322), array(-1.30495279)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
