,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,COBYLA,vanilla,False,False,3,9,H?r@fR],11.464094400405884,32,"[array(-0.45739381), array(0.37607055), array(-0.04847171), array(-0.54364542), array(-0.01167105), array(-0.09899154), array(-0.17820397), array(0.32186089), array(0.47424722), array(0.04749086), array(-0.38615766), array(-0.71559378), array(-0.51044463), array(-0.66102822), array(-0.60142418), array(-0.38451057), array(-0.51391178), array(-0.49558684), array(-0.5769805), array(-0.69428741), array(-0.64411904), array(-0.67951897), array(-0.66997639), array(-0.696351), array(-0.57601679), array(-0.60750532), array(-0.65621922), array(-0.6255914), array(-0.67470498), array(-0.66251299), array(-0.62618501), array(-0.61937689)]","[1, 1, 0, 0, 1, 0, 1, 0, 0]",7.291572586098402,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
1,uniform,COBYLA,vanilla,False,False,3,9,HCQeLr~,32.36728382110596,65,"[array(-0.25407474), array(0.02615575), array(-0.16598454), array(0.0929544), array(0.05637728), array(-0.21453351), array(-0.1907814), array(0.57302828), array(0.14687806), array(-0.24301729), array(-0.20383927), array(-0.31754713), array(-0.12545562), array(-0.28236142), array(-0.38297533), array(0.02060966), array(-0.47968589), array(-1.15771649), array(-1.25585766), array(-1.317486), array(-1.3048889), array(-1.59235806), array(-1.58696781), array(-1.64235274), array(-1.35530765), array(-1.33613218), array(-1.74131373), array(-1.7155745), array(-1.80572853), array(-1.90583783), array(-1.78821504), array(-2.01776728), array(-2.04468881), array(-1.95043904), array(-2.02699834), array(-2.02587757), array(-2.21062274), array(-1.8676105), array(-2.20408253), array(-2.07087921), array(-2.21138911), array(-2.1785956), array(-2.17529522), array(-2.16491101), array(-2.11837836), array(-2.26943784), array(-2.32074289), array(-2.29548027), array(-2.35709981), array(-2.28274977), array(-2.29560909), array(-2.26192174), array(-2.23287789), array(-2.30135364), array(-2.37633791), array(-2.33763406), array(-2.30697901), array(-2.31723802), array(-2.28848275), array(-2.27120475), array(-2.27739569), array(-2.25408024), array(-2.25374312), array(-2.28080628), array(-2.2523853)]","[1, 0, 1, 1, 1, 0, 1, 0, 0]",7.982304028200669,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
2,uniform,COBYLA,vanilla,False,False,3,9,H?qlvNx,30.405622720718384,60,"[array(0.13238505), array(0.77405129), array(-0.50656765), array(-0.4886068), array(-0.16564684), array(-0.61567021), array(-0.41381554), array(-0.16834921), array(-0.5052444), array(-0.80565948), array(-0.51504448), array(-0.42302548), array(-0.00068024), array(-0.77377587), array(-1.04767277), array(-1.41708196), array(-0.94862967), array(-1.36903717), array(-1.43912683), array(-1.41946469), array(-1.23848253), array(-1.364576), array(-1.45351643), array(-1.48267778), array(-1.49279848), array(-1.49021498), array(-1.43620153), array(-1.43632912), array(-1.47639381), array(-1.51734471), array(-1.42634936), array(-1.50404761), array(-1.52708978), array(-1.60617898), array(-1.6054365), array(-1.60968999), array(-1.6472865), array(-1.64435495), array(-1.6232304), array(-1.58487036), array(-1.65947204), array(-1.62053377), array(-1.61091552), array(-1.60445635), array(-1.58599427), array(-1.57759759), array(-1.58963864), array(-1.58914521), array(-1.66106872), array(-1.57737212), array(-1.62219268), array(-1.62497494), array(-1.60424012), array(-1.55299317), array(-1.61692707), array(-1.57487883), array(-1.57974666), array(-1.67956474), array(-1.60845798), array(-1.68187811)]","[0, 0, 1, 1, 1, 0, 0, 1, 0]",10.185457194060403,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
3,uniform,COBYLA,vanilla,False,False,3,9,HCQbQuv,13.64163613319397,37,"[array(0.28845961), array(-0.02984419), array(0.07781332), array(0.96137056), array(-0.01979542), array(-0.14907985), array(-0.06581161), array(0.98907976), array(0.07861254), array(-0.29142341), array(0.78358797), array(-0.32623021), array(1.03424202), array(-0.2418275), array(0.05450664), array(-0.25534447), array(1.08731861), array(0.13636257), array(-0.28297725), array(-0.29363241), array(-0.1999953), array(-0.34245141), array(-0.30259182), array(-0.31491039), array(-0.27159943), array(-0.31843932), array(-0.28266162), array(-0.24740257), array(-0.20391075), array(-0.29890288), array(-0.29029056), array(-0.35958362), array(-0.29721028), array(-0.35285448), array(-0.26380856), array(-0.34513223), array(-0.34791573)]","[1, 0, 1, 1, 1, 0, 0, 0, 1]",4.99784272226065,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
4,uniform,COBYLA,vanilla,False,False,3,9,HCrfZzf,19.29025912284851,43,"[array(0.01680179), array(-0.29015938), array(-0.3233232), array(0.00463874), array(-0.20728526), array(-0.32020348), array(-0.08933918), array(0.06646416), array(0.68542454), array(-1.00349387), array(-0.98878711), array(-1.06090622), array(-0.87945521), array(-1.03295929), array(-0.80136328), array(-0.92282081), array(-0.47143444), array(-1.08690061), array(-0.65840319), array(-0.98221981), array(-1.09429727), array(-1.0330805), array(-1.00977115), array(-1.12435536), array(-1.15307464), array(-1.09018516), array(-0.98213667), array(-1.18446346), array(-1.14413997), array(-1.1671264), array(-1.22243373), array(-1.20771613), array(-1.14684785), array(-1.09757544), array(-1.12696297), array(-1.10849291), array(-1.12356706), array(-1.10011281), array(-1.12195607), array(-1.18501896), array(-1.11148919), array(-1.13297038), array(-1.16491364)]","[0, 0, 0, 1, 0, 0, 1, 1, 1]",7.776929729244643,"[0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0]",8.32579643427331
5,uniform,COBYLA,vanilla,False,False,3,9,H?qbDo~,14.503539323806763,40,"[array(-0.15197517), array(0.01977043), array(-0.06541066), array(0.02147296), array(0.23084345), array(-0.18339337), array(0.10876954), array(0.1086988), array(-0.12364209), array(-0.11276921), array(0.02471698), array(-0.2206373), array(-0.20068124), array(-0.17306388), array(-0.21914482), array(-0.26008263), array(-0.06409318), array(-0.30047227), array(-0.16789876), array(-0.12510119), array(-0.33458171), array(-0.30635073), array(-0.31731798), array(-0.28420278), array(-0.32448269), array(-0.29260141), array(-0.27283731), array(-0.33219281), array(-0.2562941), array(-0.31929602), array(-0.3497011), array(-0.33053938), array(-0.31284137), array(-0.33192447), array(-0.28452431), array(-0.34369058), array(-0.31599003), array(-0.29557902), array(-0.27863418), array(-0.31072188)]","[0, 0, 0, 0, 1, 0, 0, 1, 1]",5.835280881087506,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
6,uniform,COBYLA,vanilla,False,False,3,9,H?`cnd},21.10637879371643,49,"[array(0.27121127), array(0.20082401), array(-0.34266081), array(0.02147958), array(0.47618917), array(-0.29423644), array(-0.3656703), array(0.77256973), array(-0.38364629), array(0.30941858), array(-0.91765393), array(-0.53604727), array(-0.88463838), array(0.00708785), array(-0.93273526), array(-1.15612932), array(-0.00124706), array(-0.82059999), array(-0.87227134), array(-1.27813213), array(-0.88699972), array(-1.30052895), array(-0.83055824), array(-1.25552436), array(-0.42463877), array(-1.30208175), array(-1.26438087), array(-1.27391807), array(-1.17798046), array(-1.13597367), array(-1.24951025), array(-1.13177786), array(-1.27759294), array(-1.31209206), array(-1.31189852), array(-1.28020038), array(-1.29819117), array(-1.26767673), array(-1.37311915), array(-1.29047898), array(-1.32115214), array(-1.30290625), array(-1.35016244), array(-1.24301015), array(-1.32135393), array(-1.23340819), array(-1.29205504), array(-1.30646312), array(-1.35221556)]","[1, 0, 0, 0, 0, 1, 0, 1, 1]",8.347116070076549,"[0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",8.347116070076549
7,uniform,COBYLA,vanilla,False,False,3,9,H?`cv`z,13.72626805305481,39,"[array(0.78053353), array(0.0698314), array(0.32526329), array(0.30187766), array(0.03211896), array(-0.02018235), array(-0.0059142), array(0.19230318), array(0.12349152), array(-0.09786892), array(-0.13998814), array(0.29830451), array(-0.19166909), array(-0.0231617), array(-0.17431874), array(-0.03115452), array(-0.12738736), array(0.0712175), array(-0.07305026), array(-0.00604693), array(-0.18248078), array(-0.05655287), array(-0.1117281), array(-0.12297921), array(-0.14161512), array(-0.13072825), array(-0.07923681), array(-0.08513553), array(-0.21379517), array(-0.15153504), array(-0.06862528), array(-0.15356296), array(-0.14305109), array(-0.04125629), array(-0.0548487), array(-0.13735233), array(-0.07808368), array(-0.13801658), array(-0.09344839)]","[0, 0, 0, 0, 1, 1, 1, 1, 1]",5.775322317750123,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
8,uniform,COBYLA,vanilla,False,False,3,9,H?bFUi~,16.004734992980957,41,"[array(-0.08700385), array(0.54537434), array(0.05550906), array(-0.02871607), array(0.08773726), array(0.11394679), array(0.22695456), array(0.00198783), array(0.55007533), array(-0.39991117), array(-0.3495582), array(-0.56707879), array(-0.40667798), array(-0.56358077), array(-0.99342953), array(-1.0679392), array(-1.00721708), array(-1.28317777), array(-1.26490237), array(-1.43840325), array(-1.25946046), array(-1.58565668), array(-0.7232184), array(-1.52583409), array(-0.91526304), array(-1.50781746), array(-1.54465125), array(-1.46685015), array(-1.53029939), array(-1.49671586), array(-1.46321327), array(-1.52415444), array(-1.49986421), array(-1.54598122), array(-1.57797785), array(-1.47183138), array(-1.50400527), array(-1.54882105), array(-1.52136309), array(-1.5425322), array(-1.54685469)]","[0, 1, 1, 1, 1, 1, 0, 0, 0]",7.764171831922256,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
9,uniform,COBYLA,vanilla,False,False,3,9,HCQTefs,24.03443694114685,56,"[array(-0.11455776), array(-0.28084253), array(0.99246353), array(-0.07553384), array(0.13746757), array(0.18878253), array(-0.36656085), array(0.66447116), array(0.40755704), array(-0.3021909), array(-0.40574891), array(-0.35101735), array(-0.26308502), array(-0.45470247), array(-0.34751236), array(-0.29220557), array(-0.29230227), array(-0.36080848), array(-0.51128951), array(-0.65999926), array(-0.76309622), array(-0.80684288), array(-0.73265348), array(-0.82843354), array(-0.85519916), array(-0.8806047), array(-0.71096235), array(-0.91890072), array(-0.98725062), array(-1.02641833), array(-0.96606519), array(-1.08771463), array(-1.06384442), array(-1.12694224), array(-1.18948847), array(-1.12802374), array(-1.02303093), array(-1.04621675), array(-1.05699541), array(-1.23522074), array(-1.30390155), array(-1.33594234), array(-1.29421541), array(-1.43008185), array(-1.35973979), array(-1.36761202), array(-1.31396027), array(-1.36196321), array(-1.35213281), array(-1.41190734), array(-1.3618799), array(-1.2868085), array(-1.29039645), array(-1.35033911), array(-1.31351014), array(-1.29528646)]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",7.2189069773577765,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
