,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.19185853004455566,72,1.7941706808734268,"[1, 1, 1, 1, 1, 1]",4.528353764313619,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.6527404  0.29565474],0.03872639458087141,0,,,>>graph6<<Emz_
1,9,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.941523551940918,104,1.5710182561075887,"[1, 1, 1, 0, 0, 0, 1, 0, 1]",4.82569851039222,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[2.62756471 2.70744937],0.0,0,,,>>graph6<<HmzffJz
2,12,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,1.4421696662902832,178,2.514320396278524,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",11.495652014363321,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[0.43962542 0.54557547],0.0006191954157560505,0,,,>>graph6<<KmzffJznl{hU
3,9,statevector,uniform,vanilla,COBYLA,False,1,minvertexcover,5000,1e-08,2,0.28209352493286133,75,1.0,"[1, 0, 1, 0, 1, 0, 0, 1, 1]",2.4224180621178033,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[5.86636627 3.89273531],0.04678674972166329,0,,,>>graph6<<Hh_iS_u
4,6,statevector,uniform,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,3.8884496688842773,943,1.3731481012101105,"[1, 1, 1, 0, 0, 1]",3.465723991235798,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.67510399 3.10035663 2.6975465  1.66865113],0.10687667102267714,0,,,>>graph6<<Emz_
5,9,statevector,uniform,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,5.081778287887573,682,3.039971656497219,"[1, 1, 1, 1, 0, 0, 1, 0, 0]",9.337884290880288,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[7.13424212 1.48319159 6.10215527 1.47358203],0.0,0,,,>>graph6<<HmzffJz
6,12,statevector,uniform,vanilla,COBYLA,False,2,minvertexcover,5000,1e-08,2,8.024637937545776,602,3.4829158220323984,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",15.924139319979236,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[4.71243248 2.35619429 5.26574798 1.0174349 ],0.00019929107103030304,0,,,>>graph6<<KmzffJznl{hU
7,6,statevector,uniform,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,15.431875467300415,2940,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[1.85913402 2.68554579 3.95431907 1.89197931 1.92515841 1.72027167],0.035095762913058305,0,,,>>graph6<<Emz_
8,9,statevector,uniform,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,14.878589391708374,1383,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[ 0.98709092 -0.12459643  4.65520306  0.17601253  6.47046319  1.99647526],0.0,0,,,>>graph6<<HmzffJz
9,9,statevector,uniform,vanilla,COBYLA,False,3,minvertexcover,5000,1e-08,2,6.250395059585571,603,1.4518241751355225,"[1, 0, 1, 1, 1, 1, 1, 1, 0]",3.5169251048675707,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[7.18058236 0.16194731 1.3911571  0.25995839 0.73319063 2.09972963],0.02329400811116245,0,,,>>graph6<<Hh_iS_u
